{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1586AB,158620,1585B9
140AC3,1409C0,140AB2
15822B,158322,1583B1
140AF7,14099F,1408B5
158466,15836E,1583EE
14088F,1408C2,14089C
158437,158417,1583E2
140ABB,140828,140847
1583BD,15836F,1584F9
1409C3,14080E,140A14
158461,158445,1582B5
140893,1409A5,140ACF
158533,158505,158290
14093C,140A8E,1406E5
158441,158189,1583EE
1408E6,1407E3,1408B0
15769E,15765E,157657
140C6A,140C41,140D10
15879C,158835,15869F
140CE1,140C7F,140CDA
1586C5,158735,158686
140CA6,140D5A,140BEA
15868C,158471,1587BA
140BC1,140B2B,140DA1
158540,158677,158688
140C61,1409DF,140BC0
158739,158649,158791
140CF2,140C96,140D1F
158665,1586CC,158882
140B78,140C21,140A96
1587D8,15869D,158815
140C3E,140A9A,140D8F
15881C,158760,158651
140D75,140BD7,140DC8
158657,1585ED,15871C
140BBE,140B6D,140E43
1584E0,158678,1585D6
140C2D,140BA3,140C2D
158545,158608,158702
140B1C,140D89,140B61
158556,158522,158537
140B5E,140A8F,140AF9
158633,158728,158665
140B3E,140BC8,140B8E
15874A,158824,1587AF
140A98,140B50,140B53
1585D0,158507,158572
140C0E,140B3B,140BDC
158588,158736,1585F0
140E1D,140C91,140C52
15860A,15866B,1587D5
140DDD,140D94,140CA7
1587E5,158814,15884D
140D84,140CE2,140E5D
15877A,158761,1586F9
140CF1,140D99,140CE4
1586A9,1587BF,158910
140C8C,140D35,140D62
15848B,15863C,15852D
14090C,140BD3,140B6D
15860D,15869B,1585C9
140BA7,140C1D,140ADE
1584CF,158542,15831E
140B4C,1409E9,1409D9
15884F,1585F5,158668
140A8B,140AC2,140B3D
15862B,15847F,15869A
140BC7,14090E,140CA7
1583D0,1584D2,158735
140C30,140CC0,140ADF
158603,158466,158332
14092C,140B37,140B1C
1583D8,158533,158624
140A23,14097C,140C98
15837B,1585AE,15860C
140B91,140A9D,140AA1
15845F,1585CF,15854D
140AEF,140BA3,140C08
1583D8,1584A5,158243
140AE2,140A53,140AE6
1584D4,1582D9,1582FF
140953,140979,1407B1
158260,158352,158217
1407F3,1408E9,1408B8
15806C,15830E,15810D
140978,140880,140773
1581FF,15815E,158141
140863,1407AC,140696
15809D,1581E2,1582A2
140860,14081C,1407CB
1581A5,1581DD,1583D2
1409BA,140691,140738
1581AE,158173,158035
140633,140741,1406CB
157F7F,158074,1581E8
140819,1407D7,140590
15823F,15830B,158340
14054F,1406BB,1407C7
158178,15812F,157FDA
14071E,140792,14051B
1580F1,158075,1581C1
1405C6,14068E,1407CB
158122,157F53,1580AC
14046C,140561,140650
15822E,158014,15805C
140663,1407A1,1406DB
158028,157F66,157F8D
140492,140530,1403A0
157FEC,1580E1,15812A
14063C,14058C,140585
157DBC,157FBB,157D92
140544,140527,1404CD
15809B,15805B,158080
14086D,140658,14080A
158218,158343,158384
140941,140845,1408E5
157FB4,1581DF,158114
140860,140716,140771
158164,1581A4,158366
140743,140671,140973
1582F7,158385,1581AB
1406D3,140498,140580
1582A6,1581B8,15815A
14088A,1407EE,1406EE
1582D3,1582C2,1581D9
140749,14082A,14074A
158041,157F40,158027
140675,1405CB,1406CD
1580B3,158368,1582DC
140692,140772,14075E
158068,1580C3,15806D
140688,140629,1405AE
1582E7,15802B,158153
1404F9,14051B,140479
1581B5,158122,1580F1
14065C,14063C,140425
15806C,157F83,158074
1404C6,1404C4,1406B0
1580EA,158125,1581C9
1407C4,140640,1406A9
158215,1581E1,158341
1404B8,140668,1405AF
158185,158185,15804E
140557,140614,140513
157BCF,157CA6,157AE7
140BCD,140B48,140B30
158525,15858E,1585BF
140A27,140B2F,140BEB
158531,15853B,158440
1409CB,140B0D,140B87
15853B,158455,1585B2
140B6D,1409BA,140B8B
158653,158464,158454
14088C,140847,140C4F
158320,1584CD,1585F9
1409DD,1408FE,1409DF
15861B,15826E,1584CB
140968,140A6A,140AA1
158548,15833B,158485
140AA8,14096C,140AAB
1582AD,158614,15855A
140912,1409D2,1409D6
1582EA,158307,1582A7
1409F3,140A0A,1409B1
158462,158264,15850F
140996,1409B2,140826
15842B,15822C,158514
1408DA,14092C,140961
1583E4,15840D,15840C
140991,1409D8,1409DB
158248,158105,158201
140935,14081F,1408B5
15838F,15836B,158526
140949,14091A,1408A9
158236,1582E5,158279
1409A6,14085D,14081E
1582EB,158384,1582E5
140B88,140ACA,140BA0
15851B,1585A4,158728
140C20,140A54,140C25
158567,1586D7,158541
140A37,140A8C,140988
158370,1583AE,1583C8
1409D8,140A6C,140B26
15830C,158545,1584B1
140A4A,140A53,1408A4
158382,1585C7,1583C3
140B96,14092B,140B1C
1583B9,1583F0,15851A
1409B4,140983,140B50
1583E6,1582F9,1583F1
140ADD,140822,140BDD
158555,1586A0,15864F
140AC0,140C79,140BA3
158466,158490,1584B1
140A45,14096B,140AF0
1584FE,1583E2,158478
140B05,1409CF,140987
1581AB,158383,1582E9
140977,140841,1407F2
158456,158365,158327
1409AD,1409EC,1408B7
158366,15826C,158227
140823,14094E,1407F5
158230,158356,158197
14085B,1409D3,14067E
1582F6,1581EC,15836A
14071F,14080E,1407E8
1581E3,15819D,1583BD
14053D,14072F,140578
157DFA,157F06,157EC4
140783,1404FA,14054A
15801A,15808C,158018
140666,1404C6,140635
157F35,157EF2,15811E
140590,140764,14059C
158082,1580C3,158180
140580,1404EB,140532
157F57,157E57,158029
140620,1405EA,140534
157F8B,158073,157EB8
140493,14032E,14059F
157FAF,15803F,15809D
14054D,1404A4,140572
158082,158103,15802C
140513,1402F3,1403D3
157DEB,157FFE,157FBF
1403F8,1405B7,14047A
157ECE,157CCD,157D1C
140407,140483,1404E0
157F4F,157EE2,157EF0
1403B8,1404FE,1401C3
157E8D,157DF5,157F94
140476,1403FA,14044F
157D3B,157DE0,157E40
14051C,140350,140466
157F44,158058,157E39
14044A,140188,140238
157E12,157E85,157D49
1404B9,1403B0,140454
157F1C,157EC2,157F9D
140619,1406B2,140804
1580C2,158073,158106
140538,140544,1404D4
1580FB,157F3C,157EA0
140517,1404D7,14055E
157F28,157D0B,157F6F
140551,1404D5,1403D0
157F09,157D1A,157C77
1403DB,140440,1405D0
158013,157FA5,158086
14058B,14044E,140702
157F49,157FE7,158031
1403DA,1404C4,140400
157BFD,157FBD,157EC3
14044F,1404EE,14064A
158085,158081,157ED8
1404F3,1404EA,1404B3
15803D,157F6C,157FBA
14027B,1404E1,1404DB
157FF7,158148,158115
1404A2,1404EF,140514
1580FF,158087,158059
140565,1403CB,140525
157F52,1580CE,157E2B
140466,14038C,140444
158081,157F0A,157F2C
140414,1404EA,1404BA
157FAF,157EE9,157F47
1403FF,14048C,140540
157C78,157F52,157E21
140566,1402B2,1403F6
158A7F,158BEB,158BA4
141614,1416E3,14159D
15915E,158FB3,158FB7
141778,1416CB,1416B8
15911C,158F01,159129
1413EA,14141E,141609
158FE4,158D4A,159111
141384,1414E3,14147F
158E69,158FD1,158FC3
1412B4,1414B6,141544
158EDA,159022,158EF6
14162F,141486,14157F
158F8F,158D5E,158FF3
1414A2,141557,141684
158F3B,159050,159107
141356,14134E,1414C8
158FC4,15915C,15919F
141488,141423,141454
158CD2,158D43,158FB3
1414AB,14141F,141623
158C21,158F2A,158D19
14149E,141406,1413B0
158FA3,159024,158EA8
141530,141568,1414E7
158F50,158F8E,158EBE
1412B8,141558,1413C5
158D79,158DD7,158D0B
14132B,14125F,14134E
158CC6,158BEB,158CDE
1413BB,14128A,1413A6
158D23,158F69,158DBD
141478,1412FB,141309
158FC1,158E32,158E15
1417B4,14163E,1415DA
159087,15910E,158FE2
1415E4,14165D,1417E3
158EC2,159008,159121
141614,14164A,141703
15903A,159101,159019
1414D3,141564,1414B4
159170,1592AA,1590D4
141583,1416F7,141636
15903C,159166,15910F
1416BB,141604,1416B7
158E8D,1590B7,158EEB
14156B,1415D2,14173D
158FDC,159037,159150
141339,141448,141507
159110,1590B6,158FAF
1414A8,14150A,141469
158E01,158CA2,158E9D
1412CD,1413A0,1414C4
15907F,158F96,158E6B
1414E9,1413FC,141250
158FCF,159028,158DC6
14158D,141374,14154F
158E73,158F90,158E56
14131B,141300,1413E8
158D15,158DA6,158DB9
1414DC,141588,141407
158FF6,159022,158E6E
14140A,1412FA,14150B
158FA5,158F10,158DC5
14156D,141401,141219
158DEC,158D8B,158DA0
14126C,141251,141214
158C5E,158DAD,158D4A
1411C6,141232,1411D5
158C20,158AD2,158B1B
140FA6,141064,141099
158BBB,158B37,158AF4
140FF0,140E70,140FA1
158B7E,158AC2,158A63
140E98,14103B,140FB5
158A31,158A4A,158AA2
140F55,140FFD,140EF8
158A8A,1588D3,158A58
14104D,140FF3,140F68
158B0B,158A2B,158953
14105B,140E84,141017
158B6D,158CB4,158C24
