{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-AA5D6,-AA538,-AA564
-92BA5,-92B7D,-928B7
-AA56D,-AA628,-AA6DE
-92C02,-929F2,-92C1E
-AA547,-AA56A,-AA554
-92BD3,-92ACD,-92A95
-AA71E,-AA53D,-AA4CA
-92AC6,-92B3B,-92A56
-AA3BC,-AA564,-AA488
-929D2,-92956,-92999
-AA745,-AA597,-AA44E
-92ADF,-92AD8,-92A76
-AA62E,-AA5A8,-AA4BE
-92A8F,-92A64,-92A14
-AA3F1,-AA58F,-AA4D8
-92C56,-92A8B,-92A83
-AA51E,-AA52D,-AA666
-92BC9,-92BD9,-929AA
-AA510,-AA44B,-AA285
-92BF8,-92A77,-92A67
-AA49A,-AA4B1,-AA37D
-9293A,-92928,-92943
-AA619,-AA443,-AA40D
-92A1E,-92B88,-92A23
-AA5E4,-AA5A3,-AA3B0
-9279D,-9285F,-929A7
-AA2B4,-AA475,-AA3F1
-92A77,-92A31,-92A92
-AA580,-AA672,-AA474
-92930,-92B30,-929B7
-AA438,-AA34A,-AA387
-929A5,-9291A,-927F4
-AA574,-AA30D,-AA4BC
-92B2E,-928B3,-929BB
-AA44D,-AA3BB,-AA467
-92A22,-929E7,-92AC6
-AA4C9,-AA37C,-AA459
-92A29,-928AD,-929CE
-AA1A1,-AA592,-AA39E
-92983,-92B57,-929AC
-AA581,-AA4E5,-AA49C
-92A49,-92A78,-929A9
-AA399,-AA3CF,-AA3F1
-928A6,-92A21,-929FF
-AA59A,-AA448,-AA438
-92A9F,-9299C,-92919
-AA31A,-AA41B,-AA2AF
-92A58,-92947,-92933
-AA358,-AA34A,-AA639
-929E7,-92B56,-929DA
-AA1FF,-AA470,-AA481
-929BC,-928C1,-92A27
-AA45D,-AA323,-AA4D6
-92A14,-928F1,-9270D
-AA205,-AA323,-AA2D9
-92900,-9287D,-92884
-AA270,-AA343,-AA539
-9280A,-928ED,-927F0
-AA159,-AA343,-AA32F
-928AE,-92773,-92825
-AA1CE,-AA333,-AA164
-9290C,-928A1,-92A36
-AA3D2,-AA43D,-AA3B0
-9290D,-92876,-928E1
-AA2DE,-AA392,-AA360
-92708,-92739,-9273C
-AA27B,-AA22E,-AA2DC
-927B8,-926FF,-9296D
-AA132,-AA22D,-AA385
-92961,-929D1,-927B5
-AA261,-AA1C6,-AA4BB
-92708,-9260E,-92764
-AA31B,-AA30E,-AA23E
-93F0C,-93FFF,-93FE3
-AA6D7,-AA69A,-AA311
-92BC0,-9293E,-92C15
-AA545,-AA4D7,-AA50B
-92ACB,-92B7C,-929A2
-AA2F9,-AA6ED,-AA470
-9298B,-92D06,-92A02
-AA4BB,-AA57E,-AA4B6
-9284E,-92B2F,-92B50
-AA388,-AA58C,-AA4B4
-92B14,-92B0F,-92C58
-AA367,-AA4B8,-AA42B
-92983,-929F8,-92857
-AA4E1,-AA4AD,-AA513
-92883,-929FF,-92BDB
-AA451,-AA56E,-AA402
-92A1A,-92757,-928A3
-AA2F0,-AA450,-AA349
-92A38,-92A10,-92953
-AA3B3,-AA421,-AA4C6
-92B3B,-92993,-92ABD
-AA446,-AA483,-AA469
-929BD,-929ED,-9293A
-AA2FF,-AA3A9,-AA39A
-92AEB,-92860,-92920
-AA379,-AA512,-AA4CB
-9297A,-92A24,-9298E
-AA68A,-AA546,-AA5AB
-92902,-92A0B,-92925
-AA44E,-AA457,-AA4FD
-92A7E,-92950,-92837
-AA362,-AA4FF,-AA339
-92A7A,-929BE,-92920
-AA496,-AA4F8,-AA464
-92959,-92A36,-92849
-AA29D,-AA322,-AA3A5
-9295C,-92926,-92833
-AA2D5,-AA259,-AA37E
-92A07,-92892,-92750
-AA157,-AA424,-AA57E
-9287E,-927C5,-928D9
-AA110,-AA1E6,-AA2BC
-92624,-9286A,-92835
