{'CALIB_RAW_DAC_START_I': 622592, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-3C7AE,-3C6F7,-3C6FA
-53E9D,-540E7,-54029
-3C4AE,-3C278,-3C44B
-53F77,-54046,-542FE
-3C7A7,-3C54B,-3C5AA
-542A4,-53F47,-5400E
-3C346,-3C2D3,-3C1B4
-53E63,-5404C,-53E53
-3C2E3,-3C54F,-3C5EE
-53E47,-53F52,-53D88
-3C41B,-3C2C2,-3C48E
-53DCC,-53EDE,-53D1F
-3C6B3,-3C4A6,-3C46F
-53D45,-53FAE,-53E75
-3C2D5,-3C106,-3C3E3
-53E04,-53DC5,-53F41
-3C335,-3C449,-3C444
-53EAA,-53D58,-53DD1
-3C413,-3C3D3,-3C400
-53F4F,-53D5D,-53F69
-3C4F1,-3C18D,-3C48F
-53F6B,-53EB0,-53E28
-3C1C7,-3C288,-3C16C
-53DC4,-53DF1,-53DF9
-3C3F2,-3C3BB,-3C2D5
-53ECE,-53DDB,-53DE3
-3C606,-3C589,-3C3BB
-53E7D,-53F58,-53E85
-3C516,-3C427,-3C4E3
-53E53,-53CB2,-53EB8
-3C212,-3C20E,-3C277
-53E90,-53E22,-53C4F
-3C094,-3C2CD,-3C288
-53DBB,-53DCB,-53D86
-3C1BC,-3C33D,-3C1A0
-53E66,-53D78,-53C22
-3C0DE,-3C2F0,-3C1C0
-53F8C,-53F1A,-53C53
-3C4C3,-3C4DD,-3C564
-53E03,-54037,-53FFC
-3C556,-3C404,-3C287
-53FEC,-53FFD,-53E85
-3C665,-3C3FB,-3C414
-53E0A,-53D8B,-53D0D
-3C166,-3C44B,-3C286
-53EBE,-53E96,-53EA2
-3C4A1,-3C1CF,-3C3BF
-53ECF,-53E40,-53DD7
-3C2A4,-3C222,-3C229
-53D03,-53DCE,-53DB4
-3C2FD,-3C495,-3C4B3
-53F90,-53CD8,-53DDF
-3C1BE,-3C340,-3C2CF
-53E08,-53D39,-53ED0
-3C4CC,-3C15D,-3C388
-53D5E,-53FCD,-53E44
-3C43C,-3C341,-3C59A
-53EF5,-54034,-5418E
-3C48D,-3C3CC,-3C3B6
-53CE4,-53E2F,-53D47
-3C418,-3C217,-3C2D3
-53E37,-53DB6,-53FA7
-3C276,-3C217,-3C044
-53CEF,-53DD0,-53C4C
-3C2D1,-3C1BC,-3C3A3
-53BA2,-53BE9,-53E44
-3C184,-3C416,-3C2FF
-53E38,-53EF0,-53EC4
-3C374,-3C1CA,-3C1B7
-53C7E,-53C9B,-53C93
-3D97E,-3D876,-3D98A
-53E66,-53F74,-53E43
-3C291,-3C566,-3C68B
-53EAC,-53F01,-53D18
-3C62F,-3C432,-3C44B
-53F51,-54047,-53E93
-3C654,-3C44B,-3C408
-53FFB,-540A8,-53F4F
-3C535,-3C4E1,-3C523
-53FFF,-53F6F,-53F0E
-3C4F9,-3C5DF,-3C44B
-53D3F,-540CD,-53EC1
-3C4B0,-3C410,-3C622
-54117,-53FB8,-53ECC
-3C30B,-3C4A8,-3C547
-53F4E,-54004,-53E73
-3C3F0,-3C416,-3C19D
-53DE1,-53E22,-53E6A
-3C5DE,-3C4E0,-3C678
-53E9B,-53E30,-53EFC
-3C546,-3C2D0,-3C3F3
-53E7C,-53E5E,-53D4C
-3C563,-3C37E,-3C2CD
-53E88,-53F2E,-53F2E
-3C429,-3C326,-3C293
-53F64,-53E5E,-53DE3
-3C376,-3C546,-3C440
-53D78,-53C29,-53D0D
-3C1FD,-3C1B1,-3C173
-53C43,-53DA7,-53CE9
-3C07A,-3C202,-3C35D
-53F70,-53EDB,-53D32
-3C65D,-3C502,-3C663
-53F6F,-53FE3,-540BF
-3C6B8,-3C6E7,-3C6D6
-53F30,-53E78,-54046
-3C5CF,-3C321,-3C45A
-53EE8,-53EF1,-53E77
-3C64A,-3C4B4,-3C3F3
-53DC4,-53D14,-53E09
-3C2EE,-3C43C,-3C282
-53E31,-53F99,-53E3E
-3C608,-3C522,-3C470
-53DED,-54049,-53E29
-3C332,-3C364,-3C48E
-53F3F,-53F0C,-53F20
-3C4A7,-3C3DB,-3C4A8
-53DAF,-53D65,-53D4C
-3C2BB,-3C287,-3C495
-54108,-53FED,-53FBA
-3C4E1,-3C596,-3C46F
-53FEB,-53F68,-53EAF
-3C40C,-3C3E9,-3C5CF
-53F05,-53FAC,-53F04
-3C5B7,-3C497,-3C572
-53DBD,-53EF3,-53D9B
-3C38E,-3C32B,-3C3AB
-53EB6,-53E9E,-53F4A
-3C4AE,-3C46B,-3C3F6
-53F55,-53CE8,-53D46
-3C30D,-3C35F,-3C313
-53CAB,-53B15,-53D90
-3C383,-3C296,-3C311
-53DE7,-53F4F,-53D17
-3C173,-3C0DC,-3C03D
-53B55,-53D40,-53C33
-3C188,-3C450,-3C3AB
-53D84,-53DBE,-53C1B
-3C26B,-3C255,-3C238
-53CBC,-53E67,-53CB0
-3C3A7,-3C2B2,-3C1AF
-53C5C,-53C77,-53DCD
-3C29D,-3C36C,-3C1F8
-53B58,-53D79,-53BDA
-3C23F,-3C2E9,-3C054
-53BAE,-53B9A,-53AC1
-3C103,-3C0D1,-3C18A
-53B62,-53BB6,-53AEE
-3C127,-3C061,-3C103
-53DAA,-53C04,-53C62
-3BEC4,-3C0A0,-3BFC1
-53E9A,-53BBF,-53C9B
-3C2F3,-3C331,-3C256
-53BEF,-53D0B,-53D9D
-3C2E0,-3BFC0,-3C1D2
-53B36,-53BAB,-53B77
-3C0E1,-3C09B,-3C127
-53B6A,-539DF,-53B7B
-3C02B,-3BF37,-3BFF5
-538E7,-53BF1,-53BAE
-3C277,-3C1A3,-3C254
-53B78,-5399D,-53A1A
-3C0C9,-3C018,-3C031
-53B5B,-53AF5,-53A64
-3BDAE,-3BE02,-3BDEF
-53AEE,-5395A,-5391E
-3C03E,-3C05D,-3C141
-53B13,-53AF6,-53B06
-3C145,-3BF52,-3C080
-53C04,-53BD0,-53C0A
-3BF5E,-3C0FE,-3C02C
-53E79,-53BEE,-53B8F
-3C179,-3C076,-3C1E6
-53CD7,-53CD8,-53D2D
-3C153,-3C096,-3C0FA
-5399F,-53C1E,-53B74
-3C2A3,-3C321,-3C269
-53DEB,-53D5E,-53C40
-3C02F,-3C125,-3C008
-53B4B,-53A65,-53AC7
-3C08B,-3C1E1,-3BFBB
-53B0C,-53B97,-53BC9
-3C1A2,-3C01B,-3BFEC
-53C06,-53C03,-53C18
-3BFD2,-3BEEC,-3C077
-53B7A,-53AA8,-53B0F
-3BFEF,-3BF4A,-3C0D5
-53BC5,-53C87,-53A9F
-3BFF0,-3C232,-3C084
-53CAD,-53A5F,-539C3
-3C0AF,-3BFA6,-3C109
-53A91,-53B1E,-53B35
-3C172,-3C133,-3C09C
-53CE0,-53BCD,-53C0F
-3C18D,-3C151,-3C00B
-539A2,-53CA6,-53B61
-3C03E,-3C079,-3C101
-53D5C,-53CC5,-53AD8
-3CBAF,-3CA83,-3CAC4
-536CE,-53869,-53A77
-3BE04,-3BEAD,-3BE44
-538A5,-538FF,-538F6
-3BBED,-3BD14,-3BEAD
-536D5,-53827,-5379D
-3BEB0,-3BC86,-3BE2D
-536F6,-537F5,-53658
-3BCBC,-3BD86,-3BC86
-53783,-538B8,-536F2
-3BD03,-3BDD4,-3BCCE
-537F0,-53711,-5374C
-3BB2B,-3BC04,-3BB7F
-536F0,-5375F,-5377E
-3BCA3,-3BCEF,-3BD8C
-5369E,-535A7,-53689
-3BBEC,-3BA05,-3BC2B
-5363D,-537AE,-53840
-3BD1D,-3BC6D,-3BC04
-53812,-53755,-53695
-3BC7E,-3BCE7,-3BA16
-53570,-53841,-53652
-3BB1A,-3BCC5,-3BC90
-53535,-536AB,-53695
-3BA8E,-3BC51,-3BB3A
-534F0,-53583,-53516
-3BBFF,-3BBFE,-3BB06
-53785,-536DA,-53753
-3BB64,-3BD76,-3BB99
-5368D,-536CE,-53528
-3BC46,-3BB9D,-3BD14
-53566,-53738,-5354F
-3BC0F,-3BCE8,-3BD7E
-53795,-538CB,-53867
-3C02B,-3BE8C,-3BF8A
-53950,-539D8,-5391D
-3BC59,-3BC23,-3BC70
-536E4,-5393A,-5387B
-3BE3E,-3BCA9,-3BD4F
-537BA,-53817,-53775
-3BE70,-3BE87,-3BF2E
-5371B,-5397E,-53833
-3BF2D,-3BE12,-3BCEE
-53764,-536BA,-53804
-3BE01,-3BA9F,-3BC1E
-537A9,-53612,-53601
-3BDBA,-3BDA0,-3BC51
-53757,-535A1,-5359A
-3BA74,-3B912,-3BC12
-53667,-536E6,-53807
-3BDBD,-3BD8B,-3BE4C
-538CF,-53795,-53794
-3BE36,-3BE5A,-3BBDF
