{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5BA0,-5CE0,-5A76
12061,11F2D,11E79
-5A5E,-5958,-5AF3
12013,1207C,11FC9
-5B28,-59F5,-5C45
11DE5,11D7D,11ED9
-5C19,-5B9F,-5BFA
11DEB,11BBB,11F25
-5AA3,-5CE9,-5C36
11FF1,11EA2,11EFC
-5BE2,-5BA4,-5B7E
11EEC,12099,11FD2
-59FE,-5ACB,-5A68
11FA3,11E01,11F6A
-5B8A,-5B3E,-5B88
120A5,11E22,11F55
-5A04,-590C,-59E8
11FCB,11EEF,11FB6
-5B88,-5C05,-5AE8
11FEE,12163,11EAA
-5AE3,-5BEB,-5AFD
1215C,11ECF,11FC5
-5A0A,-59C9,-5AF4
11E4C,11E3A,11E66
-5C1F,-5C8E,-5BE7
10917,108CF,107B7
-5D0E,-5D56,-5D67
11D33,11C68,11D57
-5C50,-5C05,-5CEC
11DD6,11D88,11E85
-5D59,-5D9C,-5D13
11C22,11CBA,11ADE
-5B84,-5D55,-5EF3
11EA2,11F74,11D27
-5BB2,-5BCB,-5C62
11D8F,11E17,11DCC
-5CA4,-5CE8,-5BEF
11C31,11D55,11D50
-5B9C,-5CA7,-5B15
11D77,11D3A,11DE1
-5D36,-5BB7,-5CBA
11FE2,11F20,120E1
-5A96,-5C7B,-5B17
11CA0,11ED6,11E93
-5BA3,-5C8B,-5AC6
11BD3,11D22,11CBA
-5EFE,-5E88,-5D80
11C42,11D9A,11DA3
-5C63,-5B92,-5D7D
11CC5,11E2D,11D9D
-5AD2,-5B25,-5CAD
11CE1,11D1E,11CAC
-5E0A,-5D62,-5C5D
11E75,11FC9,11C3B
-5C1E,-5D22,-5BDB
11D37,11C03,11D36
-5C52,-5C55,-5AFE
11D4E,11C7E,11BD9
-5CB9,-5D4A,-5E42
11B2B,11C64,11D3D
-5E17,-5EA0,-5E73
11BF3,11E5E,11D5F
-5BA6,-5D01,-5B9B
11F30,11D48,11E0B
-5B58,-5CD2,-5C96
11CD4,11C9B,11E69
-5D7A,-5D80,-5E2B
11EF6,11DA9,11CE4
-5BE5,-5C17,-5BB6
11F04,12013,11DBE
-5AE3,-5C7C,-5E4E
11D65,11DEB,11EB6
-5C2C,-5E1C,-5E37
11E4D,11EF8,1204A
-5DB6,-5DA0,-5D49
11C03,11DB8,11E4D
-5E7A,-5CD3,-5DE7
11D6E,11D9D,11C45
-5C3C,-5C6A,-5BED
11DA6,11EA2,11DF7
-5BC2,-5BBB,-5C98
11E55,11C90,11DB0
-5C84,-5D01,-5C55
11BC2,11F33,11E68
-5E17,-5B04,-5BEE
11EC4,11DDB,11DBB
-5B98,-5B7D,-5ACB
12063,11E43,11E01
-5B48,-5C6F,-5BD2
11E2B,11E2E,11C42
-5DB4,-5CD9,-5ACD
11DD9,11DE2,11D4E
-5B3C,-5B5D,-5A9E
11CBC,11FCE,11D7E
-5A61,-5ABA,-5D8E
11F12,11D21,1206F
-5BD6,-5BD5,-5A5D
11DA7,12081,11EED
-5973,-5BFD,-5AF8
11F65,11F1C,120C1
-5AD2,-5A27,-5AAF
11DCB,11E7C,11DDA
-5A41,-5B7D,-5C48
11F77,11DB2,11E91
-5B50,-5B8C,-5D4B
11FD4,120B0,1212E
-5C5E,-59CE,-599A
11F66,11F8C,11FBE
-5BDE,-5C86,-5BD5
11E45,11E0A,120B3
-5B11,-5C30,-5BCD
11E78,11FCC,12049
-5B35,-5D3B,-5B40
1215B,11EEC,11FCA
-5A1D,-595C,-5A54
11E25,11FD7,11E69
-5BE1,-5B61,-5990
1212E,11CD3,11C9C
-5C87,-5C6A,-5D54
11F28,11EF3,11F2F
-5AB7,-5D6C,-5C1C
11E5F,11F67,11D4F
-5A8F,-5B6F,-5B34
11FB1,11FEA,11E77
-58F4,-5998,-5A71
11F2D,120AC,11F57
-5B3E,-5A9F,-5A55
11DC8,12160,120FA
-5989,-5AA7,-5B50
11F7A,11F30,11F56
-5826,-590B,-590E
11F1E,11FCE,11FE5
-59B4,-5904,-5A0E
121A8,11F9B,121A5
-59E6,-5BD1,-5B97
1202D,120FE,120B2
-5AD0,-5B30,-59A3
122A8,120D1,120EC
-580C,-5974,-5992
12141,11FDD,11F86
-579F,-5A83,-57A3
11F76,12153,12155
-58BA,-5A43,-5B19
11F70,120BB,11F20
-5A9F,-5C39,-5A7C
11F74,1228A,12013
-56EB,-59CE,-5AE1
11F2F,12113,11F66
-5AC5,-592A,-5A44
11F61,1203F,1214F
-5AC2,-5942,-5AD7
120EF,12001,11FC9
-5BAA,-5AA2,-5992
11409,114C2,1139C
-5524,-536F,-53D6
1250C,124D2,126E1
-530D,-525A,-547D
125AF,126FD,126A2
-52ED,-51FD,-5462
1280B,126E4,12576
-53C4,-5258,-5603
12802,12620,12726
-5199,-5322,-549D
126C4,127C5,12764
-5340,-53B7,-53FB
12978,127F1,1267C
-52F9,-543C,-53D6
12674,125C2,126BA
-5597,-53D2,-52C9
12763,12702,12898
-5264,-523F,-5441
124C5,124A6,1284F
-5484,-54EE,-5434
12660,12844,12774
-530A,-536B,-53FE
1271B,1261F,124A7
-528E,-534A,-53A7
12731,12796,12682
-534E,-528E,-51CD
12635,126F6,12738
-5182,-51E8,-5363
1277C,12691,12634
-5317,-51C7,-51DD
126FF,12929,1287E
-528E,-52D6,-528E
127EC,12780,12686
-52AC,-52AF,-51CF
12818,12675,1262E
-52F7,-52B9,-540A
12846,12779,129CF
-5103,-5127,-5212
126D6,12620,12836
-5274,-515C,-523E
1271F,127F0,128BC
-5112,-523C,-529D
12992,1287F,1288D
-4FE6,-5159,-51F9
12593,1286A,12868
-522F,-5158,-5294
12840,128F2,12870
-531D,-5059,-4FF5
128C4,129AA,12A8E
-5206,-519E,-5152
128C2,128D8,127F5
-51CD,-4FEB,-5268
1290E,12963,12815
-51F5,-521F,-5148
1283C,12920,1292D
-5166,-5169,-5076
129DF,128AB,126E1
-5145,-5205,-523B
12947,128FD,126E8
-5219,-5213,-5184
1266E,12850,12791
-50C4,-51B6,-4F10
12990,128C4,12934
-51F4,-5197,-5233
12A42,128D9,1299A
-50F4,-50A0,-5243
128DA,127CB,12733
-502D,-51F6,-536D
12712,12762,1277F
-50E2,-52D6,-50B9
126BB,12753,128FE
-5294,-53BB,-510B
12B06,12926,129CB
-535F,-5255,-52D4
