{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-767B4,-7679D,-767C3
-5EC6C,-5EDA7,-5ECE2
-76736,-76806,-765FE
-5ED0E,-5EC6D,-5EC8F
-76640,-76714,-7676B
-5EC34,-5EC54,-5ECB4
-766F7,-765C5,-7651C
-5EAE3,-5EA38,-5EB99
-7653E,-7663C,-76656
-5EBA1,-5EBAF,-5EC1D
-764E8,-7665C,-76562
-5EAAB,-5EB1A,-5ECEF
-768C0,-766D2,-76661
-5EAA0,-5EC42,-5EC19
-7678D,-76710,-76508
-5E9A1,-5E962,-5E98F
-76575,-76529,-766B6
-5EC60,-5EAED,-5EA2F
-76657,-7646C,-7648B
-5EB1A,-5E840,-5EB5A
-762BF,-763FB,-764B9
-5EA1D,-5E8C1,-5E986
-762E8,-76554,-764ED
-5EA86,-5EA44,-5EB0A
-76454,-7647F,-7640D
-5E8AC,-5E984,-5E9B3
-7629D,-763B1,-765D9
-5EA67,-5E910,-5E965
-765F0,-76442,-764F9
-5EA23,-5E96D,-5E98E
-7637E,-76531,-7651D
-5E92A,-5E9DE,-5E803
-7630A,-76399,-762E4
-5E8CF,-5EABE,-5E8E8
-763AA,-763F3,-76273
-5E87D,-5EA9F,-5E7EA
-7655B,-7624D,-7635E
-5E809,-5E8D4,-5E956
-764F1,-76328,-7643D
-5E86E,-5E71C,-5E7C9
-76395,-7632B,-7631F
-5E971,-5E8B6,-5E80F
-760D4,-76407,-76385
-5E7F5,-5E834,-5E84C
-762A3,-7626D,-7638C
-5E96D,-5E754,-5EA26
-76386,-763AC,-762F1
-5E8D3,-5E9F7,-5E7DA
-76607,-765FE,-76322
-5E884,-5E9B4,-5E93E
-76331,-76526,-764B5
-5E918,-5EA91,-5EB49
-76426,-7646D,-76396
-5E931,-5E5C3,-5EA9B
-76423,-76519,-76600
-5E8A0,-5E95C,-5E73B
-76229,-761E8,-763B5
-5E8AB,-5E8AB,-5E8DE
-763C9,-76611,-763B7
-5E9D2,-5E8B9,-5E887
-76454,-76345,-764C0
-5E9E7,-5E937,-5E9E4
-7636C,-763C1,-7630D
-5EA5C,-5E9A4,-5E741
-764DE,-76589,-7641C
-5E8B5,-5E8CC,-5E94D
-762F5,-76441,-76195
-5E7EC,-5E9E9,-5E92D
-76240,-761B2,-7634D
-5E8C1,-5E99D,-5E826
-761BA,-76279,-7618F
-5E82E,-5E782,-5E598
-764CC,-76397,-7621C
-5E875,-5E9CB,-5EAF3
-763CB,-761BC,-76393
-5E5FF,-5E747,-5E6F8
-7630A,-76012,-7634F
-5E8E4,-5E5D9,-5E917
-7618C,-760C6,-76237
-5FCC7,-5FB94,-5FE1C
-7642A,-7650F,-7652C
-5EAB6,-5E97A,-5ECA7
-764AB,-764EC,-76403
-5EAB0,-5ED03,-5E9CB
-765D0,-76598,-766B8
-5E9EE,-5E881,-5EB6A
-765F4,-766D8,-76505
-5EA4A,-5EADB,-5EA9C
-76744,-7653A,-76711
-5E977,-5EAA5,-5EC5F
-765F1,-76584,-7659E
-5EB5B,-5EA0A,-5E9D4
-76568,-763C0,-764B0
-5EACA,-5EA72,-5E96A
-76424,-763E4,-76368
-5EA5E,-5E868,-5E872
-7655E,-76452,-7654E
-5E8E5,-5EB1A,-5E9C4
-76578,-7643A,-7652D
-5EAEE,-5EB76,-5EA75
-765FE,-763B6,-76616
-5EB37,-5EA0A,-5E947
-7646A,-76506,-7654B
-5E8CF,-5E939,-5E7D0
-76437,-76407,-7665F
-5E99F,-5EBCE,-5E982
-76332,-7640C,-764F9
-5E966,-5E955,-5E9B3
-763A6,-76310,-763E7
-5E9E3,-5EA1A,-5EB10
-763E1,-762CB,-7649B
-5E9F1,-5EB41,-5EB62
-76540,-76568,-7658E
-5EC94,-5EB66,-5EB5B
-76430,-76548,-7672E
-5E936,-5ECB6,-5E94A
-76413,-765BC,-76461
-5EB2A,-5EA8F,-5EC5E
-767F4,-765E7,-7658E
-5EC25,-5EC15,-5EC47
-764FF,-7650B,-76682
-5EAED,-5E9A2,-5EA3A
-7636D,-76497,-7626C
-5EA9E,-5EA06,-5E93A
-764BA,-764FA,-76567
-5EAFD,-5EAC5,-5EA85
-764B9,-764B0,-7658D
-5E9EC,-5EA4E,-5E80B
-7658E,-76613,-7643B
-5EB01,-5E983,-5EA6D
-7639D,-76410,-76604
-5E99D,-5EB19,-5EA66
-7644D,-76368,-76515
-5E9CD,-5EA7B,-5E9BE
-7648C,-761EB,-7643C
-5E896,-5E8C3,-5EB1B
-762EF,-763CF,-76335
-5E955,-5E818,-5E884
-76315,-763D1,-76288
-5EA73,-5EBB4,-5EA0F
-7660C,-76578,-764FA
-5E96B,-5E957,-5EA5C
-76366,-7639B,-7628A
-5E7D0,-5E592,-5E725
-7617E,-76207,-76255
-5E8CB,-5E820,-5E7DF
-763A1,-76151,-761BF
-5E6D4,-5E7B2,-5E7F5
-7622F,-761DA,-76464
-5E6C5,-5E6A6,-5E76E
-75FFB,-76196,-7606D
-5E5CE,-5E4F3,-5E784
-762C9,-761BC,-76203
-5E5D4,-5E5D0,-5E825
-76175,-76240,-7625E
-5E9A3,-5E874,-5E84D
-7639B,-76268,-76309
-5E6B9,-5E831,-5E600
-762AF,-76192,-76040
-5E5E0,-5E69C,-5E5A4
-762FB,-761F9,-7611C
-5E817,-5E6B7,-5E714
-760DA,-760E9,-762AC
-5E69D,-5E613,-5E5B5
-75FED,-76265,-761D7
-5E6AB,-5E7D0,-5E76D
-75F5D,-7616A,-7618A
-5E62A,-5E799,-5E726
-76203,-7618C,-762AD
