{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-14E887,-14E89C,-14E723
-16627B,-1661A1,-16630F
-14E840,-14E8BF,-14E929
-166233,-166333,-1662F6
-14E84E,-14E833,-14E7ED
-1661A2,-16629F,-16649F
-14E842,-14E7B3,-14E700
-1663FA,-166390,-1663BE
-14E800,-14E8A3,-14E912
-166287,-1661AF,-1663AB
-14E865,-14E880,-14E85B
-16628F,-166324,-1664B4
-14E87D,-14E7E8,-14E990
-166384,-166290,-16653A
-14E9D3,-14E7D7,-14E9B1
-16629A,-16632A,-166349
-14E955,-14E8BC,-14E5C8
-1661F2,-1663BA,-166394
-14E797,-14E81A,-14E6E8
-1663EC,-166230,-166416
-14E8C0,-14E8B3,-14E6D4
-1663F6,-166299,-16640D
-14E8F1,-14E714,-14E727
-166552,-166315,-166354
-14EA38,-14EAC2,-14E982
-16652B,-166385,-166443
-14E974,-14EAE7,-14E90B
-1664DF,-166484,-16629F
-14E820,-14E9D3,-14E965
-166449,-1663A2,-166439
-14E8FB,-14E9B5,-14E814
-166300,-166472,-16656B
-14EA09,-14EAD7,-14E9DA
-166319,-166389,-166531
-14E70A,-14E99F,-14EA6B
-16655A,-1662C0,-16638F
-14E95C,-14E9F5,-14EB04
-1664AF,-166437,-1665E0
-14E9D5,-14EA15,-14EB07
-166582,-166569,-166682
-14EC3A,-14EAE6,-14ECC0
-1664A1,-166472,-16664A
-14EAA3,-14E8B5,-14E824
-166517,-166561,-166607
-14EC04,-14EC18,-14EACE
-1665C4,-166613,-1662ED
-14EAB0,-14E9FB,-14E822
-166394,-16661C,-16651B
-14E9B9,-14E94F,-14E897
-16629D,-1663B2,-1664C4
-14EAAA,-14E913,-14E871
-166486,-16642F,-166485
-14EB87,-14EB1A,-14E9AA
-16659A,-1665F0,-16639B
-14E936,-14E99D,-14E95A
-16642F,-1665A8,-1664D6
-14EBDD,-14E9F6,-14EAE8
-16648E,-166461,-1665C3
-14EBA6,-14EA8B,-14EA6A
-166517,-166798,-1666CA
-14EAAB,-14EB54,-14E9B0
-16656D,-1667BA,-166758
-14EAD0,-14EC77,-14EB04
-166462,-1665D0,-16655A
-14E990,-14EA9C,-14E923
-1663CC,-166599,-166525
-14E913,-14E949,-14E993
-166327,-1665C0,-16659B
-14E910,-14EAA5,-14E873
-1663A5,-1663FB,-166328
-14FAFF,-14FD5F,-14FC12
-165B0D,-165CE9,-165CC0
-14E1AD,-14E166,-14E11E
-165B00,-165CA0,-165AD5
-14E0A0,-14DF5C,-14E05B
-165A2D,-165C3E,-165A6B
-14E069,-14E0E1,-14DFCC
-165BC8,-165A98,-165C2D
-14E153,-14E0FC,-14DF17
-165AB8,-1658D6,-165A8F
-14E08E,-14E01D,-14E0FB
-1659FC,-165BC1,-165D5B
-14E0CA,-14E10F,-14DFFC
-165B26,-165B3E,-165BB6
-14E2AA,-14E1AF,-14E0EB
-165ADE,-165C0B,-165AD3
-14DFF8,-14DFD3,-14E1C0
-165D21,-165B29,-165BFF
-14E21E,-14E2D9,-14E224
-165CE2,-165ACB,-165C00
-14E23F,-14E37C,-14E1AC
-165C59,-165B91,-165C8C
-14E092,-14E2CC,-14E249
-165CC9,-165C71,-165DCE
-14E1BB,-14E0A7,-14E2D3
-165DD8,-165A5A,-165ABA
-14DFDC,-14E190,-14DFB6
-165AB3,-165AC9,-165AC0
-14E08B,-14E017,-14DFF8
-165A69,-165B1F,-165AFE
-14E011,-14E044,-14DFF6
-165B15,-165B62,-165C7B
-14E16D,-14E38D,-14E1B4
-165ADC,-165D9F,-165C51
-14E3B3,-14E177,-14E36C
-165A93,-165C1F,-165B46
-14E162,-14E192,-14E230
-165D1B,-165CFC,-165E15
-14E28E,-14E124,-14E1DF
-165D08,-165D28,-165CAC
-14E008,-14E220,-14E1DB
-165960,-165C4C,-165CBA
-14E14D,-14E13F,-14E242
-165C92,-165E5E,-165C68
-14E262,-14E209,-14E1F1
-165C1D,-165C9E,-165C60
-14E077,-14E129,-14E2AF
-165BB7,-165BA3,-165B77
-14E0A6,-14E1EF,-14E053
-165CCC,-165E3B,-165BCF
-14E256,-14E1DC,-14E23D
-165B6D,-165B72,-165C97
-14E295,-14E333,-14E21A
-165CFE,-165CF0,-165E21
-14E345,-14E3E5,-14E326
-165C94,-165DD5,-165E53
-14E2F5,-14E245,-14E21D
-165CB3,-165B4E,-165CFD
-14E18A,-14E1B0,-14E136
-165DBA,-165D44,-165E7E
-14E10E,-14E27F,-14E031
-165B8A,-165B88,-165BF2
-14E1A2,-14E0A8,-14E2CD
-165A91,-165B26,-165BED
-14E028,-14E148,-14E148
-165B72,-165CBF,-165DF1
-14E28C,-14E20D,-14E4AD
-165E6F,-165D9F,-165DE0
-14E204,-14E2F9,-14E316
-165D1B,-165EB2,-165E93
-14E47A,-14E292,-14E172
-165B74,-165C88,-165DCA
-14E1E7,-14E2A6,-14E386
-165C39,-165D00,-165C88
-14E2CF,-14E385,-14E38A
-165CC9,-165D1D,-165C4E
-14E2B1,-14E22E,-14E39D
-165C63,-165CE1,-165C29
-14E2CC,-14E221,-14E2A1
-165EAC,-165EB4,-165AE3
-14E13B,-14E2FF,-14E180
-165D1B,-165C6E,-165E1C
-14E39C,-14E359,-14E4E2
-165DA2,-165DFF,-165E38
-14E422,-14E387,-14E2D8
-165CC2,-165EE7,-165DE6
-14E4C9,-14E58B,-14E26C
-165C08,-165D86,-165F51
-14E4D1,-14E520,-14E409
-165E26,-165D2A,-165E96
-14E329,-14E4A2,-14E463
-165E60,-165F6F,-165E1B
-14E3F4,-14E3E6,-14E3D4
-165D25,-165CAF,-165C1B
-14E52C,-14E40D,-14E490
-165DF4,-165E2A,-165FAC
-14E6FD,-14E3E2,-14E4EA
-165DC6,-165F50,-165FAC
-14E64E,-14E481,-14E3D3
-165D18,-165F0F,-165E85
-14E412,-14E38D,-14E37C
-165F06,-165F97,-165F4C
-14E3A9,-14E51D,-14E522
-165FE6,-165FC2,-165EAC
-14E484,-14E46A,-14E479
-165FED,-16608B,-165E21
-14E4DD,-14E2DF,-14E3B6
-165D19,-165F19,-165F4F
-14E518,-14E56B,-14E393
-165EFB,-165E51,-165F13
-14E469,-14E4EF,-14E419
-165DE7,-165E40,-165E3C
-14E440,-14E0F3,-14E470
-165E8C,-165FB0,-165E0B
-14E534,-14E446,-14E53B
-16602B,-165FF3,-165E76
-14E47B,-14E4C9,-14E4F4
-165ECA,-165E3C,-165F39
-14E438,-14E4B4,-14E412
-165EF1,-165FF8,-165EC4
-14E61C,-14E501,-14E31E
-165BF0,-165E84,-165E75
-14E4B1,-14E4E6,-14E3C9
-165DB4,-165D21,-16609C
-14E610,-14E5A0,-14E4BE
-165E7B,-166045,-166045
-14E55C,-14E480,-14E519
-16606A,-165F06,-165E61
-14ED8E,-14EE3E,-14EE16
-165957,-165BFD,-165BF0
-14E01D,-14E0B6,-14E1C9
-165BB2,-165C16,-165B0B
-14DF7E,-14E118,-14E11D
-1659DF,-165B64,-165B08
-14E1D5,-14E19B,-14E16D
-165B5A,-165C0F,-165B97
