{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1CF15E,-1CF19F,-1CF2E5
-1E6AFB,-1E6BAD,-1E6C27
-1CF277,-1CF074,-1CF243
-1E6D37,-1E6D88,-1E6FAB
-1CF207,-1CF0DA,-1CF2A2
-1E6BD8,-1E6D59,-1E6BE4
-1CF1C1,-1CF26C,-1CF1FB
-1E6BC3,-1E6D03,-1E6D7A
-1CF191,-1CF23E,-1CF371
-1E6F73,-1E6E43,-1E6E55
-1CF41D,-1CF3E2,-1CF265
-1E6E14,-1E6EAF,-1E6D2B
-1CF4DE,-1CF2BB,-1CF2A2
-1E6F27,-1E6DC8,-1E6E4A
-1CF531,-1CF388,-1CF287
-1E6E6A,-1E6D64,-1E6D25
-1CF38E,-1CF160,-1CF33B
-1E69C0,-1E6B9F,-1E6C0D
-1CF272,-1CF31E,-1CF32B
-1E6C63,-1E6BB6,-1E6F53
-1CF371,-1CF3D0,-1CF2D4
-1E6C8D,-1E6D48,-1E6D50
-1CF2ED,-1CF2AC,-1CF45A
-1E6D88,-1E6E88,-1E6E6C
-1CF2FE,-1CF128,-1CF108
-1E6E41,-1E6D41,-1E6DA5
-1CF1C5,-1CF2A2,-1CF359
-1E6D9F,-1E6D4C,-1E6F56
-1CF32D,-1CF3E4,-1CF2F8
-1E6E39,-1E6F4D,-1E6F70
-1CF48A,-1CF4A4,-1CF427
-1E6CBB,-1E6E42,-1E6DB1
-1CF137,-1CF387,-1CF145
-1E6DE3,-1E6DBA,-1E6EC8
-1CF4F6,-1CF277,-1CF2B6
-1E6CE5,-1E6EB7,-1E6DAD
-1CF2FD,-1CF434,-1CF491
-1E6F27,-1E6F04,-1E6EAE
-1CF463,-1CF572,-1CF43D
-1E6D91,-1E6F19,-1E6DE4
-1CF203,-1CF461,-1CF316
-1E6E73,-1E6EED,-1E6F70
-1CF4AC,-1CF3B2,-1CF592
-1E6DFB,-1E6F7E,-1E6E50
-1CF396,-1CF3B8,-1CF3F0
-1E6D4F,-1E6EF3,-1E6FD5
-1CF4FB,-1CF684,-1CF503
-1E7025,-1E707A,-1E6E52
-1CF337,-1CF2DC,-1CF4C9
-1E70A3,-1E7049,-1E6F69
-1CF6E4,-1CF824,-1CF957
-1E728A,-1E723C,-1E7201
-1CF8B0,-1CF75A,-1CF7EA
-1E71B5,-1E7235,-1E7177
-1CF869,-1CF857,-1CF829
-1E7268,-1E7418,-1E71E9
-1CF832,-1CF756,-1CF873
-1E7300,-1E7115,-1E72AC
-1CF968,-1CFA77,-1CF8A7
-1E72BC,-1E7401,-1E7205
-1CF840,-1CF719,-1CF690
-1E7050,-1E7233,-1E7267
-1CF84C,-1CF85A,-1CF7B2
-1E71B0,-1E73C1,-1E71B7
-1CF76E,-1CF720,-1CF8AE
-1E711A,-1E748C,-1E71AD
-1CF95F,-1CF8D0,-1CF7E4
-1E72FB,-1E719E,-1E72BD
-1CF853,-1CF7A4,-1CF77D
-1E730C,-1E72C2,-1E71EB
-1CF89E,-1CF974,-1CF911
-1E72EF,-1E73AE,-1E736F
-1CF868,-1CF9EC,-1CF888
-1E7332,-1E742F,-1E7238
-1CFA6F,-1CF91A,-1CFA63
-1E732D,-1E7442,-1E736E
-1CF86B,-1CF8F7,-1CF94F
-1E74B3,-1E73D0,-1E7283
-1CF7D1,-1CF99A,-1CFA18
-1E73C0,-1E7558,-1E72C5
-1CF967,-1CF7CC,-1CF88D
-1E70BF,-1E70FB,-1E71D5
-1CF7E9,-1CF869,-1CF662
-1E70C7,-1E7072,-1E7042
-1CF97F,-1CF677,-1CF74F
-1E7216,-1E7317,-1E6EED
-1CF893,-1CF9E4,-1CF72C
-1E728E,-1E74AD,-1E7121
-1CF73F,-1CF71A,-1CF795
-1E71FC,-1E7305,-1E7288
-1CF8AB,-1CF834,-1CF7B5
-1E707C,-1E71EB,-1E7159
-1CF839,-1CF717,-1CF7C2
-1E70F2,-1E72CF,-1E7335
-1CF847,-1CF833,-1CF88B
-1E73F4,-1E7173,-1E7279
-1CF889,-1CF795,-1CF6F1
-1E7226,-1E7191,-1E712D
-1CFAC9,-1CF6FE,-1CF7B6
-1E738B,-1E744E,-1E71E0
-1CF7E7,-1CF883,-1CF819
-1E729D,-1E7273,-1E7272
-1CF7CC,-1CFA6A,-1CF901
-1E726A,-1E7388,-1E711C
-1CF76A,-1CF815,-1CF938
-1E73B0,-1E7214,-1E72E4
-1CF8E2,-1CF733,-1CF5DD
-1E71C6,-1E7264,-1E734A
-1CF928,-1CF7A3,-1CF6DA
-1E72A4,-1E7597,-1E731C
-1CFAE5,-1CFA42,-1CF921
-1E757B,-1E74FF,-1E73F7
-1D0788,-1D05BA,-1D07ED
-1E7170,-1E6ED6,-1E6F60
-1CF85B,-1CF5AC,-1CF83D
-1E6FE0,-1E6F51,-1E6FAC
-1CF86B,-1CF6CD,-1CF44B
-1E710F,-1E723B,-1E6FA5
-1CF6BB,-1CF67B,-1CF615
-1E7206,-1E719D,-1E7161
-1CF747,-1CF65F,-1CF6EE
-1E71A9,-1E6F58,-1E7222
-1CF6A3,-1CF600,-1CF7B9
-1E71BF,-1E71DF,-1E7072
-1CF6F9,-1CF6B2,-1CF4BB
-1E71B3,-1E70D3,-1E70CB
-1CF8BC,-1CF801,-1CF8DA
-1E7084,-1E72C3,-1E725A
-1CF626,-1CF74D,-1CF704
-1E710C,-1E70CD,-1E70E9
-1CF5BD,-1CF656,-1CF667
-1E7172,-1E7189,-1E7226
-1CF76B,-1CF81D,-1CF6E2
-1E7296,-1E71FD,-1E71CF
-1CF88D,-1CF6E8,-1CF77B
-1E71CA,-1E6FB5,-1E72A7
-1CF607,-1CF68F,-1CF62C
-1E718D,-1E7040,-1E71BF
-1CF77B,-1CF856,-1CF8D8
-1E726E,-1E7238,-1E7396
-1CFA23,-1CF83F,-1CF845
-1E728C,-1E7252,-1E7355
-1CF8BE,-1CF7AB,-1CF789
-1E7198,-1E7386,-1E7285
-1CF8EF,-1CF92F,-1CF90D
-1E70D7,-1E70E4,-1E7055
-1CF683,-1CF810,-1CF794
-1E7163,-1E702F,-1E6FD9
-1CF77A,-1CF76A,-1CF6AC
-1E7161,-1E714E,-1E703A
-1CF7EA,-1CF943,-1CF759
-1E7132,-1E7003,-1E7147
-1CF85A,-1CF66E,-1CF6D5
-1E7003,-1E7222,-1E7023
-1CF61A,-1CF726,-1CF72E
-1E7157,-1E6F5B,-1E719B
-1CF8BE,-1CF53F,-1CF6DC
-1E71C9,-1E7152,-1E6FBE
-1CF82A,-1CF657,-1CF6EA
-1E7085,-1E7294,-1E718D
-1CF7FD,-1CF7A1,-1CF59D
-1E7132,-1E7088,-1E714D
-1CF712,-1CF662,-1CF63C
-1E7364,-1E6F92,-1E718D
-1CF5AB,-1CF746,-1CF61F
-1E7331,-1E717D,-1E72B8
-1CF94C,-1CF696,-1CF730
-1E7215,-1E71A8,-1E7284
-1CFA36,-1CF8AC,-1CF83F
-1E71E4,-1E72BB,-1E73D4
-1CF8E0,-1CF82A,-1CF977
-1E72B3,-1E7188,-1E7331
-1CF7F1,-1CF8AB,-1CF79F
-1E7096,-1E738A,-1E7200
-1CF801,-1CF785,-1CFA35
-1E72F1,-1E7513,-1E732E
-1CF8B1,-1CF96B,-1CF983
-1E746B,-1E7683,-1E74BD
-1CF962,-1CFA83,-1CFBD4
-1E7377,-1E7549,-1E75F1
-1CFB82,-1CF9FA,-1CF9BF
-1E75FD,-1E742C,-1E74D8
-1CFB30,-1CFA69,-1CFACE
-1E7396,-1E75C9,-1E7687
-1CFAF2,-1CFA68,-1CFAEC
-1E746B,-1E75FA,-1E742E
-1CFAAC,-1CFA29,-1CFAE2
-1E76A5,-1E773E,-1E75D9
-1CFB70,-1CFB1A,-1CFB54
-1E759E,-1E75C6,-1E75CA
-1CFC63,-1CFC90,-1CFBE7
-1E7555,-1E76C9,-1E7741
-1CFB6F,-1CFA7C,-1CFBC0
-1E7573,-1E7313,-1E768E
-1CFAA6,-1CFAD4,-1CFC23
-1E7670,-1E7521,-1E7618
-1CFB95,-1CFBC0,-1CFD57
-1E7531,-1E767F,-1E7465
-1CFB4E,-1CFBCF,-1CFCC4
-1E76BF,-1E76FD,-1E780A
-1CFD48,-1CFABE,-1CFD90
-1E7655,-1E74E6,-1E7554
-1CFE96,-1CFC95,-1CFC3F
-1E77F2,-1E7640,-1E76E3
-1CFC0D,-1CFD49,-1CFCD4
-1E7671,-1E7795,-1E7887
-1CFBAA,-1CFDDB,-1CFD6D
-1E77BF,-1E7870,-1E789E
-1CFDC3,-1CFD73,-1CFC42
-1E7445,-1E73DF,-1E74C1
-1CFB9F,-1CFB4B,-1CFCC5
-1E74EE,-1E767D,-1E758D
-1CFA03,-1CFB1A,-1CFB8C
-1E74B2,-1E758D,-1E7666
-1CFB7B,-1CFC55,-1CFB70
-1E7760,-1E767A,-1E7630
-1CFBE5,-1CFBAF,-1CFCAD
-1E765E,-1E7632,-1E77A1
-1CFB07,-1CFBE9,-1CFC11
-1E749C,-1E7578,-1E7503
-1CFBCB,-1CFB55,-1CFA65
-1E7598,-1E7767,-1E7733
-1CFCC8,-1CFB80,-1CFC92
-1E76E6,-1E75EC,-1E769C
-1CFCF4,-1CFD02,-1CFAF6
-1E766A,-1E75B3,-1E76B8
-1CFD9E,-1CFBA9,-1CFA12
-1E7593,-1E7545,-1E7521
-1CFC18,-1CFBCD,-1CFC25
-1E7733,-1E771E,-1E75D9
-1CFCBF,-1CFE1A,-1CFC98
-1E779E,-1E785E,-1E782C
-1CFDA4,-1CFB25,-1CFC65
-1E761F,-1E7633,-1E75F9
-1CFD0E,-1CFC7C,-1CFDAF
-1E77C4,-1E7991,-1E766C
-1CFE2A,-1CFC10,-1CFCF5
-1E785A,-1E76E6,-1E778C
-1CFD84,-1CFE54,-1CFE4C
-1E7679,-1E77A8,-1E760A
-1D0142,-1CFF35,-1D0122
-1E7130,-1E70F3,-1E707C
-1CF801,-1CF6E0,-1CF828
-1E706C,-1E71DF,-1E70AF
-1CF7DD,-1CF6CA,-1CF7BB
-1E72A4,-1E7352,-1E7073
-1CF969,-1CF8D9,-1CF757
-1E736A,-1E743D,-1E754F
-1CF8BD,-1CF968,-1CF86A
-1E72E0,-1E72F7,-1E73C0
-1CFA25,-1CF7ED,-1CF92A
-1E73A1,-1E730C,-1E73A1
-1CFAA7,-1CF8D1,-1CF8A6
-1E7152,-1E72A4,-1E7465
-1CF9BF,-1CF838,-1CFAB1
-1E746A,-1E72CD,-1E746A
-1CF626,-1CF9DB,-1CF884
-1E7202,-1E714A,-1E7398
-1CF973,-1CF95A,-1CF869
-1E74AF,-1E72BB,-1E7291
-1CF99B,-1CF8B0,-1CF995
-1E727E,-1E73D5,-1E7244
-1CF991,-1CF8B9,-1CF76F
-1E73F1,-1E7472,-1E72E6
-1CFA09,-1CF913,-1CF899
-1E744C,-1E749C,-1E7479
-1CFAC2,-1CF93F,-1CF954
-1E7452,-1E745E,-1E7476
-1CFCD4,-1CFA84,-1CFA7F
-1E7465,-1E75D5,-1E761A
-1CFB0C,-1CF9B7,-1CF9BD
-1E75F4,-1E741F,-1E7768
-1CFA4B,-1CFA08,-1CF988
-1E7341,-1E7283,-1E73A2
-1CF7CB,-1CF6A4,-1CF920
-1E70A3,-1E71FB,-1E7225
-1CF80A,-1CF8F1,-1CF86A
-1E73BB,-1E73F0,-1E73E5
-1CFA85,-1CF774,-1CF9A4
-1E72ED,-1E7392,-1E728D
-1CF889,-1CF918,-1CF8E9
-1E7233,-1E73B2,-1E7487
-1CF8A8,-1CFA9E,-1CF96A
-1E742F,-1E744A,-1E72B9
-1CF769,-1CF98D,-1CF817
-1E73A3,-1E73B8,-1E751B
-1CFAB4,-1CF90C,-1CF992
-1E736D,-1E746C,-1E74DF
-1CF7C3,-1CF89F,-1CF827
-1E7218,-1E7210,-1E743F
-1CF83F,-1CF889,-1CF808
-1E71AC,-1E730B,-1E72B3
-1CFA70,-1CF9D2,-1CF9C7
-1E7542,-1E73B3,-1E73DD
-1CF9AC,-1CFAAF,-1CF8C5
-1E75AA,-1E733F,-1E74D1
-1CFA43,-1CFAA4,-1CFB43
-1E7504,-1E744D,-1E74CD
-1CF99C,-1CFB58,-1CF960
-1E7383,-1E7488,-1E758C
-1CFA7C,-1CF961,-1CFB38
-1E73F5,-1E7657,-1E742D
-1CFA8D,-1CFA68,-1CFB09
-1E745C,-1E76D6,-1E76CC
-1CFAA7,-1CFBC2,-1CFB19
-1E759E,-1E7713,-1E7849
-1CFCED,-1CFD4B,-1CFD48
-1E77DC,-1E787A,-1E7905
-1CFC7C,-1CFC2E,-1CFDD6
-1E76B9,-1E7801,-1E7893
-1CFDD9,-1CFE8F,-1CFDB5
-1E7904,-1E78C3,-1E7978
-1CFED5,-1CFCFD,-1CFD96
-1E7796,-1E76AD,-1E78F5
-1CFCD6,-1CFDAC,-1CFD89
-1E77C5,-1E7610,-1E77C3
-1D0085,-1CFCA2,-1CFE64
-1E77A4,-1E7769,-1E7906
-1CFF1B,-1CFED0,-1CFF74
-1E789B,-1E7723,-1E77E9
-1CFC9D,-1CFCCA,-1CFCC4
-1E77BA,-1E78BE,-1E776E
-1CFDAF,-1CFD38,-1CFF55
-1E7A5C,-1E7707,-1E78CF
-1D006A,-1CFE31,-1CFF8F
-1E77F7,-1E79E6,-1E790F
-1CFF75,-1CFF4A,-1D00C8
-1E79FF,-1E79FC,-1E7AE7
-1CFD7E,-1CFFC8,-1D00BB
-1E7AA3,-1E7AC3,-1E7A08
-1D00D4,-1CFF52,-1D0038
-1E78FF,-1E79C6,-1E790D
-1D0099,-1D001F,-1D00B5
-1E788E,-1E7B86,-1E7B78
-1CFF77,-1D00B5,-1D00FC
-1E7A28,-1E7861,-1E7987
-1CFE26,-1CFE0D,-1D0103
-1E788B,-1E77DF,-1E798E
-1CFCFD,-1CFBEE,-1CFBFA
-1E7733,-1E78FD,-1E77E0
-1CFCEE,-1CFD35,-1CFDEF
-1E767C,-1E7750,-1E769F
-1CFF1A,-1CFDFD,-1CFDD8
-1E77B1,-1E760B,-1E794A
-1CFDEF,-1CFD24,-1CFC7E
-1E77E4,-1E78FA,-1E7765
-1CFE97,-1CFE2B,-1CFE7E
-1E78BE,-1E7812,-1E78FA
-1CFE80,-1CFE75,-1CFF65
-1E77AD,-1E7913,-1E790A
-1CFEE6,-1CFF62,-1CFE8D
-1E76FB,-1E7785,-1E7912
-1CFC43,-1CFD00,-1CFDBC
-1E7959,-1E7893,-1E78C9
-1CFDF5,-1CFEF6,-1CFD24
-1E7830,-1E7AD0,-1E77C0
-1CFBF8,-1CFE49,-1CFD66
-1E78C2,-1E7997,-1E78E7
-1CFF39,-1CFFD1,-1CFEBC
-1E7823,-1E78B6,-1E7881
-1CFE7F,-1CFFA2,-1CFE27
-1E7878,-1E7919,-1E7957
-1CFF6B,-1D0002,-1D00FD
-1E792A,-1E7AE7,-1E7A26
-1D0066,-1D0065,-1D00ED
-1E7B35,-1E7B98,-1E7B05
-1D0214,-1CFFFA,-1D00D7
-1E7B73,-1E7A94,-1E7C16
-1CF38B,-1CF494,-1CF33B
-1E68C4,-1E68C9,-1E69EF
-1CF0BF,-1CF07F,-1CEF29
-1E694A,-1E6A14,-1E6912
-1CEE85,-1CEEB2,-1CEE8A
-1E698B,-1E6A5C,-1E6918
-1CEF5F,-1CF036,-1CEFE9
-1E695E,-1E695C,-1E69A5
-1CEF44,-1CEFED,-1CEF7D
-1E69A6,-1E69D7,-1E6B63
-1CF1EB,-1CF083,-1CF0AF
-1E69FD,-1E6A2D,-1E6B0E
-1CEF87,-1CEEBB,-1CF019
-1E6A76,-1E6A09,-1E6964
-1CEEF6,-1CEE2B,-1CF03F
-1E69A1,-1E68E1,-1E6A08
-1CEF8C,-1CF05E,-1CEEC7
-1E69B5,-1E6821,-1E6A5A
-1CF09C,-1CF0B2,-1CEFF2
-1E6A0B,-1E6B07,-1E6A5F
-1CEF3B,-1CF036,-1CF0A7
-1E69C6,-1E6C19,-1E6A5F
-1CEE70,-1CEE69,-1CF132
-1E6B8F,-1E6B7F,-1E6B91
-1CF11B,-1CEFF2,-1CEFC4
-1E6B3F,-1E6CAB,-1E6BD0
-1CEFD7,-1CEF4D,-1CEE80
-1E6B4A,-1E6A37,-1E6BA2
-1CEF46,-1CF176,-1CF03B
-1E6A18,-1E6A10,-1E6C62
-1CEFA9,-1CF09B,-1CF00D
-1E6980,-1E6BB2,-1E69F7
-1CF136,-1CF01A,-1CF113
-1E6763,-1E680A,-1E6905
-1CECD0,-1CEEF6,-1CEFDD
-1E67D7,-1E66DD,-1E673C
-1CED6F,-1CEDAD,-1CEDA7
-1E698D,-1E6A1F,-1E68EC
-1CF0A5,-1CF02F,-1CF1F9
-1E6AD6,-1E6B53,-1E6A16
