{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-E1728,-E1807,-E177F
-F918C,-F92D3,-F93D5
-E1688,-E199B,-E16CC
-F9170,-F918A,-F92B9
-E1746,-E1687,-E16B0
-F91F1,-F9106,-F900A
-E16E4,-E1622,-E152D
-F9090,-F8FF3,-F900B
-E149D,-E1633,-E169A
-F91CC,-F90FC,-F937E
-E1679,-E189F,-E15C2
-F9389,-F90E9,-F90F0
-E1628,-E155C,-E1627
-F9090,-F9044,-F90F7
-E158A,-E15E9,-E157A
-F90B2,-F91D0,-F904C
-E14CA,-E1524,-E15DB
-F913A,-F918E,-F90A3
-E1764,-E17A0,-E1539
-F910E,-F9051,-F8FEC
-E1696,-E16A7,-E1869
-F91F8,-F9311,-F9306
-E17C2,-E1773,-E1816
-F92C8,-F929D,-F9320
-E17E7,-E1752,-E184F
-F928F,-F9312,-F92F9
-E18EE,-E1A7B,-E19E8
-F927F,-F9404,-F9354
-E193D,-E17C7,-E196C
-F925C,-F92F6,-F913F
-E1746,-E1A01,-E1732
-F92C4,-F93F1,-F9463
-E18BD,-E187E,-E1A41
-F94AE,-F9424,-F9448
-E1917,-E1885,-E18CA
-F92C2,-F9359,-F926B
-E1674,-E1724,-E15CE
-F91C9,-F9349,-F9314
-E160E,-E1904,-E18D3
-F9328,-F91DD,-F93DF
-E19A8,-E16E9,-E190C
-F9195,-F9143,-F9210
-E1872,-E1954,-E17DD
-F91D5,-F9392,-F933E
-E174D,-E1733,-E16B1
-F935C,-F930C,-F920E
-E16E7,-E17B9,-E15B8
-F90C0,-F9012,-F9065
-E1698,-E169D,-E1640
-F917A,-F924A,-F91B8
-E1619,-E1658,-E1851
-F9149,-F9170,-F9248
-E15F5,-E16BB,-E175B
-F903F,-F924C,-F9117
-E166E,-E15A8,-E17EC
-F9070,-F90F0,-F8EFA
-E1726,-E1722,-E146B
-F8EA9,-F9145,-F91C1
-E153D,-E14A0,-E15EB
-F8EAF,-F9028,-F906C
-E13CA,-E13A4,-E1634
-F8E7E,-F8F14,-F8F7F
-E1632,-E156C,-E165B
-F8FAA,-F90E2,-F8ECD
-E1660,-E1498,-E155C
-F9003,-F8FAB,-F8E97
-E14F8,-E13B8,-E13C6
-F8EAD,-F8F7F,-F8F37
