{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A0DD1,-A0E84,-A0CD7
-89087,-890BD,-890EE
-A0C8E,-A0C5A,-A0BCB
-8912F,-89209,-8915B
-A0B5A,-A0B5D,-A0A80
-89161,-89089,-8908F
-A09D8,-A0B9A,-A0A8D
-88F00,-891DC,-89084
-A0C7A,-A0B9F,-A0C6A
-89035,-88FD8,-89171
-A0B8C,-A0B8D,-A0A17
-8908B,-88FD2,-891F4
-A0A4B,-A0AF3,-A0B3F
-890BF,-88E10,-88EDF
-A0BF0,-A0AB3,-A0A48
-89006,-8901F,-88FE0
-A0A2D,-A0AB9,-A0A45
-89165,-88FD3,-8900C
-A0B51,-A0BA3,-A0B1E
-89336,-891B7,-890D0
-A0D37,-A0B19,-A0B75
-890B5,-8926F,-89338
-A0C8F,-A0B1A,-A0BCC
-89119,-891B5,-8909E
-A0994,-A0BB1,-A0AE9
-891A2,-88F40,-89086
-A0B35,-A0A51,-A09DB
-8928E,-88F8C,-88EFC
-A0A54,-A099E,-A0C20
-88F0C,-88FB4,-88FFB
-A0A9D,-A0CD5,-A0B47
-890FE,-88F26,-88F47
-A0A72,-A0A6E,-A09F9
-89085,-892E6,-89162
-A0C9E,-A0B4C,-A0B42
-8927B,-891C0,-8914A
-A0AB6,-A0A19,-A0BFD
-8917D,-89071,-8923A
-A0C00,-A0CAE,-A0A1F
-88F0E,-8904A,-891F1
-A086A,-A0B00,-A09F0
-8924F,-890F1,-88F54
-A0AA3,-A0B16,-A08F9
-890A5,-89095,-88F0C
-A09DF,-A0940,-A09C4
-88F48,-88DB1,-88F4C
-A0B88,-A0B8A,-A0904
-88EB9,-88EC0,-88E79
-A0AD9,-A0A01,-A07A9
-88EF9,-88F92,-88EA6
-A0B2B,-A0B8C,-A0B2A
-8906A,-88FDC,-88FBB
-A0ACB,-A0C81,-A0C00
-891D3,-88FC4,-88FA0
-A0AE8,-A0AF6,-A0CC8
-8918B,-88F25,-88EC8
-A0A98,-A084E,-A09EA
-8905A,-88F73,-88EFB
-A0886,-A0A85,-A0B90
-89055,-88E30,-88F8B
-A09C3,-A0A10,-A0988
-88FB6,-8900B,-89022
-A0AB7,-A0A24,-A0A20
-8907B,-88F46,-88D36
-A09E0,-A0A9B,-A09EE
-8A3EE,-8A469,-8A496
-A0CEC,-A0B66,-A0B95
-8924F,-89157,-89234
-A0B3A,-A0C2B,-A0AAC
-89146,-8916F,-890EF
-A0B53,-A0B58,-A0BD7
-891A8,-89255,-88F9C
-A0A49,-A09A3,-A0CDF
-89051,-891E2,-890D8
-A0B71,-A0E14,-A0AFC
-89131,-892C1,-8938D
-A0BA4,-A0B30,-A09D0
-89134,-89062,-890FA
-A0A54,-A0B20,-A0CC3
-890D7,-891B3,-891E4
-A0C63,-A0C02,-A0B2D
-89043,-89099,-8924A
-A0C42,-A0E75,-A0C45
-88F68,-89014,-89158
-A0BD8,-A0C8B,-A0B29
-88FB4,-892D7,-89013
-A0CC9,-A0CBF,-A0B92
-8915B,-891EF,-891CB
-A0C37,-A0B73,-A0AD3
-89089,-88F7A,-891C0
-A0AFC,-A0D41,-A0C3F
-88F9B,-891F6,-890F6
-A0C3E,-A0B6B,-A0C81
-88F1E,-89143,-8908D
-A0B78,-A09F8,-A0AF1
-891B4,-88FF3,-891EE
-A0AD8,-A0B14,-A0BA3
-8903F,-891D9,-8906F
-A0CBF,-A0BCD,-A0E25
-89376,-892E3,-891F6
-A0AF6,-A0BC4,-A0BD7
-891F5,-891A8,-89346
-A0A4C,-A0BF1,-A0B77
-891AA,-89254,-8917C
-A0B8C,-A0C7F,-A0D03
-89282,-89133,-891C7
-A0B79,-A0DAE,-A0AC4
-8913F,-890AF,-88F36
-A0ACF,-A0CE5,-A0C60
-8925E,-8913A,-89266
-A0E1A,-A0B4F,-A0CC0
-8914F,-8917D,-89109
-A0CA1,-A0C59,-A0C97
-89219,-890B7,-89102
-A0BF2,-A0B0D,-A0C1E
-89257,-89248,-891E8
-A0B9C,-A0B32,-A0BF5
-89084,-89241,-88FD0
-A0BCC,-A0CB5,-A0C83
-89297,-89282,-89135
-A0CE7,-A0B22,-A0A1C
-891E0,-88F24,-890F8
-A0C00,-A0B24,-A0A4A
-89086,-89132,-891F8
-A0C61,-A0C84,-A0B64
-88F9F,-891C2,-8910A
-A0BD3,-A0B86,-A0A7D
-89190,-891B3,-890EC
-A0B4D,-A0B40,-A092D
-88FBE,-88E6D,-88EB2
-A0AD1,-A0B01,-A0A82
-88ECF,-88F6A,-88E11
-A08B0,-A0AC0,-A0A65
-88ED7,-88E4E,-88EC6
-A0ADF,-A0989,-A08D4
-88D94,-88EDB,-89078
-A0825,-A09F4,-A0A05
-88F11,-89010,-890F6
-A081E,-A095D,-A08C1
-88FEF,-88EBA,-88FE4
-A09DA,-A08B8,-A0980
-88ED5,-88EBF,-88BC8
-A09EB,-A06CF,-A080E
-88DD8,-890A6,-88D41
-A08CC,-A090B,-A08D0
-88BEB,-88C45,-88B62
-A0919,-A0901,-A08FD
-88F30,-88EC0,-89095
-A0A29,-A0A95,-A0A06
-88E02,-88E11,-88F37
-A0918,-A0826,-A08CB
-890F9,-88E5D,-88EA8
-A09F4,-A0818,-A060B
-88B98,-88DEE,-88D91
-A084C,-A0A0C,-A0946
-88ECE,-88D8C,-88E23
-A0742,-A0802,-A08E0
-88C6E,-88D78,-88E14
-A08A2,-A0931,-A07D9
-88C06,-88E07,-88D3F
-A08BC,-A07DA,-A07F4
-88DBA,-88E7C,-88DC3
-A0851,-A0A15,-A090A
-89049,-88DE3,-88FD1
-A09F4,-A0CB2,-A0A1C
-88F8F,-88F2A,-88F49
-A0923,-A0992,-A0B29
-88DE6,-88E73,-88FA7
-A088E,-A0920,-A09E3
-88D1E,-890CB,-88FAC
-A094B,-A094D,-A093B
-88D5F,-88FF3,-88DA2
-A0919,-A07C2,-A08D7
-88DCB,-88EBE,-88DE9
-A09C9,-A07FC,-A0861
-88F68,-88DF0,-88E1B
