{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-D1124,-D0FF8,-D0EED
-E8A1D,-E89C3,-E8A40
-D10CD,-D1137,-D0F90
-E8A97,-E8AC9,-E8BEC
-D1091,-D10C4,-D1059
-E8BBD,-E8A7D,-E8AC7
-D10F2,-D13A9,-D0E27
-E8B23,-E88FC,-E8AE2
-D0FD2,-D101E,-D0ED3
-E8A7A,-E8A01,-E89BF
-D1190,-D10DA,-D0E6C
-E8A03,-E89F0,-E8892
-D10E7,-D0FA4,-D12CC
-E8BE7,-E8A32,-E8A22
-D1051,-D0F7A,-D108F
-E8AC5,-E8ACE,-E8A93
-D1133,-D0FE8,-D115F
-E8B6E,-E8C4F,-E8C21
-D12DF,-D10F4,-D11B9
-E8AD7,-E8D3A,-E8C8A
-D1240,-D134C,-D1318
-E8D4A,-E8C32,-E8B52
-D0EA4,-D10D0,-D10EF
-E8CEF,-E8D49,-E8DAA
-D1109,-D1320,-D1552
-E8DB2,-E8C9D,-E8EEC
-D1311,-D15A3,-D1357
-E8E0A,-E8D7B,-E8E5D
-D1340,-D1387,-D11E9
-E8DD5,-E8F93,-E8DD3
-D14E7,-D1373,-D1337
-E8E79,-E8CC4,-E90F3
-D16FD,-D1521,-D1498
-E8F99,-E8F0B,-E8FFE
-D13EF,-D142A,-D12F6
-E8F5D,-E8EAD,-E8D94
-D151C,-D1423,-D13F7
-E8D8B,-E8E91,-E90B8
-D1406,-D11B8,-D149F
-E8C8C,-E8E26,-E8FA2
-D1486,-D128F,-D13AC
-E8C44,-E8F08,-E8F6E
-D1502,-D144A,-D1399
-E9080,-E8F66,-E8E9A
-D1529,-D1666,-D14E7
-E8F66,-E8F73,-E8F39
-D16E8,-D14EF,-D1658
-E8FED,-E9049,-E90A5
-D164E,-D16FB,-D151C
-E90FC,-E90B0,-E8E33
-D1560,-D14A7,-D16E5
-E90A5,-E90AD,-E8F49
-D15DA,-D163D,-D1678
-E8F81,-E8F68,-E8EC6
-D1594,-D164A,-D155E
-E8F22,-E8ED7,-E8E36
-D157A,-D149F,-D1251
-E8DF5,-E8D72,-E8D1D
-D1408,-D128C,-D1388
-E8C94,-E8C49,-E8D02
-D125A,-D14CA,-D12BA
-E8DBD,-E8F2D,-E8BE8
-D12A6,-D1274,-D1332
-E8CA8,-E8FEB,-E8A80
-D1383,-D11D5,-D146E
-E8D84,-E8D49,-E8C84
-D1372,-D150E,-D14E4
-E8BF0,-E8DC9,-E8C9F
-D1466,-D14FE,-D159E
-E8EA6,-E8F5E,-E8DEE
-D15F1,-D12EE,-D1586
-E8E94,-E8FC1,-E8E52
-D15DB,-D1613,-D1602
-E8D78,-E8E8C,-E8EA8
-D14FA,-D146F,-D12A0
-E8E9D,-E8F9B,-E8E9F
-D15D8,-D1435,-D1434
-E9084,-E8F70,-E901A
-D15B2,-D1502,-D128C
-E8E9A,-E8F2E,-E8DDB
-D16A0,-D15EE,-D16BF
-E90F0,-E9144,-E8F96
-D169A,-D1638,-D17E1
-E8F32,-E8FA2,-E8F66
-D1633,-D16B0,-D1551
-E8E92,-E90EC,-E9158
-D244D,-D252D,-D226F
-E8BBA,-E8CE7,-E8CFF
-D11EE,-D1351,-D118A
-E8DC9,-E8B2F,-E8BF4
-D1186,-D10CD,-D12A9
-E8D64,-E8CBD,-E8C47
-D1273,-D13D2,-D1395
-E8D99,-E8E3D,-E8BFE
-D0F7D,-D1145,-D13B5
-E8CA4,-E8D30,-E8D1B
-D1509,-D149E,-D1310
-E8F1D,-E8FA9,-E90A0
-D1407,-D137B,-D163E
-E8EAA,-E8E58,-E8F3A
-D14BA,-D1356,-D1383
-E8F1D,-E8E9C,-E8E21
-D143B,-D165D,-D1379
-E8D7E,-E8EB5,-E8F32
-D142F,-D1504,-D156E
-E8FCD,-E8FEE,-E8FD6
-D13E1,-D15C2,-D1643
-E8F12,-E8E05,-E9053
-D16C1,-D147C,-D1514
-E8DB4,-E8E95,-E8E85
-D14D1,-D13B8,-D1265
-E8FB3,-E8C5E,-E9063
-D149A,-D13AC,-D1694
-E8EA8,-E8F26,-E8FB0
-D141C,-D14E2,-D1572
-E8DEE,-E8F62,-E8D95
-D1486,-D13DA,-D13B7
-E8F87,-E8E8E,-E90DB
-D1609,-D1611,-D138D
-E8D6B,-E8D32,-E8CCE
-D124E,-D13D4,-D13E8
-E8CF4,-E8DFC,-E8E1C
-D1382,-D1450,-D11A3
-E8E22,-E8F20,-E8EE6
-D1541,-D13E3,-D1359
-E8C82,-E8DD5,-E8C2D
-D137B,-D1350,-D13F8
-E8CAD,-E8D38,-E8B5F
-D154D,-D13A1,-D1550
-E8DEE,-E8D3E,-E8FE3
-D1570,-D1393,-D13B7
-E8DF2,-E8F61,-E8D8C
-D159F,-D11AD,-D1290
-E8E97,-E8D4E,-E8CBD
-D1246,-D1216,-D1128
-E8C15,-E8D25,-E8D84
-D14C2,-D1404,-D1266
-E8CEA,-E8E1F,-E9135
-D136D,-D1481,-D151C
-E8D68,-E8DEC,-E8FF0
-D1313,-D14A7,-D128F
-E8E5E,-E8DB8,-E8D23
-D13DB,-D12C3,-D1359
-E8E65,-E8FA9,-E8BD6
-D122C,-D13E8,-D1385
-E8D6E,-E8F0D,-E8DFD
-D158B,-D1396,-D1405
-E8E95,-E8F36,-E8E57
-D154A,-D13D4,-D13E8
-E8F06,-E8F3B,-E902E
-D1550,-D132E,-D12B4
-E921D,-E8FA9,-E8F52
-D16B6,-D17D0,-D1913
-E90C1,-E915B,-E914D
-D16C5,-D1684,-D15AC
-E9132,-E902B,-E90AB
-D18AF,-D16A9,-D167A
-E913D,-E912B,-E909E
-D1577,-D1750,-D14C0
-E91A0,-E9071,-E91E6
-D182C,-D164D,-D157A
-E9263,-E9017,-E9039
-D1A36,-D181E,-D1958
-E9253,-E9270,-E91CB
-D1708,-D16FF,-D168A
-E9126,-E9289,-E9170
-D1786,-D180E,-D1905
-E923E,-E9207,-E904E
-D16AB,-D1693,-D16FD
-E9173,-E91FC,-E940F
-D17BC,-D1741,-D179E
-E91E7,-E93B5,-E9230
-D17A8,-D1841,-D175C
-E91D7,-E9376,-E9407
-D187B,-D1925,-D180F
-E91F6,-E9367,-E9279
-D1832,-D17EF,-D184A
-E9262,-E9209,-E92FC
-D175D,-D1724,-D177E
-E93A9,-E9302,-E935F
-D192F,-D1A7D,-D19D1
-E9363,-E938F,-E9288
-D1A99,-D18BB,-D1869
-E928D,-E90DD,-E8FD6
-D1702,-D16A0,-D173B
-E9037,-E9279,-E929C
-D179F,-D1659,-D1665
-E9214,-E8FD5,-E90C8
-D1526,-D155F,-D1604
-E903B,-E9141,-E934E
-D173A,-D1759,-D16E3
-E8F04,-E91D6,-E913E
-D16AE,-D161B,-D16F5
-E9223,-E9122,-E9177
-D17E8,-D1832,-D181D
-E9099,-E9464,-E922E
-D194E,-D1A3B,-D1A57
-E92F0,-E9411,-E92DA
-D16F5,-D1754,-D1888
-E9170,-E9389,-E9157
-D166C,-D1813,-D1981
-E9392,-E93B3,-E92B7
-D187F,-D17DE,-D1A7B
-E93A2,-E92B1,-E9303
-D1965,-D19B9,-D198C
-E91FC,-E9442,-E933D
-D19F0,-D1802,-D194E
-E937C,-E93A3,-E94DF
-D1C95,-D181E,-D1B1D
-E923B,-E9372,-E933C
-D18F7,-D180B,-D1A3B
-E92BB,-E9474,-E949F
-D1A7C,-D18DE,-D1A90
-E9574,-E95C2,-E94DA
-D1E78,-D1FD4,-D1D35
-E8E67,-E900B,-E8ED1
-D1297,-D14C8,-D144C
-E8F93,-E8F6C,-E8FD3
-D1501,-D14F3,-D1408
-E8D23,-E9019,-E8ED0
-D15F5,-D12E0,-D1252
-E8F64,-E8CA2,-E8F7B
-D1370,-D14EA,-D15D9
-E907E,-E8F42,-E8EF6
-D1616,-D15DF,-D15DA
-E90AA,-E906F,-E90B6
-D14FB,-D1626,-D16D7
-E907E,-E9201,-E920D
-D1519,-D159E,-D16C2
-E90EE,-E9190,-E907C
-D162F,-D1549,-D1614
-E9209,-E914A,-E9083
-D1656,-D153A,-D15BA
-E8F85,-E8FE0,-E9063
-D16EF,-D1792,-D14CF
-E908C,-E9098,-E904C
-D18D5,-D15A5,-D17DB
-E8F20,-E8EAE,-E9116
-D148D,-D16D9,-D160A
-E903A,-E8FFE,-E9046
-D177D,-D1583,-D1882
-E90EF,-E9116,-E9141
-D1764,-D1526,-D15FB
-E8EE1,-E9101,-E9064
-D16CA,-D16CB,-D168C
-E8F6C,-E938F,-E91B5
-D1792,-D154B,-D16F4
-E8EE7,-E8DF3,-E8F70
-D162D,-D15B7,-D16A6
-E8DC8,-E9000,-E8DBA
-D1607,-D1334,-D14B5
-E8FBB,-E8DBB,-E8EC8
-D15A7,-D1510,-D13E9
-E8FDE,-E9070,-E8E26
-D1569,-D14C8,-D138D
-E8FDB,-E8F4C,-E8F2D
-D1648,-D1495,-D141C
-E8EF7,-E8FA2,-E902B
-D1770,-D1591,-D15D1
-E90CF,-E9224,-E923E
-D149E,-D1535,-D15D8
-E8FAF,-E91A0,-E9057
-D15E6,-D1679,-D158E
-E904E,-E8F67,-E8FC0
-D1852,-D168B,-D167B
-E8FC6,-E8F7D,-E8F29
-D158D,-D167A,-D1506
-E9058,-E91B4,-E90F6
-D1936,-D1659,-D168E
-E9021,-E9099,-E90B9
-D15FF,-D16FB,-D15EE
-E9063,-E9184,-E9274
-D1778,-D1990,-D181B
-E9140,-E928C,-E9085
-D17AE,-D15AC,-D14F4
-E9189,-E924A,-E90C7
-D15E4,-D1895,-D171C
-E92F4,-E9390,-E9204
-D16DC,-D1793,-D1721
-E9471,-E9490,-E946C
-D19A1,-D19ED,-D1A94
-E9549,-E9519,-E94C0
-D1A09,-D1841,-D199F
-E9447,-E9449,-E9463
-D1A18,-D1AEA,-D1910
-E9525,-E94F8,-E92C7
-D1909,-D1A2C,-D18BB
-E94FE,-E943C,-E953C
-D1AC9,-D1AEB,-D1B05
-E9359,-E945E,-E9359
-D1B6F,-D1AD5,-D1A01
-E9595,-E93BD,-E9481
-D1A92,-D1B06,-D19BE
-E956D,-E959E,-E9504
-D198F,-D19EF,-D1BF1
-E9535,-E9485,-E9482
-D1C30,-D1DE0,-D1CE0
-E9497,-E95A8,-E96F5
-D1B3C,-D1999,-D1A2B
-E9559,-E9773,-E96A8
-D1CF7,-D1BE8,-D1BBE
-E95EE,-E972B,-E955E
-D1CBF,-D1CD1,-D1AAD
-E951D,-E96A6,-E9506
-D1C0A,-D1D04,-D1B72
-E95AF,-E9660,-E96AB
-D1BFF,-D1C59,-D1B00
-E96F6,-E958F,-E96D1
-D1D77,-D19F8,-D1CD6
-E9538,-E975A,-E956B
-D1BE1,-D19DD,-D19C2
-E9447,-E9461,-E94C7
-D1A10,-D19C8,-D1937
-E9564,-E95A2,-E9520
-D1AFF,-D1B69,-D1991
-E9562,-E9469,-E9336
-D19E0,-D1B5C,-D1A47
-E92B5,-E9645,-E9423
-D1A78,-D1AFB,-D182E
-E957E,-E95C8,-E9404
-D1C51,-D18FA,-D1A1A
-E9524,-E9633,-E958D
-D1BA7,-D1A49,-D197F
-E93FE,-E9546,-E973A
-D1C0F,-D1B82,-D1B32
-E956E,-E949D,-E9584
-D1A90,-D1A98,-D1A8B
-E9474,-E973F,-E964F
-D1C13,-D1B8B,-D1A56
-E9459,-E9638,-E9674
-D1C52,-D1B88,-D1B41
-E96B3,-E98FA,-E97F8
-D1C67,-D1AE0,-D1D8E
-E96D8,-E969D,-E95BA
-D1AAF,-D19F0,-D1B93
-E95DC,-E9645,-E95C7
-D1B31,-D1BC3,-D19EE
-E954E,-E94ED,-E964A
-D1D7C,-D1CAD,-D1DAD
-E964C,-E94C7,-E9778
-D1B8C,-D1C8A,-D1D2E
-E96C4,-E958E,-E97A3
-D116C,-D10DB,-D0DB8
-E848E,-E83B4,-E8630
-D0AA5,-D0ADD,-D0B62
-E83A9,-E8518,-E840D
-D09A6,-D0BB3,-D0984
-E83E9,-E84C8,-E8528
-D0ABF,-D0C34,-D0AEE
-E85C6,-E86E0,-E8448
-D0B47,-D0A5E,-D0A58
-E878D,-E85E4,-E85D6
-D0AD7,-D0D41,-D0B6A
-E84C8,-E8682,-E8631
-D0B46,-D09A8,-D0A5B
-E83CB,-E869E,-E876D
-D0B8E,-D0BE0,-D0C52
-E86C5,-E871E,-E85B7
-D0CD7,-D0CDD,-D0B5F
-E8675,-E8656,-E8690
-D0E30,-D0CA0,-D0BE2
-E8657,-E86DE,-E8819
-D0CD4,-D0CD1,-D0DE6
-E84C4,-E86C2,-E86C8
-D0BDE,-D0D09,-D0E41
-E8667,-E858F,-E87A5
-D0D8E,-D0B7F,-D0B6F
-E8642,-E8651,-E8570
