{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A1A56,-A19F8,-A1B89
-B916D,-B9324,-B92B1
-A1A14,-A1AD5,-A1A5E
-B9597,-B9565,-B932C
-A19A1,-A182B,-A1911
-B938D,-B9350,-B930F
-A1A5E,-A1A9B,-A191D
-B9635,-B9559,-B9396
-A1A57,-A17EF,-A1976
-B92A5,-B941F,-B94A3
-A1B0C,-A1A1E,-A1BAB
-B95B8,-B95EB,-B94A0
-A1A1F,-A19C3,-A1A24
-B9486,-B9370,-B94AA
-A1AAD,-A1B5A,-A1C16
-B93B2,-B92C8,-B95A4
-A1B9D,-A1A2D,-A19A9
-B9560,-B943F,-B95EF
-A1A81,-A1A79,-A18F5
-B93DF,-B94C8,-B949E
-A1A21,-A1929,-A1A37
-B9449,-B9338,-B9443
-A1B00,-A1AA0,-A18FF
-B9337,-B92F6,-B948F
-A19CD,-A19C2,-A1B70
-B950B,-B9566,-B9512
-A190C,-A19CC,-A1C2F
-B93FB,-B9186,-B942A
-A16B6,-A17BD,-A17FF
-B92D2,-B9266,-B93E0
-A176B,-A199F,-A1A8A
-B92F5,-B93AC,-B9398
-A1860,-A1695,-A176C
-B9466,-B921C,-B940F
-A1B0C,-A193F,-A19BB
-B93F7,-B92D2,-B93AD
-A171C,-A1729,-A1925
-B9410,-B93DA,-B92FA
-A1974,-A1996,-A1989
-B9326,-B93A3,-B9436
-A1B0A,-A195C,-A197E
-B93C3,-B93F6,-B946D
-A1969,-A1A19,-A1AD5
-B924E,-B951A,-B9247
-A1A28,-A18D4,-A18E5
-B932E,-B92C2,-B9375
-A1A12,-A1896,-A18D7
-B92BE,-B92BE,-B9330
-A1903,-A1612,-A195B
-B9259,-B92A5,-B925F
-A1926,-A187F,-A1A64
-B9369,-B925B,-B926C
-A1948,-A18CB,-A1854
-B93BC,-B921B,-B93CC
-A18A1,-A17DA,-A185F
-B936C,-B93B3,-B923B
-A18CE,-A1871,-A172B
-B91E3,-B934D,-B91B6
-A1929,-A16C1,-A1651
-B9380,-B9065,-B943D
-A1784,-A1783,-A16D6
-B91DE,-B929C,-B92FB
-A170F,-A16D9,-A18AE
-B9281,-B92B8,-B910D
-A1941,-A18B4,-A1777
-B92C8,-B9353,-B90C2
-A18B4,-A19C4,-A1844
-B9244,-B9365,-B9248
-A1715,-A155A,-A17F5
-B9328,-B927E,-B91B9
-A184F,-A18AD,-A171C
-B9285,-B920D,-B9325
-A178F,-A189D,-A177D
-B912A,-B9373,-B8F8F
-A18A8,-A17BA,-A1830
-B9480,-B92FF,-B9138
-A1888,-A1771,-A17E6
-B9152,-B93D4,-B948D
-A165C,-A1896,-A1804
-B9123,-B922C,-B923A
-A17AB,-A188B,-A178C
-B918F,-B925C,-B92B4
-A181A,-A17F3,-A186C
-B9228,-B9359,-B9393
-A2DD7,-A2F62,-A2EE5
-B9386,-B93D5,-B93D7
-A18F9,-A1B86,-A1B18
-B966D,-B94F3,-B9572
-A1A8F,-A19A0,-A19D1
-B9637,-B947E,-B928D
-A1985,-A1B5E,-A1A99
-B937C,-B91E6,-B93D6
-A18A9,-A18EE,-A17AB
-B94BD,-B93C7,-B92CC
-A1954,-A1868,-A18A4
-B9510,-B91C5,-B93BC
-A1974,-A17C1,-A19C1
-B9311,-B9421,-B9581
-A1896,-A185D,-A1A66
-B923A,-B9477,-B92EB
-A17DC,-A1982,-A18FF
-B9432,-B9556,-B947D
-A19AE,-A19E5,-A19BC
-B9343,-B943E,-B934D
-A19CB,-A1AF2,-A1A78
-B937C,-B9517,-B9472
-A1940,-A1A24,-A1904
-B92AD,-B940F,-B96CB
-A1CAF,-A1938,-A1848
-B932E,-B9452,-B96A3
-A196A,-A1880,-A19DC
-B93C9,-B94EB,-B957B
-A18B0,-A1A6E,-A1A2C
-B929B,-B9490,-B9346
-A1A5B,-A196D,-A1A83
-B9419,-B94D4,-B92F9
-A195B,-A1877,-A1CD6
-B9336,-B91C7,-B93A0
-A18AC,-A198B,-A196D
-B93CC,-B92F7,-B93E7
-A1C0F,-A196B,-A1A07
-B94BB,-B93EB,-B9350
-A18E9,-A185F,-A18E1
-B929F,-B94C5,-B9312
-A19BC,-A19B7,-A16BD
-B9362,-B93E8,-B9335
-A18F5,-A18D4,-A1A65
-B94D6,-B945E,-B93A6
-A1800,-A193A,-A19C3
-B9466,-B955B,-B944E
-A19E0,-A18E4,-A19A2
-B9304,-B9341,-B92C3
-A17D4,-A17A0,-A181E
-B9378,-B9461,-B93F7
-A1A66,-A1890,-A1960
-B9313,-B9327,-B94B6
-A1787,-A1A21,-A1842
-B94DD,-B9449,-B9309
-A1A0E,-A1867,-A1865
-B932B,-B9434,-B947A
-A1CD7,-A17D8,-A18A9
-B9229,-B925C,-B91DB
-A194D,-A1A22,-A18CC
-B9302,-B94EC,-B92FB
-A1AF4,-A1A9E,-A18E1
-B9361,-B92A3,-B92C9
-A183E,-A18C6,-A1881
-B92CC,-B92B0,-B9331
-A17D7,-A187C,-A1840
-B941D,-B9457,-B944A
-A18F0,-A1920,-A1810
-B937A,-B94F6,-B954D
-A19B1,-A1817,-A186E
-B92BE,-B928C,-B91CA
-A1887,-A182B,-A17F4
-B92A0,-B929D,-B9257
-A17DC,-A18A3,-A1705
-B9347,-B9179,-B930B
-A16F9,-A1777,-A1724
-B9095,-B90FD,-B914E
-A170F,-A16FB,-A1647
-B9224,-B9174,-B9180
-A17F6,-A168C,-A17E0
-B9132,-B919C,-B91F1
-A16CA,-A15F6,-A1791
-B9167,-B9313,-B91D7
-A187C,-A1837,-A17C9
-B90FE,-B90A3,-B92A2
-A1825,-A1765,-A1726
-B91B2,-B908E,-B92A8
-A17C3,-A18EC,-A17CB
-B905D,-B9249,-B9130
-A170C,-A1797,-A179C
-B9230,-B915E,-B92FC
-A180C,-A185A,-A17AC
-B9249,-B9037,-B92BE
-A17F7,-A1702,-A1720
-B927C,-B9233,-B9340
-A16A3,-A1772,-A16D3
-B92F3,-B936C,-B91C2
-A176A,-A17A1,-A179B
-B91E6,-B90B7,-B90E6
-A176E,-A15C5,-A1778
-B9231,-B9000,-B9205
-A17FD,-A1737,-A16FA
-B9203,-B9108,-B8F39
-A160E,-A173A,-A1545
-B926A,-B910E,-B90D4
-A1728,-A1676,-A14D4
-B9045,-B925A,-B9077
-A1690,-A1643,-A16C5
-B90FD,-B9125,-B911B
-A1630,-A158A,-A1523
-B8FAC,-B8FCD,-B8FAF
-A157E,-A167C,-A15B0
-B912B,-B90C9,-B9062
-A148A,-A1608,-A15A1
-B90EB,-B90C9,-B90C7
-A17DC,-A1627,-A1707
-B9156,-B9142,-B901F
-A1727,-A14EB,-A15DB
-B8F48,-B91CC,-B8F8E
-A16BD,-A167A,-A1593
-B913A,-B9146,-B9126
-A1827,-A161A,-A1682
-B9237,-B9239,-B911B
-A1708,-A17B8,-A17A8
-B90A1,-B9163,-B91B1
-A1687,-A1477,-A16E1
-B925A,-B9080,-B9034
-A1681,-A155E,-A15A8
-B9147,-B90F3,-B9055
-A2240,-A2409,-A21A2
-B89DE,-B8B00,-B89D4
-A11A6,-A1066,-A108D
-B88B6,-B8A89,-B8BC4
-A1129,-A1012,-A0E4C
-B89E6,-B8A7E,-B88D6
-A0E91,-A1060,-A10F6
-B88A5,-B8A9B,-B8B53
-A0DD6,-A0F53,-A0FD9
-B8A49,-B8A9B,-B8AF3
-A0E62,-A0FDE,-A0F48
-B8ABD,-B89F7,-B8987
-A103E,-A0FBF,-A103A
-B895F,-B88D3,-B8B0C
-A0EA2,-A0EAC,-A0E8F
-B8B66,-B882F,-B8940
-A0EBB,-A0DAD,-A0DAC
-B8883,-B8A44,-B8965
-A0F83,-A0F9E,-A0E72
-B891B,-B8A3B,-B8B70
-A0F27,-A10DD,-A0EE6
-B8A0A,-B8A71,-B8B34
-A0FFA,-A0EA7,-A0ED4
-B8AC5,-B8813,-B8922
-A0FE0,-A0F10,-A0DB9
-B8925,-B8898,-B87D9
-A0E87,-A101D,-A0FE7
