{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
B1C59,B1BC8,B19F7
9A0DA,9A282,9A118
B1A0C,B1AA7,B1AD0
9A09E,9A2FA,9A088
B1CD7,B1C10,B1B81
9A204,9A291,9A263
B1BA4,B1B1C,B1CD4
9A110,9A1CF,9A113
B1BA9,B1BAB,B1B3D
9A058,9A0C0,9A0B8
B1B69,B1BAF,B1AE4
9A242,99FAC,9A230
B1A5C,B18F4,B1AAA
9A2CD,9A116,9A149
B1D4E,B1B6F,B1C9B
9A060,9A063,99F91
B1DD3,B1CC4,B1B3F
9A154,9A1BA,9A24B
B1AF2,B1ACF,B1CBE
99F6C,9A097,99EBC
B1C43,B1B5E,B1A8F
9A135,99FB7,99FFA
B1B92,B1B3A,B1A90
9A0C5,99F83,99E12
B1B09,B1A23,B1AC5
99F3C,99FA7,9A10B
B1C87,B197D,B1BB7
99E00,9A095,9A275
B1B06,B1C8F,B1A5D
9A0C3,9A0E1,9A09D
B1D54,B1BE2,B1A8D
9A0F2,9A1FF,9A1D2
B0401,B0419,B0573
99EF4,99FDA,99E10
B194E,B192F,B199E
9A072,99EDC,99F1B
B1903,B1A5C,B1ADE
99D68,99F2B,99CF5
B1824,B17CE,B1A38
99FCE,99F9D,99E77
B1A30,B1815,B1987
9A03E,99F73,9A053
B1B5B,B16FB,B1972
99F06,9A042,9A0D3
B183B,B1B23,B1A4E
9A11B,99FEE,9A06D
B189C,B190B,B188E
99E0E,99F6E,9A021
B1AC2,B1B09,B1C68
9A0A6,9A028,9A08F
B1A35,B19E1,B1BDB
9A168,9A002,9A016
B1A51,B1A56,B1967
99F87,9A08B,9A0AE
B1B8A,B1C5D,B1CE5
9A327,9A1F7,9A075
B1B70,B1DAD,B1D3F
9A1E2,9A1E9,9A08F
B1BC0,B19D9,B1ABE
9A196,9A0E9,99EF9
B1A10,B18C3,B1B9F
9A08F,99F9F,99FE2
B1A27,B186C,B1A41
9A0C4,9A1AB,9A120
B1940,B1B80,B1A80
9A035,99F70,9A093
B1929,B1A55,B1CA6
99FCB,9A02F,99F82
B1BA2,B1BFC,B1BBE
9A0D5,9A10D,9A00D
B1AA4,B198A,B1BD7
99FB1,99E99,9A0BD
B1A37,B19E8,B1C66
9A01D,9A268,9A174
B1A52,B1825,B1BF5
9A016,9A026,9A228
B1946,B1A01,B1A28
9A279,9A079,9A0AD
B1A8B,B1A96,B1B6D
9A065,9A059,9A178
B1B96,B1BC6,B1D2B
9A175,9A046,9A1DC
B1ADD,B1ABA,B1B2B
99FBE,9A116,9A0C5
B1C54,B1C07,B1A2D
9A109,9A27D,9A2C6
B1D55,B1BE6,B1C51
9A1C9,9A222,9A12D
B1B5B,B1C0B,B1C6A
9A27F,9A204,9A195
B1BFB,B1BBB,B1C86
9A25F,9A04C,9A05C
B1AEB,B1BF5,B1CE9
9A192,9A151,9A078
B1960,B1B24,B1C65
9A192,9A166,9A306
B1B99,B1BDB,B1A45
9A214,9A23E,99FCD
B1B97,B1A3D,B1B66
9A213,9A06D,99FF8
B1B2C,B1A6F,B1A08
9A0AD,99FC1,9A13F
B1B6D,B1CFD,B1B8E
9A1F0,9A1D3,9A11D
B1B57,B1A3A,B1BC9
9A0DC,9A167,9A116
B1AE9,B1BC1,B1AD2
9A0FE,9A154,9A057
B1CD9,B1BFB,B1B61
9A2C5,99FF9,9A07C
B1B7F,B1C83,B1B37
9A0B8,9A22A,9A17E
B1EBB,B1CAC,B1CD4
9A207,9A2D8,9A224
B1D4C,B1BD1,B1C87
9A288,9A165,9A2D4
B1BA3,B1D53,B1BA4
9A31C,9A278,9A27A
B1DA3,B1E19,B1E47
9A1C0,9A356,9A35C
B1EB1,B1C2D,B1DFB
9A3E4,9A159,9A193
B1D2E,B1CB2,B1D8A
9A295,9A142,9A352
B1C99,B1D18,B1C5A
9A3CB,9A38F,9A213
B1D13,B1C54,B1E7B
