{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
677F,64DC,66AC
1E02F,1DF2C,1E110
65E9,65CA,6619
1DFA9,1DF6A,1DF02
64D4,663C,674D
1E074,1E0D6,1E1A3
670E,65E4,64C2
1E2DD,1E118,1E171
66FF,6542,6651
1E051,1E0A0,1E0C2
6562,657A,673F
1E15C,1E0CA,1E094
6677,68C3,65E6
1E081,1E263,1E397
67A9,677A,6931
1E239,1E42C,1E2F6
67B5,67E3,67AB
1E227,1E234,1E33A
67C3,6755,67EF
1E171,1E3BA,1E13F
692A,670B,678E
1E32E,1E0EA,1E091
6816,65FB,658A
1E1EB,1E300,1E322
66EF,651F,6768
1E06C,1E0E3,1E197
67E3,68D0,672F
1E19F,1E06A,1E18D
6794,6755,686A
1C273,1C195,1C320
69E4,6997,6914
1E2B7,1E19D,1E1AC
682B,68EE,6909
1E541,1E33A,1E36E
6ACD,6756,685C
1E22C,1E40F,1E28D
684B,684E,68AD
1E1C7,1E35D,1E5CE
69C0,68EB,68C3
1E273,1E42E,1E2BE
6A3B,6992,6864
1E2B2,1E2B6,1E426
68C2,6686,6811
1E23E,1E2AE,1E2C1
6978,67E5,66C4
1E0FC,1E341,1E3B3
6870,6990,6884
1E2E2,1E287,1E337
6703,6796,66E4
1E39C,1E522,1E325
6A3D,6891,67AC
1E2EC,1E399,1E1D8
676C,67C6,6925
1E336,1E4CC,1E44F
6896,6923,6A28
1E475,1E53E,1E4C6
698C,68FF,6B2F
1E3B2,1E541,1E5EE
6AF1,6A22,6A6C
1E5B6,1E56A,1E53F
6BC2,6AA5,6AC9
1E569,1E42C,1E4A2
6C8A,6C12,6C37
1E741,1E618,1E6BC
6BCD,6A76,6B5F
1E701,1E593,1E733
6D4C,6A39,6BA7
1E5E5,1E5DC,1E5D8
6C26,6B4F,6ACC
1E6B7,1E6D1,1E6D0
6B49,6AFC,6A02
1E52C,1E6FE,1E45A
6B70,6C9E,6AE9
1E830,1E5DE,1E7FE
6B18,6C09,6B9D
1E55B,1E4DD,1E561
6C49,6BBC,6B5D
1E66A,1E7AB,1E62C
6B3E,6B60,6C4B
1E5FB,1E677,1E48C
6AD1,6A6F,6C11
1E4D3,1E649,1E5A5
6B16,6A26,6D23
1E5CD,1E73D,1E8D4
6C60,6BD1,6BB5
1E68E,1E6FF,1E674
6E0E,6B9B,6CF2
1E75B,1E6DF,1E6A2
6C86,6D75,6C27
1E6D2,1E5E8,1E724
6DB6,6CC2,6D42
1E691,1E83A,1E892
6C8F,6C78,6D53
1E826,1E725,1E90C
6AC1,6A9B,6AB1
1E3E3,1E4F6,1E4A8
69FF,6C9B,6B52
1E46D,1E502,1E45B
69E2,68E8,68F4
1E3B0,1E598,1E50C
6BDC,6835,6AE6
1E38F,1E54B,1E5E2
6A94,6A98,6B24
1E543,1E409,1E5A8
6AC2,69DD,693E
1E3E1,1E52D,1E524
6BC6,6BB6,693E
1E4BB,1E3F8,1E4C7
6A45,6C99,6A8F
1E70C,1E557,1E6D0
6B3E,6B40,6D7C
1E743,1E5BE,1E60B
6CDD,6BE3,6AE5
1E62A,1E3E3,1E526
6AF3,6A45,6906
1E5D8,1E482,1E76F
6AFE,6AAB,6A49
1E624,1E6B5,1E504
6B8F,6B5D,6ABA
1E80A,1E73D,1E657
6CFF,6B80,6B50
1E64A,1E6AE,1E668
6BCD,6C76,6C7E
1E771,1E613,1E51B
6DAB,6AB0,6BC2
1E579,1E62E,1E5E9
6DD8,6E01,6C4F
1E734,1E731,1E722
6A29,6C87,6CCF
1E8CD,1E76B,1E672
6BA2,6CA5,6DD8
1E749,1E700,1E846
6E23,6BEB,6DC4
1EA19,1E814,1E7D4
6CB8,6C00,6D8E
1E673,1E72A,1E690
6CE8,6C08,6E57
1E869,1E6E6,1E780
6C66,6BBE,6C99
1E706,1E6D5,1E777
6D8E,6F9C,6E98
1EA19,1E873,1EA9D
6D41,6E7D,6D07
1E7F3,1E771,1E7D4
6CC5,6DE8,6D8F
1E884,1E9FA,1EB0B
6E5B,6E18,6D41
1EA22,1EAEF,1E968
6C49,6D89,6E73
1EA1C,1E942,1E82D
6FF1,6DF9,6DEF
1E7FA,1E969,1E8EE
6DA8,6F9D,6FC8
1E95F,1EA50,1EA4A
6F12,6EBC,6DC1
1E820,1E9ED,1E8DE
6ECE,6E7F,70A8
1D9DA,1DA5B,1DA64
6F4A,7053,6F15
1E9C0,1EA8F,1EA66
7223,704D,6F63
1EC94,1EBEA,1EC27
71CF,70ED,6F85
1EAC9,1EB0E,1EAC8
6F76,7031,7063
1E971,1EA6F,1EAB8
6EFF,71C4,70C5
1E9C5,1E9DE,1E94F
7035,6FF4,70A2
1EA33,1EBD2,1EAB8
7168,7054,71DF
1EB99,1EADC,1EB25
710E,707A,7107
1ECD4,1EB89,1EC0A
726B,728E,7223
1ECB8,1EC74,1EE0D
7259,6FEF,71F3
1EB56,1EACF,1EBA8
70C2,73B7,7186
1ECB6,1EADF,1EC49
7358,71AB,72F0
1ED62,1EC38,1EBB5
72B5,7275,70A6
1EC40,1EBA1,1E9C9
7125,721F,7166
1ECD6,1ECF4,1EC74
71F7,726F,71A5
1EB72,1EDF7,1EC23
723C,7109,7126
