{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
10DF6D,10DF9B,10DCDE
1257BD,1258A0,1256E1
10E062,10DF26,10DCAB
1257E1,1256DA,125790
10DE94,10DCEA,10DC28
1256C6,12566E,125801
10DDEC,10DD22,10DCDD
125790,1258C7,1256EA
10DAD4,10DCE6,10DCFC
125900,125869,125752
10DCB1,10DD34,10DC4F
125879,125688,125882
10DC5A,10DF30,10DC07
125846,1259A0,1258A5
10DF73,10DD9B,10DE02
125733,1259CB,125949
10E08C,10DD63,10DD0A
1258C2,1259AE,1257E3
10DD8C,10DEA5,10DEB4
1258C1,1258DB,125A31
10DFD7,10DD57,10DD81
125969,125893,1258D7
10E072,10DE40,10DEFD
1259D1,12572F,125B1B
10DFC3,10E0DB,10DF50
12585E,125968,1259C0
10DF6E,10DE54,10E094
12587A,125B52,125BF2
10DF45,10DEA8,10DF23
125986,125AFC,125A41
10DF91,10DF46,10DD16
125A8A,125804,125976
10DEBE,10DFA1,10DFDC
125A9A,1256FE,1258E5
10DE0D,10DE8F,10DDFE
12587D,125A5F,125972
10DE50,10E071,10DF71
1257C9,125B47,125865
10DE02,10DC75,10DDE6
125A06,12583C,1258C6
10DF21,10DECB,10DF6E
1257AE,125A25,125A46
10E02E,10DFD6,10DF26
124230,124402,124287
10DB37,10DC84,10DC0E
125785,1256F0,12564E
10DCB6,10DF2E,10DD05
1256ED,1256D9,1257A1
10DBB5,10DE54,10DE35
1258CE,125609,12580D
10DD00,10DB5A,10DE5E
125665,125594,125705
10DE7C,10DB2A,10DBCA
12581F,12590B,125794
10DB1D,10DC2B,10DCBE
1256AC,1256BC,1258C3
10DC22,10DA92,10DB51
125678,125680,1256F9
10DCE4,10DB0C,10DD9E
125AB3,1256E3,1257A3
10DAD6,10DC38,10DDC4
1255AE,1256F2,1257F9
10DC7F,10DC7C,10DC0B
1255B4,1257A5,125661
10DC19,10DB4F,10DC49
1256E6,1256F1,125821
10DDF7,10DBBA,10DC69
12568D,1256BF,1257E9
10DC4C,10DAF6,10DCF4
125843,12568D,125665
10DC8C,10DDB5,10DC59
125803,1258EC,125622
10DC1C,10DE44,10DDC5
12573F,12582D,125745
10DD21,10DBBC,10DD54
1256E7,125854,125828
10DD8F,10DDEF,10DED5
125741,1257D5,125788
10DE99,10DE05,10DE39
1255D5,125791,1259A5
10DE10,10DD6B,10DCB0
1258E5,125621,1257DB
10DDC0,10DBA8,10DE9E
1258D3,125995,1258F4
10DD0C,10DE47,10DF50
12584C,1259F6,12571D
10E0A2,10DDCD,10DE2C
125928,125963,12584F
10DBE3,10DFD2,10DC49
125990,125845,125903
10DFB1,10DF0F,10DCD8
125A77,125B54,125868
10DEA5,10DD82,10DDDE
125623,12586E,125B51
10DDC4,10DCC7,10DE5D
125996,1257E1,1258DF
10DEDA,10DD90,10DE2C
125889,1257C7,1257E2
10DF53,10DF08,10DEA8
12597F,125A9E,125961
10DCE1,10DE60,10DC5F
1257AD,125960,125748
10DEAE,10DEE3,10DD20
125A6A,125A68,12589F
10DE75,10E08A,10DFE0
125980,125870,125758
10DEEF,10DF03,10DE59
125874,1258B0,125939
10DDD3,10DFEB,10DCF3
1257B1,1259A6,12598F
10DE85,10DF65,10E16A
125A55,125A48,12595F
10E02E,10E05F,10E1B1
1256B6,1258F3,125A52
10E05B,10DF0F,10DE8B
125BB3,125A32,1258AD
10E03D,10DFA3,10E008
1258D4,12590D,12593F
10DFC6,10E0C1,10E030
125ADF,125B85,125B7E
10E1B2,10E1CA,10DF8F
125C27,125C18,125AC6
10E138,10DF68,10DEC0
12599B,125B07,125A46
10DF69,10E067,10E137
125A58,125AC2,125AFF
10DD9A,10DEE7,10DFF0
125A40,1258C2,125B0B
10DF9F,10E1A2,10DF82
125AE8,125A67,125A3C
10DFD8,10DED3,10E0A8
125ACF,125C3F,125AD4
10E1D3,10DFA4,10DEFC
125B09,125A7D,125AB2
10E009,10DFF5,10E046
125BB1,125A65,125AF0
10E12D,10E1BF,10E0DA
125A09,125BB5,125B9B
10E07B,10DFA5,10E0CE
125CDF,125AF3,125A8B
10E27F,10E16B,10E16F
125BD5,125C30,125AC4
10E131,10E10D,10DF5F
