{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7A42B,-7A34F,-7A429
-91F17,-91F36,-91ECC
-7A418,-7A368,-7A5BC
-91E2D,-91DBF,-91E33
-7A461,-7A4B7,-7A4D4
-91DCE,-91EA3,-91D1C
-7A337,-7A3FA,-7A162
-91ECE,-91F2E,-91F14
-7A40C,-7A358,-7A4A2
-92014,-91CF5,-91DDC
-7A619,-7A3FD,-7A34D
-91E7C,-91DB8,-91F68
-7A2FA,-7A092,-7A3EE
-91F93,-92088,-92014
-7A3CB,-7A3F6,-7A513
-91EB8,-91F5B,-91F00
-7A495,-7A3DB,-7A2BA
-91D46,-91D77,-92063
-7A42C,-7A420,-7A5C4
-91E94,-91E9F,-91E33
-7A2F3,-7A374,-7A4FE
-91D7B,-91E48,-91DE9
-7A3BE,-7A1F7,-7A1CB
-91B24,-91E9A,-91DA7
-7A271,-7A2CE,-7A154
-92045,-91E4E,-91D8B
-7A2D9,-7A302,-7A452
-91EC9,-91D3A,-91F89
-7A4B0,-7A518,-7A473
-92072,-91EAC,-91EF0
-7A700,-7A45D,-7A412
-920CE,-91F91,-92202
-7A538,-7A534,-7A43F
-92152,-92013,-92083
-7A59F,-7A668,-7A5B1
-9204A,-920DF,-920AA
-7A5C7,-7A4C3,-7A450
-91C0F,-91F36,-91EB5
-7A500,-7A588,-7A622
-91F66,-9217E,-91EBA
-7A516,-7A294,-7A387
-91EB1,-91E00,-91EF2
-7A4C7,-7A516,-7A2BA
-91DC5,-91E3D,-91DE8
-7A472,-7A538,-7A509
-920B8,-91EB6,-920DA
-7A420,-7A4D3,-7A5AE
-91EEA,-91ECB,-920AC
-7A6FC,-7A78E,-7A410
-920AA,-92187,-920E5
-7A621,-7A6AC,-7A665
-91ED2,-9200A,-91EE2
-7A626,-7A464,-7A59C
-91EEA,-92036,-91F81
-7A5A9,-7A53D,-7A4EF
-92187,-9213B,-92186
-7A508,-7A4F8,-7A4BA
-91FC5,-92248,-91F97
-7A51B,-7A67C,-7A5FB
-91E45,-91EC1,-91FE3
-7A3D8,-7A4CD,-7A3B6
-91FED,-920E8,-91FF9
-7A698,-7A507,-7A592
-92031,-9202D,-91F75
-7A2D8,-7A625,-7A5EA
-91F51,-92136,-91FAD
-7A661,-7A7FD,-7A73C
-9211B,-91FBC,-92107
-7A5A3,-7A759,-7A6E1
-92153,-920F9,-91F6E
-7A6B1,-7A6FA,-7A4ED
-91FAE,-92059,-9213D
-7A760,-7A5A9,-7A796
-91F41,-92103,-91F2D
-7A696,-7A4E1,-7A5E1
-91FE3,-9211E,-91EE6
-7B671,-7B55E,-7B601
-917B4,-915DF,-91778
-79E23,-79DAE,-79F1D
-916BF,-9171A,-917E3
-79C60,-79CC6,-79B7E
-91605,-9194B,-919AF
-79D5D,-79C84,-79E84
-91786,-91792,-9185F
-79AAC,-79C61,-79C41
-918AB,-91775,-91646
-79DC5,-79C86,-79E5C
-9179F,-916B2,-915EB
-79CE2,-79CB0,-79B94
-91879,-916B1,-91646
-79C78,-79C39,-79BDE
-91598,-91613,-9183E
-79BFB,-79B9B,-79AE4
-9178E,-917EB,-917AF
-79CEB,-79CA3,-79E64
-916FC,-916AF,-917DA
-79E55,-79EC3,-79C52
-917AD,-9178E,-91863
-79CE4,-79E8B,-79EAA
-91973,-91859,-91A11
-79E42,-79CD5,-79D62
-91A12,-918D7,-916F8
-79DCB,-79E5F,-79F8C
-9168F,-917FA,-917D8
-79E82,-79CDA,-79CEA
-91866,-91789,-917D8
-79C2A,-79D2B,-79CF9
-91606,-9174E,-917BA
-79E66,-79E27,-79BE2
-918F9,-918BB,-916BB
-79CDF,-7A00E,-79DDD
-9179C,-91799,-9170F
-79D8E,-79C46,-79D85
-91792,-9183E,-91943
-79EF3,-79E7B,-79DCE
-91857,-91830,-917FF
-79E6C,-79DA9,-79DF8
-916A9,-91882,-9189E
-79EE4,-79D10,-79F5D
-9172D,-91576,-91621
-79E02,-79C14,-79D35
-918A3,-91779,-917C1
-79E4A,-79CDA,-79D89
-919CD,-9180F,-918F4
-79BE6,-79A90,-79B10
-91831,-91873,-91904
-79FBD,-79E08,-79F11
-91915,-91960,-918B9
-79F9C,-79E7F,-79C40
-916A7,-9167F,-9183B
-79CC6,-79D9C,-79E74
-91781,-918E7,-918DC
-79CA6,-79E26,-7A01D
-9180C,-91A81,-91828
-7A026,-79DC4,-79E90
-91860,-91992,-91970
-79FB8,-79D69,-79DFE
-91747,-918A7,-91912
-79D35,-79E5D,-79DDF
-9194D,-917E8,-919FB
-79ED0,-79E32,-79D57
-919F9,-919F9,-91AFE
-79FE0,-7A04B,-79FC7
-91A2F,-91975,-91A4B
-7A049,-79F28,-79E60
-91B1E,-9188C,-91874
-79FD4,-79FE6,-79EF7
-91A1E,-919B5,-91A5D
-7A098,-79E5D,-79E7C
-91809,-91A94,-91AED
-79DFC,-79E79,-79F33
-91A34,-9185B,-919DB
-79F16,-79E0E,-79DB3
-91A48,-918C4,-91A10
-79E73,-79FCD,-79EEA
-91871,-91A02,-919D6
-7A012,-79EB7,-79F3C
-9196D,-91857,-91A03
-79F44,-7A01E,-79E7C
-91AEF,-91A27,-917F2
-79EB0,-79E2F,-7A052
-91BC3,-919DB,-91B29
-7A0B9,-7A088,-7A1E7
-91B4A,-919CC,-91AFA
-7A0FE,-79EDF,-79F64
-917BC,-91A07,-91A4D
-7A30C,-79FB0,-79E98
-91ABF,-91BB2,-91C19
-79E70,-79D16,-79F00
-91A8D,-91A53,-91A78
-79F11,-79F8A,-79FBC
-919A7,-919A5,-91A1B
-7A198,-7A1AA,-7A103
-91ACE,-91AC6,-91B97
-7A0BD,-79FE9,-7A0BF
-91BCF,-9196B,-91A6B
-79F9B,-7A124,-7A092
-91B08,-91A9E,-91B1B
-7A171,-79FC8,-7A02F
-91ADB,-91C7D,-91D51
-7A079,-7A270,-7A0A1
-91CA9,-91C80,-91CFA
-7A23D,-7A0FC,-7A1CD
-91AE3,-91B0C,-91A8D
-7A201,-7A0B7,-79FCC
-91BC6,-91ACF,-91A6A
-7A1F4,-7A225,-7A25A
-91AAE,-91A96,-91932
-7A11B,-79F7A,-7A012
-91CB1,-91DE5,-91AD9
-7A073,-7A15A,-7A0C8
-91B00,-91DD6,-91C1D
-7A2FB,-7A268,-7A004
-91BE9,-91B5C,-91CA4
-79F4A,-7A039,-7A199
-91B57,-91BE1,-91BA0
-7A01E,-7A220,-7A156
-919F2,-91BC1,-919B8
-7A190,-7A02E,-79F31
-91A50,-91B90,-91B65
-7A129,-7A039,-7A0E2
-91BF3,-91B48,-91C79
-7A213,-7A238,-7A1C7
-91C4D,-91B82,-91B26
-7A988,-7ABB7,-7AB61
-91651,-917C0,-9193D
-79D0C,-79D84,-79E23
-917BE,-91779,-91617
-79C8C,-79C61,-79D06
-916E4,-918D1,-918C5
-79CDB,-79D7D,-79E54
-91587,-917D4,-918F8
-79C65,-79F8E,-79D65
-91852,-91734,-91710
-79D0D,-79F0F,-79CDD
-9169C,-915C6,-915B1
-79B20,-79B70,-79B5C
-9150B,-9161A,-91830
-79CA4,-79CEA,-79C56
-9145F,-91747,-91742
-79BE5,-79CF0,-79BAA
-918EC,-917A8,-917DB
-79D01,-79CD4,-79D50
-9181D,-91898,-9175C
-79C3E,-79BEA,-79CFC
-918AB,-91967,-9170A
-79DAB,-79BFC,-79E56
-918E9,-91883,-918B1
-79CFA,-79C50,-79D13
-9190A,-91602,-9188B
-79BF7,-79C68,-79D7A
-917C2,-916E3,-91677
-79BF7,-79C3F,-79D5C
-9173F,-916D8,-916B8
-79C8E,-79D4B,-79E7F
-9172C,-91667,-916CB
-79DA7,-79EE0,-79E45
-91846,-918F8,-91904
-79C95,-79CD3,-79B83
-9175E,-91706,-9165E
-79C18,-79C0A,-79B94
-9167C,-917C3,-914CC
-79D41,-79C4D,-79B8B
-917BA,-91831,-918E7
-79D17,-79C82,-79D42
-91808,-91708,-91821
-79E84,-79DEA,-79D5F
-91837,-91873,-917E0
-79BFE,-79C68,-79CD1
-916CE,-917E1,-918FB
-79E5E,-79C6C,-79D68
-917E5,-9182A,-9181D
-79BBA,-79C85,-79CF8
-9190E,-91A44,-9184D
-79EEF,-79EEF,-79E5B
-9195E,-91786,-916B1
-79BD5,-79DA8,-79E0D
-917DA,-91717,-91932
-79D3A,-79DDB,-79ECE
-918C3,-917F1,-918B3
-79DD4,-79CBE,-79CED
-918C5,-91883,-91933
-7A045,-79C0E,-79E9F
-918F1,-91AB9,-918D4
-79DB1,-79ED9,-79E0E
-919AF,-91A20,-91924
-79E0B,-79EF9,-79E5F
-91A34,-91A92,-919AB
-79DF6,-79C5C,-79D93
-91A20,-91A4D,-9199A
-79F16,-7A081,-7A002
-91A89,-91A21,-91B3B
-79FF2,-79EF3,-79F0D
-91A55,-91A61,-91AE8
-7A08B,-7A08D,-7A18F
-91AF0,-91ACD,-91AB1
-7A277,-79F32,-79EC6
-91831,-91A34,-91A99
-79E75,-79F0B,-79E1A
-918F5,-91A49,-91AEC
-7A047,-79F0B,-79EA7
-918A1,-91AB6,-9199A
-7A104,-79F7E,-7A06A
-91BD4,-91AFD,-91A2B
-79F89,-79DA8,-79DDD
-91B15,-91B0A,-91A23
-79E9F,-7A044,-7A021
-91993,-91A17,-9198B
-79F6B,-79EF2,-7A11B
-918CE,-91A6B,-91C72
-7A141,-79FDF,-7A02E
-91C4F,-91CA3,-91B22
-79FCA,-7A0AB,-79E2A
-918CD,-91A03,-91C74
-79F6D,-7A104,-79FDC
-91A24,-91AF9,-919E1
-79FAD,-7A134,-79F5C
-91B2D,-91A9A,-9193D
-7A0B3,-79FE9,-79E52
-91A37,-91947,-91A2C
-79F18,-7A0B5,-7A1E3
-91AA9,-919CD,-91885
-7A1E7,-7A0B2,-7A1C5
-919FA,-91BE6,-91B1A
-7A232,-7A00F,-7A124
-91BA2,-91AEF,-91D21
-7A093,-79FFE,-7A10A
-91C18,-91BD3,-91BE2
-79E77,-7A0A1,-7A0A7
-91B7A,-91A78,-91974
-79F10,-79FEF,-7A01D
-91981,-918DA,-91A5E
-79EAE,-79E22,-7A1F2
-91B78,-91914,-91A01
-7A090,-7A1A4,-7A0A7
-91A4F,-919BD,-91A05
-7A019,-79EFE,-79F74
-91B93,-91BD4,-91A56
-79FB2,-7A0DA,-7A15D
-91CD9,-91BF4,-91C15
-7A1EF,-7A0D0,-7A052
-91A03,-91C7F,-91BB2
-7A1D1,-7A104,-7A118
-91AC1,-91BF5,-91A05
-79E07,-7A094,-79FEE
-91B1D,-91AF9,-91AF0
-7A06F,-7A198,-7A16A
-91AD2,-91D1A,-91BC6
-7A140,-7A09D,-7A126
-91CA3,-91B57,-91AD8
-7A05B,-7A12C,-79E80
-91BD3,-91BB5,-91BE8
