{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
11BCCF,11BC1B,11BDDF
1337A5,133821,1337BC
11BC3A,11BB86,11BC78
133765,133713,133703
11BE1F,11BCE1,11BEC5
1336DA,13376B,133774
11BB89,11BC98,11BC54
1336CD,1337A6,133779
11BE97,11C07B,11BF58
1338C5,133738,133743
11BE68,11BE5B,11BD9C
1338D1,1338A5,1337AE
11BD40,11BE1B,11BEA1
13391D,133750,133981
11C015,11BD4B,11BEC3
133BE7,133B20,133B7B
11C049,11BFFD,11BE6A
13399A,133BFC,1338D7
11BEAE,11BF9E,11BE26
133ADA,133A0E,1339B2
11BEA8,11BDD5,11BE2B
13379E,133741,1339FB
11C00E,11BE35,11BD0B
1338D1,133A9A,1339E9
11BDB1,11BEA3,11BF9D
133954,133883,133743
11BBB4,11BE0C,11BF27
133991,1338C7,1337F3
11BD27,11BE68,11BE2A
133818,133962,13372B
11BCE9,11BE3C,11BCAE
1337AE,133767,133782
11BCE2,11BDED,11BBE6
13378A,1337CF,1338E6
11BEA8,11BE8A,11BDEB
133799,13395C,133814
11BC7E,11BC67,11BC99
133555,133747,13365C
11BCE2,11BC3D,11BCB9
132946,132AB0,132AA7
11C0DE,11C0FA,11C0B5
133B35,133B91,133B5D
11C061,11C186,11C0FC
133B40,133CC9,133BC3
11C220,11C0F6,11C256
133A67,133B7A,133ACA
11BE86,11C0C9,11C274
133CBB,133D1F,133C16
11C146,11C16F,11C06F
133AA7,133AE1,133A3F
11C155,11C0D1,11BFA5
133A08,13398F,133AC6
11C0A0,11C119,11C080
133C28,133A8B,133ABB
11C115,11C0E0,11BFAB
133BE4,133CCC,133C6F
11BF16,11BF73,11BFE6
133AB1,1338BF,133A87
11C1FD,11C1B6,11BFFA
133DCB,133B06,133B21
11C00F,11C02E,11C00D
1339E9,133C2C,1339AD
11BF4A,11C00E,11BEDB
133B41,133A5A,133A82
11BF2D,11BF54,11BF16
1339A5,133936,133A9F
11BDD2,11BF6E,11C03E
133844,133A86,133ADC
11C0FC,11BF44,11C027
133970,133812,1338D1
11C015,11BF48,11BF56
133A07,133975,133977
11C02E,11C13E,11C18F
133B6D,133AF2,133A85
11C1E7,11C165,11BE18
133C09,133B89,133ADC
11C0F0,11C277,11C08D
13395E,133B47,1339E8
11C01D,11C02B,11BF26
133A51,133B10,133BDB
11C0A9,11BEDB,11BF35
1339D8,133B24,133A37
11C137,11BF32,11C0DC
133AA0,13382C,13391A
11BEFE,11C07A,11BD66
133751,133A42,133AAA
11BEDE,11BF8E,11C0E0
133A55,133BE8,133D29
11C056,11C131,11BF46
133AA4,133A26,133B4B
11BFF1,11C170,11C091
133A71,1339EA,133AB9
11C0DE,11C1D6,11C183
133857,1339AA,1339C2
11BE23,11BF13,11BD2D
1338A9,133A04,133A9A
11C063,11BF29,11BEDA
1339E1,133A68,13389A
11C0EC,11BF63,11BEAA
1339E4,133CB6,13392D
11BFF4,11BF18,11C045
133A1C,133851,133B7D
11BFCC,11BE1E,11BECD
133988,133853,133696
11BA35,11BBAF,11BBEB
133721,1336BB,1335EC
11BD6A,11BBEF,11BDA5
13361C,1337B4,1335CF
11BB87,11BAB5,11BB2C
133577,133716,133479
