{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
B7734,B7647,B759B
CEFA8,CEE87,CEEB7
B7711,B765D,B7369
CF012,CEFFE,CEFCD
B779B,B755E,B763E
CF0AC,CF082,CF0A5
B7665,B75B7,B7701
CEFBF,CEFB2,CEF8D
B749A,B7559,B733B
CF03A,CF051,CF21A
B7595,B754B,B7515
CEF95,CEFC6,CF32A
B7613,B755A,B758B
CED81,CF01F,CF17A
B77CC,B73FA,B74D0
CF083,CF1AA,CF11C
B76AB,B7576,B76B4
CF06C,CF0A9,CF127
B75E8,B762E,B7637
CF398,CEFD7,CF161
B7981,B78F1,B7709
CF26F,CF195,CF209
B76FB,B789C,B776C
CF2B4,CF2FB,CF21C
B7879,B7702,B7795
CF242,CF235,CF160
B771C,B7811,B7664
CF2C1,CF2A5,CF2EB
B77CC,B7918,B79C3
CF2F5,CF2E7,CF46B
B7A2E,B7831,B77A2
CF371,CF233,CF388
B7734,B77B2,B77B9
CF24F,CF17A,CF1E7
B756E,B77EB,B77F6
CF423,CF3E9,CF1EF
B78E9,B7933,B779D
CF1E2,CF21E,CF186
B79A7,B756B,B7906
CF2DA,CF3A8,CF428
B78A3,B78BF,B76A6
CF2A4,CF23A,CF496
B7A68,B7A17,B7A34
CF466,CF413,CF40A
B79FC,B7B93,B7A6C
CF3C6,CF47E,CF3DE
B7AE0,B7AFD,B7AAF
CF527,CF674,CF481
B79CD,B7A50,B7AFF
CF522,CF5CB,CF511
B7994,B79C6,B7AFE
CD4F2,CD52C,CD513
B7BDF,B7A77,B783A
CF435,CF4DB,CF682
B7BAA,B7A68,B787A
CF3AE,CF399,CF5D4
B78AA,B7A9C,B7A0D
CF5A4,CF400,CF51C
B7B08,B79EA,B7922
CF46D,CF58B,CF568
B7BD4,B7AA4,B7DBE
CF4D9,CF5AD,CF81E
B7BD4,B7AAE,B7CE2
CF81A,CF519,CF6B5
B7B7C,B7BE4,B7C43
CF6DC,CF677,CF5BD
B7C05,B7CAF,B7AE0
CF882,CF846,CF8B8
B7C71,B7ABE,B7BC7
CF801,CF636,CF6E1
B7D9C,B7CFF,B7C19
CF7C3,CF5B1,CF681
B7E61,B7D0D,B7C7E
CF667,CF56D,CF518
B7B3C,B7C84,B7A11
CF5F4,CF768,CF5FF
B7D5D,B7B82,B7B6A
CF4C7,CF4F8,CF618
B7BAE,B7B4E,B7DA4
CF863,CF52D,CF5A0
B7E46,B7CBA,B7CD9
CF5EA,CF720,CF5D7
B7E7A,B7ADA,B7CB7
CF557,CF633,CF534
B7A50,B7BFE,B7D6E
CF767,CF7E6,CF728
B7CEE,B7CFF,B7D29
CF874,CF606,CF7D2
B7CA0,B7D0D,B7C9F
CF7B8,CF78B,CF731
B7DAE,B7E2B,B7FF8
CF937,CF9C2,CF824
B7D9D,B7DA7,B7D22
CF6BD,CF90D,CF894
B7D8B,B7E04,B7E26
CF8FD,CF7BD,CF8A3
B7D90,B7EC3,B7EA9
CF875,CF785,CF98D
B7E7C,B7FFC,B7EAA
CF9EB,CFB87,CFA04
B7FE4,B8145,B7F4E
CFA78,CF8A4,CFA12
B7EC5,B80E0,B7ECA
CF8E5,CFA91,CFB1C
B7F7D,B7EE0,B7E9F
CF9E3,CF982,CFA22
B7F8F,B7FAA,B7E20
CF7D7,CF8B8,CF7B9
B805F,B7E86,B7DDB
CFB68,CFA2B,CFA69
B7F37,B815C,B7E7D
CF8F7,CFA94,CF9DA
B81A0,B8122,B7DEE
CF96F,CF87E,CF9CE
B7EC3,B7E2B,B7EDE
CF900,CFA26,CFA1F
B7B68,B7CA9,B7C0D
CF54E,CF59B,CF4D8
B7C00,B7BD7,B7D33
CF5E9,CF7E9,CF694
B7A79,B7B97,B7ACF
CF797,CF618,CF85E
B7CBC,B7CA1,B7AD3
CF5A9,CF631,CF7B7
B7DC7,B7BC0,B7B9B
CF624,CF7C0,CF814
B7D03,B7E27,B7C42
CF6BA,CF802,CF6BA
B7DBA,B7CB2,B7C7B
CF678,CF592,CF788
B7C8E,B7D3C,B7D20
CF5AC,CF7DE,CF8AF
B7D73,B7CEA,B7F0E
CF6BB,CF70D,CF9F4
B7EF6,B7CE4,B7D6C
CF8BC,CFA6A,CF7A0
B7EAD,B7FCE,B7D46
CF917,CF97C,CF695
B7D8C,B80E4,B7C39
CF693,CF7EC,CF947
B8093,B7DF7,B7F16
CF74B,CF9A3,CFAE9
B7FBF,B7F3E,B7F9E
CF8BA,CF855,CF997
B7DDB,B7E01,B7EDD
CFAD4,CF7BA,CF782
B7E89,B8036,B7FF6
CF8E1,CFA1F,CF978
B7F6E,B7FB2,B7F87
CF9B7,CFA3D,CF90D
B7FFD,B7F76,B7FD6
CFBDF,CFAAC,CFB3D
B81C3,B81BE,B811C
CFB9C,CFA04,CFB04
B80EF,B7FAD,B80CF
CF9BE,CFBA9,CFCA3
B8024,B7F6E,B7FC4
CFBEA,CFAD0,CFC62
B8012,B7E0A,B7F8A
CFAE8,CFB9F,CFB65
B801B,B8265,B80EE
CFABE,CFC7B,CFC02
B7FE4,B8275,B8241
CFC25,CFD44,CFD3C
B82E5,B82E5,B8101
CFCDF,CFCFE,CFA0A
B8083,B7F9B,B8067
CFC29,CFB04,CFBED
B81EF,B8374,B82A9
CFDA1,CFCA9,CFD21
B851F,B80F3,B823E
CFC2F,CFD20,CFD53
B855F,B81EE,B82E6
CFBC7,CFC5B,CFDCF
B83D5,B80EA,B828E
CFCDD,CFD47,CFE0C
B8307,B8370,B834E
CFC8C,CFE63,CFD4C
B8337,B82EC,B8395
CEE5D,CEC44,CEE17
B80F7,B8471,B8368
CFEA6,CFA18,CFD77
B829D,B81CF,B8150
CFC6B,CFCAF,CFDE7
B821F,B835F,B830F
CFC26,CFD81,CFDC7
B8196,B8273,B8266
CFDA8,CFD6C,CFE46
B8408,B84F4,B84A6
CFE84,CFE98,CFE80
B84D7,B8322,B8429
CFDBC,CFB8D,CFCFD
B837C,B8245,B83DA
CFBC8,CFEE1,CFD46
B8247,B8293,B8326
CFEF5,CFFB8,D002F
B83B0,B824A,B82DA
CFE6B,CFD93,CFE80
B84D4,B8398,B8463
CFEA7,D002A,CFEE9
B849F,B83C5,B8432
CFDAF,CFF44,CFF48
B849C,B8500,B8446
CFE21,CFE79,CFDEE
B8310,B8369,B8332
