{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
A19E7,A194E,A188A
89F82,89F0C,89FA8
A1844,A1A4E,A1900
8A04D,8A155,89F60
A1C4E,A1B51,A1A1F
8A06E,89EC0,89EDC
A18FB,A19AC,A1A26
89F2E,8A0EE,8A1E4
A18AB,A1C64,A1BB2
8A1B7,8A1B6,8A1DA
A1AD3,A1A94,A1AE4
8A0B6,8A319,8A086
A1AF8,A1B76,A1BF9
8A1A1,8A15C,8A025
A1B0C,A1CEF,A1C58
8A123,8A081,89FA5
A1B62,A1B45,A1A37
8A13A,8A170,8A24F
A1C18,A1C52,A1C9A
89FE3,8A0EB,8A0B9
A1C9A,A1B46,A1C1D
8A444,8A1B0,8A15D
A1BD3,A1C14,A1BE0
89FE1,8A26F,8A1EA
A1ADE,A1A25,A1831
8A036,8A23B,8A1DC
A1BD1,A199E,A1C7B
89F7B,8A217,8A23E
A0634,A05A4,A05EB
89FC3,89E03,89E62
A18E3,A1744,A1777
89E91,89EE4,89D6B
A18A9,A1849,A18AE
89D4E,89DC4,89EC1
A1828,A1789,A1853
89EC4,89E87,89E2E
A1ACA,A198A,A192E
8A141,8A1C1,89FE4
A1A83,A19DB,A1A46
89F29,8A0DB,8A11E
A1BEF,A1D07,A1A54
8A102,89ED8,89F1F
A1C13,A1850,A19FA
89FEB,89EFA,8A039
A1B3E,A1B9C,A1C1E
8A0AD,89F53,89FEC
A1A35,A1908,A190E
8A05C,89FB1,89FD7
A1A4A,A1942,A1A9E
8A10A,8A15D,89FB1
A1B3B,A1ADB,A19F7
8A017,89F9F,8A061
A1AFC,A1DE9,A1A67
8A1A6,8A2B7,8A050
A195E,A1AF0,A1A10
8A13F,8A005,8A149
A19B9,A1AE0,A1947
8A081,89F11,8A098
A1995,A1A22,A1A24
89FD8,89F49,8A182
A1B58,A1D2D,A1BC5
8A1A9,89F7E,8A0E4
A1B4C,A1A9F,A1D5F
8A0FB,89F7B,89E72
A1BC0,A1A95,A1A54
8A015,8A149,8A200
A1A47,A1B54,A17CA
8A062,8A045,89F58
A1A5F,A1C15,A19F4
8A04E,8A0C0,8A06A
A1977,A1C49,A1A5E
8A201,8A0D2,89F0D
A1A96,A1AAB,A19F2
8A0B6,8A08D,8A002
A1B47,A1B9B,A1B03
8A09E,8A140,8A091
A1A6D,A1C82,A1AD4
89F92,8A226,89FEA
A1C58,A1A0D,A19FC
8A0C5,8A029,89FCC
A1D41,A1C77,A1A51
8A22D,8A1B4,8A19D
A1B36,A1BAE,A1B92
8A17D,89FBB,89F5B
A1A17,A1B1A,A1D21
89FBB,8A000,8A123
A1AEC,A1A36,A1B04
8A06E,89F4B,8A177
A1A11,A1A0B,A1AB0
8A081,8A127,89FFC
A1AB2,A1A93,A1B8F
8A0E7,8A02A,8A0AD
A1CAE,A1B1C,A1CC7
8A092,8A113,8A054
A19CE,A1B1A,A1AC7
8A037,8A08C,8A1B4
A1A7D,A1AFB,A1CB1
8A210,8A232,8A14C
A1C2D,A1C86,A1C51
8A162,8A0CB,8A24C
A1B17,A1BDE,A1DDC
8A1F7,8A13D,8A051
A1AAF,A1AFD,A1BD3
8A2E4,8A1D3,8A3FF
A1C97,A1CF0,A1BFF
8A21A,8A24E,8A141
A1CFF,A1B9B,A1DCB
8A2CF,8A2CF,8A2E9
A1E27,A1E65,A1DA9
8A22D,8A1E4,8A022
A1C4A,A1C62,A1D93
8A2FE,8A253,8A0C3
A1BE2,A1E58,A1BAC
8A1CF,8A208,8A221
A1B6F,A1DE6,A1D2F
8A329,8A24F,8A31E
A1DD3,A1D58,A1C5E
8A4E0,8A63A,8A25F
A1D28,A1CD2,A1C4D
8A2A2,8A33A,8A346
A1E7F,A1B1E,A1C66
8A2BB,8A2DC,8A239
A1E72,A1E12,A1E8E
8A47A,8A2D3,8A1FD
A1E68,A1DEE,A1D3C
8A354,8A232,8A315
A1C96,A1FBD,A1DA6
8A3EB,8A445,8A2DC
A1E3C,A1DF3,A1C55
8A3B4,8A257,8A41A
A1E67,A1D9F,A1C60
8A31B,8A1D5,8A17E
A1E0E,A1E25,A1DCE
8A10D,8A1F5,8A492
A1BF2,A1CB2,A1D85
8A361,8A401,8A4BD
A1D15,A1DF8,A1CC8
8A21A,8A387,8A38B
A1CB3,A1DEE,A1F2B
8A3F5,8A226,8A18D
A1EF8,A1D60,A1DAE
8A165,8A3A0,8A1A5
A1A42,A1CBB,A1C03
8A383,8A163,8A208
A1C94,A1BC4,A1DE2
8A301,8A152,8A127
A1D0B,A1D8B,A1D06
8A197,8A3B4,8A187
A1D9E,A1CF4,A1C80
8A1A7,8A2A3,8A18C
A1E2D,A1C91,A1DA2
8A398,8A2C5,8A1DE
A1CB8,A1C8A,A1BFC
8A1E8,8A2DA,8A2E9
A1B79,A1CBD,A1C22
8A2FD,8A39C,8A19E
A10B8,A0FEF,A115B
8A875,8A880,8A718
A2189,A2475,A21DB
8A995,8A7EB,8A96C
A22C0,A23D9,A22C8
8A95F,8AA0A,8A8EF
A21A6,A22A1,A22F3
8A6E3,8A9BF,8A898
A22B1,A2490,A22ED
