{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
B6D9B,B6C33,B6D24
9F090,9F328,9F1E5
B6CFE,B6C7A,B6C39
9F3FB,9F1FC,9F0A1
B6B7F,B6E37,B6C1D
9F1A3,9F1E2,9F1F4
B6C88,B6B83,B6C1D
9F287,9F1AE,9F13B
B6C5A,B6B7A,B6C25
9F091,9F000,9F157
B6C35,B6C5C,B6D0B
9F25F,9F20C,9F056
B6B7E,B6BBF,B6BBB
9EEC3,9EFC5,9F023
B6A93,B6AC7,B6B40
9F123,9F02D,9F080
B6BE1,B6B5D,B6C6D
9F0B8,9F012,9F284
B69A8,B6A98,B6C0E
9F2B6,9F0A0,9F188
B6AD1,B6843,B6C13
9F1C5,9F039,9F18A
B6B1D,B6A4C,B6C64
9F12F,9F1B6,9F022
B6A79,B6B65,B6BD4
9F117,9F0AA,9F075
B69FA,B6A76,B6C4C
9F06F,9F06B,9F1C1
B6B24,B6B4A,B6ABB
9F1A3,9F029,9F205
B6A64,B6AC6,B69CD
9F015,9EFF5,9EF05
B6DDF,B6B04,B6B6B
9EF11,9F2BD,9F06B
B6B69,B6BDE,B6C9E
9F139,9F110,9F1D5
B6C11,B6B99,B6BF1
9F061,9F1E6,9F176
B6A23,B6CCB,B6E2D
9F07C,9F01C,9EFE9
B6B0B,B6AF1,B6A1F
9F10A,9F123,9F01E
B6B73,B6AD4,B6CCA
9F264,9EFAD,9F29B
B6BC7,B6C89,B6D23
9F1FE,9F0AD,9F04E
B69D3,B6A85,B6973
9F192,9F049,9F023
B69D9,B68E9,B6B15
9F018,9EF06,9EF88
B68A4,B6880,B69D3
9F09E,9EED0,9EED2
B6AE8,B6C7D,B6B5C
9F049,9F160,9F089
B6A34,B6C50,B6B74
9F00C,9EF52,9F183
B6B91,B69C4,B6A3D
9F14E,9F06C,9EFA8
B6A49,B6AE2,B688C
9EEC9,9EF7E,9EF4F
B5846,B58E3,B5935
9FA61,9F954,9F817
B726B,B724F,B730D
9FA29,9F94F,9F7DD
B7590,B74C1,B7526
9F98F,9F82A,9FBA9
B731A,B74F5,B7567
9F9C6,9F8BA,9FA97
B731B,B7415,B7443
9F981,9F906,9F8DB
B7458,B7254,B7233
9FB6C,9F839,9F944
B7380,B75BC,B754A
9F9C7,9F946,9FB03
B75D0,B74AD,B74BE
9FB05,9F9A2,9FA0A
B731B,B7595,B72F1
9F974,9F7FA,9F7C4
B72EC,B735D,B729F
9F9D3,9F8E7,9F7B4
B720E,B73E4,B7233
9F83E,9F84A,9F840
B73F6,B7408,B7326
9F964,9F9E6,9F7FC
B70D8,B7275,B71AF
9F74E,9F6A3,9F75A
B74E4,B72AE,B73B4
9F839,9F979,9F990
B71F9,B723E,B7244
9F879,9F7B1,9F882
B71E1,B733D,B73C1
