{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-80259,-8036F,-802C8
-97E16,-97E55,-97F89
-80336,-80278,-80562
-97D3D,-97D5B,-97DA9
-8032F,-802EE,-80436
-97E9A,-97EC3,-97D96
-803A1,-8050B,-8046E
-97EB8,-97C40,-97EDC
-801B3,-80424,-802BF
-97C66,-97BC2,-97A02
-80200,-80155,-801FF
-97C75,-97DC9,-97CEE
-802A5,-802EC,-8029B
-97C5A,-97B56,-97CFB
-80225,-80336,-801D0
-97B8B,-97CA9,-97A49
-8027A,-80294,-801D1
-97A20,-97AB6,-97A4D
-7FFA0,-7FF73,-7FFCE
-9795B,-97A87,-97A0E
-8006C,-800FE,-800C9
-97909,-97B03,-97D32
-80018,-80228,-800A6
-97A9A,-97983,-979C1
-7FF79,-7FE2C,-7FFF7
-97A01,-97A8D,-979C2
-8010C,-800AC,-7FE62
-97C48,-97C35,-97B06
-80028,-7FF3C,-801F1
-97B90,-97BE9,-97A7E
-8016E,-800D9,-802CB
-97969,-97C20,-97B9A
-801D4,-800DD,-800C1
-97AE6,-97A32,-97B31
-800F6,-80167,-7FFDE
-97AF5,-9797C,-979D2
-80083,-7FEF3,-7FE99
-979B8,-97AEF,-979EF
-8008C,-7FDB7,-80068
-97AC8,-97A6F,-97B25
-800A8,-7FEBE,-7FEA7
-97A04,-979D1,-97A34
-7FF43,-7FEFC,-80113
-97BF2,-97BCB,-97946
-7FFBA,-7FCB8,-80098
-9790B,-97A52,-97ACB
-80105,-7FE6D,-7FF9E
-97947,-97ACB,-97937
-81F4D,-81E77,-82015
-97C47,-97961,-97A0B
-7FE23,-7FF3F,-7FDD5
-978FF,-97936,-97790
-7FF43,-7FD45,-7FF4E
-97912,-978F9,-97867
-7FEB3,-7FEB6,-7FDA4
-97941,-9798F,-977E0
-7FDC7,-7FCA2,-7FD92
-978B9,-977AA,-97981
-7FD61,-7FEE3,-7FEB3
-979EF,-9784F,-977D9
-7FCE2,-7FEA0,-7FD61
-9774A,-97863,-97B07
-7FEE8,-80189,-7FEA1
-9772D,-978B8,-978FA
-7FCEF,-7FCAE,-7FCD0
-97767,-97821,-97A2B
-7FB75,-7FD85,-7FCA2
-976F4,-97731,-97675
-7FCBF,-7FD41,-7FC77
-97817,-975DD,-976EA
-7FC8F,-7FBB0,-7FBB4
-976DC,-97682,-975E7
-7FD8A,-7FC4E,-7FC6E
-97773,-97697,-9766F
-7FC34,-7FD19,-7FBCC
-97887,-977B8,-97691
-7FCA1,-7F968,-7FB85
-974CF,-97659,-9758B
-7FCD3,-7FA48,-7FB2F
-975D2,-975A3,-976D6
-7FD81,-7FC99,-7FB0D
-97407,-972E3,-97467
-7FA72,-7F865,-7FBEE
-9751B,-974E1,-97530
-7F9B9,-7FA63,-7FA61
-97466,-9733F,-974B4
-7FA83,-7FABB,-7FA23
-9747A,-975E3,-97514
-7FB0B,-7F9CF,-7FA57
-973E1,-974D7,-97379
-7F8E0,-7FAC3,-7FA56
-97406,-9750E,-9740D
-7FAB6,-7FA1E,-7F926
-97589,-975DC,-97538
-7F9DB,-7FADB,-7F8FE
-974D9,-973BA,-972EE
-7F7EF,-7F7A9,-7F8A8
-973EA,-9732C,-97226
-7F8F8,-7F7F0,-7F918
-97410,-972CB,-97297
-7F727,-7F807,-7F8FF
-97397,-972CB,-972FE
-7FA0E,-7F7E3,-7FA20
-97418,-971B0,-97305
-7F7AA,-7F985,-7F935
-97191,-9719B,-9731C
-7F86C,-7F84D,-7F6E6
-972CD,-97377,-97254
-7F7D9,-7F6DF,-7F72E
-971BF,-971AA,-97412
-7F778,-7F851,-7F87C
-9737C,-97072,-97239
-7FA00,-7F8DA,-7F8E1
-97448,-9775C,-9763F
-7FAAF,-7FA68,-7FAE7
-976D9,-976E7,-976F7
-7FB93,-7FA96,-7FA14
-976C4,-974DE,-97612
-7FC37,-7FC59,-7FA6E
-97499,-9747F,-9758F
-7F993,-7FAD2,-7F8AD
-97444,-973E1,-97612
-7FB04,-7FA37,-7F9C4
-97366,-973A7,-974C6
-7F8F9,-7FA04,-7F929
-973FD,-9757E,-9748F
-7FA22,-7F9E5,-7FAB7
-97544,-97302,-97243
-7F976,-7F908,-7F815
-9734B,-97533,-974DA
-7F974,-7F9F5,-7F9C8
-9749A,-974B6,-9739A
-7F7E7,-7F8D9,-7F966
-97379,-9762A,-974DA
-7FB27,-7FAAC,-7F8AA
-9732C,-97437,-974E5
-7FB99,-7F799,-7F872
-9749A,-97423,-9743B
-7FB63,-7FB30,-7F8EB
-973DA,-97327,-97593
-7F7FD,-7F8E3,-7F863
-972B3,-97320,-97526
-7F985,-7FA91,-7F92B
-975FB,-973EA,-97366
-7FA2E,-7FACC,-7FAB3
-9728B,-97163,-971FD
-7F6B8,-7F6CB,-7F733
-97454,-971D8,-9719A
-7F874,-7F7E8,-7F68A
-971C1,-9735F,-97237
-7F7DF,-7FA1A,-7F95C
-9744F,-9741E,-97496
-7F95A,-7F945,-7F7D4
-97261,-97112,-972EB
-7F8B5,-7F696,-7F9BC
-971F1,-972A0,-9713C
-7F7BE,-7F865,-7F831
-9731D,-97337,-9723C
-7F948,-7F765,-7F719
-972E5,-97289,-97068
-7F572,-7F64D,-7F678
-971D3,-971E5,-97186
-7F7CB,-7F7D0,-7F5D9
-9714E,-97118,-97287
-7F6C7,-7F6DE,-7F5F1
-9716B,-9702C,-9709E
-7F576,-7F5AC,-7F7CC
-96F9D,-971D4,-97121
-7F81D,-7F64B,-7F6DB
-97350,-96F93,-97208
-7F960,-7F68D,-7F7F8
-9711F,-972E8,-97261
-7F7E9,-7F579,-7F61A
-96FDA,-96F40,-9713A
