{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-47181,-4724B,-47200
-2F865,-2F84C,-2F752
-4731E,-47365,-47320
-2F5CD,-2F78D,-2F952
-4728F,-4706C,-4725F
-2F8B9,-2F800,-2F636
-47364,-472DB,-472AC
-2F9AC,-2FA71,-2F79F
-47316,-47382,-471C0
-2F903,-2F7A7,-2F79A
-47221,-471A7,-4718E
-2F8F8,-2F7A0,-2F8EB
-4713C,-4720E,-4719D
-2F7C3,-2F5E4,-2F5FE
-47221,-46EC6,-47335
-2F681,-2F743,-2F6A3
-4733E,-471A4,-4722E
-2F710,-2F852,-2F587
-47088,-47204,-472F3
-2F5C3,-2F674,-2F53D
-471A5,-47089,-470D1
-2F626,-2F340,-2F5A5
-470DA,-46EB9,-47063
-2F500,-2F686,-2F788
-4703D,-46DF7,-47041
-2F63F,-2F53D,-2F450
-470BA,-47042,-46F86
-2F6C9,-2F5E3,-2F550
-46EC0,-46FCA,-472D9
-2F681,-2F6DC,-2F5C2
-470D6,-4713A,-47171
-2F6D0,-2F572,-2F68A
-4715A,-471E4,-4727C
-2F4B7,-2F6CE,-2F43B
-470BA,-4708A,-470CC
-2F82D,-2F677,-2F7A5
-46F55,-471FC,-46F0B
-2F589,-2F45F,-2F6D3
-47187,-4709A,-470E7
-2F81F,-2F67C,-2F5F3
-46FEC,-4705E,-46EDD
-2F81E,-2F582,-2F59D
-47006,-47023,-46FB8
-2F615,-2F6C7,-2F5DC
-47104,-46F35,-470AA
-2F337,-2F496,-2F302
-46E12,-46F92,-46F50
-2F5F8,-2F60B,-2F56E
-47089,-46E02,-4730C
-2F7D4,-2F65A,-2F3D4
-4719B,-47183,-471A2
-2F693,-2F6E1,-2F540
-47116,-46F83,-471C8
-2F615,-2F684,-2F58E
