{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5B903,-5B902,-5B8BD
-7330D,-735A6,-73385
-5B91D,-5B735,-5B6E4
-731EF,-733FE,-732ED
-5B94C,-5B819,-5B93F
-73369,-732D3,-734F0
-5B872,-5B705,-5B86B
-732C5,-732D9,-7331C
-5B745,-5B9DA,-5B835
-7317F,-73248,-73221
-5B670,-5B73D,-5B86F
-732B7,-73098,-73222
-5B88F,-5B7C0,-5B95C
-7335F,-732FE,-73245
-5B861,-5B7FA,-5B68D
-732C0,-732CA,-7317E
-5B807,-5B81D,-5B7BA
-73198,-730EB,-7323E
-5B81F,-5B7F7,-5B6A0
-732A9,-733CD,-73215
-5B983,-5BA2E,-5B943
-73404,-734F8,-7348F
-5BC46,-5BB22,-5B7A6
-733A5,-732DC,-733AC
-5B80A,-5B828,-5B8EE
-7318C,-7333B,-7330C
-5B794,-5B8CD,-5B726
-732EA,-73234,-73342
-5B6D3,-5B830,-5B71B
-73322,-7326C,-73280
-5B6C1,-5B883,-5B733
-731FD,-7338D,-7309E
-5B873,-5B6F3,-5B859
-7333D,-7329B,-73202
-5B83C,-5B8F2,-5B987
-7334E,-7350C,-73240
-5B8CA,-5BA28,-5BA14
-7339A,-73343,-73298
-5B8AC,-5BB8A,-5B946
-731D6,-733BA,-734D4
-5BB5A,-5BBAF,-5B9BD
-732DD,-7343B,-7341E
-5BA6D,-5BA0C,-5B7DF
-73584,-7333B,-734B1
-5B8C4,-5B7EF,-5B8C5
-7334F,-7338C,-733A8
-5B8D2,-5B701,-5B940
-7341C,-73542,-733B8
-5BA37,-5B87B,-5B959
-7325C,-734EC,-73287
-5B7C5,-5B830,-5B737
-73418,-733D5,-734B8
-5B9BB,-5B8A5,-5BB87
-733CA,-733A5,-733CB
-5B9D2,-5B737,-5B8DB
-73428,-73341,-73348
-5B883,-5B9AA,-5B95D
-7328D,-73472,-73507
-5BBB0,-5BB22,-5BB1E
-734B3,-735C2,-735E9
-5BA5E,-5B906,-5B9AD
-733FA,-7353E,-733BD
-5B979,-5BAD4,-5B9D0
-73317,-7344C,-73328
-5BA6B,-5B9D8,-5B8B8
-73350,-7338A,-73365
-5CAD2,-5CC4D,-5CC33
-72A5B,-72BB1,-729CC
-5AFA9,-5B03C,-5B149
-72B7B,-72C11,-72B09
-5B11E,-5AF6E,-5B0D3
-72B45,-72B1C,-72B8A
-5B026,-5B189,-5B010
-72C55,-72B93,-72B32
-5AF9C,-5B17A,-5B025
-72B18,-72C02,-72A11
-5B0CD,-5B337,-5B057
-72D6A,-72B34,-72921
-5B288,-5B1BF,-5B0A1
-72C66,-72CDD,-72BF9
-5B0BB,-5B32A,-5B290
-72CDC,-72BA0,-72A82
-5B108,-5B117,-5B0E4
-72B9C,-72CCC,-72B13
-5B0AA,-5B116,-5B143
-72AE0,-72B4D,-72B25
-5B183,-5B093,-5AFC2
