{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-31C3D,-31C4B,-31B02
-4968D,-496CE,-496E4
-31AC5,-31BFA,-31B54
-495F0,-49433,-49506
-31A27,-31977,-31AB2
-49801,-49664,-49570
-31BAA,-31D16,-31AE4
-49659,-4962A,-4968B
-31B3C,-319EA,-31A77
-49459,-493C7,-494C2
-31B62,-319DF,-31A16
-4959B,-495EE,-49789
-31A05,-319CF,-31A2B
-49573,-4967F,-4956B
-31AED,-31C88,-31AC1
-49504,-495AD,-49416
-31A1A,-31B1B,-3177C
-494CD,-491F4,-4944B
-3194C,-31A40,-319EF
-493FD,-49536,-49413
-31A52,-319F8,-31AF6
-495C2,-49402,-493F2
-318AC,-319C0,-318C7
-49011,-49271,-49311
-3169B,-319E3,-3165B
-49380,-4929E,-49267
-3186F,-317DB,-31816
-49464,-49216,-49349
-31756,-31894,-318F3
-49347,-493C5,-492BC
-31640,-316E7,-31840
-49484,-49106,-492E4
-317AC,-31821,-3157C
-49137,-49116,-48F4B
-3173F,-3166F,-3167E
-48F9F,-492A1,-490F3
-31693,-317A8,-316D4
-49218,-48FC5,-491E7
-315D9,-31645,-3178D
-491E8,-491C9,-48F65
-3155F,-316B3,-31677
-48EA4,-49263,-490B2
-31511,-31534,-31750
-49002,-48FFF,-49095
-3153F,-314FE,-3146A
-48F95,-48FBC,-48F5C
-31558,-315C6,-31775
-48F61,-49223,-491C6
-3161C,-317AC,-313B7
-48F1A,-4904A,-4911B
-3156C,-314F2,-31645
-48F74,-49078,-490A1
-33479,-333ED,-33752
-4902A,-48FE5,-4917B
-31605,-31803,-316C4
-48EF0,-490E9,-49072
-313B9,-314B8,-3147E
-48FCF,-48DF4,-48D2E
-3157E,-313F9,-3174D
-48DEA,-48F07,-48E7D
-31430,-3164C,-313ED
-48F99,-490AF,-48FE4
-31679,-315F1,-313CA
-48F16,-48F59,-48CC2
-3142C,-313A3,-314CD
-48F3F,-4900E,-490C7
-315AA,-312B5,-3137F
-48EA1,-48F54,-48F88
-315D0,-31514,-3147A
-48ED9,-48F35,-48E4E
-31464,-31404,-3151C
-48F07,-48F15,-48F0A
-31554,-31353,-31397
-490C1,-49006,-48FDC
