{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
CB9AD,CBA2C,CBB8A
CA728,CA612,CA705
E22A5,E2179,E20AB
CA87B,CA8BC,CA827
E237C,E2273,E2350
CA7AB,CA864,CA7C1
E22B7,E219C,E22DB
CAA0B,CA6FD,CA8DB
E2230,E218C,E2176
CA990,CA8D5,CA985
E238F,E2127,E210E
CA89E,CA782,CA748
E259D,E23EB,E232D
CA8FF,CA727,CA96E
E20E0,E218C,E2058
CA8B2,CAA5E,CA9AB
E23CD,E2446,E2393
CA879,CA81F,CA8CE
E22D3,E2328,E246C
CAAA6,CA79A,CA9EB
E221C,E2156,E21C0
CA738,CAAC3,CA853
E24A8,E2251,E2428
CA95F,CA71A,CAA1E
E23BB,E2449,E2439
CA895,CA98F,CAADA
E2342,E2167,E2259
CA800,CA924,CA9A6
E255A,E22B8,E232D
CA97C,CA87A,CAA03
E2440,E2458,E2494
CA866,CA739,CA829
E2485,E218C,E21F3
CAA28,CA94E,CA81C
E25B1,E238A,E246F
CA85D,CA9AD,CA8B2
E25DB,E257D,E2370
CA85D,CA9DD,CA91D
E212B,E2237,E2138
CA851,CA900,CA8E7
E219E,E2285,E234C
CA8D2,CA7A6,CA8C6
E222C,E242F,E22A6
CA7BF,CA824,CA7CA
E21A9,E2249,E2304
CA97F,CA7C0,CA7CB
E2160,E2237,E2398
CA770,CA894,CA909
E2320,E21C9,E23C0
CA86B,CA9B6,CA95D
E242D,E22DD,E2409
CAAD3,CA92C,CA743
E2462,E2524,E2533
CA9AD,CA97F,CA926
E23A5,E234B,E2408
CA88D,CAA81,CA999
E231E,E235A,E23D1
CAB8B,CA781,CA92E
E23AD,E22BC,E2535
CA944,CA81C,CA956
E248A,E2477,E2485
CA81C,CA92B,CA95E
E2368,E241A,E243F
CA864,CA995,CA913
E2447,E230A,E25E4
CAA9E,CAAD7,CA8E6
E22EC,E24EF,E2384
CA820,CA981,CA9E2
E2678,E23BC,E2549
CA944,CA988,CA7F1
E2544,E21CD,E2328
CAAAC,CAA10,CAAE8
E2419,E2361,E238F
CA926,CAA8A,CA8FA
E24CD,E2196,E2483
CA946,CA86A,CA8B1
E2448,E2398,E2260
CA94B,CA959,CA9C3
E237A,E2440,E2397
CA8D8,CA89F,CA929
E24E4,E2376,E24A4
CAADC,CAAEB,CAA9C
E24DD,E24D1,E23CC
CAC45,CAA85,CAAF0
E1A2C,E187F,E191A
CB0C3,CB07E,CB1B8
E2BEF,E2A5A,E29D2
CAFFE,CB04A,CAFBA
E2A4F,E2CB1,E28D6
CB07B,CB1E6,CB20D
E2A46,E2D16,E2BAA
CB08B,CB21C,CB1DB
E2BAC,E2A40,E2D0B
CB0FB,CB088,CB1ED
E2A91,E2B18,E2B77
CB107,CB26B,CB253
E2BDA,E2CC2,E2B54
CB2A3,CAFFF,CB10E
E2BFD,E2990,E2C45
CB257,CB1C6,CB12A
E2D30,E2CC1,E2C63
CB170,CB361,CB2D3
E2CD6,E2CC2,E2B41
CB14C,CB20B,CB1A8
E2BB0,E2E96,E2DCA
CB1A9,CB26E,CB197
E2D67,E2D64,E2DF2
CB32F,CB273,CB484
E2EB8,E2D49,E2E8D
CB445,CB11C,CB1A1
E2D31,E2C43,E2E37
CB598,CB45A,CB3E5
E2C4F,E2C95,E2D5B
CB35D,CB29F,CB380
E2C90,E2C66,E2D91
CB282,CB2FD,CB120
E2DD7,E2E43,E2DCB
CB4B7,CB465,CB4CA
E2ED5,E2E8F,E2D21
CB2A6,CB413,CB37F
E2D0F,E2D8D,E2F11
CB3B9,CB3EB,CB2B8
E2BB9,E2D61,E2C8B
CB2FE,CB319,CB4FE
E2E04,E2E04,E2F23
CB3B9,CB440,CB4EC
E2CB2,E2C8A,E2D0E
CB29E,CB49A,CB342
E2B44,E2C72,E2CA3
CB16C,CB220,CB2FB
E2CB3,E2E0B,E2CB8
CB166,CB480,CB1F4
E2CEF,E2F1F,E2E7E
CB314,CB3E3,CB1A0
E2E6E,E2DF3,E2D83
CB2F8,CB22A,CB2E2
E2CFB,E2CD8,E2E78
CB365,CB08C,CB21F
E3044,E2E11,E2F25
CB45B,CB19F,CB434
E2F02,E2DDB,E2FFF
CB31A,CB225,CB306
E2C0A,E2EB1,E2F6A
CB359,CB28E,CB3A5
E2F65,E2D1E,E2FBC
CB3EA,CB5A7,CB435
E2C66,E2F15,E2E2B
CB32E,CB34F,CB3A7
E2D8A,E2D68,E2DD8
CB5A8,CB340,CB394
E2DDC,E2D7F,E2DF5
CB455,CB34C,CB3FF
E2FDF,E2D74,E2E22
CB3D7,CB49C,CB33F
E2C74,E2F40,E2F21
CB3F2,CB5C5,CB486
E2F2A,E2F78,E30F9
CB4DA,CB5E0,CB373
E2F76,E2EE3,E304C
CB43B,CB526,CB6A1
E2F9A,E2F40,E2F7C
CB530,CB59F,CB5E7
E2FB4,E2E77,E2F20
CB4A8,CB502,CB4E3
E3071,E2FF6,E2FFD
CB36D,CB511,CB51A
E2DC8,E301B,E2EA1
CB469,CB3B6,CB38E
E2C68,E2E14,E2EF2
CB434,CB3EE,CB41B
E308B,E2FBB,E2FF4
CB4B7,CB70C,CB5B0
E306C,E3172,E2E0E
CB52E,CB618,CB5C4
E30B4,E2EEF,E31B5
CB4F0,CB746,CB4C7
E2FC3,E3054,E2F1F
CB578,CB4CB,CB5D7
E30D3,E312A,E2F08
CB519,CB549,CB46E
E2FFA,E2F4F,E300F
CB59E,CB612,CB5CB
E2EF3,E30DB,E3034
CB615,CB540,CB52A
E316C,E2F58,E2F91
CB66B,CB4D6,CB6E6
E3176,E30E6,E2F6F
CB457,CB513,CB5A6
E2FFA,E2F3C,E2E7A
CB673,CB71B,CB5C4
E2DE4,E323D,E301F
CB53F,CB745,CB646
E3114,E3184,E3062
CB53D,CB6A5,CB6B4
E2F48,E2F0D,E3199
CB655,CB645,CB477
E30A5,E329B,E3051
CB4D2,CB709,CB661
E3011,E30B0,E2FC6
CB74F,CB494,CB6F0
E2FBF,E305F,E2CC8
CB6D1,CB3DC,CB6F2
E30DD,E3076,E31F1
CB606,CB5B2,CB5E2
E2EDF,E2ECE,E2F5E
CB5A1,CB4F4,CB512
E2EC4,E304F,E2F33
CB652,CB640,CB5CF
E2EF6,E3023,E30E5
CB6A6,CB5AE,CB6B5
E2F9D,E30CF,E30A1
CB514,CB676,CB4D5
E7475,E7464,E7264
C7C78,C7B2E,C7B71
DF4FC,DF7D6,DF4E2
C798A,C7A2B,C7B81
DF50E,DF577,DF6E2
C7A5E,C7BF6,C7B90
DF4DD,DF514,DF47C
C7B13,C7A8C,C7BF5
DF628,DF4EF,DF50C
C7B46,C7A5E,C7DDE
DF438,DF4E5,DF595
C7C14,C7B10,C7A87
DF3F0,DF5D3,DF421
C7CCC,C7BF2,C7AF5
DF656,DF410,DF483
C7C1C,C7AA3,C7AAB
DF6F9,DF695,DF774
C7BED,C7C86,C7BEF
DF64B,DF408,DF5C2
C7DAB,C7BFA,C7B16
DF528,DF67A,DF648
C7C3D,C7B84,C793F
DF5D5,DF670,DF514
C7B46,C7BCF,C7AE9
DF830,DF6CB,DF792
C7B81,C7C36,C7CC3
DF5E0,DF5E1,DF6DA
C7D09,C7DB3,C7B52
DF7D7,DF6D2,DF68B
C7D34,C7AD6,C7A3D
DF5BE,DF61C,DF664
C7C49,C7CD5,C7CBF
DF593,DF6E3,DF5F6
C7D07,C7C24,C7B2F
DF70B,DF710,DF688
C7BEC,C7D43,C7C0A
DF5C3,DF69B,DF745
C7E6B,C7DA5,C7C26
DF583,DF5EF,DF792
C7C29,C7E2D,C7D33
DF884,DF67E,DF8EF
C7CBB,C7AED,C7CA1
DF65B,DF6DE,DF5D8
C7BD6,C7EA4,C7DD2
DF6C1,DF7C6,DF74C
C7D0C,C7DE6,C7D1D
DF630,DF741,DF61F
C7D89,C7D17,C7C9C
DF85B,DF739,DF8A5
C7C62,C7BD9,C7B98
DF784,DF5B0,DF6D4
C7C61,C7DE8,C79D0
DF54A,DF616,DF6D2
C7C4C,C7DA1,C7D4D
DF43E,DF712,DF593
C7D20,C7C63,C7B77
DF73C,DF875,DF8EA
C7B9A,C7B65,C7C00
DF658,DF760,DF7E3
C7D13,C7BD6,C7E17
DF685,DF759,DF635
C7C66,C7BBC,C7DCE
DF7B5,DF6AE,DF79C
C7ED6,C7CC1,C7E5E
DF7E2,DF86A,DF75A
C7D63,C7DD9,C7D5E
DF761,DF8E0,DF50F
C7E54,C7DCE,C7BAC
DF99A,DFA5C,DF7EF
C7D63,C7E70,C7D3F
DFA9F,DF9A6,DF941
C7FF7,C7D4E,C8012
DF72A,DF8E8,DF8FF
C7E0D,C7EA9,C7FEB
DF8C5,DF9A4,DF9FE
C7F44,C7F2C,C7F96
DFA97,DF9AE,DF903
C7F90,C7F0E,C7F75
DF830,DF7FD,DF9C6
C7E63,C81F1,C7FC0
DF9CA,DFBE1,DF9D4
C8072,C7E2B,C80C1
DF8B4,DF9CD,DF9A8
C7F6B,C7E6A,C7F20
DFAEA,DFA8B,DFA29
C8142,C80E5,C7EAD
DF9D6,DF9D0,DF8B3
C7DD1,C7E04,C7D64
DF7F0,DF9B0,DF780
C7FEF,C8090,C7E37
DF959,DF8EA,DF9CA
C7EEC,C810C,C8128
DFAF3,DF803,DF8FB
C804A,C8121,C7F35
DF8F3,DF9FF,DF916
C7FB3,C7F71,C7EF0
DFA74,DFAC8,DFA98
C800E,C8019,C7EDE
DF84A,DF960,DFC42
C7F8C,C7EA8,C7E09
DF9A3,DF9EB,DF827
C81C2,C8053,C7EBE
DF9B9,DFA1A,DF8F3
C7EAA,C7F50,C7F58
DFA90,DFA4A,DFCBE
C8154,C8339,C806F
DF9AC,DF952,DFC8B
C8079,C81CF,C80FE
DF967,DF99B,DFA87
C7F26,C7EEB,C7EA4
DF72A,DF934,DFA8E
C7F26,C7E05,C7E6F
DFB37,DFB11,DFAF3
C7FB1,C7E20,C8046
DF76E,DFA9E,DFAA2
C7E11,C7D3E,C7ED6
DF9BD,DFBD8,DF9F0
C80DF,C7EB8,C7FEC
DFB05,DF9A0,DF9C7
C7FF5,C80C9,C81AC
DFBC8,DFA45,DFA04
C8052,C804E,C7F9A
DF950,DF9D5,DFADF
C80B7,C7E7B,C8091
DFBB4,DFB60,DFA14
C807A,C815E,C7F76
DFA4A,DFAE1,DF9DE
C7EB1,C8156,C7E53
DEE82,DECA9,DEC47
C8608,C8683,C83F3
DFFA2,DFEE6,E0079
C858F,C8410,C83B2
E008B,E00D1,DFFA0
C85AD,C85AA,C84EF
DFFBE,DFF3A,DFDE6
C8648,C8454,C8680
DFF4E,E001E,DFFF2
C870E,C87C3,C863C
E017B,E003D,E008D
C8852,C86DC,C873C
E02C4,E0044,E026E
C85EC,C8690,C8917
E0017,E01B3,E002A
C8720,C86C5,C86A7
E0277,E0210,E02E4
C873B,C86E3,C87D9
E009D,E005C,E0178
C8721,C8665,C866B
E0149,E00B0,E00A1
C880E,C87CB,C8907
E01A9,E0127,E0019
C86A0,C8774,C87A0
E0182,E02CF,E022F
C87D2,C879F,C87DD
E021C,E004C,E0135
C892A,C886A,C85FB
E0378,E02F9,E0306
C8977,C869F,C87A1
E025F,E014F,E028B
C8871,C89F9,C8685
E0102,E0135,E026F
C8868,C88FA,C8900
E00C0,E0284,E016A
C8876,C87D2,C87DA
E0214,E0264,E02FB
C884E,C8902,C88F8
E026D,E015A,E0271
C8854,C87A4,C8845
E0251,E0289,E0257
C89AB,C877D,C88C4
E034E,E023B,E01BA
C87B3,C899C,C879E
E01F1,E02BF,E00DD
C885B,C8826,C89E3
E0082,E02D0,E04D9
C87A7,C87C3,C86CC
E0480,E03DF,E0397
C8988,C88BF,C8917
E02C0,E0173,E0287
C8751,C86BE,C8757
E024B,E03DF,E0267
C890E,C87C8,C8717
E02CE,E02B5,E00AA
C8767,C87BB,C87BE
E0196,E00ED,E0391
C8BC9,C8990,C883E
E01BC,E0312,E024E
C8891,C88F1,C863B
E01F4,E028A,E00E3
C87F3,C8835,C8805
E0203,E031D,E001F
C87F8,C8752,C8797
E0355,E0310,E02F8
C87F8,C8849,C8744
E0227,E0395,E045B
C8885,C87E3,C8737
E01EA,E037D,E024B
C87C2,C88F9,C878F
E02A6,E0263,E01C7
C8753,C87B2,C879E
E0303,E03E0,E0353
C8957,C87DC,C871D
E0270,E0092,E0388
C8999,C8737,C88C7
E0330,E04DD,E0413
C8871,C8AD7,C87F5
E04C1,E02B5,E038A
C889B,C8731,C87B1
E0528,E0470,E0407
C899D,C88B5,C8859
E023B,E020E,E021F
C8899,C8791,C8AE4
E0197,E002D,E02A8
C8725,C869B,C859F
E0140,E00F6,E0124
C87B1,C86E9,C873A
E014B,E0128,E0315
C875C,C875D,C84CB
DFFB3,E0353,DFF60
C8881,C88CF,C88D8
E047C,E03A2,E0414
C8894,C86E3,C8805
E043E,E04BE,E0389
C8975,C89B7,C8A26
E0207,E035C,E0404
C891B,C8A29,C8768
E0299,E0391,E0322
C8A7A,C8992,C8A98
E048B,E05F5,E0562
C88BD,C8976,C8A8C
E053E,E05BB,E05B4
C8AFD,C8B83,C88AE
E0555,E04AF,E03E1
C8A1D,C8908,C88C2
E0392,E02CD,E02D8
C892D,C8964,C899F
E031B,E03AE,E034F
C89F5,C8B6C,C8941
E03E0,E049A,E0317
C8A4E,C8981,C8AA6
E05B9,E06BA,E0603
C8D5C,C8A33,C8B36
E046B,E0447,E03F6
C8BDD,C8A34,C8742
E0626,E0337,E0399
C8951,C896B,C8C21
E051A,E05CC,E040B
C8AD0,C898A,C8951
E0353,E0565,E04CA
C8D0B,C8A40,C8956
E045E,E05B7,E023F
C892A,C8862,C87E2
E0455,E0433,E04BA
C893F,C8983,C8B37
E033C,E04E2,E053E
C8AAC,C88BF,C88BE
DF19A,DF394,DF015
C86DF,C87AE,C8823
E01E6,E023E,E0026
C881B,C8846,C86FC
E0285,E022D,E011C
C8931,C87E9,C8834
E036A,E0311,E01C2
C8784,C865F,C881D
E018C,E03D6,E04A1
C87F0,C8788,C8B2E
E0296,E03E4,E048B
C88F2,C8BE7,C8941
E046E,E035A,E0373
C882A,C8A26,C8882
E01FD,E02BF,E03A8
C8849,C88A6,C8894
E01DC,E0305,E02A1
C8785,C8725,C88FF
E020B,E030F,E02E8
C886A,C8785,C8849
E0385,E034B,E03D6
C87FB,C8842,C89A9
E0296,E02F1,E0372
C89D6,C8714,C8920
E01DE,E028C,E041A
C8962,C8A73,C8981
E0560,E03F8,E0529
C8A6E,C8A8E,C883C
E02CF,E06CE,E05A3
C8912,C8A2D,C8B8E
E04E8,E039D,E0677
C89FF,C8AAF,C8925
E04F8,E05EB,E0464
C8AC8,C8B9C,C899E
E0592,E050F,E04E6
C8868,C89EC,C8A9B
E0358,E03AC,E03AC
C8ACD,C8AAB,C8CB5
E02F2,E0519,E0533
C886E,C8A22,C87C0
E04BA,E0672,E0681
C889D,C8A1E,C8B8E
E0323,E02F6,E052C
C8984,C8996,C8B2B
E04AC,E0626,E0402
C8B4F,C8A3A,C890E
E05C7,E03DB,E043E
C8AA3,C8A64,C8AE1
E049A,E05F9,E05FD
C89FA,C8ACA,C87A6
E03A6,E0286,E04A5
C899D,C8A70,C8972
E05D5,E0303,E01E3
C89CF,C8A51,C8A78
E0308,E045C,E052C
C8A3E,C89D2,C8B09
E053A,E0645,E04E5
C8B1C,C8B73,C8AE6
E06D3,E05B8,E0405
C8B3B,C8B3D,C8B6D
E0520,E0523,E03A7
C8B20,C8CC0,C8C6E
E03F4,E064E,E0398
C8A7F,C8A4E,C8A5B
E0311,E05D2,E05A9
C8C71,C8AFB,C8A68
E05E8,E0679,E065A
C8D67,C8AF1,C8A3C
E06C7,E046B,E0504
C8B38,C8CCF,C8AE4
E04C2,E0717,E0412
C8CA2,C8A94,C8B02
E050B,E0665,E084B
C8C09,C8C94,C8B3F
E055F,E0720,E0658
C8C79,C8C64,C8A6E
E053A,E05A5,E0765
C8C78,C8CC5,C8BC6
E0453,E06BA,E06F0
C8D1E,C8CBC,C8A9E
E068A,E07E6,E0792
C8DC6,C8C55,C8B30
E02F9,E061F,E07CA
C8BB0,C8CFD,C8CB4
E05D2,E05D7,E05E6
C8944,C8CC9,C8B94
E0589,E044D,E05F2
C8A4F,C8DA1,C8B1C
E07BB,E06DA,E0779
C8C10,C8AEB,C8B4B
E05E4,E05C3,E0495
C8C3A,C8CA0,C8C3E
E07A8,E06E0,E0744
C8AED,C8C13,C8C77
E0498,E0755,E0663
C8B8B,C8BB9,C8C17
E0725,E0654,E05F3
C8BA4,C8B95,C8BE3
E0328,E04D0,E0519
C8B66,C8B03,C8B5D
E06D7,E0514,E0527
C8CC1,C8C24,C8A7C
E044F,E04ED,E0563
C89C0,C8A1C,C8B27
E0446,E06D5,E0600
C8B25,C8B22,C8CAF
E0400,E056C,E0694
C8CD5,C8AD9,C8AA4
E05A6,E0676,E04F9
C8BAB,C8C01,C8B5B
E05ED,E0547,E0609
C8A70,C8C91,C8AE1
E05B8,E0651,E06D7
C8B00,C8B97,C8AE7
E0561,E0618,E04B3
C8A38,C8B18,C8976
E06D6,E070D,E0651
C8AA8,C8A0E,C8ADF
E05AE,E04C5,E04A7
C8A5E,C8CA6,C8B68
E05B0,E063D,E0611
C8D1C,C8BE2,C8A5C
E0682,E0612,E0475
C8C0B,C89F5,C8996
E05D4,E0770,E05D9
C8BC8,C8CE6,C8C17
E02C6,E0334,E04F9
C8D7D,C8B63,C8D2A
DFA70,DFBA2,DF869
C9154,C91C4,C9131
E0BC8,E0BFA,E09F5
C92BA,C935E,C920A
E0B7B,E0D72,E0CA2
C8F9D,C9166,C916C
E0BAF,E0B93,E0B83
C91C3,C91E6,C90EA
E0D10,E0F7B,E0C85
C9365,C934D,C9308
E0F11,E0EDD,E0F15
C92EF,C924E,C92F2
E0CD4,E0DF7,E0C7E
C93A7,C938C,C93C7
E0CB6,E0CC3,E0D31
C9275,C934D,C9345
E0A83,E0E2D,E0DB9
C93AE,C906D,C94A2
E0E89,E0C7F,E0F60
C9398,C92F7,C936B
E0DA8,E0E72,E0B71
C9477,C94FD,C9268
E0D29,E0E62,E0C54
C91BD,C92A5,C9307
E0DF4,E0C54,E0C86
C93CB,C9361,C93D4
E0C47,E0C12,E0BAF
C94A3,C955E,C94B0
E0B8E,E0CFA,E0D18
C92A7,C92D4,C9412
E0FBE,E0E63,E0CB1
C93F6,C91DF,C92B6
E0E54,E0DC5,E0CFA
C9425,C94EE,C9471
E0E00,E0BE0,E0CE4
C936B,C937F,C9349
E0F74,E0D79,E0D7A
C958B,C9528,C9322
E0D79,E0D16,E0EE8
C9577,C943D,C92E1
E0DF5,E106F,E0F87
C963A,C95ED,C9505
E0EF8,E0FC1,E0F9E
C984C,C952D,C94D0
E0FCD,E0E6F,E0E82
C93B8,C947B,C9591
E0D88,E0E16,E0FD8
C9423,C95D9,C947D
E0FFB,E1016,E10C1
C947E,C9494,C9472
E0E90,E0F20,E1036
C948A,C953A,C961C
E0FED,E0EBA,E0E7E
C976C,C9563,C93E8
E0EA1,E0F4D,E0EBC
C9483,C9353,C9443
E0DEA,E0E3A,E0E98
C954B,C93F3,C93C9
E0E56,E0E86,E0F15
C93B6,C937A,C9359
E105E,E0ED1,E0FF4
C949F,C949D,C93EC
E0C26,E0FBC,E1045
C9422,C965E,C9449
E0DE8,E0E77,E0FBE
C95D4,C93B1,C941A
E0F24,E0F89,E1062
C9555,C940C,C9545
E1083,E0EC8,E0DF2
C94D0,C96D6,C972F
E0F44,E103E,E0F60
C949E,C94DD,C95BF
E104D,E0F9D,E0F3A
C93C5,C94E2,C95BD
E0E1A,E0CD8,E0FFC
C9454,C958C,C94ED
E0F14,E111D,E102E
C94C0,C9721,C96AB
E10FD,E1092,E0E59
C9553,C9498,C9637
E1055,E11AE,E0E58
C9504,C9588,C9506
E0F12,E0E97,E0FB6
C957D,C9622,C936A
E0FAD,E0F9D,E104A
C9581,C94B0,C95E2
E0F4D,E0F68,E10F8
C936F,C93C9,C9661
E117D,E113D,E1130
C95FA,C94E8,C9340
E0EFD,E0ED6,E0FFC
C956A,C9404,C9422
E0E0A,E103A,E0E71
C957C,C94F8,C953C
E0EF2,E0DEE,E0CA9
C93F6,C9611,C9501
E0EA9,E0DCC,E0E9E
C936E,C9429,C92BF
E0E7A,E0E70,E1023
C94C4,C94D1,C947B
E0EF1,E0E96,E0E15
C9475,C9647,C9571
E10AD,E0E4A,E0F9F
C93F5,C95D9,C9611
E113D,E1150,E119B
C95CB,C935A,C95C8
E0F8A,E117C,E101A
C9666,C95C0,C989E
E1119,E0ED4,E10BD
C966B,C9566,C9472
E1033,E0FF1,E0F2F
C950E,C94A2,C95F4
E10A8,E106B,E103B
C942D,C94D7,C95FD
E1091,E1021,E1068
C9649,C95DF,C951E
E102A,E1061,E1051
C9605,C9589,C9408
E0E5F,E0E57,E1034
C962D,C9380,C9507
E0FB1,E0F82,E1029
C961F,C96FD,C9759
E105B,E110D,E0FEA
C9480,C96E3,C968A
E10FF,E107E,E10FA
C9623,C9662,C9811
E1079,E108D,E102B
C971E,C971A,C9696
E1626,E173C,E16BD
C9412,C91AE,C9228
E0C46,E0B34,E0CCA
C925D,C92F6,C910C
E0DA4,E103A,E0E0D
C92B9,C92CC,C944B
E0CE3,E0D43,E0CE0
C908C,C9234,C92E0
E0DE6,E0C73,E0DFA
C91A4,C9358,C937A
E0E94,E0EB3,E0D57
C93C2,C94D4,C94BA
E0E95,E0CE3,E0DB9
C92FC,C9415,C9562
E0E59,E0F8E,E0FE5
C9388,C935D,C9476
E0F01,E0FBA,E0E91
C9437,C940C,C93E0
E0ED5,E0CEE,E103C
C92C0,C93CB,C92B7
E0E13,E0C3B,E0CDC
C9488,C9378,C9322
E0EE6,E0E56,E0E39
C9311,C9137,C9359
E0F01,E100A,E10FF
C9407,C9426,C9486
E0D57,E0DB5,E0F26
C91B9,C9287,C9383
E0CA6,E0D40,E0CB9
C935F,C93C1,C920C
E0E09,E0C74,E0DD3
C9332,C92C1,C9571
E0DB4,E0ED8,E1005
C9535,C9399,C94CA
E0E9F,E0E7E,E0F30
C9488,C9477,C9540
E0EB6,E0F71,E0DA6
C95A4,C9582,C944E
E0E39,E0F99,E0F66
C94E6,C94D3,C9493
E0F63,E0F0E,E0CD4
C9384,C93E9,C94A9
E0D00,E0E31,E0E84
C9762,C95E4,C9798
E0E9F,E0FAC,E0FA9
C94DE,C9567,C9494
E0E20,E0EFE,E0E9B
C96EF,C9597,C94D3
E0FA4,E109B,E1144
C956A,C96B6,C9619
E1061,E0E6B,E0E23
C9417,C9443,C92BF
E0E6D,E0D78,E0E02
C9302,C9552,C954C
E0FB1,E10D3,E0F22
C94CA,C9531,C9587
E1210,E124F,E1100
C954C,C9560,C95B8
E0EFC,E106B,E1047
C93D0,C9573,C95E8
E0F41,E0FB4,E0EBD
C958D,C9388,C9574
E0FE8,E0F6E,E0F06
C9631,C9571,C9587
E0FD6,E0E8A,E0EEC
C95AA,C9493,C9477
E0F1D,E0EF0,E0F96
C94CB,C947D,C9624
E0E1D,E0F34,E0FB1
C97D9,C95DB,C9536
E1141,E11A3,E122A
C9655,C961B,C952E
E11B7,E0FFD,E0FA2
C96AB,C96C0,C95A8
E0E73,E1011,E0EFF
C959D,C94BB,C9614
E0FBE,E1032,E1108
C96C8,C960A,C956B
E105F,E1129,E13CC
C9920,C97A0,C9618
E12D6,E10E6,E1120
C955C,C94FA,C9554
E0EF0,E0FFD,E0F14
C94B3,C9556,C9726
E0EBC,E106C,E1168
C956F,C9578,C94DD
E0FA5,E0F1C,E0F6E
C95BE,C96A2,C9703
E1052,E11A2,E1001
C952B,C9609,C966D
E106E,E1116,E0EE5
C9753,C9759,C96AC
E11E3,E1296,E11A3
C97AC,C968A,C96D6
E11AF,E1139,E1164
C96B4,C9629,C95F7
E0FDB,E0FEA,E1107
C9598,C972E,C9644
E108F,E0FD8,E0E89
C97D3,C96A6,C95ED
E1079,E1071,E104B
C9587,C9668,C952D
E0E7A,E1017,E0F02
C953E,C96C2,C9584
E104F,E1077,E0FFC
C9768,C97C8,C96AC
E104A,E0EEF,E103D
C965C,C9613,C94CE
E1121,E1190,E104F
C955B,C9685,C9571
E1134,E100B,E108A
C9613,C94A8,C95A6
E10F8,E1091,E109F
C964E,C96A2,C966F
E1093,E109D,E1279
C980A,C97AA,C9743
E0F12,E0FEA,E0F07
C958E,C959C,C96FE
E0F20,E1037,E102F
C9517,C93AC,C96BD
E110F,E10CE,E1407
C96B4,C9789,C96C0
E101C,E1061,E10CA
C976C,C9548,C97FB
E121D,E1055,E1225
C9689,C9618,C9591
E103E,E10B9,E10A8
C940B,C946D,C96E3
E059A,E0442,E0807
C9CCF,C9AD5,C9C5B
E1712,E1714,E15FD
C9D39,C9DA1,C9DBE
E1623,E17A6,E16EA
C9CED,C9DCC,C9DC7
E180D,E18D8,E18BF
C9C92,C9D01,C9D9A
E17B6,E192B,E1817
C9DAF,C9D41,C9E5F
E189B,E1809,E190E
C9E36,CA081,C9E83
E1804,E1971,E1910
C9F7A,CA022,C9F33
E18AC,E19F3,E18F0
C9D48,C9E8A,C9D45
E1842,E1AC7,E19F4
C99E9,C9C81,C9E11
E18DC,E191D,E1801
C9E39,C9D20,C9E36
E174E,E18E2,E1943
C9EBA,C9F5C,C9D49
E1960,E1739,E1826
C9E03,C9E81,C9D09
E17F7,E1759,E1A38
C9F62,C9F69,C9C52
E18E7,E1899,E1A5A
C9EC9,CA085,C9CEB
E190B,E18D1,E1931
C9CCB,C9FD4,C9F23
E18E2,E19D3,E1812
C9FD9,C9D86,C9EDB
E1903,E1958,E192F
CA008,C9FE2,C9EC9
E19C4,E1831,E1B13
C9DD3,CA075,C9EDC
E194B,E19C0,E184C
C9F10,C9F5F,C9FFD
E1918,E199A,E191E
CA0CA,C9FFD,CA00A
E19D9,E1A96,E1A56
CA143,CA01F,CA19E
E19C3,E19DD,E1AE5
CA099,C9F4E,C9FDE
E1A59,E198B,E19CE
C9F9A,C9FAC,C9FB4
E1A54,E195C,E1A63
CA067,C9E1C,CA01C
E1B01,E1AA9,E1A41
C9E59,C9E60,C9F21
E1B8C,E1A71,E19FB
CA119,C9F6C,C9F8B
E190A,E19C7,E1A87
C9E1E,C9FC9,C9FB9
E1C4A,E19CE,E19CA
C9FED,C9EF5,C9F68
E1A58,E1B1A,E1789
C9D31,C9EAB,CA009
E1A91,E1A96,E1957
C9F58,C9FEE,C9ECC
E1958,E195B,E19F1
CA035,C9F4D,C9EA2
E1803,E1947,E189C
C9EBD,C9F59,CA01D
E18FF,E174F,E1B3C
C9F19,C9EBC,CA0C8
E1AA0,E1BEF,E18B1
C9F38,CA051,C9ED4
E1940,E1965,E1C53
CA09B,C9EEE,CA055
E1B41,E1AA1,E186F
CA16F,C9F41,C9F32
E18CA,E19F5,E1B91
CA08D,CA15E,C9FAF
E1B16,E1B09,E1AF1
C9E84,C9F16,C9F95
E1A66,E17C0,E1ACB
C9EF9,C9E43,C9FE6
E1AB3,E1A7C,E1B1F
CA0F5,CA052,CA143
E1A8F,E1BD9,E1BDE
C9FF4,CA16D,C9F5E
E18F1,E1B55,E1A38
C9F23,C9FA1,CA0F6
E1AF8,E1A87,E1BBB
C9FC7,C9F15,CA18E
E1A9D,E1986,E1883
C9E04,C9DC9,CA044
E1B4F,E1A06,E19BF
C9F4A,C9F0E,C9FE1
E198E,E1A07,E1A1D
C9F62,CA17D,CA115
E1B15,E1AEA,E1C41
CA05D,CA072,CA0D0
E1B04,E19B2,E1B1F
