{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
CB9AD,CBA2C,CBB8A
CC577,CC3FA,CC708
E423C,E409B,E40C2
CC59C,CC690,CC56D
E406A,E42EA,E428A
CC747,CC656,CC68E
E3EFA,E413A,E40A3
CC591,CC5CE,CC772
E4134,E4302,E408E
CC61C,CC778,CC637
E41FE,E419F,E411C
CC691,CC51E,CC631
E40B3,E40D2,E4090
CC50B,CC622,CC61F
E4092,E4044,E40CC
CC4E9,CC880,CC749
E4135,E3EDE,E4162
CC708,CC891,CC879
E4160,E4323,E41B7
CC544,CC673,CC613
E3F67,E4112,E4156
CC7FB,CC567,CC785
E4125,E3FDF,E40FD
CC782,CC5F8,CC667
E410D,E40D2,E4102
CC6A0,CC853,CC6CC
E41A3,E42D8,E3F04
CC689,CC6A8,CC8F9
E422B,E4088,E4282
CC8D6,CC7F4,CC7C5
E4198,E420E,E41DC
CC7A8,CC77C,CC7B9
E41E0,E4372,E4154
CC738,CC783,CC7A6
E4198,E4162,E440C
CC975,CC963,CC872
E4499,E441A,E43AA
CC622,CC55C,CC790
E412A,E4123,E42D7
CC79A,CC6D8,CC722
E41B2,E41BC,E41CF
CC85F,CCA58,CC879
E4241,E4332,E4203
CCA9E,CC862,CC9DB
E44E7,E42EE,E45D7
CC8C6,CC84D,CC7D9
E435F,E43CA,E4444
CC8A2,CC7E4,CC8A8
E4488,E43F0,E43BE
CC807,CC7CF,CC82C
E4303,E4411,E4395
CC717,CC634,CC728
E2B07,E2BDF,E2DF1
CC75E,CC74B,CC46F
E41E5,E4129,E3E3E
CC6E3,CC580,CC62A
E4071,E3FE6,E4048
CC585,CC64F,CC402
E4179,E3EE0,E4064
CC4F5,CC5C7,CC553
E400C,E4274,E401E
CC69B,CC607,CC658
E3F6B,E4092,E3EC7
CC5CF,CC731,CC5E4
E4028,E3FA4,E408E
CC4BB,CC5C2,CC609
E415C,E40A3,E40EF
CC80B,CC4F6,CC76B
E405F,E420A,E3FF0
CC506,CC6DA,CC556
E41AE,E4108,E41CA
CC690,CC542,CC676
E417B,E41FB,E4282
CC812,CC44B,CC52D
E4058,E4206,E3FC5
CC792,CC7C0,CC728
E425D,E40F1,E4135
CC749,CC5DE,CC64F
E4172,E41E0,E4061
CC82D,CC723,CC598
E42AB,E40A2,E42B3
CC682,CC80C,CC693
E3FB7,E427D,E41FE
CC6A7,CC706,CC5F2
E43D9,E4118,E42AC
CC81D,CC736,CC7B2
E4248,E4232,E3FD3
CC7B3,CC6D8,CC6CA
E4203,E43F7,E44AB
CC715,CC8E4,CC608
E42BC,E43F2,E42A0
CC733,CC6AB,CC744
E4221,E427E,E426A
CC8F6,CC867,CC986
E4201,E42A5,E421E
CC8A0,CC79B,CC719
E404C,E4333,E4334
CC8A2,CC870,CC81B
E41FF,E4367,E4403
CC9E4,CC757,CC934
E4284,E4546,E4227
CC769,CC888,CC83D
E4134,E433C,E4134
CC8C2,CC872,CC6A2
E41BE,E448A,E42D9
CC818,CC9DE,CC5DD
E4154,E430D,E41A1
CC761,CC8E6,CC6AE
E4332,E423A,E41E4
CC924,CC86F,CC926
E4159,E422A,E405F
CC807,CC61A,CC6B0
E43FD,E427A,E41E0
CC886,CC8E4,CC959
E40BC,E4082,E40B8
CC7D5,CC84D,CC976
E420C,E41D0,E40D2
CCA2F,CC949,CC725
E4244,E429C,E4310
CC93C,CC789,CC5FA
E4280,E4218,E447D
CC7A9,CC93C,CC853
E4195,E42D0,E4404
CC891,CC936,CC8F7
E43DB,E4418,E42CB
CC732,CC991,CC964
E42F4,E4367,E4413
CCA1A,CC882,CCA82
E4291,E43FA,E41E8
CCA56,CC904,CC82D
E431C,E44C4,E434E
CC81C,CC748,CC854
E43A9,E45E0,E4554
CCA53,CC9A1,CC86D
E442E,E42BA,E40C2
CC89E,CC87B,CCAD9
E42D1,E43CD,E4325
CC96B,CC824,CC8B9
E44B2,E4370,E4313
CCBDC,CC8DB,CC8A6
E43EE,E4428,E43A0
CC9C4,CC992,CCA00
E4429,E41C9,E4381
CCB59,CCAE9,CCA43
E431C,E4408,E44E4
CCA0A,CCA38,CC908
E4480,E42E0,E4477
CC9AA,CC9C4,CCC53
E43EC,E4322,E4367
CC971,CC9C0,CC91F
E42EB,E4415,E43B3
CC9D6,CC9BF,CC8E0
E4388,E42FF,E4233
CC89A,CC92F,CC90F
E4344,E442D,E4392
CC8FA,CC8EE,CC835
E445A,E44EC,E447F
CCB04,CCA8B,CCA30
E42CE,E41D0,E4359
CCB8E,CC9EF,CC86F
E4546,E427C,E4460
CC80F,CC991,CC8D3
E4292,E4239,E438C
CCA21,CC810,CC706
E4283,E43D0,E45C9
CCB98,CC965,CC9B2
E42DC,E43F5,E44DE
CCA0C,CCA95,CC8C1
E42D6,E4486,E4284
CC9F5,CC9B0,CC7EE
E42C2,E4433,E4379
CC86E,CCB40,CCC17
E458C,E421D,E4635
CCBC1,CCB36,CCB4A
E44F8,E4390,E4451
CCA63,CCA5B,CC97C
E459F,E4515,E4586
CC9FA,CCB6C,CCA9A
E4692,E44B6,E462B
CCC50,CCA8B,CC937
E3797,E3892,E3812
CD18D,CD439,CD186
