{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-C34D0,-C32A7,-C3349
-AB86E,-ABA0D,-ABA29
-C34AB,-C3240,-C3364
-AB8D6,-AB941,-AB898
-C33A5,-C34B2,-C3439
-ABA3E,-AB9C6,-ABA73
-C3301,-C328F,-C32F6
-AB911,-ABAC3,-AB859
-C33EE,-C324A,-C3481
-AB9FB,-AB845,-AB968
-C34F7,-C33C0,-C3501
-AB7DB,-AB90B,-AB88D
-C33C9,-C34CA,-C3407
-AB8BF,-ABA49,-ABA18
-C3269,-C33BF,-C3542
-ABA14,-AB891,-AB9E9
-C349E,-C3447,-C343F
-AB928,-AB90E,-AB9AF
-C338A,-C354E,-C365B
-ABB9F,-ABA4E,-AB9D9
-C35F2,-C361D,-C3706
-ABC3C,-ABF33,-ABD98
-C379B,-C3965,-C3960
-ABF20,-ABB95,-ABE12
-C37F6,-C38D4,-C3854
-ABE5B,-ABE1D,-ABE37
-C393B,-C3917,-C38BC
-ABDBA,-ABE33,-ABE8B
-C378B,-C391E,-C389A
-ABDE2,-ABDDE,-ABFA4
-C38A5,-C3862,-C38BB
-ABCDB,-ABE72,-ABE9B
-C3898,-C376F,-C3946
-ABE5A,-ABE84,-AC176
-C39CB,-C3877,-C3A6D
-ABF34,-AC082,-ABD0E
-C38FD,-C3A92,-C38EA
-ABE91,-AC04A,-AC042
-C3931,-C3BB4,-C3B54
-ABF22,-AC011,-ABE4B
-C39AB,-C39C5,-C3B1D
-ABF41,-AC06F,-ABF42
-C3B26,-C3CC8,-C3D02
-ABF68,-ABF9B,-ABF89
-C3962,-C371C,-C3B94
-AC010,-ABFA6,-AC069
-C3987,-C3B02,-C3A1C
-AC0F8,-AC120,-AC10A
-C3B86,-C3A72,-C3A45
-AC089,-AC02A,-ABF99
-C39E2,-C3AF6,-C3B75
-ABFDD,-ABF89,-ABFBB
-C3A5C,-C3A32,-C3AA4
-ABFAD,-ABD18,-ABD8A
-C3991,-C3817,-C396D
-ABE21,-ABE02,-ABF4A
-C3987,-C38FC,-C38A2
-ABF04,-ABF8E,-ABD4B
-C3A81,-C3A8A,-C3B44
-ABEAB,-ABF57,-ABF86
-C39A3,-C3A5F,-C3960
-ABFC4,-ABE70,-ABF46
-C3A04,-C3A0B,-C3AA0
-AC197,-AC073,-ABF9D
