{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
67CD1,67FB8,67D27
7F805,7F793,7F6D0
67E5D,67E1C,67E1E
7F89D,7F7C7,7F7C5
67F65,67C6D,67F68
7FB0F,7FA45,7F8E6
67F2C,67F25,67F27
7F922,7F888,7F919
67EEE,67CE9,67CFF
7FA60,7FB2C,7F9E9
67F16,67DC0,67DF0
7F7A5,7F7F4,7FB74
67DD3,67ED9,67F16
7F904,7FA95,7F945
67CAF,67ECC,67E87
7F96A,7F9B2,7F96E
67E42,67F3A,67DD8
7F914,7F977,7F73A
67CDC,67E64,67F93
7FB1A,7FA81,7FB21
67FB8,67F0E,67E19
7FAB5,7F942,7FA09
67DBF,67ED5,67DF1
7F91B,7F936,7F9B7
67F3F,67E7C,67CE8
7F900,7F9B0,7FA81
68119,67D2D,67F7B
7F874,7F98A,7F973
67EC0,680DA,67F92
7FA17,7F96D,7FA18
68081,67EF3,67F75
7DC86,7DA22,7DA82
6806B,6810F,681E6
7F99D,7F8A3,7F8B3
680B2,6801A,67DBC
7FB96,7FAFD,7F93D
681AB,6811A,67E48
7F8BE,7FB9E,7F96C
68155,681C9,67E15
7F955,7F995,7F8FA
68065,68019,680BB
7FB3F,7FB9A,7FB0F
680CD,67F90,680D9
7FB75,7FA2A,7FA49
6805A,68040,68055
7FA02,7FACB,7F997
67FEE,680D6,68301
7FDB9,7FD1F,7FB8B
68234,6824E,68071
7FB55,7FD56,7FAAD
68241,681E1,682AF
7FD10,7FCAF,7FD1E
68185,68150,68306
7FD4A,7FC87,7FCDA
683BF,6826A,68205
7FC96,7FAB1,7FD2F
6815A,683B5,680D8
7FD3C,7FB84,7FBF5
68241,681C7,680F2
7FD3A,7FD2C,7FCDC
6827C,6824D,6813F
7FA82,7FC05,7FD2B
680DF,68270,680A3
7FB5B,7FC1D,7FE53
6823E,68311,6851F
7FDA5,7FE5E,7FE3D
68299,682C3,683F0
7FCE9,7FB74,7FCE7
682F3,6811C,6822A
7FD6C,7FEA0,7FCD1
6829C,68222,6837E
7FD45,7FE80,7FDC0
684BA,6834A,6821E
7FDE6,7FC76,7FC65
682B9,683E5,682BB
7FD43,7FFB8,7FFEE
68505,683C3,68492
7FF77,7FDE2,7FF4B
68392,6841C,685E1
7FF56,80120,7FFF4
6858B,68502,68534
7FE62,7FF31,7FE1B
68332,6839E,6856A
7FF78,7FE60,7FF13
68404,683FA,682D4
7FDAD,7FE70,7FD29
6837A,68296,684DD
800B9,7FF1B,7FE5A
6857C,68482,682E7
7FDAA,7FE31,7FE28
68705,68545,684D0
7FE83,80137,7FEFF
6852E,6860C,6861D
8017F,80035,80169
68654,68572,68344
8003C,7FF8C,7FFEE
68422,684C3,681AF
7FE7E,7FD1C,7FB0F
68128,682C7,681F7
7FC42,7FCF6,7FDB7
68106,6813D,68194
7FCBE,7FDE5,7FC5E
68317,683EB,68430
7FD2A,7FDA8,7FEF0
68171,68200,6835F
7FEA4,7FDF9,7FD18
68258,6828B,682CB
7FD48,7FED9,7FD29
682D1,683F0,68381
7FD62,7FD89,7FE0C
68367,683C0,682EB
7FF0B,7FE21,7FF76
68327,68554,6849D
7FD47,7FF35,7FEC1
6851C,682F3,682DF
7FD4A,7FDC9,7FDC0
68451,68386,6807D
7FED9,7FE4C,7FF5E
682AF,68448,68304
7FECB,7FFB5,8003E
68392,68404,68418
80007,7FF38,7FF17
683DA,68393,682D9
7FE7B,7FE69,7FE99
6844E,6846F,683B9
7FEE5,7FF64,7FF85
6838F,68362,68466
7FC72,7FEE1,7FCF9
685D7,685D5,6855A
80034,7FFE7,7FED6
685D6,6862D,683D4
7FE79,7FFFC,80112
684BE,684D2,684A7
7FEB9,7FD73,7FDE5
6858D,6852D,68581
7FFB9,7FF9D,80124
685A6,684A7,68499
800A4,80072,80107
684AE,68622,68715
7FFF8,801AA,7FFA1
68570,6853A,6865C
80102,800AA,7FF4E
6870F,68617,6860A
800D4,7FFB5,7FFFB
68774,685F8,687D6
8001A,800A4,7FF2A
68775,686A8,68511
801DE,80261,8012C
686F2,684A1,684C7
80289,8017F,80029
68739,6874C,6899E
801F5,80113,8020F
685CD,68785,68741
80316,801C0,8021B
686EB,68724,686E6
80339,803EE,802C1
686C8,6864B,68734
80283,801F4,800A5
6880C,685F6,6864D
7F26D,7F2CA,7F132
686C6,6865B,686D2
80158,7FF36,80015
688A8,68628,689F8
80277,8007A,8023D
687A2,687BB,68993
80314,8031E,801F5
688B4,688C3,6880C
8014B,803F0,80241
6883C,68784,687AC
80273,80351,8018D
68B5C,68975,688E4
8044B,803B9,804D0
68ABE,6887E,68867
80222,803A1,8017E
6881D,6882F,68A03
802CA,80340,804EF
6887D,68914,6897E
804B2,8034C,8023B
68ACF,689EA,68AE0
80407,8037F,80274
68A3D,688EB,68A56
803D2,80208,80560
688A0,687D7,68905
804BA,80600,80475
687FB,68B5A,68A98
801B8,802E7,80427
687BF,68847,6883F
80445,802C8,805AD
6896F,68A19,687B6
804C5,80390,80259
68954,68911,689F5
803EF,80392,80459
689F8,68A89,68967
802F9,8046D,803A6
68B25,6895C,68975
8040A,80471,80572
68C2D,689E1,68A7E
802DA,804E4,804F4
68AE9,68A35,68AB2
805EF,8051A,80674
68C3C,68BBE,68AE5
80622,8054A,8058F
68BA1,68A59,68AD0
808A0,805FC,8075F
68B1F,68C39,68B49
80668,806B2,803D8
68AD0,68DD6,68B06
806EE,8063A,80661
68C5F,68C43,68C28
80691,8061A,80504
68CB3,68D21,68C8E
807A5,806F1,808D0
68DD2,68C0C,68D3A
80745,8073E,8066A
68B2D,68AFC,68DAF
807F7,808A2,807A3
68E88,68D92,68DEA
805A6,80719,80661
68B71,68B7F,68C59
8070A,80535,80802
68B72,68D5B,68C95
80856,808A1,809A8
68F19,68D17,68CAC
807EE,80812,807E0
68A51,6897D,68B50
803D3,804C5,80424
68AFD,68B1C,689DE
805E7,8052F,8045C
68C51,68943,68A8A
80364,80286,8031C
68AA3,68B26,68B5E
80383,805B6,805BC
689C7,68BBE,688FE
80605,8047E,80503
68B08,689E5,68A8A
8055C,804C9,8058A
68B87,68A25,68C5A
80691,80488,80505
68A8F,68B70,68B13
8076B,806E4,807D4
68D7E,68B92,68B82
806DE,804EF,805D3
68A0C,68C13,68A2A
80474,80536,804A5
68A5C,68995,689A9
8062A,80437,8055C
68C66,68BD2,6886B
80634,803EA,804DF
68C40,68C06,68B42
803BB,803F8,804E8
68C03,68B8D,68AB8
804BA,80637,8066B
68A27,68C1B,68BDB
805A9,805A2,807D2
68CB3,68BE8,68B29
805CD,806C4,8070F
68EB2,68E80,68E6D
8073C,80775,8088B
68DC0,68E97,68E4A
80708,8078B,809DC
68F49,68F6D,68F29
8093F,80897,8085F
68F21,68EC5,68ED1
808DB,8098E,80A8F
68EBF,68E42,68F34
80787,8079D,8094E
68E3A,68DDE,68E5D
80747,80950,808C8
68ECD,68F78,68EFC
8093E,807D9,8077A
68DB9,68EC3,68DF8
80923,8091C,808E0
68DDA,68C5D,68D9D
80976,809B6,8093B
68DF9,6905A,68DF8
80A07,808F0,80A71
68F5A,68EF1,68EAD
80A3F,80A20,80789
68DCE,68E5B,68F77
808E6,809DC,809DB
690A4,690AC,690AB
80970,80999,80ADB
68F53,68F8D,68FB6
80A02,80BB6,80975
69006,68E5C,68F7D
80A05,80ABF,809C9
692C9,68F5F,6925B
7F57F,7F867,7F7D4
68396,685A5,684BF
7FCE3,7FFA9,7FE03
68378,683DC,6836C
7FEFF,7FC58,8005C
684A0,6852A,68496
7FEA9,7FF55,7FEB1
68495,683BE,6822F
800C8,7FF33,7FDE4
68511,68549,685E7
7FF1A,7FDE5,7FF4E
6866B,68493,683AE
7FDEA,7FD7B,7FF2A
6855A,68362,68381
7FD23,7FCAA,7FDD0
6864D,686AA,6868D
80096,7FF7A,7FF07
6856D,6854B,68411
7FE7E,7FFC7,7FFAC
68420,68416,68528
8003F,8003F,7FF54
68382,68390,6842B
8007B,7FFCA,7FF3F
685B1,684D3,68728
80074,7FF8A,7FFFE
684CB,68574,686D2
7FE64,800E1,7FE73
68538,686E2,685CC
800D8,80019,7FF20
68584,685BC,687BC
7FFB5,800C2,80062
68644,68426,68659
7FFF7,7FF65,80127
6884A,6867A,686EB
801B6,8014D,80383
686BF,685CE,68626
8019D,8021A,802A7
68523,68855,688A6
80189,803B1,80236
687C8,687E4,6884D
803C3,80351,80386
68702,68885,6872D
800C3,801A6,80197
687B7,6881D,68776
802E9,801AF,80264
687F3,6890B,6884C
80307,8039C,80366
6883C,68721,68793
80262,80249,803B2
688E4,68771,68965
801B8,805F3,8035A
68782,688B5,687D3
8034C,80309,803C6
6893D,68B65,6896D
804D2,8038B,80270
68AF4,68AFA,68B03
8043C,8061B,804A8
68A29,689E0,68AE9
8038E,80544,8035A
68A7F,68817,688CC
80419,8042D,803A7
6888B,687BE,686E3
80368,804AE,80490
68ABD,688CB,68A44
803B7,80571,80637
686D8,68712,6887E
80067,800DC,800C7
6874B,686E5,68996
7FE74,80191,800B9
68562,68606,6857A
80210,80146,800EC
685CA,6873D,68750
7FF3B,80195,801D8
68703,68717,686CE
7FF7F,80123,800DE
6872B,68843,6874D
801CC,80259,801BF
688F9,68844,686D5
80248,80252,80167
6881D,6877E,686F2
80356,804B0,8046B
