{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
ACBE8,AC85E,AC9DB
C3A13,C3AF1,C3B1A
AC07F,AC06A,AC11F
C3BA2,C3A93,C398B
AC124,AC0F6,AC0F2
C3C66,C3BE3,C3B50
AC0AA,AC28D,AC02D
C39EF,C3C00,C39AB
ABF83,AC0D8,ABEBF
C39FD,C3979,C3BE1
AC116,ABE56,ABF91
C3A4C,C3A50,C3BDA
ABDC7,AC02E,ABE7A
C39E7,C39A5,C3A74
ABDF1,ABFDE,AC157
C39E0,C390B,C3ADA
ABFBD,AC06B,AC031
C38A7,C38B6,C3913
ABE47,AC022,ABE56
C3A54,C3A1F,C3828
ABFC0,AC14C,AC1AB
C3CA5,C3CF6,C3B34
AC1AE,ABFC1,ABFB3
C3BA0,C3B40,C3D8E
AC134,AC0A7,ABFA1
C3A05,C3B2E,C3AE5
AC2D1,AC16C,AC0EF
C3AA0,C3A5F,C3AED
AC040,AC308,AC0BC
C3A38,C3AD8,C37E0
AC0E9,ABEE1,AC1A0
C3BD2,C3BCA,C3AD1
AC085,ABFF0,ABF91
C3906,C392F,C3CE5
ABEF0,AC113,AC039
C3AA9,C3A32,C3AF2
AC192,AC151,ABFF2
C3B0E,C3B04,C3AAB
AC21E,AC217,AC063
C3A13,C39ED,C3BB3
ABEBB,AC16A,ABFF1
C3A65,C39D0,C3916
AC1A2,AC11A,AC1CA
C3A10,C3B85,C3B34
AC123,ABF83,AC07E
C397B,C3C10,C3B8A
AC01A,ABF33,ABDFA
C3A24,C3A7F,C3799
AC063,AC06F,ABD64
C38CA,C3A2C,C383C
ABE6D,ABE1B,ABE19
C2CF1,C2E6E,C2C67
AC575,AC0E4,AC383
C3CB6,C3E27,C3D02
AC2E1,AC348,AC46F
C3E57,C3D84,C3D61
AC401,AC5D4,AC515
C3D87,C3CEC,C4033
AC43E,AC415,AC2DB
C3E5A,C3C99,C3E3B
AC479,AC263,AC3D1
C3EFC,C3C74,C3D46
AC305,AC2FB,AC406
C3CBC,C3CCA,C3CBE
AC477,AC2E2,AC413
C3D27,C3B50,C3D7A
AC3BF,AC42A,AC2A3
C3F84,C3DD5,C3F53
AC5E6,AC4FE,AC541
C3DE7,C4034,C3E47
AC36F,AC297,AC27C
C3C4A,C3DE7,C3DF0
AC37C,AC32B,AC179
C3BD6,C3B9D,C3C6E
AC244,AC1CE,AC40D
C3CBC,C3D48,C3C5C
AC2A3,AC231,AC2EF
C3C18,C3D1C,C3D59
AC083,AC299,AC176
C3D3C,C3CBC,C3B09
AC285,AC256,AC05A
C3E1A,C3B9C,C3CB3
AC225,AC24C,AC160
C3BD3,C3C2B,C3BE1
AC201,AC4DD,AC429
C3D2E,C3D14,C3D3A
AC4ED,AC2E2,AC16F
C3DB6,C3DE9,C3E24
AC418,AC28B,AC318
C3BE2,C3E08,C3CA3
AC23B,AC42A,AC480
C3E35,C3E53,C3EC6
AC3C4,AC3BA,AC30A
C3BA9,C3C73,C3D9C
AC1FA,AC380,AC419
C3D17,C3C63,C3BD2
AC257,AC214,AC34B
C3DF4,C3E4F,C3C5A
AC144,AC1A3,AC0BF
C3BC9,C3D71,C3DA7
AC285,AC264,AC313
C3AD5,C3C64,C3F76
AC436,AC39B,AC3CB
C3EA5,C3DE3,C3D41
AC0F2,AC2FA,AC1D0
C3C87,C3BF6,C3D6A
AC164,AC058,AC0AE
C3B7F,C3C07,C3B37
AC3A4,AC133,AC0F4
C3A81,C3CFC,C3D19
ABFED,AC14F,AC266
C3CA2,C3CD3,C3BE9
AC0CF,AC172,AC118
C3B7F,C3A7A,C3B62
ABFA9,AC07B,ABFE2
C39D8,C3AD2,C391F
ABE0D,ABD0E,ABDA6
C37DD,C365B,C37E7
ABC18,ABC99,ABF20
C37C8,C3709,C394A
ABD17,ABD4E,ABD33
C3765,C382B,C3730
ABCE7,ABBA4,ABE70
C384C,C3858,C3994
ABDEA,ABC91,ABE4B
C35A7,C3745,C383A
ABEEF,ABEEB,ABE29
C391A,C382B,C387C
ABD7F,ABDAC,ABCE2
C36DC,C3A61,C36D7
ABBCD,ABE99,ABDE4
C38B4,C383A,C3906
ABFAF,ABDBD,ABE8A
C371D,C37E0,C3689
ABCAC,ABBEC,ABE61
C37ED,C3748,C376C
ABD66,ABD6C,ABE8E
C376A,C381B,C375E
ABDF6,ABFC0,ABC96
C3745,C3689,C3638
ABD58,ABA43,ABD02
C3588,C3731,C3685
ABCA6,ABD63,ABD03
C3717,C3885,C36CC
ABB9B,ABA7A,AB956
C35A0,C366A,C3534
ABB09,ABB79,ABC5B
C35DB,C36A5,C37E7
ABEA1,ABDF0,ABE89
C3ABA,C39DE,C38DA
ABCD6,ABD5B,ABD9C
C3935,C3910,C3899
ABF5F,ABEF5,ABFA9
C3A82,C38E1,C38E7
ABF2E,ABEB0,ABFF8
C3943,C38E8,C3A11
ABF3D,ABE9A,ABDE4
C3857,C392B,C38CB
ABE33,ABCEA,ABC9C
C38A8,C3A6D,C3780
ABFE3,ABEF8,ABC7A
C3ACC,C38C5,C370A
ABFF9,ABE54,ABDC3
C3965,C39E5,C3889
ABC70,ABDF0,ABEA7
C3783,C3756,C381A
ABE98,ABD2F,ABE4D
C3760,C394A,C3884
ABD2B,ABC34,ABCE2
C3684,C35E8,C3721
ABBE8,ABC30,ABC97
C35FD,C3653,C3972
ABC5E,ABCF0,ABBA7
C36F9,C37C7,C3623
ABDA0,ABC25,ABC15
C35DF,C3663,C353B
ABDCF,ABBCF,ABC74
C3640,C3736,C35AA
ABB8D,ABBAD,ABA2B
C30ED,C31C4,C31D3
AC137,AC0FB,AC275
C3A78,C3ADB,C3A79
AC0FE,AC0F8,AC054
C3A4E,C3C24,C3BA5
AC118,AC18C,AC034
C3A19,C3CD5,C3B09
AC14A,AC2DC,AC05B
C3B32,C3A5E,C3C6D
AC0E1,ABF61,AC213
C3B2D,C3C77,C3D04
AC33C,AC067,AC280
C3AF2,C3BF9,C39F5
AC135,AC15B,ABEFE
C3B9B,C3B28,C3C0A
AC1E5,ABF41,ABF6D
C3C44,C3C1D,C3BAB
AC1EA,AC03F,ABF64
C390F,C3B28,C3A98
AC038,ABF24,AC129
C3992,C3B16,C39DD
AC1C5,ABFF0,ABF6F
C3929,C3A0D,C3B13
ABE6D,ABFCC,AC0F9
C3AB9,C3ABB,C3970
AC0CB,ABEEE,ABFF4
C3A60,C3A0D,C3AC5
ABE1A,ABEB7,AC162
C3A38,C3922,C382A
ABE25,ABFB2,ABFE4
C3973,C38AC,C3AF6
AC012,ABF8C,ABFA9
C3AA6,C3939,C3A7E
AC162,AC195,ABF4F
C3C60,C3C39,C3BD6
AC152,AC299,AC31F
C39AA,C3B6F,C3BC7
AC133,AC16A,AC074
C3B05,C3C83,C3BE0
AC208,AC0A9,AC08D
C3CFB,C3B01,C3D45
AC2C2,AC1DF,AC1D3
C3AB6,C3B0F,C3B73
AC12B,AC092,AC1D9
C39F1,C39F7,C3C42
AC254,ABE78,AC0A7
C39AD,C3A02,C3A62
ABE80,AC081,ABDEE
C3B5E,C3AAA,C3C05
AC245,AC19E,AC05A
C39E6,C3B23,C3B33
ABF0A,AC16D,ABF4E
C39C2,C3A12,C3B0D
ABFC1,ABEB6,ABF23
C37D3,C3A6A,C3A01
ABFAC,ABD0E,ABF00
C3945,C3AA3,C3951
AC1C8,AC0C9,AC1EE
C3A01,C3A33,C39D3
ABE44,ABF7B,ABEA1
C3A7E,C3AA7,C3AC8
ABED9,ABE1F,ABEA8
C3895,C3764,C3BDE
ABFEE,ABF8A,ABE47
C3AA2,C3830,C3B98
ABD07,ABC88,AB9A7
C3703,C37A6,C36C6
ABD36,ABDB6,ABC98
C36F9,C3805,C3732
ABBC3,ABCED,ABBCB
C360C,C350A,C35DB
ABBC0,ABBBA,ABB89
C35CB,C3662,C37E8
ABDB7,ABB92,ABB55
C361E,C35DD,C3712
ABC2B,ABBC0,ABC3C
C366A,C359E,C35EB
ABC2A,ABA97,ABBAE
C356D,C33AA,C362D
AB882,ABA75,ABBEF
C34DE,C3557,C360B
ABBEE,ABC55,AB9F7
C3445,C354D,C3513
ABBD9,AB92B,AB8EC
C35C6,C3518,C3659
ABC89,ABAF4,ABA04
C34D8,C335C,C33F0
AB95F,AB978,AB93F
C3576,C34E0,C331E
AB925,ABC33,AB9AC
C35DB,C33AC,C3459
AB9C6,ABA91,ABB38
C351A,C3435,C351D
AB94E,AB87A,ABA30
C3266,C3460,C340D
AB9F3,AB903,AB98F
C3514,C361D,C35F0
ABB7D,ABBDD,ABD37
C35C6,C3639,C3589
ABBD1,ABB7F,ABB38
C3406,C3563,C3549
ABBC2,ABBCB,ABA2D
C391D,C3473,C3723
ABA90,ABA30,ABA74
C3641,C36B9,C359E
ABCCC,ABC46,ABD14
C35A1,C3833,C3382
ABB89,ABA85,ABAC2
C34CC,C34F8,C341C
ABA80,ABB2D,AB9F0
C32C3,C3349,C33F7
AB9B3,AB9C7,ABBFE
C355C,C3652,C351B
AB924,ABA1A,AB7A8
C3431,C3239,C32FF
ABA5E,ABAF6,AB9A4
C349E,C3429,C34DE
ABB7F,AB933,AB8EE
C318E,C3429,C337C
ABB1D,ABA7F,AB9DF
C34D6,C3372,C358B
ABA00,ABAD0,ABC2F
C328D,C34F1,C3596
ABD34,ABC9F,AB8B7
C35F2,C33CA,C34C2
ABAD1,AB989,AB985
C3302,C34E6,C332A
AB991,ABA77,ABAFA
C426B,C4312,C425F
ACC33,ACC87,ACD5E
