{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
ACBE8,AC85E,AC9DB
C8438,C8461,C81F7
B08E8,B096C,B09B7
C8498,C829D,C8257
B0872,B0A42,B0B3F
C8376,C82F9,C8428
B0988,B099D,B08E5
C8546,C847C,C858E
B0A33,B090D,B09C0
C80B4,C7FFB,C809F
B076A,B06BD,B0606
C833E,C83AA,C81D1
B0A28,B07D7,B090F
C8157,C81F2,C8276
B05D2,B07E5,B07B3
C83A1,C8446,C82B7
B0B28,B0A8B,B0A96
C821B,C856D,C852B
B0A60,B0B4A,B0B80
C8517,C857B,C85B7
B0B7A,B08E7,B08AB
C848F,C85E7,C8421
B0A7C,B095D,B0BD2
C8445,C8227,C8518
B0B5D,B0923,B0A52
C83BA,C846A,C844C
B0898,B091E,B0765
C8472,C856E,C81F2
B0ABA,B09C5,B085E
C82C0,C81E3,C8189
B0741,B0B0F,B0912
C8597,C856B,C85C1
B0933,B090F,B09AE
C853A,C84BC,C8442
B09DB,B0AF2,B0B07
C82D5,C8519,C8332
B0A5C,B094A,B0A92
C834A,C84A7,C834A
B08A1,B0617,B0874
C8334,C83B6,C826F
B067D,B08B3,B0816
C8373,C82C1,C8275
B0848,B096F,B073F
C8522,C8219,C8208
B0795,B078D,B0683
C82EF,C82E2,C8207
B06BD,B0837,B0820
C8E97,C8EE0,C9040
B152C,B15F2,B13A4
C8F44,C9302,C8FCE
B16E5,B1553,B18C2
C9283,C907A,C9068
B197A,B156A,B162E
C91C2,C91C6,C9205
B167C,B16D2,B1766
C91EB,C91A3,C9236
B16ED,B1750,B187B
C9083,C8FFC,C9091
B16C6,B1694,B1910
C91B6,C9089,C913A
B1497,B126C,B1521
C8E6E,C8F4A,C8F79
B15BF,B1597,B1675
C90DC,C8ECC,C90ED
B145A,B13A6,B13DC
C8ED3,C8EA1,C8E27
B1479,B15EE,B1593
C8EDB,C8F09,C901C
B1200,B135F,B121F
C8D83,C9013,C8F04
B138A,B1514,B1515
C8F11,C8F51,C8FA1
B14AA,B1391,B1333
C8FA1,C906A,C8FCC
B13D0,B1534,B129A
C8F3E,C8E87,C8F2A
B142C,B13BE,B1571
C8C16,C8EF8,C8EBF
B1687,B15D8,B1588
C92BC,C8FC2,C8FDA
B16C4,B1819,B17E1
C913E,C9030,C90AB
B1845,B17F7,B16F4
C901D,C90BE,C9131
B19AC,B1896,B18B4
C90CC,C9168,C9398
B17A6,B168D,B14C6
C9099,C90BE,C905D
B176C,B1643,B15E7
C911D,C8EAB,C910D
B1734,B14E4,B1653
C8F13,C91CF,C90D1
B1658,B1433,B15FD
C903D,C8F42,C8EE8
B16E3,B14D7,B163F
C92C1,C9037,C92B3
B18CF,B16D1,B1614
C9126,C91CA,C902F
B167C,B1598,B1677
C8E7F,C90F1,C914A
B1612,B16BF,B16F3
C90E6,C8F80,C8F3B
B15FC,B162D,B1609
C9113,C902D,C8FD1
B1634,B173D,B1668
C912A,C8F9D,C90CA
B155C,B1524,B12FF
C9024,C90A0,C927D
B1579,B14CA,B1441
C8F08,C8F3E,C8F2D
B130B,B1595,B15E7
C90A3,C8E96,C9031
B12BB,B1145,B1136
C8ABC,C8BC9,C8ADF
B111E,B11D8,B128A
C8D1D,C8F8B,C8F24
B1387,B10F0,B12B3
C8C8F,C8D7C,C8A82
B131B,B126C,B1191
C8E00,C8C3E,C8D8A
B1318,B13F3,B1471
C8D6A,C8C54,C8BBC
B121F,B11E3,B1159
C8D07,C8C55,C8D74
B1143,B0F65,B1295
C8DFD,C8D36,C8B57
B1225,B11B6,B1276
C8E53,C8EE8,C8DE7
B1336,B1299,B12C3
C8CEB,C8D89,C8D67
B1303,B138A,B110E
C8D93,C8D62,C8C4E
B11D2,B12A9,B12FD
C8CEF,C8CF7,C8D17
B1370,B1242,B1118
C8BD0,C8DC2,C8E3E
B1337,B114B,B12B1
C8C6C,C8A11,C8B56
B104C,B100C,B116B
C8A2D,C8BC0,C8A82
B1148,B1156,B0F1E
C8ABB,C8B38,C8B5B
B0F81,B1002,B124D
C8AA6,C8BA4,C8C78
B12AE,B12C1,B1273
C8D73,C8DDB,C8BC2
B11C3,B11BE,B13A1
C8BFE,C8AAC,C8CD3
B1158,B1331,B11A8
C89F7,C8C9B,C8B8E
B127E,B131F,B1210
C8D08,C8DB7,C8D47
B12EC,B112B,B0FBC
C8C13,C8C37,C8D54
B10B1,B1297,B0F30
C8C2A,C8ADC,C8B12
B1330,B10EA,B110A
C8BED,C8BB4,C8BDC
B10BC,B0EF4,B0F66
C8C32,C8C58,C8BD8
B11D3,B100F,B1045
C89D1,C89CA,C8BEE
B10E9,B1273,B1094
C8B24,C89C9,C8AF7
B115F,B11F6,B1127
C8C7C,C8915,C8A83
B104C,B1189,B0F7D
C8B45,C8AA7,C8A43
B0E3B,B0F59,B0E42
C88F0,C8A8B,C8966
B114D,B0FC1,B1043
C89E0,C8B76,C8B78
B111E,B0EDA,B1051
C8ACB,C8954,C8CB1
B0FF4,B0E61,B0F82
C86D8,C87BD,C8785
B1652,B1684,B14CA
C9020,C9021,C8E69
B170A,B1770,B1564
C9103,C913A,C9102
B1601,B164C,B15E4
C8DAB,C8EAE,C8ECA
B1726,B14B9,B14C5
C8ECB,C8F3D,C90E2
B1531,B15FF,B165F
C8F6B,C9093,C9027
B15A5,B1552,B1552
C8EF9,C8E68,C8F5B
B135A,B14B7,B13EC
C8E3A,C8D1F,C8FE6
B1493,B1448,B140B
C8E2B,C9151,C8D41
B14E6,B13ED,B1348
C8ED3,C8CE8,C8D64
B13D1,B12D5,B15BC
C8DC2,C8DBD,C8D8A
B15D8,B13F4,B14F0
C8DE0,C8F66,C9046
B166E,B1312,B14C2
C8E2E,C90A2,C8EE6
B144B,B14FB,B15CE
C8CCC,C8CCA,C8DBA
B12AB,B14C1,B14B1
C8CD9,C8D2A,C8D9D
B139C,B1507,B13E6
C8E4B,C8D35,C908A
B137F,B1318,B143C
C8EF9,C8FA3,C8EEF
B1569,B1607,B1606
C8F2F,C907A,C91EB
B15A8,B16BF,B1674
C8F63,C901A,C8F4B
B14C7,B156C,B163D
C8FD2,C9064,C8E7B
B155A,B14B4,B15F9
C8EE6,C8FC3,C91A8
B146D,B1606,B13D8
C8DF9,C8D3E,C8FF8
B12FB,B1428,B1330
C8E4B,C8EE5,C8E3A
B13FA,B139F,B1538
C8F07,C8ED1,C8CD0
B12AF,B1206,B1467
C8ECB,C8F0A,C8FC9
B1478,B14B3,B149F
C8E6F,C8DF9,C8E76
B15C3,B14A2,B155B
C8D9B,C8F81,C8DD8
B1423,B1653,B139C
C8EEE,C8F2B,C8D83
B13A7,B132C,B1356
C8BDF,C8D50,C8E50
B13C6,B1238,B1336
C90E9,C8E55,C8DF2
B14DD,B1348,B13C3
C8EAA,C8F4F,C9135
B14BE,B1364,B15DA
C8D18,C8E1F,C9057
B13A5,B13A4,B123F
C8AEE,C8C32,C8D63
B11DD,B11DE,B111E
C8B3E,C89C1,C8B53
B10FC,B107B,B1141
C8B42,C8B40,C8A81
B0FFF,B112E,B10A8
C8A7D,C8A11,C8A8E
B100A,B0F1E,B100B
C8958,C8903,C898F
B0F67,B0FF7,B0F83
C89CC,C8A58,C8A76
B0E7D,B10C5,B0E60
C8A77,C8988,C8B1E
B10A6,B0FB9,B0EA2
C8B2B,C8A16,C8B05
B109E,B0FAB,B109A
C8B57,C8AC5,C8A7C
B1129,B0FCC,B1146
C8BD2,C89F8,C8C20
B0FA6,B0F86,B0F35
C8B95,C8BC6,C8AFD
B112A,B0FD5,B10D3
C896B,C8A1A,C896E
B1068,B110F,B0FED
C8B13,C8976,C8B8B
B1044,B1119,B10E3
C89CA,C8A17,C88ED
B0E3A,B0E22,B0F12
C89B1,C8A57,C87C9
B0EF7,B0E2F,B0F6F
C8812,C891F,C8990
B1102,B104F,B0EED
C88E0,C89A7,C89EF
B10B3,B1148,B1238
C8C18,C894F,C8C2F
B10E7,B1164,B1260
C8ABE,C8B80,C8CEF
B11B6,B118A,B107B
C8B2E,C8B21,C8AB8
B1212,B111B,B131F
C8CB4,C8D23,C8D28
B11C9,B11DF,B12FB
C8B77,C8B44,C8ADA
B118B,B1045,B10A1
C8D73,C8BF3,C8AA2
B12D0,B135B,B1232
C8865,C89BC,C8CEA
B1307,B108D,B1054
C8B48,C8C71,C8A3C
B11A6,B0FE6,B11F8
C8869,C8B9E,C8B77
B108F,B0ED4,B0FD0
C8982,C8A1D,C8AB0
B0E25,B0F18,B0E7C
C897E,C8B9C,C8A99
B0F1D,B0E76,B0ECF
C8806,C891B,C8A5E
B0D83,B0ECC,B0EF6
C893D,C8827,C889A
B0DBB,B0D17,B0D45
C88FA,C89CB,C8A70
B1089,B10BB,B1018
C874E,C88DE,C8985
B0CC3,B0DED,B0E59
C7E53,C7DB0,C7DC5
B12FD,B12F7,B128A
C8CB2,C8E36,C8D78
B14BD,B13BA,B1523
C8F96,C8CB4,C8DD9
B1266,B1263,B115B
C8D1F,C8C02,C8CE3
B11FA,B1235,B13B9
C8EF7,C8E51,C8C14
B1330,B137E,B13C9
C8C8E,C8CDF,C8D86
B113E,B12CB,B14C3
C8D05,C8DFA,C8D69
B11C4,B1117,B11FB
C8D25,C8A98,C8B88
B123B,B114B,B11AF
C8D22,C8CED,C8D5E
B1366,B12B7,B126F
C8A3E,C8C26,C8D7A
B1296,B112B,B124C
C8CF2,C8C4D,C8A68
B112E,B1203,B10F7
C8A92,C8AE6,C8BA7
B118E,B113F,B0FA0
C8C0B,C8AFD,C8C27
B0F64,B10F0,B1203
C8AA5,C8B73,C8B31
B110A,B11EF,B10EE
C8B78,C8B04,C8C70
B105E,B1179,B116A
C8B99,C8ACB,C8CE2
B1107,B0F72,B0EFF
C8BF0,C8BDC,C8BF4
B1374,B13F4,B12C1
C8B78,C8CE5,C8D21
B121A,B11CE,B114A
C8E48,C8C1B,C8D0A
B137E,B1384,B0FFF
C8B4A,C8B31,C8BC0
B129E,B106D,B111B
C8AE5,C8C93,C8BF5
B12BF,B1083,B1247
C8C30,C8C7A,C8D56
B133D,B11F9,B1126
C8B49,C8B34,C8C4C
B1126,B1275,B1185
C8B83,C8A31,C8BC9
B1076,B13B6,B1212
C8B9E,C8C88,C8B81
B11BC,B1032,B11AF
C8B4D,C8B82,C8D83
B1192,B10D8,B115F
C8C45,C8BD0,C897E
B113C,B1120,B10E4
C8B49,C8A45,C8B05
B1071,B0F8D,B1096
C8CB9,C8B34,C8CF2
B1153,B10DF,B109F
C8A5C,C8B5D,C89C9
B1169,B0F07,B0F26
C8AE0,C89F3,C8A0A
B0F95,B0E13,B0F16
C8883,C88C1,C88DF
B0EC1,B0DD9,B0FF9
C89D6,C8AC0,C8AD4
B0EFC,B0E79,B0ECA
C868D,C863B,C861D
B0DFF,B0E70,B0D22
C866A,C86EF,C8626
B0D1D,B0D16,B0BAE
C86CF,C852F,C85B1
B0CD1,B0BC3,B0BAA
C85C9,C877E,C8579
B0E72,B0B8F,B0D9B
C8653,C857D,C8730
B0BD1,B0C92,B0D09
C84BD,C85D2,C866A
B0D4F,B0DDE,B0CDE
C850F,C8672,C8627
B0C62,B0C85,B098E
C86D1,C84F6,C868F
B0CEB,B0C58,B0B13
C855F,C873F,C853D
B0C21,B0BFE,B0B81
C851D,C85C0,C8664
B0B76,B0B8D,B08B5
C858B,C8454,C83C7
B0A3A,B0BFE,B0A8C
C85E1,C8627,C84C5
B09B0,B0CD8,B0A92
C8667,C83C0,C84E1
B0988,B0A59,B0969
C87DF,C8554,C858C
B0A66,B0A88,B0AD6
C84CD,C8560,C854B
B0892,B08A5,B08A9
C84C1,C848A,C84CF
B0CB5,B0B5A,B0BD5
C8685,C8680,C85DD
B0D0A,B0D79,B0CB2
C876E,C8538,C880E
B0CF5,B0B23,B0C8E
C8613,C857C,C86B4
B0BE3,B0A91,B0BC0
C85F6,C85B8,C86DF
B0AA1,B0D44,B0D45
C8453,C850A,C8462
B0B64,B0C83,B0CBA
C87DE,C86E2,C8730
B0DA9,B09DA,B0B09
C8461,C8665,C85FE
B099F,B0B3F,B0B95
C8546,C86C4,C8554
B0AF8,B0B83,B0B17
C864D,C868B,C8396
B0B41,B0923,B09B5
C84B2,C86E4,C861C
B0AFC,B0CAA,B0B4F
C84F1,C8691,C846A
B0C32,B0BE3,B0D56
C8625,C873C,C869D
B0AE3,B098C,B0B88
C85C5,C82C5,C833F
B0A78,B0C0C,B0A9B
C85F3,C856C,C86D0
B0B1B,B0B66,B0C74
C866C,C86AF,C84C3
B0B26,B098A,B09D5
C814D,C8094,C81C4
B1313,B132C,B124C
C8A97,C8C37,C8C64
B1183,B1110,B111C
C8AB0,C8B48,C8AC9
B1349,B113D,B1075
C8AB5,C896B,C8A84
B0FC6,B0F2E,B0F85
C8B4C,C8A9A,C8A78
B10FE,B0EA0,B0E77
C8A89,C89B8,C89D0
B10D8,B0F04,B10AF
C8977,C8AB2,C8A34
B0F10,B1003,B0F44
C8AA0,C87FF,C8A11
B112B,B0EED,B1035
C89FE,C896C,C8922
B0CEB,B0B06,B0CD3
C8933,C8858,C878C
B0FC7,B0E85,B0DB8
C8809,C8987,C8A7D
B0E13,B0E57,B0CFB
C86EF,C88FF,C8711
B0D62,B0D5B,B0F0A
C8838,C88DA,C898B
B0EE9,B0E17,B0D52
C8790,C8883,C8819
B0CC5,B0C90,B0EBC
C856C,C87D1,C8658
B0D4F,B0DD6,B0DD6
C8593,C8655,C860C
B0CB0,B0ACE,B09DD
C8798,C88EC,C866C
B0EC4,B0E93,B0F48
C89AD,C88D1,C89CE
B0C94,B0EEB,B0DF7
C88CF,C87DF,C889D
B0EA4,B0E59,B0F19
C8798,C8720,C8803
B0D52,B0DA9,B0D1B
C8966,C8919,C8A74
B0F3A,B0DA6,B0CFC
C8896,C8869,C8824
B0C9D,B0C9F,B0D70
C87E2,C88DB,C852B
B0D91,B0EF5,B0DA5
C87CA,C8716,C88F2
B0CFE,B0D10,B0CAE
C875E,C8932,C898E
B0FAA,B0EC7,B0CA8
C8770,C8821,C8794
B0BEE,B0D73,B0E46
C8853,C88DF,C8866
B0E38,B0CB9,B0D1C
C87C0,C8883,C8A64
B0C06,B0C2D,B0D3F
C86DD,C8817,C8762
B0B54,B0DDE,B0DC6
C861E,C87AF,C884F
B0DA8,B0C52,B0DA9
C88E5,C878E,C8894
B0CD1,B0AF0,B0C4A
C876B,C87EC,C86E7
B0CF3,B0CBB,B0D20
C85C2,C8746,C872D
B0A24,B0984,B09F6
C82C3,C83D1,C83F7
B0C13,B0C65,B0B53
C84EE,C8335,C8414
B09A7,B0823,B0A28
C83E3,C84CE,C8519
B08BF,B0A92,B0B97
C85CB,C8535,C84DB
B0A10,B0A10,B09A3
C832A,C8348,C8256
B0AB1,B08C5,B09E1
C8280,C8416,C849B
B0B47,B09AF,B0A70
C85DA,C8435,C84A4
B094F,B095C,B0A68
C82E2,C8657,C860E
B0BBE,B09E4,B0B35
C846E,C8489,C8453
B0A45,B0974,B09EB
C8305,C8398,C82C0
B0B48,B0AD3,B0BBA
C840C,C84AC,C8625
B07AB,B0878,B07BB
C84A0,C8320,C8268
B07AC,B08A7,B08B5
C8473,C82E8,C8260
B0844,B08C1,B092F
C8246,C83B0,C8486
B05FF,B0850,B091C
C838F,C8339,C822F
B089D,B076E,B086A
C80C6,C81A1,C8188
B0AC4,B0914,B0B06
C83E3,C839D,C84B4
B0AA0,B09E7,B09F1
C83D6,C8390,C8514
B0A41,B0AA8,B091B
C826E,C825F,C837C
B0928,B09D6,B0900
C82B2,C847E,C83D6
B0949,B0AA0,B09AB
C8280,C82B2,C8279
B0A42,B0A9B,B085C
C83B4,C8375,C830E
B0814,B0966,B08B0
C8247,C8289,C80F0
B099E,B08B0,B0687
C8364,C860D,C8535
B0A6C,B0821,B0AE1
C838E,C83A0,C8395
B0B05,B0AE5,B092F
C84A1,C8435,C8253
B0949,B0965,B087C
C8296,C84F8,C8352
B07A7,B08EB,B0927
C823E,C835B,C81A0
B0BBD,B0A84,B07EE
C81F7,C83E5,C82C4
B0927,B0836,B0783
C822E,C80CE,C817B
B0918,B097B,B074A
C83FC,C81FC,C8445
B0962,B0A33,B0A56
D0F4B,D10A9,D1066
B34A6,B33AC,B33C3
CAB0B,CACAD,CABC5
B31D0,B328F,B3347
CAC34,CAC5A,CADC6
B34D4,B3332,B3356
CAC4E,CAAF4,CAC55
B3282,B302D,B31AE
CACB0,CADB6,CAD9F
B304D,B31D7,B3209
CADF2,CAC43,CACA7
B31BE,B2FA8,B3014
CAAF0,CAB8E,CABBC
B2F4C,B3060,B334E
CABE1,CACA5,CAB7D
B304B,B313B,B3258
CAD30,CAB84,CACD4
B302B,B3097,B32C9
CAB2E,CAB24,CACAB
B30FD,B2FAB,B3151
CAA61,CAAFA,CA9C4
B3292,B3149,B32B4
CA9AE,CAB63,CABFD
B30F5,B30CB,B2F8E
CAB87,CAA4E,CAB53
B2FB0,B3112,B3171
CA9BF,CAA2C,CAAC8
B2EE8,B2DF7,B2F16
CAAFC,CA9AE,CAA8E
B2E74,B304C,B2DD4
CABB8,CAAB9,CA918
B3111,B311E,B2FD8
CAA95,CA960,CA9C6
B329B,B316D,B3199
CAC6B,CABF3,CAC6B
B32E3,B31CA,B3485
CABDF,CAE79,CAD19
B3218,B335E,B3181
CAD3A,CAAB7,CACC9
B3109,B304E,B2F55
CADA0,CAD04,CABDB
B3191,B31D9,B3184
CAB35,CAAD1,CAD6D
B3375,B3262,B3119
CABAB,CAB95,CAB79
B309D,B2F84,B3064
CAB2C,CAB26,CAB72
B3037,B30E6,B2EC9
CACA1,CABD4,CAB02
B323D,B31F2,B3166
CAA37,CAA9A,CAAC8
B3078,B305F,B300F
CA89B,CAA7C,CAC31
B3242,B3022,B30A0
CA9F5,CA9B1,CAB2D
B2F56,B30A7,B3040
CAC65,CAC41,CAB7A
B3122,B316D,B306B
CAA57,CAAD3,CAA66
B3064,B2F56,B3109
CAB5D,CAB3E,CAAA7
B2FD8,B2F7F,B30E5
CAA04,CAB9D,CAB0D
B308B,B2FFB,B2ED1
CAA08,CAA0F,CAB5F
B2E77,B2E60,B2EA0
CA6E8,CA821,CA721
B2D12,B2CA2,B2D3C
CA7CD,CA88A,CA750
B2CE6,B2C1B,B2CB5
CA4B7,CA524,CA6EF
B2E89,B2BAA,B2C27
CA76C,CA5BA,CA7BB
B2DE6,B2E17,B2C2D
CA655,CA6CC,CA50F
B2CB6,B2CB4,B2CE6
CA80A,CA730,CA777
B2BAC,B29D2,B2C79
CA5DA,CA48C,CA2CB
B2B06,B2AF4,B2942
CA46F,CA6FA,CA589
B2BBF,B2B06,B2B7F
CA6F2,CA577,CA5DB
B2CD5,B2D8C,B2C88
CA619,CA6C8,CA6BE
B2B7C,B2BDA,B2969
CA4E5,CA59D,CA607
B2AA1,B2A99,B28A9
CA51D,CA5E0,CA500
B2A08,B2B50,B291E
CA42F,CA3E2,CA5D9
B2CEE,B2AC1,B2B86
CA49C,CA4C8,CA431
B2A03,B2A65,B288A
CA27D,CA305,CA3A7
B2BAC,B2B94,B2C67
CA428,CA519,CA4D8
B2D28,B2DF4,B2D30
CA773,CA8B8,CA671
B2D1C,B2CBE,B2D79
CA80A,CA83D,CA77D
B2D6E,B2D4E,B2D0B
CA780,CA80B,CA634
B2D92,B2B50,B2D3F
CA723,CA74A,CA913
B2D3E,B2AA7,B2BD6
CA56C,CA4AB,CA6C7
B2BA9,B29C6,B287E
CA48D,CA504,CA53A
B2AAC,B2C02,B2BAB
CA5A8,CA56A,CA582
B2AD3,B299F,B2A17
CA618,CA5F1,CA65F
B2D4A,B2B34,B2A75
CA532,CA5DD,CA5BC
B2980,B286D,B2820
CA324,CA5B3,CA324
B28E4,B293C,B2A49
CA3CF,CA51C,CA518
B2855,B29E4,B2B43
CA4C5,CA6A5,CA499
B2B1A,B2932,B298B
CA5A7,CA5D0,CA586
B2A38,B2A7C,B29A7
CA464,CA503,CA2BA
B2987,B2B24,B28CE
CA474,CA3AC,CA530
B284D,B286E,B2A7F
C9F5C,C9EE6,C9E54
B30CA,B2F7C,B30A8
CAAFA,CA83D,CA8F5
B2D0D,B2EA7,B2CF1
CA7CC,CA9C4,CA8A7
B2F8C,B2EC2,B2EBD
CA7B8,CA9E4,CAB16
B3088,B2FCB,B2C6D
CA770,CA806,CA8D5
B2E6C,B2EBC,B2F91
CA8D7,CA753,CA8A5
B2F79,B2E89,B2D8B
CA7CB,CA6E1,CA844
B2F1D,B2F0E,B2E4C
CA7E8,CA795,CA8A3
B2D7E,B2C98,B2DDC
CA7AC,CA774,CA965
B3005,B2F6E,B2FEA
CA9B1,CA94C,CA9FA
B2FF0,B2E0E,B2E54
CA936,CA7B7,CA992
B2D6A,B2ED4,B2C87
CA6D4,CA79B,CA7DF
B2E7E,B2C3D,B2D20
CA627,CA8AE,CA7D4
B2D15,B2BBF,B2D71
CA76D,CA6EA,CA747
B2FC2,B2E60,B2F25
CA696,CA93B,CA7BA
B2D60,B2D43,B2C06
CA685,CA8EF,CA7B0
B2C6A,B2C38,B2C39
CA709,CA750,CA6E5
B2F7F,B2FCC,B2DA4
CAA0F,CA90C,CA882
B2FD0,B2DDB,B2E00
CAAC5,CA920,CA9E8
B2E91,B2F7A,B2FE8
CA84D,CA96B,CAAE6
B30C5,B30DE,B2D26
CA92F,CA9D9,CA8E0
B2FAF,B2F01,B2F91
CA953,CA7E8,CA7FE
B2E94,B2C1F,B2EF6
CA988,CA93B,CA7AD
B2FBA,B2CA8,B2F16
CA90E,CA690,CA70D
B2DB2,B2C6E,B2D0A
CA94E,CAAB8,CAA1F
B2F28,B2E75,B2CBA
CA735,CA760,CA71A
B2DDD,B2E13,B2D07
CA7C9,CA814,CA90F
B2CC6,B2C8E,B2DA5
CA5CD,CA78F,CA634
B2C53,B2AB4,B2B19
CA75A,CA66E,CA775
B2CF3,B2C66,B2D37
CA703,CA84B,CA950
B2D3B,B2E15,B2E1F
CA8C2,CA8C5,CA8F2
B2EFC,B2D7D,B2CC8
CA9F8,CA84D,CA7BD
B2D09,B2C6C,B2B73
CA67E,CA65B,CA5AA
B2A2B,B2950,B2AA9
CA2C7,CA3C1,CA37F
B2A7D,B2921,B2A5F
CA466,CA498,CA3CA
B2A0B,B2A96,B28EE
CA2F0,CA2E9,CA3C7
B28E8,B28AB,B2871
CA533,CA476,CA34D
B2A1F,B2B6D,B290A
CA4F0,CA44B,CA378
B2A15,B2A7C,B291C
CA43F,CA3D3,CA359
B2A95,B28B8,B2930
CA29F,CA4EB,CA558
B291E,B28E7,B295E
CA3D1,CA4D5,CA2A0
B26BE,B296C,B288E
CA2BB,CA111,CA2BC
B2733,B28DD,B267F
CA346,C9FD8,CA482
B29C0,B27C6,B2884
CA322,CA316,CA12D
B28A5,B282F,B290F
CA513,CA29B,CA42B
B2751,B2836,B2745
CA0BF,CA000,CA03A
B27CA,B2796,B2547
CA0E8,CA343,CA1E9
B2800,B28CE,B27C5
CA00F,CA0B8,CA133
B271C,B269B,B27E8
CA108,CA112,CA470
B2926,B29C8,B26EE
CA429,CA397,CA2F5
B2C7B,B2B2C,B29FD
CA4B8,CA4C5,CA4CC
B2932,B292A,B29F9
CA340,CA35A,CA3CA
B2A98,B292E,B2AE7
CA3F0,CA3E8,CA3F3
B2AFB,B2A29,B29CE
CA4A3,CA542,CA3A0
B2B8F,B29C7,B29FB
CA2F1,CA4F4,CA2EA
B290B,B2976,B287A
CA384,CA3A4,CA32F
B2C2D,B28AE,B2915
CA509,CA4BC,CA493
B2AA0,B2967,B2A6A
CA34C,CA432,CA415
B2930,B27DB,B29D4
CA325,CA3A6,CA32F
B29BC,B2742,B28BA
CA21E,CA122,CA081
B2A35,B2900,B27C6
CA36C,CA391,CA1BA
B2A7F,B2732,B26BA
CA0CA,CA270,CA16F
B27D8,B2787,B28CF
CA1EC,CA1EF,CA2A3
B2794,B27B8,B26D2
CA141,CA46A,CA154
B2677,B27AD,B2687
C94F0,C91CC,C953B
B2BF4,B2BBE,B2BB0
CA58E,CA7AF,CA5D6
B2CDE,B2AF0,B2AF4
CA58E,CA69B,CA45A
B2A7A,B2BA8,B29C7
CA4E9,CA58C,CA3C2
B2A71,B2A3C,B2932
CA572,CA5C8,CA3D7
B2B20,B2B53,B29DB
CA4FA,CA436,CA494
B291E,B2C35,B2A85
CA303,CA4CF,CA52A
B2A0C,B2ABA,B2AC6
CA4C6,CA31E,CA388
B2984,B28E3,B2948
CA742,CA47F,CA523
B2942,B2C51,B2A3C
CA4B2,CA47D,CA565
B2B5F,B2A5A,B2A65
CA56D,CA4AE,CA5B3
B2886,B2A4D,B27F4
CA25B,CA4CB,CA418
B2A29,B28FA,B285E
CA37B,CA52A,CA40F
B2A97,B2B3F,B2BC7
CA380,CA42C,CA63E
B2BD4,B2833,B2924
CA474,CA33D,CA373
B293B,B27E1,B2AF8
CA4BF,CA2A0,CA276
B29D7,B277E,B2782
CA2AC,CA370,CA4B1
B2AD9,B291C,B2863
CA4F9,CA654,CA50E
B29E4,B2A37,B2D01
CA6ED,CA59A,CA67D
B2B26,B29DD,B2C2C
CA601,CA3FE,CA5BC
B2971,B2B15,B2B7E
CA70B,CA45B,CA4DD
B2B22,B2959,B29F9
CA5A1,CA477,CA4A3
B2AEE,B2983,B2A79
CA392,CA5D7,CA587
B2A72,B2C1B,B2D42
CA3B1,CA51A,CA308
B2C71,B2B5A,B2B37
CA54D,CA4C0,CA56F
B2B28,B2B1D,B2B9B
CA753,CA481,CA567
B2AEA,B2A54,B2BA9
CA563,CA3E8,CA526
B2B18,B2902,B29FE
CA23F,CA39A,CA43A
B27E1,B2839,B2847
CA4EB,CA488,CA3D8
B2A6D,B2AE1,B2901
CA232,CA139,CA2A7
B27B0,B294B,B2895
CA15B,CA290,CA28A
B27CC,B291F,B2727
CA445,CA2FC,CA1BF
B2828,B27F1,B26E7
CA25A,CA2C0,CA1DC
B264C,B25B9,B24E7
C9E60,C9E16,C9F5C
B24AF,B250D,B253C
C9DAD,C9FE7,C9F1D
B24EB,B25A5,B2620
CA15D,CA086,CA013
B243A,B260D,B23CF
CA061,CA038,CA04D
B255F,B21C1,B2325
C9ED3,C9FC1,C9E95
B2494,B2479,B23EA
C9DD8,C9D38,C9F7D
B2353,B2331,B2575
C9D4F,C9F92,C9F3C
B243A,B24C1,B253B
C9FE4,C9FD4,C9E7D
B2776,B2623,B2516
C9F40,C9DF4,C9E13
B2387,B2451,B23CC
C9E27,C9EED,C9EE3
B2399,B23D5,B25A6
C9ED8,C9D6C,C9D47
B25AF,B24DC,B24FE
C9E41,C9F22,C9EE0
B2505,B2566,B2309
C9E85,C9EEC,C9D6E
B23AB,B215B,B21E4
C9FF1,C9FB8,CA108
B24D3,B22C8,B24D5
C9D0D,C9EFE,C9EEA
B2320,B214E,B2408
C9E21,C9EF0,C9EC8
B2572,B25AD,B24E6
C9FBF,C9FCB,C9FA6
B273C,B25CB,B268D
CA092,CA046,C9EE3
B25F1,B2471,B2488
C9FD2,C9F1C,C9FCB
B250F,B241B,B249E
C9EAC,C9E97,CA027
B25B3,B25B1,B253E
C9E7F,C9F99,CA038
B2517,B24B0,B2461
C9EDC,C9EC2,C9EC3
B25E5,B25D6,B240A
CA099,C9EFA,C9EC4
B2522,B2453,B237E
CA016,C9F42,CA05A
B259A,B25BB,B2509
C9ECC,CA122,C9FD8
B24E5,B22F6,B2575
CA04F,C9DFA,C9F34
B2544,B2457,B24EE
C9FB6,C9F6B,C9EB9
B2585,B2487,B26B5
C9DD0,C9E52,C9FC6
