{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-65B36,-65BFA,-65A9F
-7D69E,-7D4F8,-7D5FD
-65C2F,-65AB1,-65CAF
-7D5F9,-7D721,-7D675
-65C3A,-65BFA,-65BBC
-7D589,-7D5F3,-7D3F1
-65A7A,-65979,-65B12
-7D3E6,-7D370,-7D596
-65A71,-65A53,-65A08
-7D390,-7D68E,-7D527
-65885,-65763,-656D4
-7D285,-7D45D,-7D3F6
-65930,-657A8,-658C0
-7D237,-7D0E9,-7D31A
-658F7,-65884,-6588B
-7D4A0,-7D475,-7D5B0
-65993,-65B8F,-65853
-7D224,-7D2BF,-7D3D9
-65A1B,-6585F,-65980
-7D264,-7D18E,-7D244
-65813,-65886,-6597B
-7D3E3,-7D3C0,-7D3D2
-659CE,-658F8,-65865
-7D222,-7D262,-7D13F
-65A39,-657D1,-65990
-7D1E2,-7D2A6,-7D25D
-656A7,-656C9,-656DE
-7D19F,-7D228,-7D1B8
-6584A,-65639,-657A7
-7D1EA,-7D233,-7D4B1
-65914,-658F8,-657B4
-7D323,-7D1C6,-7D2B1
-659A8,-65791,-65A72
-7D190,-7D2C4,-7D3F6
-6593B,-6589E,-65835
-7D20E,-7D30B,-7D39B
-658A1,-65722,-65932
-7D25B,-7D12F,-7D113
-65744,-657ED,-6562A
-7D193,-7D29E,-7D362
-656F8,-65795,-65801
-7D1F1,-7D0BA,-7D3F0
-65AB7,-659CA,-659FB
-7D3B3,-7D274,-7D331
-657C9,-6589D,-65A12
-7D47F,-7D32E,-7D36D
-658F0,-659B1,-6598B
-7D3C4,-7D35A,-7D3CF
-659A4,-658A0,-6598C
-7D2BB,-7D31C,-7D32E
-6581A,-658C5,-65926
-7D3BE,-7D4C0,-7D3DF
-659F3,-659E6,-65A6B
-7D17C,-7D2CF,-7D333
-65781,-65836,-657BD
-7D337,-7D280,-7D3DD
-65875,-65877,-65A21
-7D38A,-7D510,-7D3AB
-658BB,-6585B,-656E9
-7D200,-7D43A,-7D1F0
-65A2E,-65821,-65895
-7D322,-7D2C9,-7D293
-6588F,-6597B,-659A2
-7D257,-7D307,-7D3CC
-6577A,-65A72,-65938
-7D463,-7D394,-7D3BA
-657EC,-657FC,-65941
-7D1F2,-7D346,-7D303
-658DF,-65886,-65864
-7D51B,-7D21A,-7D160
-6587E,-65959,-659AA
-7D2EC,-7D228,-7D2D4
-65605,-655EB,-65688
-7D1B9,-7D319,-7D2DB
-66D53,-66D10,-66BCB
-7D436,-7D7D2,-7D5A0
-65A3A,-659D9,-65AF8
-7D516,-7D4DF,-7D461
-65971,-65A0E,-658F9
-7D2D7,-7D2D2,-7D254
-6589B,-65A6D,-657AE
-7D3FE,-7D33D,-7D408
-658BB,-65898,-65872
-7D25F,-7D4C9,-7D349
-6593B,-65A59,-6595C
-7D40D,-7D47D,-7D35A
-65962,-658C0,-6598F
-7D163,-7D343,-7D2A1
-658BA,-6588D,-65774
-7D48E,-7D3BD,-7D28B
-6576D,-658DA,-65897
-7D3F1,-7D42E,-7D43F
-6584D,-65ADE,-65B35
-7D43C,-7D52A,-7D214
-658F0,-6593D,-659DF
-7D491,-7D29A,-7D3CC
-65878,-657B2,-658B3
-7D2FF,-7D515,-7D444
-65997,-657C8,-65B68
-7D314,-7D4E9,-7D3F0
-659F5,-6589A,-65B3F
-7D549,-7D3DD,-7D3CA
-6595A,-65882,-658D0
-7D2CF,-7D300,-7D347
-6585E,-6582B,-657C1
-7D513,-7D438,-7D157
-65889,-65B16,-65C1E
-7D445,-7D432,-7D579
-65BF3,-659D1,-65A0F
-7D612,-7D3EE,-7D581
-65AE4,-65874,-65917
