{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-4509A,-44F18,-44E14
-5CAFA,-5CB60,-5CA91
-44F83,-44F8A,-44E98
-5CAE4,-5CA86,-5C7F7
-44E59,-44F3E,-452A1
-5C864,-5CA5E,-5CA12
-45141,-4507C,-44FAB
-5CEAB,-5CFCF,-5CDE7
-4531E,-4544E,-45374
-5CDB0,-5CE3A,-5CD9E
-4543C,-45241,-45344
-5CC0A,-5CDCA,-5CB95
-4540B,-4546B,-45396
-5CCCC,-5CE28,-5CDAF
-451A5,-452BB,-45169
-5CE98,-5CCE0,-5CF1E
-4533F,-4526D,-453B9
-5CC87,-5CDB1,-5CD2C
-44FF1,-451CD,-45147
-5CD77,-5CDF0,-5CDCE
-452C6,-45296,-451B6
-5CD52,-5CDFB,-5CD58
-450EA,-450DC,-44F3B
-5CBD8,-5CC1E,-5CC54
-45264,-450D2,-4526E
-5CD07,-5CD14,-5CABF
-450E3,-44FB8,-4513A
-5C9DA,-5CD80,-5CB16
-452B1,-452BD,-452FA
-5CC2B,-5CDFC,-5CCD0
-4516D,-452C1,-450E3
-5CC8F,-5CB30,-5CDB1
-4508C,-451AF,-4505D
-5CADC,-5CB42,-5CEA8
-4525F,-4507D,-44F9D
-5CA68,-5CAF7,-5CBE5
-4511A,-4500C,-44FC9
-5CAF1,-5CAE8,-5CAF5
-45141,-44FDA,-450E9
-5C7DE,-5CA2E,-5CAF3
-44F93,-4511B,-44EB6
-5CA1D,-5C85B,-5C992
-450A8,-44E17,-44E62
-5C9CE,-5C87D,-5C8A7
-44FC3,-44E8D,-44F37
-5CA78,-5CA7B,-5CA52
-44F3A,-44DE8,-44E97
-5C85A,-5C917,-5CA9C
-44F35,-44FEF,-44F02
-5C8E0,-5CAA3,-5C827
-44DE3,-44F08,-44FA2
-5C99A,-5C944,-5C769
-44FDC,-44EC4,-44D86
-5C877,-5C95C,-5C742
-44E39,-44C3E,-44D6C
-5C9B1,-5C819,-5CAB5
-44FF3,-44FFD,-44E9D
-5C83E,-5C9EE,-5C980
-44CC2,-44E7F,-44C48
-5C7EB,-5C88D,-5C7B4
-44E13,-44F15,-44D54
-5C8F2,-5C832,-5C99E
-44F39,-44E1F,-44FA1
-5C9E2,-5C7BC,-5C6C9
-44DBE,-44CB4,-44CD3
-5C5BF,-5C8AF,-5C873
-44E4F,-44C52,-44C8E
-5C8D9,-5C700,-5C767
-44D2E,-44C09,-44D4F
-5C805,-5C8EC,-5CA0F
-46C0A,-46D52,-46CD8
-5C6FA,-5C632,-5C67B
-44CB5,-44C0E,-44CEC
-5C67C,-5C81D,-5C689
-44D7B,-44BD2,-44DE1
-5C84E,-5C7E3,-5C74E
-44BF6,-44C78,-44C9E
-5C74A,-5C70B,-5C51E
-44C53,-44BEB,-44BA2
-5C6AE,-5C984,-5C75E
-44BBA,-44C4F,-44B8A
-5C834,-5C8FD,-5C894
-44D27,-44BEC,-44E48
-5C855,-5C796,-5C534
-44C0A,-44BB6,-44C88
-5C69A,-5C6F3,-5C6F3
-44A69,-449F2,-44A5A
-5C55F,-5C59E,-5C5ED
-44BFB,-44AC6,-44AC6
-5C489,-5C413,-5C405
-44BCF,-44992,-44B07
-5C528,-5C681,-5C498
-44C8A,-44A13,-44BA3
-5C4B2,-5C707,-5C6A2
-44A64,-44AE4,-44A7B
-5C420,-5C5C5,-5C41D
-44ACF,-44CFA,-44D9C
-5C57E,-5C5CF,-5C4F3
-44B03,-44AA3,-44BA0
-5C4BD,-5C5EF,-5C5A4
-44BCC,-44C13,-44B13
-5C4C7,-5C5B5,-5C6AF
-44929,-44A32,-44BAB
-5C3E4,-5C67D,-5C640
-448E6,-44AB3,-44983
-5C61B,-5C35A,-5C3CB
-44A35,-4487E,-449EE
-5C61A,-5C52C,-5C52C
-44921,-449D0,-44A00
-5C3AA,-5C30E,-5C2B4
-44948,-44891,-449CF
-5C38B,-5C248,-5C2FD
-44982,-448E5,-449DF
-5C25C,-5C28A,-5C2D9
-44748,-44850,-4483C
-5C315,-5C3B5,-5C485
-4490D,-448F8,-449F8
-5C1F1,-5C2E0,-5C4FD
-4481C,-44744,-44591
-5C330,-5C34D,-5C2E9
-44979,-44763,-44B50
-5C383,-5C3E9,-5C44A
-4470F,-448D7,-448E1
-5C32B,-5C309,-5C283
-44C19,-44983,-4493E
-5C374,-5C2C4,-5C22F
-446EE,-44755,-44829
-5C2AC,-5C3E7,-5C3EE
-44851,-44707,-44926
-5C1C9,-5C417,-5C1D8
-44916,-447F4,-447F4
-5C2C2,-5C29E,-5C3EA
-44706,-446E8,-448B1
-5C196,-5C1F4,-5C238
-447FD,-4496C,-4493E
-5C4F0,-5C544,-5C5B4
-44BE9,-44B55,-44A94
-5C742,-5C920,-5C6D3
-44BFD,-44E48,-44B78
-5C5FE,-5C5AC,-5C6D1
-44B86,-44A39,-44CB9
-5C56C,-5C64B,-5C61A
-44B3F,-4493F,-44CAD
-5C71B,-5C466,-5C5A3
-44C2E,-4498E,-44A80
-5C478,-5C519,-5C3FD
-44A56,-44981,-44A0C
-5C5B8,-5C50E,-5C6FE
-449CE,-44A83,-44A1B
-5C5F0,-5C41C,-5C43D
-449EF,-448A3,-44893
-5C509,-5C427,-5C70D
-449E8,-446ED,-449F9
-5C4DC,-5C479,-5C3EF
-447B4,-448DE,-448F4
-5C4E5,-5C398,-5C2CF
-44AFF,-44ADD,-449D9
-5C4F9,-5C408,-5C476
-4496A,-44873,-448CC
-5C4B9,-5C417,-5C448
-448C1,-44969,-448D5
-5C3B0,-5C407,-5C4D6
-446C0,-44841,-4478A
-5C27C,-5C32E,-5C275
-44868,-44863,-448B6
-5C3E4,-5C25D,-5C2B3
-4486A,-44A27,-447E6
-5C4BC,-5C357,-5C361
-447B7,-44819,-4473D
-5C404,-5C414,-5C40C
-4486F,-447D5,-44923
-5C34D,-5C4CD,-5C3AA
-44823,-4483C,-4489B
-5C2E9,-5C334,-5C46F
-44865,-44868,-4464C
-5C188,-5C19D,-5C3C0
-44838,-44726,-4495D
-5C28E,-5C3F2,-5C332
-446B0,-447F0,-4471A
-5C20A,-5C2D0,-5C3DF
-447B2,-447D5,-449CB
-5C1AC,-5C2C5,-5C35C
-44666,-44838,-44833
-5C1EB,-5C283,-5C1AF
-446CA,-44648,-4488B
-5BF4C,-5C09D,-5C118
-44697,-44549,-44549
-5C052,-5BFF3,-5BEEB
-44600,-44659,-44572
-5BFCA,-5BF4D,-5C221
-446B5,-44621,-4464A
-5C1AC,-5C0FD,-5BF6C
-44595,-446F2,-44603
-5C036,-5C164,-5C0D6
-445D5,-4466C,-4462E
-5C16F,-5BFAE,-5BFFD
-4471B,-44631,-44631
-5BFDE,-5C11D,-5C152
-45829,-45673,-4565E
-5C06F,-5C079,-5BFE3
-447A4,-445FC,-444C0
-5C225,-5C112,-5C121
-44571,-4472A,-444F9
