{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-ECB20,-ECB22,-ECBC1
-D51CA,-D51E0,-D51D4
-ECBD4,-EC9C5,-ECCD7
-D51F8,-D51F9,-D5218
-ECB79,-ECAFA,-EC975
-D50AA,-D50FC,-D501A
-ECA87,-ECC87,-EC93D
-D50E0,-D4FFC,-D51F6
-ECC7F,-ECB75,-ECA36
-D509C,-D4F93,-D5109
-ECB6C,-ECAFF,-ECA0C
-D5105,-D5130,-D51AB
-ECB1D,-ECBA4,-ECBAA
-D520D,-D4FC0,-D50A2
-ECBAB,-EC97B,-ECB03
-D4F5E,-D509D,-D51D2
-ECC29,-EC95F,-EC9B1
-D500D,-D5076,-D51E8
-ECAE0,-ECBE8,-ECA92
-D513A,-D520F,-D4F47
-ECBCC,-ECC81,-ECCDE
-D5023,-D4FB6,-D501D
-ECBFF,-ECF65,-ECCDF
-D53A8,-D5478,-D4FF4
-ECB0C,-ECEF3,-ECDF1
-D528E,-D5179,-D533B
-ECC44,-ECB92,-ECB93
-D5231,-D535F,-D51B2
-ECCCF,-ECC52,-ECC5C
-D535C,-D50AE,-D53A9
-ECB35,-ECA2B,-ECCF3
-D517F,-D50DD,-D51F1
-ECC89,-ECBAE,-ECD49
-D5270,-D528F,-D5268
-ECCC0,-ECE73,-ECD9A
-D5385,-D519A,-D52DA
-ECCDD,-ECCF6,-ECCF3
-D51BC,-D5244,-D51BE
-ECC07,-ECE6F,-ECE5D
-D53C0,-D5339,-D53C1
-ECE4D,-ECF61,-ECC42
-D51DD,-D51B4,-D5325
-ECE98,-ED02B,-ED01B
-D54CA,-D5519,-D5383
-ECDC9,-ECD5D,-ECE76
-D550F,-D51F2,-D53C0
-ECBEB,-ECEBD,-ECD5D
-D53B2,-D52B5,-D5441
-ECCD9,-ECCD0,-ECCCC
-D528B,-D523E,-D53E2
-ED057,-ECD4A,-ECC44
-D52D6,-D5185,-D52F1
-ECD9E,-ECF7A,-ECECE
-D5417,-D53F6,-D5390
-ECCA4,-ECCD2,-ECE36
-D5373,-D543A,-D52C1
-ECEEA,-ED014,-ECE99
-D556D,-D5457,-D5442
-ECF85,-ED02A,-ECF53
-D547F,-D5557,-D544F
-ECE65,-ECDF3,-ECE40
-D53EB,-D53D1,-D541F
-ECE71,-ECE47,-ECD39
-D5419,-D5406,-D542D
-ED02A,-ECD11,-ECCF3
-D524E,-D52A5,-D53CB
-ECE0E,-ECDB2,-ECE9B
-D5380,-D53A9,-D544C
-ECF7B,-ECEE1,-ECF77
-D5380,-D52AD,-D5309
-ECD81,-ECF0D,-ECE96
-D5572,-D53FA,-D5495
-ECDEF,-ECF60,-ECEDF
-D55BA,-D5543,-D52F7
-ED01C,-ECE79,-ECE92
-D5356,-D54D7,-D5558
-ED112,-ECE9F,-ED158
-D550C,-D5422,-D53BA
-ED05E,-ED136,-ED077
-D5571,-D5414,-D5573
-ED048,-ECF86,-ED0DF
-D569A,-D55B0,-D544E
-ECE7F,-ECDC4,-ED03F
-D5503,-D55B5,-D5629
-ECF88,-ED16A,-ECF61
-D65A6,-D67BD,-D6534
-EC663,-EC535,-EC592
-D4C5E,-D4B33,-D4B15
-EC4E7,-EC5AF,-EC666
-D496C,-D4AE6,-D4B8D
-EC497,-EC59E,-EC590
-D4C4C,-D4995,-D4CC1
-EC4CF,-EC5CE,-EC4E3
-D4C11,-D4BBB,-D4A93
-EC59D,-EC5CD,-EC500
-D4AAE,-D4A91,-D4B9D
-EC720,-EC663,-EC399
-D4898,-D4BCB,-D49F8
-EC361,-EC386,-EC641
-D4A04,-D4A8C,-D49E3
-EC4F1,-EC46D,-EC4ED
-D4A01,-D49FE,-D499E
-EC3A1,-EC672,-EC63E
-D48C4,-D4CAB,-D4AE3
-EC5C2,-EC58A,-EC6DE
-D4B51,-D4D5F,-D4D53
-EC56B,-EC52B,-EC6EA
-D4D75,-D4C40,-D4C4D
-EC4B9,-EC692,-EC7C7
-D4BE0,-D4C74,-D4C23
-EC53D,-EC9AA,-EC69A
-D4D0C,-D4CE6,-D4CBE
-EC57E,-EC6F0,-EC5F7
-D4D64,-D4CCA,-D4BED
-EC4BA,-EC6AE,-EC5DA
-D4E18,-D4AB4,-D4D0A
-EC653,-EC5DB,-EC68F
-D4BDD,-D4E67,-D4D9D
-EC6CF,-EC75B,-EC6B3
-D4D0D,-D49FB,-D4CCD
-EC54F,-EC588,-EC4AF
-D4BA9,-D4992,-D4B45
-EC653,-EC687,-EC613
-D4B99,-D4A85,-D4D08
-EC62D,-EC58C,-EC76B
-D4CBB,-D4C36,-D4BA5
-EC66B,-EC55C,-EC5EB
-D4BF9,-D4B32,-D4BFA
-EC7AE,-EC6F5,-EC6A3
-D4C37,-D4CFD,-D4D25
-EC477,-EC6C4,-ECA85
-D4CBA,-D4C38,-D4BD2
-EC6E3,-EC806,-EC52A
-D4C55,-D4B7B,-D4B41
-EC603,-EC5EB,-EC770
-D4C0A,-D4C44,-D4C3F
-EC8B7,-EC6F1,-EC833
-D4DAF,-D4BC6,-D4ADB
-EC54A,-EC75C,-EC7FB
-D4BBB,-D4DA4,-D4CCE
-EC6BB,-EC74A,-EC7FE
-D4BAD,-D4D09,-D4DF2
-EC77F,-EC687,-EC797
-D4D3C,-D4DC9,-D4D91
-EC7BF,-EC939,-EC709
-D4D46,-D4BD5,-D4B03
-EC6F7,-EC6EC,-EC8AF
-D4C32,-D4D80,-D4C6F
-EC7B7,-EC6AA,-EC812
-D4D81,-D4BE1,-D4E76
-EC8D2,-EC8DF,-EC7BE
-D4F01,-D4D09,-D4F8B
-EC7E0,-EC843,-EC96B
-D4E91,-D4D13,-D4D21
-EC906,-EC807,-EC8C7
-D4D5B,-D4EDA,-D4F9B
-EC75F,-EC80E,-EC6D7
-D4E18,-D4DDF,-D4E5E
-EC894,-EC824,-EC7CD
-D4E69,-D5043,-D4EE4
-EC8A7,-EC832,-EC78D
-D4C43,-D4C36,-D4D74
-EC704,-EC7EB,-EC542
-D4C9B,-D4D91,-D4D0B
-EC7D6,-EC8C3,-EC9C2
-D4D0E,-D4DD9,-D4BB6
-EC8A0,-EC5E1,-EC849
-D4EAA,-D4EAB,-D4E10
-EC821,-EC883,-EC84F
-D4DD0,-D4F22,-D4E1A
-EC835,-EC918,-EC818
-D4E0F,-D4DBA,-D4F2E
-EC8E5,-EC8C3,-EC95B
-D4DC4,-D4D4F,-D4D57
-EC7B4,-EC8D4,-EC822
-D4CCB,-D4D42,-D4D05
-EC88F,-EC7A6,-EC754
-D4D69,-D4C8A,-D4DCA
-EC7F0,-EC5EF,-EC6F2
-D4D3B,-D4DE0,-D4DCC
-EC7DC,-EC830,-EC8CC
-D4E42,-D4CE7,-D4E2F
-EC756,-EC9AE,-EC8C0
-D4DEA,-D4F59,-D4D63
-EC946,-EC907,-EC7E6
-D4C43,-D4F2D,-D4E54
-EC7AB,-EC964,-EC88F
-D4ED8,-D4E10,-D5139
-EC7F4,-EC687,-EC58C
-D4E7F,-D4EAF,-D4DCB
-EC819,-EC8E0,-ECAD4
-D4D37,-D4D97,-D4FCA
-EC7EB,-EC95B,-ECA00
-D4EF5,-D4E28,-D4E75
-EC714,-ECA85,-EC955
-D4D3C,-D4CF5,-D4E1F
-EC900,-EC93E,-EC887
-D4E0D,-D4C7D,-D4CD7
-EC9AB,-EC9F2,-ECA14
-D5089,-D4F83,-D4F6A
-EC9B4,-ECACE,-EC8F8
-D4FAF,-D4F87,-D4E7B
-ECA31,-EC8FF,-ECA25
-D4EFF,-D4F8E,-D4FAE
-ECB61,-ECB2F,-EC9B9
-D4F6F,-D4D40,-D4FC8
-EC9D7,-EC8CD,-EC9D8
-D5039,-D4F4D,-D5041
-ECAB9,-ECA92,-EC927
-D4F32,-D4E79,-D4F4A
-EC8FF,-EC8E6,-EC957
-D4EAB,-D4ED2,-D4DD7
-EC86A,-ECAD5,-EC829
-D5796,-D5961,-D595F
-EC4EB,-EC562,-EC572
-D4A82,-D4C11,-D4AEA
-EC60D,-EC4B6,-EC6BA
-D48A0,-D4B38,-D49FC
-EC3C7,-EC4C9,-EC53D
-D4B66,-D4BD8,-D4A1B
-EC4E4,-EC635,-EC5A4
-D4A51,-D4984,-D4991
-EC501,-EC4E7,-EC63F
-D4A73,-D4901,-D48F0
-EC4D6,-EC638,-EC677
-D49CF,-D4C24,-D491B
-EC478,-EC437,-EC5CE
-D4980,-D4A48,-D49C6
-EC296,-EC5E9,-EC467
-D4A68,-D484E,-D4999
-EC4DB,-EC361,-EC43D
-D49D0,-D49F4,-D4A5C
-EC509,-EC374,-EC667
-D4B83,-D49EF,-D4909
-EC4AD,-EC5C7,-EC628
-D4C27,-D4ADF,-D4B60
-EC4C9,-EC584,-EC47F
-D4B15,-D4A65,-D49F6
-EC46D,-EC4A1,-EC4C0
-D4C7E,-D49B6,-D4AFD
-EC6DB,-EC53D,-EC555
-D4AE0,-D4B7A,-D482F
-EC56A,-EC60E,-EC590
-D4932,-D48F9,-D49F2
-EC405,-EC574,-EC60F
-D4BE3,-D4B6F,-D4BCA
-EC4F0,-EC55B,-EC4C1
-D4C21,-D4AEE,-D4C0F
-EC5F1,-EC60B,-EC58A
-D497B,-D4992,-D49EB
-EC37C,-EC3F0,-EC4A9
-D4A44,-D49EE,-D4B8C
-EC5DF,-EC383,-EC569
-D4A32,-D4B18,-D4938
-EC3AA,-EC4A1,-EC5C0
-D4981,-D490C,-D4A5D
-EC61A,-EC4C0,-EC387
-D4A71,-D4AF8,-D4A06
-EC6B6,-EC4E4,-EC6C1
-D4AF9,-D4A29,-D4983
-EC63A,-EC528,-EC570
-D4B2B,-D4A7D,-D4B43
-EC97F,-EC88F,-EC5F2
-D4B75,-D4BFB,-D4BCD
-EC59E,-EC651,-EC55E
-D4B72,-D4C37,-D4B3B
-EC690,-EC54C,-EC5E3
-D4C03,-D4B1D,-D4B67
-EC651,-EC72E,-EC5DB
-D4D4F,-D4C17,-D4C39
-EC549,-EC750,-EC647
-D49F5,-D4B19,-D4C33
-EC589,-EC4E3,-EC5F1
-D4BD4,-D4C32,-D4A5D
-EC5CD,-EC441,-EC7CB
-D4D2D,-D4CFA,-D4A7D
-EC480,-EC729,-EC4A5
-D4B06,-D4AAA,-D4AE1
-EC714,-EC70A,-EC734
-D4E95,-D4E3D,-D4D55
-EC750,-EC772,-EC875
-D4E69,-D4E6F,-D4BD3
-EC8B6,-EC77D,-EC8E9
-D4B54,-D4CEC,-D4CA1
-EC5CF,-EC8B7,-EC7BC
-D4BF9,-D4CEA,-D4E63
-EC8E1,-EC65F,-EC865
-D4DCC,-D4C8D,-D4BDE
-EC69C,-EC907,-EC87D
-D4E79,-D4AC8,-D4D8C
-EC9C8,-EC840,-EC737
-D4D80,-D4D40,-D4D63
-EC934,-EC8E0,-EC8B7
-D4C59,-D4D66,-D4D5C
-ECA0B,-ECA9B,-EC95E
-D4F42,-D4ED5,-D4FC3
-EC8B2,-EC4AB,-EC8F3
-D4DEC,-D4E2D,-D4D93
-EC8B4,-EC8E2,-EC815
-D4E7A,-D4ED9,-D4E4A
-EC87B,-EC860,-EC9BE
-D4ED5,-D4DF5,-D4E78
-EC8A0,-EC875,-EC8BC
-D4DF9,-D4CCE,-D4D2B
-EC825,-EC7E1,-EC651
-D4B34,-D4C1F,-D4C18
-EC7F8,-EC536,-EC4C9
-D4B76,-D4BCC,-D4BD7
-EC6CB,-EC7C8,-EC735
-D4D21,-D4DB7,-D4E4B
-EC761,-EC632,-EC827
-D4D39,-D4E5B,-D4BAD
-EC893,-EC6EA,-EC840
-D4D21,-D4E5D,-D4DDD
-EC5E3,-EC849,-EC90D
-D4EFD,-D4DD1,-D4FDC
-EC8FA,-EC76C,-EC9F7
-D4D2A,-D4F3C,-D4D75
-EC80F,-EC9D2,-EC8D0
-D4D4C,-D4C1E,-D4D8C
-EC86D,-EC728,-EC836
-D4CE4,-D4E1B,-D4BEE
-EC605,-EC75A,-EC7F1
-D4C47,-D4BCE,-D4E9D
-EC8AC,-EC82E,-EC844
-D4CD2,-D4CD6,-D4DC4
-EC8DE,-ECAC4,-EC884
-D4FD2,-D4E58,-D4F70
-EC98F,-EC8A7,-EC90C
-D4DDE,-D4E5D,-D4EC5
-EC890,-EC929,-EC9C3
-D4FBB,-D4D78,-D4D96
-ECB7A,-EC812,-EC974
-D502C,-D4F61,-D4DD2
-ECA52,-EC9B9,-EC863
-D4FF0,-D4E35,-D4EB0
-EC778,-EC8A1,-EC87F
-D4F1D,-D4BF8,-D4DBD
-EC82A,-EC8AB,-EC6D7
-D4D8F,-D4F11,-D4BFC
-EC929,-EC7EA,-EC7A5
-D53BE,-D5261,-D5338
-ECE19,-ECE04,-ECBD1
-D540F,-D54B9,-D532D
-ECEAC,-ECD4D,-ECDFF
-D5338,-D51A2,-D52B9
-ECDF6,-ECE78,-ECFB9
-D5411,-D5380,-D53DC
-ECD93,-ECD45,-ECE05
-D52D2,-D5292,-D514C
-ECDE8,-ECCC9,-ECF0A
-D53A2,-D53BD,-D546F
-ECDF6,-ECEEB,-ECCA6
-D538D,-D5253,-D537D
-ECDA0,-ECCE4,-ECC9D
-D51F3,-D53D4,-D5133
-ECC00,-ECD48,-ECC23
-D51F5,-D51D2,-D5297
-ECDBD,-ECD95,-ECE73
-D53A2,-D5426,-D51CA
-ECE14,-ECF80,-ECD94
-D5409,-D52FB,-D5319
-ECD9B,-ECE83,-ECECE
-D5339,-D5503,-D5280
-ECE08,-ECF87,-ECD69
-D556F,-D5382,-D5525
-ECF83,-ECEBC,-ECF22
-D556D,-D5570,-D54BC
-ECDAA,-ECF21,-ECEC9
-D5514,-D5516,-D5487
-ECE2A,-ECF86,-ECDE4
-D5416,-D52BA,-D5588
-ECEBF,-ED06A,-ECF1F
-D5760,-D5776,-D56CB
-ED046,-ED073,-ECFEB
-D55FC,-D5627,-D5396
-ED0AA,-ECFED,-ECF6C
-D54D9,-D5696,-D553E
-ED0C5,-ECF46,-ED038
-D5641,-D5624,-D582F
-ECFBD,-ECFB4,-ED23F
-D5656,-D5602,-D577B
-ED0BD,-ECF4E,-ECFC5
-D5781,-D572D,-D5585
-ED111,-ED016,-ECF9D
-D5737,-D557D,-D562D
-ED077,-ED00C,-ED1D2
-D560D,-D5591,-D56CD
-ECE78,-ED108,-ECE79
-D55E1,-D5673,-D541A
-ECED5,-ECFF3,-ED1AB
-D55D5,-D55EF,-D5534
-ECDC1,-ED0AC,-ED1D4
-D5653,-D568B,-D5780
-ED000,-ECEE6,-ECF5D
-D55A8,-D55B4,-D562F
-ED056,-ED136,-ED12E
-D56D6,-D594D,-D5781
-ED19B,-ECFFA,-ED176
-D5677,-D5753,-D5659
-ED22C,-ED0CB,-ED09B
-D583E,-D562C,-D5844
-ED0B1,-ED261,-ED03D
-D5759,-D55CB,-D562B
-ECFDE,-ED04D,-ECECC
-D530F,-D5530,-D5478
-ED01D,-ECFA4,-ECF7D
-D584F,-D57A2,-D55A4
-ED13E,-ED18D,-ED11D
-D5684,-D56E1,-D550C
-ED04C,-ECF40,-ED041
-D55E4,-D55E7,-D5673
-ED24E,-ECFF6,-ED11F
-D5717,-D5797,-D568D
-ED03C,-ED032,-ED0F6
-D572B,-D5859,-D5801
-ED179,-ED0B4,-ED056
-D5759,-D55FB,-D554C
-ED0DC,-ED11E,-ED0FD
-D54CD,-D567E,-D57F9
-ED3C3,-ED123,-ED24A
-D57D4,-D54B9,-D56BC
-ED255,-ED1CF,-ED23B
-D583C,-D57A0,-D568B
