{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-CDEE3,-CE19F,-CE025
-B6370,-B6460,-B63CF
-CE021,-CE0A0,-CE1BE
-B650E,-B6553,-B6732
-CDF84,-CE065,-CE0A9
-B662A,-B6698,-B65EB
-CE0E4,-CE02F,-CDFE0
-B6712,-B6599,-B670C
-CE144,-CE0CF,-CE058
-B66C5,-B6509,-B65B9
-CDF7E,-CE134,-CDFF3
-B656D,-B673F,-B660A
-CE13A,-CE13F,-CE1BB
-B64F9,-B677E,-B67C6
-CDF37,-CDFAD,-CE103
-B649A,-B65B2,-B64A7
-CE205,-CE044,-CE0FA
-B65D9,-B6511,-B63DC
-CE09B,-CDFF9,-CE04E
-B687B,-B684E,-B6701
-CE10C,-CE150,-CE324
-B67AB,-B678B,-B66C1
-CE035,-CE383,-CE315
-B6607,-B65FA,-B657B
-CE1AF,-CE0CF,-CE386
-B6685,-B67EF,-B67AF
-CDF36,-CE024,-CE06D
-B6609,-B6625,-B656B
-CE0F7,-CE024,-CE225
-B65F3,-B64D5,-B65D9
-CE2F0,-CDF00,-CE0A0
-B6660,-B65FB,-B6778
-CE129,-CE0AA,-CE13F
-B66C0,-B6461,-B64D6
-CE0E9,-CE09E,-CE118
-B64D5,-B660C,-B66FD
-CDED5,-CE09E,-CDEE2
-B65C7,-B653C,-B659C
-CE143,-CE11A,-CDE1E
-B6478,-B6639,-B65F1
-CE1CD,-CDFD5,-CDF23
-B652D,-B6690,-B666A
-CDF31,-CE138,-CE054
-B66AB,-B67BD,-B672A
-CE0B5,-CE18C,-CE10A
-B63C9,-B6654,-B64B1
-CE0F9,-CE291,-CE0B4
-B66DD,-B6565,-B64EE
-CE14E,-CDEFC,-CDFE8
-B64C7,-B6760,-B65C1
-CDFC9,-CE182,-CE175
-B6781,-B6703,-B64EE
-CE0A3,-CE254,-CE249
-B6854,-B6763,-B6688
-CE25B,-CE347,-CE1FB
-B678A,-B6707,-B66FA
-CE237,-CDEE5,-CE23D
-B6709,-B6600,-B65BD
-CE23F,-CDEED,-CDF26
-B66D4,-B6474,-B66DF
-CDFD9,-CE20D,-CE279
-B676D,-B654E,-B6526
-CE04A,-CE15C,-CDF48
-B64C6,-B66E5,-B66C3
-CE174,-CE0AE,-CE126
-B651B,-B66EC,-B64FD
-CE0AF,-CDF0D,-CE05B
-B6776,-B675A,-B66CD
-CE3C8,-CE1AB,-CE092
-B68A9,-B679A,-B668F
-CE2D7,-CE198,-CE250
-B682A,-B6551,-B6798
-CE24F,-CE14D,-CE1B1
-B6704,-B6646,-B6850
-CE03B,-CE2D4,-CE1FE
-B6884,-B681D,-B67AE
-CE3BC,-CE1FD,-CE236
-B6966,-B691A,-B696A
-CE22E,-CE229,-CE240
-B67B3,-B6902,-B67E7
-CE2C5,-CE2E6,-CE13E
-B77F6,-B76C1,-B787F
-CD7D3,-CD7D3,-CD6BA
-B5E04,-B5EFB,-B5E29
-CD7A5,-CD867,-CD9B9
-B5DF5,-B5D10,-B5DFF
-CDAEA,-CD7D0,-CD9D1
-B5ED9,-B6089,-B5EC1
-CD75A,-CD87F,-CD802
-B5C6C,-B5CDB,-B5DE1
-CD8D2,-CD904,-CD93D
-B5E88,-B5E57,-B5E7D
-CD694,-CDA24,-CDA9F
-B5E0D,-B5F9C,-B5DB2
-CD732,-CDA60,-CD622
-B5D66,-B5DCC,-B5E27
-CD891,-CD73C,-CD7B7
-B5D16,-B5CE2,-B5E17
-CD87C,-CD820,-CD9A9
-B5D71,-B5F29,-B5E87
-CD85B,-CDAC9,-CD9CB
-B5FEA,-B6109,-B5F45
-CDA42,-CDACE,-CD8CB
-B5E6B,-B5D9E,-B5FC6
-CD93A,-CD9A7,-CD8ED
-B5EFC,-B5E8B,-B5F30
-CD965,-CDA0D,-CD8FD
-B5FC8,-B5E1E,-B5F03
-CD9AB,-CD76A,-CD953
-B5C70,-B5EDB,-B5FB5
-CDA10,-CDADF,-CD820
-B5EEE,-B5E6F,-B5F42
-CD993,-CD934,-CD6ED
-B5F83,-B5E74,-B6040
-CD9C5,-CD8FB,-CD9FE
-B5FF2,-B5F0D,-B6027
-CDB70,-CDA35,-CDA86
-B6160,-B5F02,-B6012
-CDA97,-CDA86,-CDB76
-B61A7,-B600C,-B621D
-CD990,-CD8A1,-CDA81
-B6092,-B5E86,-B61CA
-CD99E,-CDB0D,-CDBB8
-B5F94,-B5F83,-B61D2
-CDB80,-CDBCB,-CDB94
-B6153,-B6203,-B6146
-CDB72,-CDAE8,-CD9AD
-B6123,-B5ED4,-B5EA9
-CD905,-CDB10,-CDB02
-B5EA7,-B5D69,-B5FA7
-CD95C,-CD7C8,-CDA40
-B5FC0,-B5E5B,-B5FF3
-CDBD5,-CDB32,-CDAC9
-B60C8,-B62A1,-B5FBE
-CDA78,-CDB39,-CDB08
-B5FE1,-B619D,-B6002
-CDCB1,-CDA37,-CDC37
-B618D,-B6190,-B616F
-CDC1C,-CDB5A,-CDC8F
-B60BD,-B60A4,-B6031
-CDA5B,-CDAAD,-CDB56
-B6172,-B617D,-B60DC
-CDD5A,-CDB88,-CDB58
-B60CB,-B5FCD,-B6260
-CDB4E,-CDBEB,-CD981
-B5E0B,-B5F72,-B5DCF
-CDADA,-CDA4F,-CDB3E
-B5ECF,-B6036,-B6023
-CDBBD,-CDB57,-CDBED
