{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-19DD33,-19DDBF,-19DF8B
-1864BB,-186504,-186641
-19DF77,-19DDC3,-19E0FF
-18634A,-1865B8,-1863E4
-19DDF4,-19DF29,-19DF39
-1862D6,-186325,-186284
-19DEDD,-19DD4D,-19DCC8
-186546,-186496,-18646E
-19DF7B,-19E006,-19DE9E
-186477,-186607,-18654E
-19DFFD,-19DF54,-19E0D2
-18663C,-186516,-18656E
-19E02D,-19E0B1,-19DFE6
-186570,-18650A,-18647B
-19E138,-19E331,-19E154
-186834,-18687A,-18689F
-19E37C,-19E1D5,-19E403
-1869AF,-186769,-1868A3
-19E023,-19E41C,-19E400
-1868F1,-186AE2,-186B90
-19E508,-19E32A,-19E3D2
-186785,-186765,-18695A
-19E327,-19E2D0,-19E26D
-1868C8,-1869C6,-186951
-19E1E2,-19E407,-19E2A5
-18681B,-1868DB,-18681B
-19E2A1,-19E132,-19E2C6
-18683B,-1869E6,-186929
-19E375,-19E3C6,-19E257
-186A21,-1868DC,-186829
-19E203,-19E352,-19E3F8
-186A4E,-186908,-186A06
-19E34F,-19E30A,-19E468
-1868CF,-186904,-18697B
-19E2DD,-19E3FE,-19E4EA
-186901,-186ADC,-186A36
-19E465,-19E37F,-19E52D
-1868AF,-186978,-1869D5
-19E30D,-19E311,-19E608
-1869D2,-18686D,-186982
-19E59D,-19E3E7,-19E48E
-186A94,-186A1A,-1869F8
-19E4B1,-19E3B0,-19E6B4
-186A01,-186A03,-186A89
-19E571,-19E334,-19E524
-186B62,-186ADD,-186862
-19E36B,-19E153,-19E21B
-186867,-1865D2,-186721
-19E131,-19E3D4,-19E2E6
-186821,-186773,-186626
-19E338,-19E226,-19E347
-18673A,-18671E,-1868DF
