{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-8F0F2,-8F22C,-8F0E3
-A6BD2,-A6D37,-A6C50
-8F330,-8F274,-8EF5A
-A6D0E,-A6BB0,-A6B7C
-8F055,-8F143,-8F17B
-A6DF4,-A6BB7,-A6A54
-8F2B3,-8F19C,-8F23B
-A6D33,-A6AB2,-A6CCA
-8F13F,-8F182,-8F232
-A6CCE,-A6982,-A6A01
-8F20C,-8F1D4,-8F1A8
-A6BAB,-A6CB5,-A6D01
-8F238,-8F21D,-8F2EA
-A6EBF,-A6CC7,-A6B8E
-8F1DA,-8F263,-8F28A
-A6B3C,-A6ACC,-A6D61
-8F284,-8F152,-8F04B
-A6B0D,-A6AAD,-A6AFB
-8EF4D,-8EF1B,-8EFCE
-A6BCA,-A6C93,-A6E59
-8EE26,-8F112,-8F0D2
-A69BD,-A69C9,-A6976
-8EE94,-8F10E,-8EF52
-A6893,-A6B43,-A69B6
-8EF11,-8EEE0,-8F19B
-A6A03,-A69DA,-A683A
-8F00B,-8EE9F,-8EFE9
-A6765,-A69BF,-A6B19
-8EF96,-8EE09,-8ED54
-A6772,-A6A2C,-A69A5
-8EF87,-8F085,-8F071
-A6A40,-A6A67,-A6968
-8EF06,-8EF16,-8EEA3
-A674D,-A692D,-A69A7
-8EF53,-8EFD9,-8EE8A
-A6855,-A6936,-A6977
-8ED51,-8ED8B,-8ECDD
-A6A2F,-A6A85,-A6A09
-8EEA4,-8EEA0,-8EE79
-A6914,-A6A88,-A6911
-8EEB6,-8EF10,-8EEDC
-A691E,-A6903,-A68F4
-8EEB2,-8EF0A,-8EE98
-A6B4C,-A68B0,-A6915
-8EFC8,-8ED7C,-8ED00
-A6B66,-A6903,-A67F1
-8EF4F,-8EE6B,-8EC17
-A67EA,-A665C,-A6874
-8EC97,-8EC6A,-8ED76
-A6784,-A6A9E,-A66D4
-8EF1F,-8ED41,-8EDE5
-A6738,-A673C,-A675F
-8EE03,-8EECE,-8F06B
-A67B1,-A690F,-A69F3
-8EEA8,-8EE12,-8EF1F
-A6952,-A6813,-A6928
-8EEBD,-8EDE7,-8F0F6
-A6976,-A69D6,-A6AC6
-8EF90,-8EE89,-8EFA4
-A6A5D,-A6902,-A684A
-8EFC8,-8EF26,-8EE53
-A69EA,-A6889,-A6A6E
-8EFDE,-8EEEE,-8EFD5
-A692A,-A6829,-A69B6
-8EE3C,-8EEEE,-8EE0C
-A680F,-A6912,-A696A
-8EF27,-8EE2D,-8EE88
-A68DF,-A6778,-A68C4
-8EE69,-8EE90,-8EEC2
-A699C,-A693A,-A6908
-8ED77,-8EFA6,-8EF39
-A698A,-A6949,-A699D
-8EE08,-8EF2C,-8EEC1
-A69C6,-A68CD,-A693A
-8EF30,-8EEFD,-8EE38
-A693E,-A6880,-A68EA
-8ED44,-8EEB2,-8EDBC
-A6817,-A685C,-A68CC
-8EE43,-8ECCF,-8EDB2
-A67E8,-A6751,-A6730
-8ED7D,-8EDEE,-8EC79
-A686E,-A6812,-A6823
-8ED6F,-8EE1E,-8EBD3
-A6806,-A678C,-A6775
-902AE,-904ED,-9040E
-A6BE6,-A69AE,-A6BE0
-8F315,-8F00B,-8F18D
-A6D61,-A6BAD,-A6BE2
-8F072,-8F0BF,-8F1A6
-A6BDA,-A6B6F,-A6B2F
-8F188,-8F01D,-8F0EE
-A6B8E,-A6A0F,-A6D4C
-8F111,-8EFEE,-8EFCE
-A6A89,-A6A7D,-A6B3A
-8F0E4,-8F16E,-8EE2F
-A6A5D,-A6A44,-A6A9F
-8F09F,-8F008,-8F117
-A69F1,-A6A8B,-A6961
-8F02A,-8EF12,-8F02F
-A6998,-A68F9,-A6A1A
-8F096,-8F0EB,-8F057
-A6AD5,-A6B25,-A6BDC
-8F123,-8EDAC,-8F0CD
-A6A57,-A6988,-A6A2C
-8F018,-8EEFF,-8F0B0
-A6ACF,-A6D18,-A6A3A
-8EFEF,-8F0A3,-8F135
-A6AAB,-A691F,-A69AB
-8ED5F,-8EF3E,-8F089
-A6B91,-A6A53,-A69E1
-8F02E,-8F11A,-8F0B4
-A6B62,-A68C0,-A6B3E
-8F0D2,-8F0A7,-8EEC3
-A69E9,-A69FB,-A6BBC
-8EFA6,-8ED5D,-8EE3B
-A6A5B,-A69C3,-A69D8
-8F097,-8F018,-8EEAF
-A6AAD,-A6AC0,-A6A3D
-8EFA4,-8F095,-8F122
-A6AC7,-A6D25,-A6A7B
-8F03C,-8F26C,-8F285
-A6C53,-A6AFE,-A699A
-8EF9A,-8EF58,-8F144
-A6B16,-A6B0A,-A6C82
-8EFF5,-8F0E1,-8F010
-A6A77,-A6A82,-A6A5D
-8EFCB,-8F046,-8F15E
-A69F0,-A6BA1,-A6976
-8EFFA,-8EF24,-8F04F
-A6A1B,-A6AAE,-A6BD4
-8F0DD,-8EFF7,-8EF9C
-A6AD2,-A6912,-A6920
-8EDCD,-8EE31,-8ED8D
-A6A97,-A69B1,-A6983
-8EF7F,-8EE9B,-8EF9A
-A6997,-A68D5,-A6B1B
-8EEE3,-8EE6E,-8EEEA
-A68FC,-A6961,-A6AF7
-8EE97,-8EFA9,-8EF6B
-A6A5A,-A698E,-A6882
-8EFDC,-8F07B,-8EEDF
-A6A3D,-A6A68,-A68F5
-8EF23,-8EE6C,-8EF6D
-A6827,-A69F4,-A698B
-8EF03,-8F083,-8EEFC
-A691E,-A6A36,-A68E5
-8ED22,-8ED22,-8ED05
-A6929,-A69EE,-A69BF
-8ED46,-8ECFF,-8ED54
-A67B0,-A67BB,-A66E5
-8EE7F,-8EE93,-8ECCE
-A6796,-A66EC,-A68AB
-8EC52,-8ED7E,-8EBA4
-A690C,-A66C1,-A6805
-8EC62,-8ECE1,-8EB51
-A66D8,-A679C,-A695E
-8EB89,-8EC6F,-8EBF2
-A66A3,-A6729,-A69B5
-8ED42,-8ECA8,-8ECB9
-A6903,-A6888,-A67CD
-8EB55,-8EC75,-8EB87
-A6503,-A672F,-A66E4
-8EBA1,-8EC5F,-8EA8D
-A64CD,-A643A,-A6595
-8EB5E,-8EB2F,-8EA5F
-A664A,-A674F,-A671D
-8ED75,-8EC03,-8EC35
-A6769,-A6807,-A65EB
-8ECA5,-8EC3A,-8EC1C
-A6674,-A64C6,-A64E2
-8EBB5,-8ED10,-8EB65
-A6519,-A64CC,-A6586
-8EB74,-8EB7B,-8EA5C
-A6738,-A67DD,-A66ED
-8EA95,-8EA61,-8EC1B
-A6640,-A653C,-A661F
-8EC02,-8EA61,-8EAFF
-A63DE,-A66CD,-A6703
-8EC1B,-8EBDE,-8EC81
-A66E1,-A65C1,-A65F5
-8EC75,-8EC51,-8ECB1
-A65C0,-A686C,-A67C7
-8ED5F,-8EC8E,-8EDC3
-A66FA,-A676A,-A66F7
-8ECFA,-8EC38,-8EBFE
-A6437,-A659B,-A66B4
-8EC3E,-8ED6C,-8EF3B
-A6773,-A65F5,-A66DF
-8ED85,-8EC21,-8EBB8
-A6828,-A67C8,-A67CB
-8EBA8,-8EBFE,-8ED18
-A6790,-A6782,-A6822
-8ECD3,-8ECAD,-8EC67
-A678D,-A66C1,-A672F
-8EBE4,-8EC6A,-8ECB0
-A665B,-A6864,-A6965
-8EB77,-8EC5E,-8ECE5
-A675D,-A6879,-A694E
-8ED4D,-8EF86,-8ED2D
-A6641,-A685A,-A67D0
-8ECC2,-8EDBC,-8EE24
-A6699,-A68A8,-A6896
-8EDFC,-8EDAE,-8ED7F
-A6730,-A667D,-A6828
-8EDEE,-8ECCC,-8EC07
-A673B,-A666A,-A6807
-8ED40,-8ED9F,-8ECF3
-A665C,-A65CD,-A66EC
-8ECFD,-8EBBF,-8ED84
-A6797,-A681C,-A6803
-8ECD5,-8ED3E,-8ED0E
-A684B,-A68CB,-A6776
-8F53E,-8F6FD,-8F51C
-A6391,-A638A,-A6375
-8EA57,-8E9A7,-8E9CA
-A6412,-A64BE,-A636B
-8E9CF,-8E833,-8E84A
-A6377,-A642B,-A62CA
-8E7DF,-8E895,-8E868
-A6358,-A6213,-A627A
-8E878,-8E858,-8E763
-A617B,-A62CA,-A6203
-8E85B,-8E8C2,-8E87F
-A6239,-A6125,-A6163
-8E7C5,-8E877,-8E83F
-A62BB,-A640E,-A62B9
-8E9A0,-8E83A,-8E857
-A62D4,-A62B9,-A6144
-8E6A5,-8E582,-8E757
-A6409,-A63EE,-A6406
-8E8CC,-8E7B3,-8E942
-A632E,-A6183,-A6390
-8E746,-8E7C8,-8E761
-A6356,-A63C2,-A62FD
-8E799,-8E7A6,-8E687
-A6248,-A619A,-A6358
-8E65A,-8E754,-8E73F
-A6250,-A62CE,-A61EB
-8E9C8,-8E862,-8E69B
-A626F,-A61DC,-A625F
-8E648,-8E627,-8E7AE
-A5FC4,-A61EC,-A6205
-8E6AC,-8E605,-8E744
