{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1C31AD,-1C31C5,-1C30F9
-1AB648,-1AB682,-1AB4F5
-1C31FA,-1C3296,-1C30ED
-1AB776,-1AB71C,-1AB611
-1C306E,-1C323D,-1C2FC5
-1AB818,-1AB5AE,-1AB4FB
-1C2FE9,-1C3060,-1C2F1B
-1AB723,-1AB5C2,-1AB612
-1C3191,-1C2FAF,-1C318B
-1AB490,-1AB551,-1AB6E9
-1C31DD,-1C31DB,-1C31FD
-1AB77D,-1AB808,-1AB7B6
-1C31D7,-1C31CC,-1C300D
-1AB828,-1AB851,-1AB824
-1C3082,-1C30A0,-1C2F28
-1AB72C,-1AB5C5,-1AB5AC
-1C3046,-1C2FC8,-1C2F9D
-1AB598,-1AB64B,-1AB60F
-1C3041,-1C305E,-1C2F8C
-1AB566,-1AB6E3,-1AB742
-1C3110,-1C3115,-1C302F
-1AB483,-1AB6B4,-1AB759
-1C2F07,-1C3205,-1C2F8F
-1AB6F5,-1AB6B3,-1AB6F0
-1C2FF9,-1C2F57,-1C2F64
-1AB53F,-1AB590,-1AB5C3
-1C31BC,-1C32A7,-1C3138
-1AB727,-1AB61B,-1AB604
-1C31AD,-1C3029,-1C31CD
-1AB712,-1AB671,-1AB652
-1C3192,-1C3167,-1C32E8
-1AB9FA,-1AB7B1,-1AB7ED
-1C32D0,-1C33C3,-1C33BE
-1AB733,-1AB75E,-1AB71C
-1C3268,-1C3234,-1C32B2
-1AB87F,-1AB7C3,-1AB756
-1C3164,-1C3245,-1C310D
-1AB871,-1AB85D,-1AB77F
-1C326B,-1C3100,-1C3313
-1AB87B,-1AB7F2,-1AB996
-1C333F,-1C3427,-1C3150
-1AB8D9,-1AB8D0,-1AB738
-1C31DF,-1C3324,-1C3202
-1AB704,-1AB8C6,-1AB809
-1C3320,-1C327A,-1C3162
-1AB6A7,-1AB9A4,-1AB822
-1C360B,-1C354C,-1C3541
-1ABC52,-1AB9C1,-1ABAA5
-1C3556,-1C3416,-1C35C3
-1ABAB9,-1ABC02,-1ABA22
-1C3422,-1C366D,-1C3678
-1ABB91,-1ABBB7,-1ABADF
-1C35CD,-1C3655,-1C350D
-1AB9CB,-1ABAC4,-1AB9EA
-1C34A4,-1C34A1,-1C36B0
-1ABB83,-1ABBE6,-1ABA49
-1C35BE,-1C3449,-1C3436
-1ABB94,-1ABB09,-1ABAF1
-1C36DE,-1C3677,-1C35C8
-1ABD62,-1ABD57,-1ABC14
-1C38E3,-1C3650,-1C3895
-1ABACB,-1ABC5E,-1ABC42
-1C3645,-1C3789,-1C35BC
-1ABF24,-1ABDBE,-1ABD32
-1C38B9,-1C379D,-1C3696
-1ABC92,-1ABCDF,-1ABCBD
-1C372F,-1C36D6,-1C368C
-1ABCC1,-1ABB42,-1ABD0E
-1C37F0,-1C374D,-1C38ED
-1ABE21,-1ABD09,-1ABCBE
-1C3696,-1C375D,-1C36AA
-1ABC6E,-1ABC9A,-1ABD67
-1C3688,-1C386C,-1C38DA
-1ABB22,-1ABE9C,-1ABC61
-1C37E8,-1C36A7,-1C390F
-1ABCE1,-1ABCB7,-1ABE83
-1C3919,-1C3718,-1C3827
-1ABD7A,-1ABCB7,-1ABBB5
-1C33CF,-1C336F,-1C3422
-1ABC01,-1ABC54,-1ABB53
-1C372C,-1C379E,-1C3630
-1ABB17,-1ABB7E,-1ABA57
-1C3672,-1C35BE,-1C35E1
-1ABCCD,-1ABB00,-1ABC55
-1C3414,-1C3504,-1C34D4
-1ABD71,-1ABD4D,-1ABC75
-1C37C6,-1C376F,-1C35E6
-1ABB49,-1ABBFE,-1ABBEF
-1C358D,-1C37B9,-1C37BC
-1ABB93,-1AB909,-1ABBA3
-1C35B4,-1C355A,-1C3508
-1ABCBB,-1ABCA6,-1ABC11
-1C37FC,-1C36A0,-1C376D
-1ABCBC,-1ABB63,-1ABB45
-1C3858,-1C3677,-1C359F
-1ABD77,-1ABCB4,-1ABD9F
-1C3810,-1C35B5,-1C376D
-1ABBA6,-1ABA81,-1ABC65
-1C35D0,-1C37BA,-1C378B
-1ABCB1,-1ABD44,-1ABBB2
-1C371C,-1C37B2,-1C36D1
-1ABEEE,-1ABB97,-1ABCBE
-1C3818,-1C385A,-1C3622
-1ABE39,-1ABE19,-1ABC05
-1C37B8,-1C3802,-1C38FB
-1ABCF7,-1ABCF6,-1ABEF2
-1C38DE,-1C3906,-1C37E2
-1ABD02,-1ABBF0,-1ABD05
-1C39A8,-1C37C7,-1C393F
-1ACBE5,-1ACAD1,-1ACB26
-1C32BC,-1C332C,-1C34B1
-1ABCCC,-1AB9EA,-1ABA77
-1C3492,-1C35FD,-1C352B
-1ABA4D,-1ABA5A,-1ABBBD
-1C3458,-1C3577,-1C3561
-1AB87D,-1AB9B6,-1AB933
-1C32BE,-1C358A,-1C362C
-1ABA18,-1AB993,-1AB9EC
-1C356E,-1C36CD,-1C35C0
-1ABA58,-1ABB09,-1ABAA1
-1C34DF,-1C3462,-1C35E6
-1ABBD4,-1ABA9D,-1ABAAB
-1C349F,-1C3471,-1C359A
-1ABB3A,-1ABC3D,-1ABBDB
-1C360C,-1C3673,-1C353B
-1AB80C,-1ABA75,-1AB84A
-1C3601,-1C3438,-1C35CC
-1ABA38,-1ABA04,-1ABBAC
-1C3536,-1C379D,-1C36D5
-1ABBDC,-1AB9CF,-1ABC3A
-1C36DF,-1C3622,-1C371B
-1ABB0C,-1ABB8A,-1ABBB5
-1C3429,-1C3417,-1C3609
-1ABB90,-1ABAA0,-1ABA5A
-1C35AA,-1C3752,-1C3645
-1ABC20,-1ABC7C,-1ABB0A
-1C3614,-1C34C3,-1C3683
-1ABD40,-1ABB9C,-1ABB6B
-1C3594,-1C3762,-1C36D6
-1ABAE3,-1ABCFE,-1ABD32
-1C3670,-1C3876,-1C3691
-1ABB17,-1ABBDD,-1ABB56
-1C332C,-1C3646,-1C351C
-1ABA57,-1AB9EA,-1AB9E2
-1C343E,-1C3362,-1C321D
-1AB971,-1ABAA6,-1ABA9E
-1C33E0,-1C34C7,-1C35FE
-1ABA4D,-1ABA50,-1AB93B
-1C33E6,-1C3500,-1C3479
-1ABBF5,-1ABC7E,-1ABC72
-1C3672,-1C350E,-1C357D
-1ABBB9,-1ABAFE,-1AB9A3
-1C3475,-1C363A,-1C3642
-1ABAC1,-1AB9BE,-1ABB40
-1C3621,-1C3474,-1C35DB
-1ABA8B,-1ABBB0,-1ABB3C
-1C34F1,-1C3548,-1C3668
-1ABA6A,-1ABADD,-1ABC14
-1C35E8,-1C361B,-1C36D8
-1ABB5A,-1ABAE4,-1AB9D1
-1C342E,-1C34B3,-1C353A
-1AB9C6,-1ABA80,-1AB9E2
-1C34A9,-1C34A3,-1C34D8
-1ABB6F,-1ABC8B,-1ABA56
-1C341B,-1C35B0,-1C363F
-1AB9B0,-1AB98D,-1AB9C5
-1C331B,-1C3346,-1C3353
-1AB97E,-1AB9E4,-1AB89F
-1C33A6,-1C34F8,-1C359C
-1ABA30,-1ABB3C,-1ABBA7
-1C3740,-1C36C1,-1C3670
-1ABC86,-1ABC8E,-1ABA32
-1C35BB,-1C371F,-1C3759
-1ABB05,-1ABBDB,-1ABAEA
-1C388B,-1C372E,-1C38BD
-1ABFF6,-1AC0B7,-1ABF95
-1C3900,-1C38BD,-1C3976
-1ABEB3,-1ABEC2,-1ABEF3
-1C38E9,-1C3711,-1C3858
-1AC138,-1ABEE3,-1ABE7B
-1C385E,-1C3A99,-1C3951
-1ABE47,-1ABEB7,-1ABE9C
-1C3791,-1C38A9,-1C399D
-1ABFA9,-1AC0D0,-1ABF96
-1C3928,-1C3722,-1C3876
-1ABD64,-1ABDC5,-1ABDE4
-1C39FE,-1C396D,-1C395A
-1ABF58,-1ABEDD,-1ABF56
-1C376B,-1C3A71,-1C38F7
-1ABB97,-1ABD02,-1ABD03
-1C372D,-1C3984,-1C39BC
-1ABD96,-1ABD1F,-1AC03B
-1C3973,-1C381F,-1C39D6
-1AC021,-1ABF0B,-1ABFE5
-1C38B5,-1C378A,-1C38B2
-1ABEE0,-1AC06F,-1AC1FC
-1C382A,-1C3825,-1C38F0
-1ABF31,-1ABE25,-1ABE85
-1C38D5,-1C3A9F,-1C3999
-1ABFC1,-1ABF1D,-1AC03E
-1C3B01,-1C3A3E,-1C3AC3
-1AC10E,-1AC168,-1AC091
-1C3CAE,-1C384E,-1C3759
-1ABEFB,-1ABF17,-1ABDF3
-1C392B,-1C38FF,-1C3A78
-1AC09D,-1AC0C7,-1AC08C
-1C3839,-1C37BE,-1C38BB
-1ABDDC,-1ABF73,-1ABE4C
-1C3690,-1C3824,-1C399D
-1ABD8C,-1ABDC5,-1AC0FE
-1C3893,-1C3763,-1C3A1C
-1ABF90,-1ABF3F,-1ABF46
-1C3797,-1C388D,-1C388D
-1ABDE0,-1ABED4,-1ABEF0
-1C3756,-1C384D,-1C36E8
-1ABC2F,-1ABF5C,-1ABD65
-1C376D,-1C381D,-1C37B5
-1ABF05,-1ABE1A,-1ABE9F
-1C3902,-1C3A0C,-1C3955
-1AC045,-1ABE4A,-1ABE54
-1C3935,-1C3A6E,-1C3B7A
-1ABF0D,-1AC0D0,-1ABF72
-1C3899,-1C38EB,-1C3C96
-1ABF2B,-1ABEFF,-1AC098
-1C3AD0,-1C3A76,-1C3A62
-1AC11A,-1ABF49,-1ABF38
-1C3B7F,-1C39AB,-1C3AF8
-1ABFD0,-1AC1DC,-1ABEAE
-1C3972,-1C3A29,-1C3BC0
-1AC018,-1ABF66,-1AC073
-1C3A4A,-1C3C26,-1C3B49
-1AC146,-1AC22B,-1AC004
-1C3CC9,-1C3B5D,-1C3BB0
-1ABF47,-1AC194,-1AC0ED
-1C3ACF,-1C3A50,-1C39B2
-1AC2B9,-1AC271,-1AC0E4
-1C3BFA,-1C3B1F,-1C3AAB
-1AC4C0,-1AC41E,-1AC580
-1C3407,-1C354F,-1C36BB
-1ABCC3,-1ABBE8,-1ABC01
-1C35D5,-1C34C2,-1C3571
