{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-CDD5C,-CD9BD,-CDB54
-E5667,-E56AB,-E54FE
-CDB80,-CD9CC,-CDA51
-E54BC,-E54DA,-E54C0
-CDAA0,-CDB0D,-CDB11
-E53A1,-E53CC,-E56A4
-CDA32,-CD94C,-CD913
-E5462,-E569A,-E55DE
-CDAC1,-CD9A1,-CDBA0
-E5653,-E5506,-E5557
-CD991,-CDA54,-CDB9A
-E5573,-E5615,-E55AE
-CD9A6,-CDC29,-CD981
-E53E1,-E53C4,-E520F
-CD8D3,-CD846,-CD8DE
-E511D,-E52BD,-E52BF
-CD7EE,-CD922,-CD8ED
-E53CE,-E532F,-E53B1
-CD7D6,-CD845,-CD741
-E5110,-E525D,-E5393
-CD880,-CD7A9,-CD912
-E5472,-E53CF,-E52D9
-CD715,-CD8E5,-CD964
-E5223,-E51F2,-E5112
-CD899,-CD9AA,-CD8AC
-E5314,-E526C,-E52A0
-CD983,-CD9B0,-CDB60
-E55ED,-E56D6,-E562A
-CDC81,-CD9F8,-CDAC6
-E559B,-E547E,-E5505
-CDA6C,-CDAAC,-CDA12
-E55F2,-E5529,-E56C5
-CDA2D,-CDB08,-CDA3A
-E5479,-E5530,-E5554
-CD8E3,-CDAE5,-CD9D7
-E53AD,-E569E,-E54F7
-CDA33,-CDAB2,-CD89E
-E5526,-E562F,-E5491
-CDA0D,-CDA1B,-CD9AD
-E53D8,-E542B,-E5422
-CDA16,-CD883,-CD918
-E52E7,-E55C1,-E552C
-CD748,-CD834,-CD96A
-E544F,-E55D6,-E5506
-CD902,-CDA72,-CD882
-E5370,-E5448,-E53ED
-CD94C,-CDA8D,-CD63F
-E53E7,-E54C8,-E5516
-CD9A5,-CDA0D,-CD9AE
-E556C,-E5386,-E53CF
-CDA36,-CDA29,-CDAAB
-E544D,-E5525,-E52D1
-CDAEC,-CD93F,-CD9AF
-E5482,-E533A,-E568C
-CD9C9,-CD7E2,-CD742
-E53D0,-E532E,-E542B
-CDABA,-CD971,-CD822
-E535A,-E5489,-E54EF
-CD923,-CDA51,-CD9C4
-E51AE,-E53A4,-E531D
-CD7A0,-CD841,-CD8F9
-E5344,-E5397,-E50D3
-CD76F,-CD5AB,-CD7D3
-E50BE,-E53C8,-E50D9
-CD794,-CD822,-CD7DD
-E51B6,-E51CF,-E5172
-CD7D0,-CD7F6,-CD749
-E5228,-E5050,-E5291
-CD8F4,-CD619,-CD87D
-E5303,-E5283,-E50F4
-CD7D5,-CD74E,-CD8AF
-E521B,-E5007,-E52EB
-CD833,-CD63A,-CD724
-E516C,-E51D6,-E522B
-CD67A,-CD69E,-CD625
-E5088,-E5142,-E5122
-CD6A2,-CD736,-CD76F
-E51C6,-E51CB,-E52CF
-CD62A,-CD6B5,-CD669
-E5271,-E5125,-E51DE
-CD720,-CD63F,-CD6F2
-E5146,-E51F1,-E52BB
-CD55C,-CD6AC,-CD753
-E51C1,-E51E9,-E5202
