{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-9F158,-9F268,-9F0C3
-87566,-876BA,-878FB
-9EFAA,-9F1BA,-9F0EC
-87622,-87564,-876E0
-9F0F5,-9EFD0,-9EF88
-875D9,-87715,-8773B
-9F2B1,-9F119,-9F368
-8767A,-878DE,-87A8A
-9F35D,-9F268,-9F3D1
-87923,-87945,-87998
-9F347,-9F24F,-9F48C
-87B27,-87A19,-87A22
-9F3CF,-9F4C7,-9F3A5
-8798E,-87823,-878D8
-9F4BA,-9F4CC,-9F404
-87ABD,-87A66,-87A87
-9F39C,-9F3A7,-9F5D7
-87B62,-87AD2,-87A9E
-9F4C7,-9F48A,-9F5E4
-878A1,-87A9F,-87A65
-9F5C5,-9F466,-9F581
-87A00,-879F2,-87A74
-9F56E,-9F4B9,-9F58C
-87C9D,-87B48,-87A6B
-9F67C,-9F442,-9F4CC
-87933,-87BFF,-87B18
-9F569,-9F49B,-9F5EC
-8799C,-87ABC,-87B1D
-9F572,-9F47C,-9F445
-87B58,-87AAC,-87AFE
-9F480,-9F494,-9F5F4
-879BF,-879CC,-87A25
-9F220,-9F3FD,-9F55B
-87BB8,-878E5,-87B81
-9F601,-9F717,-9F602
-87B1C,-87C6A,-87C57
-9F5F9,-9F56D,-9F5B9
-87AA1,-879F0,-879D1
-9F4A6,-9F31D,-9F2CC
-87A6E,-87B16,-87A69
-9F442,-9F242,-9F42A
-87927,-878F7,-87900
-9F516,-9F2E1,-9F40C
-87AD6,-87A46,-879B8
-9F402,-9F428,-9F259
-878DE,-878AE,-878F1
-9F4FE,-9F36A,-9F55C
-879F9,-87B78,-87ADF
-9F587,-9F47A,-9F3B0
-87B59,-879DD,-87CAB
-9F679,-9F5B7,-9F431
-87D0A,-87AC4,-87B91
-9F544,-9F54F,-9F575
-87A09,-87A6B,-87AA6
-9F5D2,-9F58B,-9F5BF
-87A09,-87CCE,-87D28
-9F5EF,-9F69D,-9F585
-87B5B,-8796D,-87BB7
-9F6ED,-9F7D1,-9F53D
-87C6E,-87C1A,-87C5B
-9F696,-9F62B,-9F72C
-87B90,-87BF9,-87D04
-9F5E7,-9F870,-9F672
-87E3E,-87AD1,-87DC8
-9F51A,-9F54F,-9F73C
-87DAC,-87AED,-87ACC
-9F624,-9F7D9,-9F65D
-87B38,-87B31,-87BB4
-9F5E0,-9F5B8,-9F65D
-88995,-8879C,-88739
-9F1E7,-9F354,-9F222
-8798D,-87965,-87ABE
-9F2CC,-9F282,-9F422
-8788D,-8786F,-8780E
-9F325,-9F264,-9F2CC
-876B9,-875DC,-87734
-9F332,-9F258,-9F37F
-87989,-87926,-87A2E
-9F26B,-9F420,-9F40C
-8789F,-878EB,-879CA
-9F402,-9F137,-9F2D8
-87840,-8785D,-8788B
-9F367,-9F2D9,-9F572
-876F2,-877FE,-877C2
-9F3B9,-9F4D9,-9F263
-877AA,-876E9,-87856
-9F131,-9F3D9,-9F355
-87A18,-87930,-8793E
-9F2A5,-9F3AE,-9F41E
-8798A,-879D1,-878FF
-9F31A,-9F2A3,-9F29E
-878AB,-87931,-87894
-9F177,-9F1DE,-9F2EE
-87843,-876A6,-877F3
-9F07D,-9F32D,-9F3BB
-87825,-879B7,-879D4
-9F1F0,-9F2EC,-9F49E
-877A2,-877EE,-876E7
-9F55F,-9F4EE,-9F2ED
-87881,-877E3,-8794B
-9F439,-9F490,-9F386
-8789E,-87854,-878AD
-9F17E,-9F31E,-9F17E
-87682,-8780F,-87843
-9F1FE,-9F2A8,-9F120
-877D6,-87817,-8784C
-9F1DA,-9F2DA,-9F380
-87918,-87A50,-87855
-9F34B,-9F40F,-9F3D4
-878D3,-8782B,-8785B
-9F30F,-9F299,-9F2A1
-877B3,-87868,-87A94
-9F385,-9F1F3,-9F324
-878F5,-8774F,-878D9
-9F2A8,-9F238,-9F25F
-87884,-87803,-87A2A
-9F13B,-9F3C0,-9F230
-879F5,-87793,-87737
-9F3B4,-9F330,-9F1D8
-8797A,-87A06,-87984
-9F29D,-9F437,-9F545
-87AC5,-87818,-8780D
-9F251,-9F3E7,-9F3C1
-879F9,-8798D,-877F0
-9F37A,-9F4EB,-9F438
-878E9,-87893,-87769
-9F1DA,-9F1C8,-9F37B
-877AA,-87AB6,-87A38
-9F388,-9F4C4,-9F3E6
