{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
13D4BD,13D581,13D5E5
154EEF,155117,154F44
13D5A7,13D521,13D4AB
154F20,154FC7,1550FA
13D44A,13D494,13D4DC
15517F,155143,154FFC
13D719,13D723,13D5C7
155069,154F89,1550C8
13D55D,13D5E7,13D4D6
154F5A,154E44,155018
13D4A5,13D45E,13D685
154E6F,154E60,154F70
13D5F6,13D5FF,13D585
154FC9,154FA7,155025
13D4ED,13D50A,13D592
1550C5,155075,15504C
13D84F,13D7BE,13D48D
155008,154F70,15515C
13D5FD,13D7BB,13D675
155177,1550A7,15524F
13D68B,13D6CB,13D4C9
1550C5,15515A,155066
13D565,13D644,13D606
155240,1551F3,1550A7
13D5B4,13D71D,13D690
154F7E,154FE6,154F49
13D5BE,13D3F6,13D42A
1550C6,154E05,155155
13D730,13D4A0,13D6C1
155036,155019,15512D
13D4ED,13D570,13D69A
155234,155029,155053
13D5ED,13D5B4,13D6C2
1551F7,1550F7,15512D
13D687,13D647,13D6B7
155070,15505E,1550DB
13D5D9,13D7C6,13D788
1552CF,1550FA,15506C
13D75B,13D6E7,13D401
1539E1,15399B,15384F
13D36D,13D39E,13D2E1
154DD5,154DC2,154E70
13D4E6,13D469,13D58D
154EAE,15500D,154E78
13D3AA,13D36E,13D433
154E02,154E03,154E6D
13D4BA,13D633,13D5BD
154EEB,154ECD,154F42
13D4FE,13D405,13D35B
154FFB,154F35,154F58
13D43B,13D36D,13D390
154EE8,154E91,154DE9
13D455,13D561,13D3D2
154F7A,154DFF,154E51
13D5E0,13D57C,13D6F6
154F47,15518C,155180
13D4D0,13D426,13D47B
154EDB,154F64,154FC9
13D602,13D64B,13D532
154FCB,155002,154FF8
13D42F,13D576,13D443
154ECB,154D09,154E4B
13D4D4,13D5CA,13D4FE
155043,1550A2,154F7C
13D64A,13D607,13D6BF
154ECE,154F3C,154F95
13D42C,13D566,13D62C
154E2B,154F78,154F81
13D745,13D79C,13D6E5
154E25,154EDC,154F4C
13D65F,13D524,13D5F5
155024,154FB9,15517C
13D6B6,13D6DA,13D753
154EC3,15512D,154F70
13D597,13D56A,13D68B
