{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
B9BC9,B9D38,B9D07
A22E9,A21E9,A2299
B9CDB,B9BFF,B9BF2
A21FC,A223B,A23A7
B9C47,B9D0C,B9C62
A24A8,A21FA,A238D
B9BF2,B9BE3,B9C75
A22EE,A2162,A22AC
B9C2D,B9CF6,B9BA7
A20FC,A21E5,A2209
B9B66,B9C3C,B9BEA
A20A9,A21F9,A218D
B9AD0,B9D28,B9DBA
A236D,A2338,A2502
B9D57,B9F51,B9D20
A24B9,A22FE,A2462
B9FE7,B9F8C,B9F51
A2487,A2411,A232C
BA004,BA174,B9FD2
A22DB,A245F,A226E
B9D6F,B9D8B,B9E56
A23AB,A25B1,A251A
B9E47,B9DA5,B9F29
A2409,A2392,A2485
B9F9C,B9EDF,B9D49
A2445,A2387,A22C6
B9E2F,B9DEF,B9DD2
A223D,A2366,A261B
BA11B,B9EF0,B9F98
A2650,A2634,A2485
B9EBD,B9E7A,B9E08
A23CA,A24E7,A231A
BA0A3,B9F2E,B9F63
A25CB,A246C,A246F
B9FF3,B9F26,B9FF2
A2759,A264D,A2646
B9F32,B9F69,B9E22
A2564,A25B7,A24A2
BA08B,B9FEC,BA0A8
A25D5,A25EB,A2348
B9FA6,BA109,B9F91
A24FD,A2542,A2506
BA167,B9F75,BA011
A25CD,A24C8,A2621
B80D9,B806A,B8109
A27B8,A27D7,A2703
BA119,BA023,BA091
A262C,A2626,A2655
BA19C,BA163,BA2AE
A2803,A2511,A240E
BA161,BA1D7,BA10F
A26DD,A2772,A27B3
BA179,BA1B8,BA24E
A25D7,A267A,A27F2
BA116,BA435,BA466
A27B2,A27D8,A2960
BA16B,BA26B,BA09F
A27EF,A286A,A2789
BA18C,BA22F,BA276
A26CE,A27AC,A28F0
BA35E,BA262,BA1E8
A28CE,A2855,A2964
BA370,BA38D,BA0CD
A28E5,A2A4E,A2A26
BA470,BA2A6,BA250
A29F1,A289C,A2940
BA467,BA504,BA378
A2A0D,A27E2,A28A2
BA4BB,BA1CE,BA3CC
A26DB,A27E4,A2742
BA4C1,BA2B4,BA1C9
A2828,A2966,A2856
BA375,BA414,BA4D1
