{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
12F5E0,12F462,12F765
117C37,117A9D,117A02
12F735,12F488,12F4FD
117B1A,117BFE,117DD2
12F5F7,12F5D9,12F47A
117912,117B51,117A4D
12F69F,12F646,12F586
117BA2,117A12,117ABC
12F612,12F5FE,12F676
117AEB,117AB2,117B06
12F83A,12F76B,12F67D
117B32,117CA4,117BB8
12F430,12F606,12F584
117B43,117BA6,117A74
12F3F7,12F599,12F3DB
117AF2,117C28,117B21
12F4B9,12F691,12F4AF
117878,117B7E,117A2F
12F577,12F2D0,12F3BB
117A95,117BB9,11797A
12F5AC,12F78D,12F4C0
117B9B,117873,117816
12F408,12F3E5,12F3B3
1179DC,117814,117A6F
12F267,12F5B8,12F510
1178B6,117A33,117AB9
12F5CF,12F554,12F661
117AA1,117B49,117BF5
12F596,12F489,12F3EA
11795E,117AD9,117979
12F451,12F3B7,12F403
117A8C,117C07,1179AC
12F383,12F5C4,12F69F
117A09,1179DB,117A15
12F469,12F33E,12F4B4
11786F,117919,117B12
12F496,12F476,12F3EF
117A92,117BC6,1179EB
12F515,12F3D7,12F4A0
117B93,117BD3,117C04
12F4D2,12F691,12F6FA
117CDF,117945,117A92
12F5BD,12F46E,12F577
117A01,11790B,117A7D
12E348,12E3AD,12E362
118492,11835F,1183AF
12FE51,12FB43,12FEA5
1181E3,1182D3,11819F
12FD22,12FF0F,12FDA9
11848D,1184B0,1182F7
12FDAE,12FE8D,12FE13
11842A,11839E,11860C
12FD8C,12FF1D,12FD42
11838F,1184F2,118490
12FF67,12FD96,12FEC9
1181E2,11842F,118301
12FB8A,12FC1C,12FEC5
11843E,118303,1183FD
12FD5D,12FD5F,12FDC7
118439,1182C3,118390
12FDDE,13001B,12FFA8
1182D2,1181BF,1182F4
12FC2B,12FD76,12FD8F
11825A,1183AB,118232
12FDCD,130009,12FD3B
118348,11826A,1183D8
12FE70,12FD21,12FC53
1182AC,118288,1184B9
12FC23,12FDD7,12FD41
1182C1,118323,11823E
12FB38,12FC58,12FCE7
11815D,1183E0,118144
12FDD8,12FDCE,12FC8F
1184D7,11842B,1183B9
12FDC2,12FDBC,12FD6C
118355,1181FC,1182FD
12FBD6,12FBEE,12FC72
11813E,1182CD,11836E
12FC0D,12FC15,12FB9A
118243,1182EC,118254
12FC30,12FC4A,12FB27
11813B,1181C0,118050
12FB20,12FBB2,12FD69
118316,118247,11828D
12FC9F,12FC93,12FDE3
11839C,118385,1183A1
12FBAA,12FBCE,12FCFC
118251,11815E,11816F
12FD43,12FBDC,12FDD4
1182FD,1181C5,1181EE
12FC6F,12FADD,12FD8B
118392,11833F,11813E
12FBCB,12FD8A,12FCED
1181FB,11829F,11817C
12FD1B,12FAEC,12FBE4
1181D4,11819D,1182B3
12FC16,12FB67,12FC84
1181B9,117FF9,1182C7
12FC29,12FAB4,12FCE1
1181ED,1181DA,118103
12FCB1,12FCFA,12FC6E
118352,118255,118290
12FC03,12FE7B,12FC9F
118386,118268,118232
12FC5C,12FC4C,12FD12
118271,118245,1181C2
12FC19,12FCBC,12FB64
118110,118190,11817D
12FD57,12FCF4,12FC6D
11833C,118356,117FA4
12FA7B,12FB06,12FC8B
1180E6,118192,1182A4
12FB34,12FCFB,12FC0B
1181AC,117FAC,118224
12FB50,12FC5B,12FC11
118111,118073,118130
12FADF,12FBC4,12FD7F
1180D6,118080,11812C
12FBE7,12FAB6,12FD76
1180F7,11803E,117FA7
12FB7C,12FADB,12FA8E
118028,118123,11828C
12FB85,12FC1C,12F927
11808F,1181E7,1181D3
12FD27,12FB29,12FC63
117F7F,118101,11808D
12F99C,12FCB8,12FB70
1180CA,118215,11813E
12FC33,12FAA9,12FA37
1180B7,1180D0,117E55
12F979,12F8B2,12FACE
11804B,1180B1,117EF1
12FA2A,12FB10,12FB0B
118095,11807B,118005
12FA86,12FAE2,12FBEC
118016,1180AA,117F34
12FB9E,12F9C4,12FBFA
1181B8,118078,118024
12FA27,12F994,12FC63
117F4D,117F68,11802F
12FA72,12FA4E,12F8D4
118032,1181DC,117E94
12FBCE,12FAF9,12FA58
11802F,117FBB,117FD7
12FAA2,12FA66,12F91D
117F84,117E54,117F61
12F9E2,12FAA2,12FA2F
117F2E,117FB4,117F06
12F8A7,12FB00,12FB93
11806F,1180F8,1181D8
12FBFB,12FB16,12FB0D
11803D,11802E,118065
12FBD2,12FB8E,12FC7A
117F71,1181AE,118144
12FB7E,12FB6B,12FAC0
117FF5,117E79,117FEB
12F9E5,12FA1E,12FB22
117E99,117F09,117F3A
12FA36,12F915,12F9B2
117E5E,117F36,117FAF
12F89E,12F7B3,12F931
118099,117E7F,117F24
12F9DE,12FC70,12FA49
117FE6,117FAB,117D95
12FA3D,12F925,12F981
117F50,117D2E,117F02
12F905,12F9A0,12FA41
1180AA,117EB1,117ECF
12F968,12FA4B,12FBB8
118176,118042,117F86
12F91B,12F979,12F979
118112,117F36,1180CE
12EDD4,12F01B,12EF5F
118356,1182B2,1183EE
12FC69,12FC94,12FBC7
1182AA,11829D,1183A9
12FE3F,12FDCA,12FECE
1182B9,118303,1183EF
12FD09,12FCB7,12FD2A
11831E,1183A2,11841C
12FD66,12FCFC,12FC04
1182D0,1183F6,118196
12FD0D,12FC9B,12FDD9
1181D4,1182CC,1182C8
12FD2D,12FE0A,12FDA0
11813F,118291,118393
12FCA0,12FE56,12FD57
1183CA,1182F6,118260
12FE5D,12FF39,12FE73
1181CC,1182D8,118223
12FCCC,12FDF8,12FDD4
1181B6,118235,1182E0
12FEAD,12FC64,12FDFB
1184D7,1184BB,11823D
12FC40,12FBBE,12FC3F
1183DD,1181ED,118329
12FDA7,12FE16,12FE14
118198,118273,11825C
12FBF6,12FD38,12FC2C
1183B2,11836B,11840B
12FCE7,12FD24,12FC38
11823B,1181D9,1181A3
12FCB8,12FC60,12FCF2
118417,118420,118358
12FD74,12FCC1,12FDFC
118299,118406,118373
12FB76,12FD08,12FD84
118162,118295,118202
12FCDD,12FBFB,12FB6E
118104,1180B8,118210
12FBC4,12FC10,12FC7C
118146,118233,118127
12FD6A,12FC02,12FCD5
1180A6,11810C,11818D
12FBB8,12FC04,12FC0A
11832C,118281,1181B2
12FD03,12FB70,12FC79
118216,1181A8,1181B7
12FC01,12FC1C,12FED4
1180E1,11817F,11820B
12FCC8,12FD49,12FBE6
11817E,118236,118324
12FB4C,12FBFA,12FDB3
1180E4,118012,1180AB
12FB4F,12FD93,12FC96
118185,11806D,11810B
12FBD0,12FC41,12FB88
11818F,118152,11826F
12FBC0,12FC9B,12FA79
117FBD,11810D,118134
12FD4F,12FB6A,12FD4F
118164,118218,117FED
12FBC7,12FCDC,12FCE6
118240,1182BA,11829A
12FC9F,12FE13,12FBA4
1181F3,1180DA,118127
12FDB3,12FCEB,12FD0D
1180F7,1181C6,118243
12FB09,12FC88,12FB41
117ED4,117F76,117F96
12F86F,12FB2F,12FB40
118194,118124,118073
