{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-BEFF8,-BF28B,-BF07F
-A76C8,-A76B4,-A742E
-BEF49,-BEE97,-BF183
-A7797,-A74A0,-A75FF
-BEFB5,-BF144,-BF0AC
-A74F1,-A7732,-A7753
-BF027,-BF0BE,-BF0A9
-A74AF,-A768E,-A75B9
-BF1F6,-BF041,-BEFCC
-A7611,-A7444,-A7695
-BF0F5,-BEF6C,-BF07A
-A75D3,-A75C0,-A7576
-BEF6F,-BF088,-BF15C
-A75DC,-A7600,-A7672
-BEFEE,-BF1E1,-BEFE6
-A75A9,-A75A9,-A7689
-BED23,-BEFB9,-BEFD7
-A7545,-A7632,-A75CF
-BEF5C,-BEFD4,-BEEF8
-A7681,-A747C,-A7356
-BEEDA,-BEFDB,-BEEB8
-A7528,-A756A,-A72F1
-BEFBF,-BEE0D,-BEF16
-A7433,-A7540,-A757E
-BEEE3,-BEFB8,-BEF85
-A76CD,-A7686,-A768B
-BF488,-BF3C5,-BF2F9
-A7A48,-A789D,-A7943
-BF256,-BF261,-BF1C6
-A789D,-A7708,-A76E2
-BF1DC,-BF0A3,-BF2D9
-A78A6,-A77CC,-A770B
-BF217,-BF2A0,-BF2CD
-A78F1,-A7795,-A77E2
-BF22E,-BF2C4,-BF270
-A775E,-A7686,-A780C
-BF0EC,-BF2B6,-BF38F
-A78DC,-A76CC,-A77FA
-BF357,-BF2F8,-BF36D
-A786C,-A7730,-A77F9
-BF11E,-BF1C2,-BF14D
-A7558,-A7455,-A766C
-BF281,-BF125,-BF1D6
-A75AE,-A75D9,-A7751
-BF273,-BEFBF,-BF344
-A7552,-A75E3,-A7483
-BF23B,-BF288,-BF173
-A77B5,-A76BA,-A77DB
-BF19D,-BEF6E,-BF14B
-A778B,-A75E4,-A7746
-BF0C4,-BEFF4,-BEE45
-A7434,-A7562,-A753E
-BEE1A,-BF048,-BF0D5
-A7524,-A735F,-A7608
-BF1AB,-BF17E,-BEF7C
-A7573,-A77BC,-A75FD
-BF104,-BEEA0,-BF0C6
-A75D5,-A75F3,-A7463
-BED1D,-BEF13,-BEF0D
-A7365,-A73D2,-A74DC
-BEC5D,-BEC02,-BEE87
-A73D0,-A7261,-A72A1
-BEBE5,-BECD0,-BEEBB
-A734D,-A7251,-A7386
-BEC7F,-BED1D,-BEC68
-A7234,-A71D7,-A7202
-BEB7C,-BEC83,-BED4B
-A7342,-A720E,-A7317
-BEE4F,-BEDE0,-BEC8D
-A7439,-A7282,-A7347
-BEC76,-BED1F,-BEDE8
-A71E7,-A7330,-A7581
-BEE16,-BEE7E,-BEF69
-A71DD,-A71F5,-A73C2
-BEDC3,-BED2A,-BECBC
-A7282,-A71F5,-A7337
-BEE12,-BEC25,-BEE29
-A7214,-A73D9,-A70E8
-BEC17,-BED5C,-BEDCB
-A7289,-A73DD,-A7338
-BEB97,-BEC46,-BED04
-A7074,-A71E0,-A719E
-BECEB,-BED1A,-BEC3C
-A7317,-A71C0,-A71FD
-BEAD8,-BECFE,-BEBCF
-A71F9,-A72D7,-A70A3
-BEE2F,-BEECC,-BED70
-A72AE,-A71A1,-A7056
-BEC9D,-BEA98,-BECEE
-A9077,-A90D9,-A905F
-BEA58,-BEA1E,-BEA39
-A7197,-A7012,-A70C1
-BEAFE,-BEA0B,-BEC93
-A7155,-A7292,-A7200
-BED81,-BEC46,-BED08
-A7156,-A70A8,-A70F3
-BEA8D,-BE9CF,-BECB8
-A7058,-A70A2,-A7094
-BE943,-BE8BC,-BEA60
-A6F7F,-A6F89,-A70C7
-BEB5B,-BEBBF,-BEA8C
-A6F88,-A7021,-A718E
-BEC50,-BE907,-BEA1C
-A71F7,-A6F2A,-A708D
-BEAFD,-BEA5A,-BEA6F
-A6F2F,-A7287,-A6EF3
-BEC75,-BEBA4,-BEA27
-A71E1,-A713F,-A70B2
-BEA05,-BEBF3,-BEB93
-A7245,-A7114,-A72F7
-BEA5A,-BEB32,-BEC50
-A7208,-A7120,-A71AE
-BEB9D,-BE9AE,-BEB94
-A7078,-A71F9,-A6F26
-BEAD2,-BEB3C,-BE890
-A70CF,-A7022,-A6FAC
-BEA9D,-BEB3C,-BE943
-A6EB2,-A6F67,-A6F70
-BEA42,-BE9C2,-BEA36
-A6F82,-A6FA3,-A6D4F
-BE96A,-BE9A8,-BE974
-A7175,-A6FDD,-A6EA4
-BEA69,-BE737,-BE975
-A6DF3,-A6D54,-A6E91
-BE9BD,-BEA45,-BEA1F
-A6EB2,-A6F23,-A6F11
-BE902,-BE8C2,-BE9FF
-A6DB9,-A6E06,-A6DAF
-BE788,-BE963,-BE7F2
-A6E5D,-A6D1B,-A6DA5
-BE861,-BEA89,-BE700
-A6CCA,-A6E1C,-A6CAC
-BE9E3,-BE8EE,-BE93E
-A6DFC,-A6C93,-A6C0B
-BE64B,-BE6A7,-BE9B5
-A6DF3,-A6BAF,-A6DB1
-BE776,-BE5F3,-BE85F
-A6DA0,-A6D67,-A6D93
-BE6C6,-BE6A7,-BE74A
-A6D56,-A6D9B,-A6B6D
-BE5F5,-BE7DA,-BE847
-A6D49,-A6D48,-A6DDD
-BE636,-BE711,-BE708
-A6D80,-A6E02,-A6DF3
-BE5DB,-BE7A3,-BE891
-A6D69,-A6C06,-A6D4E
-BE7A9,-BE8B7,-BE6F1
-A6E3D,-A6D40,-A6C12
-BE694,-BE725,-BE7B5
-A6B90,-A6D15,-A6B51
-BE651,-BE6D4,-BE803
-A6F0E,-A6CBA,-A6BAC
-BE58C,-BE60A,-BE467
-A6B83,-A6C8B,-A6C9B
-BE9E3,-BE92F,-BEA34
-A6E21,-A6FA7,-A6E7A
-BE7D2,-BEB2E,-BE7B9
-A7025,-A6FD0,-A6F9F
-BE9F7,-BEC11,-BEB74
-A7120,-A719B,-A704B
-BE81A,-BEABF,-BEA1A
-A717A,-A6E9D,-A70A3
-BE92E,-BE8F1,-BEBEA
-A6F8F,-A6E02,-A7021
-BEA09,-BEB0F,-BE9D3
-A7032,-A6E45,-A6D6E
-BE995,-BEB59,-BEA5A
-A6FA1,-A7050,-A6F73
-BEA16,-BEA5C,-BE8E6
-A6DAD,-A6E0E,-A6D8E
-BE847,-BE7A3,-BE9F9
-A6F17,-A6DEB,-A6CE0
-BE883,-BE756,-BE80F
-A6C58,-A6CCB,-A6DE7
-BE6C0,-BE8C9,-BE76E
-A6C9E,-A6D0B,-A6CAA
-BE784,-BE8F2,-BE935
-A6EA0,-A6D1D,-A6D2E
-BE8A1,-BE6C1,-BE6D8
-A6ECB,-A6E7E,-A6ECE
-BE95A,-BE9DB,-BE88C
-A6EB5,-A6E89,-A6EDD
-BE6F2,-BE836,-BE78F
-A6E6C,-A6DF4,-A6CFF
-BE921,-BE82D,-BE73B
-A6D6A,-A6DFE,-A6E4A
-BE84C,-BE7E8,-BE731
-A6D74,-A69EF,-A6D65
-BE788,-BE7D5,-BE60C
-A6C78,-A6C4D,-A6A75
-BE5BC,-BE597,-BE70D
