{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
C2ADE,C28E0,C29B8
AAF52,AAF40,AAFF9
C2B00,C28FC,C29FA
AAEE4,AAF29,AADCC
C2AF6,C2A8A,C2AA3
AB0DF,AB0CD,AB02C
C27EC,C294A,C2890
AAE2D,AAEA0,AAE10
C2A13,C2989,C2BE2
AAE22,AADE3,AACCA
C27D1,C2821,C292A
AAFC6,AAE72,AAF3C
C2898,C28F9,C28F6
AAE54,AADD7,AAE88
C2847,C2777,C284A
AAD49,AAFA4,AAD3D
C28CF,C2863,C2ABB
AAF79,AAF97,AB09D
C2A10,C2993,C2A3E
AAE61,AAFFB,AAFB6
C2A63,C2C87,C2A95
AB1AD,AB16F,AB019
C29FB,C2A1C,C2AB9
AB0AA,AAF88,AB09A
C2AB0,C2B1A,C29A1
AB0CD,AB32B,AB0F7
C2A1B,C2AB0,C2A1B
AAFEE,AAEBD,AB026
C2B60,C2934,C2A45
AAE3D,AAE11,AAFAB
C2A80,C2A49,C2ACF
AB12F,AB00D,AB0A6
C2B3B,C29DF,C2B3F
AAEDC,AB1DD,AB097
C2B03,C2C0E,C2BFE
AAF11,AAF28,AB12A
C2BFD,C2A98,C2A91
AAECC,AB0DB,AB0EB
C2879,C2AB2,C2D08
AAF74,AB018,AB0F9
C2B35,C2BD9,C2C3D
AB16A,AAE8D,AB07A
C2A43,C2B43,C2A6F
AB144,AAF6B,AB025
C2A36,C2C3A,C2CBD
AB114,AB099,AB107
C2998,C2AF6,C2AB8
AB186,AB071,AB0C1
C2CAA,C2CA6,C2BE9
AB1D5,AAF45,AB2B0
C2CD1,C2AE0,C2BEC
AB17A,AAF6F,AB159
C2B2A,C2C77,C2BF3
AB28C,AB21B,AB306
C2A7B,C2AB4,C2B45
AB121,AB16A,AB0A5
C1559,C1657,C14F4
AAF52,AB044,AB000
C281D,C2904,C29D4
AAE6B,AAF35,AAF5E
C278F,C2A40,C288C
AB0DF,AAEB9,AB0AD
C29E4,C2959,C2A46
AAEDC,AAF9F,AADEA
C288C,C294A,C28DA
AAE9E,AB070,AAD9D
C2783,C2A0A,C29A6
AB07C,AB0FA,AB0F8
C2A53,C28BD,C28F8
AAFC8,AAD33,AAF73
C2A0B,C2A66,C2B64
AAF6F,AAF8C,AAEEE
C2A9A,C2D12,C2CA3
AAFF1,AB0E0,AAF6E
C29F7,C2914,C2A9E
AAF95,AAEE8,AAF87
C28B5,C2A20,C28C9
AAF2F,AAD9A,AAE4C
C2988,C2982,C2A35
AAFE9,AB058,AB0A8
C29EB,C2C0F,C2B32
AB10C,AAE6E,AAD05
C295A,C2A79,C2836
AAFFD,AB054,AB025
C29E5,C2986,C2BBE
AAF93,AAED8,AB0A9
C2A02,C2AD8,C2CAD
AAFD9,AB2A0,AB0D9
C294D,C28FE,C29F0
AB0BC,AAE89,AB1FD
C298E,C2B79,C2CDF
AAFC3,AAF6F,AAFB2
C2A62,C28A0,C2810
AAF72,AB02D,AB012
C2A3A,C291E,C2A5E
AAF44,AB08B,AB17E
C2A55,C2AC6,C2A0B
AAEE3,AAE62,AAFE0
C2A93,C28A0,C2B49
AB02F,AB0FE,AAECB
C2B81,C2A41,C2C7C
AAE47,AAF02,AAFA0
C2995,C296F,C2A36
AAFA7,AAF35,AAF6A
C2BEB,C2B28,C2BCF
AAF5D,AAF81,AB060
C27EA,C2A36,C2A37
AAF91,AB0BA,AAF52
C2A72,C28E9,C2994
AAF2B,AAF9B,AAF80
C2A6B,C2ADF,C2C33
AB1D7,AB0BA,AB092
C2B2D,C2AFB,C2C54
AB0A5,AB247,AB023
C2BE1,C2B4C,C2A63
AB013,AAFA7,AAF93
C285D,C2862,C2A1B
AB210,AB16D,AB0AA
C2A79,C2C5F,C2CB0
AB074,AAECC,AB12F
C2A73,C2B3B,C2C12
AB140,AAF7F,AADF6
C2B09,C2AEB,C2A84
AAF69,AAE5E,AB02F
C2A15,C2AFA,C2AAA
AAEC3,AAEFD,AB043
C2A3D,C292F,C299D
AB0FE,AAE73,AAEC2
C2AE8,C2AE0,C2B52
AB16F,AB0BE,AAFF7
C29F2,C2837,C29A9
AB06B,AB159,AAFB0
C2A2B,C2BD9,C2B4A
AB1E4,AB23F,AB109
C2B37,C2AEE,C2A0E
AB13E,AB035,AB01D
C2C4F,C2A2E,C2C73
AAFC7,AB11A,AB1FD
C2AFD,C2A03,C2B14
AB0ED,AAF81,AB02B
C29EC,C2B07,C2B6C
AB111,AB29D,AB016
C2A2B,C2AA4,C2C66
AB1F4,AB064,AB1C6
C2C2C,C2CAA,C2E40
AB04E,AB362,AB12D
C2ACC,C2CD8,C2BF6
AB122,AB187,AAFE2
C2D22,C2C2E,C2AEC
AB18F,AB2AA,AB218
C2D23,C2AF2,C2D9A
AB324,AB291,AB3DA
C2C50,C2EBB,C2DB8
AB3E1,AB31D,AB0C1
C2B1E,C2B00,C2CB4
AB010,AB20C,AB045
C29EB,C2B0A,C2B47
AB1F7,AB28C,AB1DE
C2889,C28BD,C2C86
AB11A,AB067,AB1A7
C2B9D,C2D7F,C2D22
AB102,AB244,AB105
C2C19,C2A52,C2B9E
AB1BA,AB1B0,AB352
C298B,C2C9E,C2C40
AB132,AB20A,AB251
C2C3F,C2EA1,C2CBB
AB441,AB19F,AB25D
C2DB2,C2FD8,C2E07
AB23F,AB284,AB50F
C2E31,C2D5C,C2BB1
AB2CB,AB287,AB027
C2B1A,C2AAF,C2CC9
AAF9D,AB1AB,AAF73
C2B8D,C2DCB,C2C54
AB3BA,AB2C5,AB1AA
C2D49,C2D17,C2CCF
AB0F8,AAFD2,AB109
C2AE8,C2C65,C2CAC
AB347,AB280,AB288
C28D6,C2CC0,C2C73
AB21B,AB1A9,AB087
C2B42,C2B47,C2DB6
AB2DE,AB2A4,AB1D4
C1FFD,C20F5,C20BB
AB834,AB990,AB7A8
