{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
60B57,60B43,609DC
490C9,490EA,4921A
60B7A,60CB1,60C47
49176,491C4,49128
60AFB,60CA3,60AB5
49358,4922F,49386
60978,60D10,60B08
49042,48F2A,48E80
60AAC,60B28,609FF
4901D,490A3,48F21
60B15,60A8A,60AF3
49100,490A2,4907A
60AD5,60C04,60AFD
48F95,49071,49063
60BE8,609D8,60A14
490DA,49039,48E18
607D2,608F4,60990
48F90,48E91,48EC0
5F24B,5F3B5,5F277
48A7E,48C43,48BC1
6071B,60611,605BE
48BC4,48E16,48DD5
608E0,6098C,607FC
48DC6,48D34,48B9C
606CA,60580,6075F
48D4F,48B3E,48C37
608B6,608C2,60912
48FE7,48EAB,48D12
60901,60717,60811
48E57,48E23,48F32
6074B,6080C,605EE
48BDB,48DC0,48E9A
60966,608E1,607C8
48D43,48E5F,48B4B
608FD,60A75,60A00
48E60,48E9B,48EE0
608DD,60649,608F3
48F58,48DF1,48DFC
607F9,60A09,60A61
48E64,48FDE,48F3D
6081C,6078F,60862
48F01,48E1D,48E70
608F5,609FB,608AB
48EEC,48DE9,48FDB
608BE,60976,607A2
48E8A,48F7C,49083
608D3,608E6,60A6A
48E47,48F54,49029
60A90,60782,60879
49138,48ECE,48DE6
60A80,60A12,60992
49050,48F02,48F4D
6097E,6088C,606E6
48F89,48EE8,48E93
609E3,60B30,60AFF
48FED,48E9B,490A5
608F5,60BC0,60A56
4916D,490B2,490A6
60BBF,609BE,60C28
48F7B,48F50,49184
60B4E,60BD9,6092B
48FD7,48FFE,49072
609D9,60B24,609B5
48F81,4907F,49294
60954,60953,60BD2
4905D,491F6,4900C
60B0F,60B01,60AC2
4903B,48DE7,4919D
608EE,6099E,609D2
48FE4,48F1B,48E5F
60A65,60A73,60AD2
48F1B,48EE9,48FC5
609B1,60A11,60B1B
48F64,49106,490E4
60977,60A05,60A54
48F33,49046,48EB4
60ACB,6098D,60B81
48E9C,49021,490E4
60C51,60B28,60C41
4917A,48FF3,4912D
60C95,60B65,60C6B
490F0,48DD6,48EFB
6093E,60A5A,60939
48EE2,48E65,49017
609DA,60AA9,60B32
4907F,49095,48F30
60C2E,60916,60A6B
48FAF,4904C,48F3B
608CE,608E8,609C4
4904F,48EAE,48FA9
60A4C,608FB,608BD
48F08,49123,48F9F
60AD3,609A9,60A57
48F90,490E6,49168
608A3,60A26,609FB
49004,48F52,48F96
609E7,608A4,609E3
48F8D,49152,490B4
60B71,60B9D,60D87
4919A,490B0,49058
60959,6093B,609EE
48F94,49004,48F3A
60A4B,60B66,60ACC
48E3B,490D5,48F4B
607A8,60A17,60903
49067,4903F,49025
60A4B,60A7A,60AF6
490B0,49023,49136
609F9,60B27,60BC5
49052,490E5,48EF0
608CF,60ADF,609ED
48FBB,48FDA,48EE4
60A51,608E0,609B6
48F01,49131,49266
6099C,60B68,60B37
48FA7,48EE0,48FC3
60947,60A12,608C5
48FB0,48EB5,49024
60892,60A94,6092C
48FF9,48FDB,49074
60A1A,609A8,6099F
48E2B,48FB7,4915C
60A09,60B35,60C54
48F2F,48F0C,48F96
60C4D,60A02,60B72
49280,4909D,4902A
60B24,60D33,60BD7
49288,491A1,49091
60C56,60AA7,60B1D
48F0C,490AB,48EF4
60BC8,60D61,60C0F
492E3,48F7A,494B9
60A00,60A2A,60BD9
490DF,49219,49099
60AA8,60BD3,60BED
490B1,491AB,4925C
60B5B,60C43,60B43
4908F,491C5,49234
60AFE,60D59,60CC9
48FF1,491A9,490C7
60A70,60A1D,60A7B
491F9,4916A,491E5
60C56,60B8D,60BFE
49167,4915D,4918F
60C80,60B96,60A24
4905E,49143,491A1
600EC,60017,600AB
49753,49866,497D2
6103B,61074,60F85
4997F,49869,49738
611CA,61221,611D1
496D7,49850,49828
6131B,612E2,61196
49A33,4992C,49718
