{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-161BF,-1607F,-162CC
17ED,1699,17EE
-1631F,-16273,-161C5
1885,17CB,18DA
-1638D,-161A6,-1628C
174D,1686,1631
-160C5,-1615D,-16323
17BE,18AC,19A8
-1626B,-160F6,-16094
19B5,17C4,19E7
-1624F,-16239,-16169
58D,2B4,2F6
-16496,-164AD,-16359
14B2,1487,151C
-164BF,-16541,-16332
15B6,1606,14F7
-1629C,-16381,-16344
15C8,1696,158C
-16585,-16349,-16438
1661,1694,1708
-16422,-1651C,-162D6
15EE,14BE,1714
-162BF,-16294,-1636D
16C7,1660,1760
-1630F,-16298,-16166
179F,1720,185B
-1643D,-161C1,-1634B
1748,16D7,16FF
-1639C,-16343,-161E0
170E,1571,1752
-16265,-1628A,-16236
19FC,175E,1968
-1628D,-163BF,-16226
1798,17AE,1625
-16312,-163B8,-162BE
1706,15B7,167D
-1631A,-1639E,-16360
1783,1880,17B9
-1617B,-1614D,-1621D
184F,18DF,183A
-16265,-1619D,-1608F
1900,19C9,1B06
-16151,-162CA,-16138
165A,175E,16D0
-161C6,-16305,-16436
1630,138D,14F7
-1644B,-163A0,-163B8
15B0,178B,1621
-162AD,-16222,-16503
168A,153A,16D2
-163AF,-1635E,-1640A
160C,16EC,179C
-163AE,-16206,-162E1
1658,1766,16EA
-16368,-1628C,-16334
16CA,178F,1859
-163FC,-16506,-1649C
15DC,16E3,16F8
-162BB,-162D0,-16205
1928,19E2,182A
-160A2,-162F2,-16301
1870,16CA,1742
-163B2,-1636D,-16287
16BC,1742,17B7
-16385,-16371,-1639F
18FA,17D7,1874
-16311,-16238,-16293
172E,174A,15CB
-1641C,-16435,-16437
163E,179A,1517
-16425,-16375,-16364
165C,170D,16CB
-16298,-16349,-160F9
1660,184B,1698
-161CF,-161C7,-16141
1AA3,1A9A,1C30
-1605E,-160B7,-1608D
1811,17BD,189C
-16076,-1610F,-160FD
1BA3,1AB6,18E9
-1603F,-16011,-15FBE
19AB,18AD,1B59
-1604E,-15EF3,-15EDB
1C4C,1AB4,1BBC
-15EE1,-1609A,-15F9B
1981,19F1,194E
-1607B,-15D9E,-15E0E
