{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-17329,-17348,-1737C
76C,68F,757
-17265,-173A3,-17594
65F,509,6C4
-17301,-17429,-172AA
73D,6E2,909
-172DD,-174C6,-171C7
80B,73A,7D3
-1724D,-172EE,-17669
72B,761,535
-17227,-1731C,-1732E
75E,7AF,941
-171AB,-17371,-17317
706,6CB,634
-17345,-172CC,-17445
708,759,52A
-174F6,-17411,-175EA
548,457,522
-172FA,-173E0,-173EF
526,75D,5D4
-174A3,-173D5,-17290
658,8DB,6CB
-1717E,-17192,-173F1
76D,738,8D6
-17335,-17480,-173A2
8C3,737,8EF
-17227,-17407,-171DF
9B8,6D6,7C2
-1721D,-17539,-172C7
915,853,887
-17374,-173D1,-172A7
758,70F,689
-17257,-172B9,-173F0
7FC,656,5F4
-173C5,-173BF,-1725D
5B0,666,713
-1724B,-171D6,-17325
6BE,732,9C6
-173A6,-173A7,-1733C
6BF,5B3,7C3
-1726B,-171C1,-174A7
64E,83D,619
-172CF,-17442,-1733D
715,87C,747
-171B9,-17329,-172C0
9C9,A7F,992
-1716C,-17302,-17147
862,944,7B9
-170E4,-1715D,-17085
83D,89F,9EC
-17004,-17056,-1724B
A89,9EC,859
-1712E,-16F48,-17027
89B,B01,B80
-17072,-17025,-16FC9
98B,90C,973
-171F8,-16ED3,-17124
A18,95D,9D5
-171D3,-1714E,-16F79
8D1,A49,96E
-1704A,-17008,-17254
A75,B0F,A38
-16F76,-17141,-170C3
D37,AAC,A98
-17051,-16EBF,-1707B
993,91B,7FB
-1712F,-170EA,-17255
7AB,947,A7B
-1709E,-170B6,-170EB
A07,918,B01
-16ED4,-171CA,-17120
809,9CB,94A
-171F4,-1700E,-17127
805,90E,9CC
-1721F,-16FAC,-1717A
A76,98E,978
-16F41,-17144,-17207
798,8E5,8A3
-170C6,-17098,-170FC
80B,99E,998
-170C4,-1720E,-17079
A6C,92D,A80
-16F8C,-17174,-170FA
A24,92A,A34
-170D3,-1704A,-16FDE
A0D,802,A81
-17184,-17011,-17174
A06,99C,93F
-17154,-170E9,-1711D
A23,7FD,872
-1708E,-1709A,-16FA0
9D3,8E8,994
-17082,-17008,-16F01
B45,A8A,A87
-1736E,-16EF3,-16F6F
634,834,AD5
-16FB0,-17176,-171BB
84D,A03,AB9
-17047,-1716C,-1726F
7ED,AF8,A69
-1711C,-1721E,-17140
8A7,7E9,9A6
-171BD,-17429,-17024
940,7DF,75D
-17150,-170E4,-171BD
9AA,986,8F7
-16E98,-170A2,-1710F
829,B21,87C
-17172,-170F7,-172BE
A71,B00,C57
-16D9B,-16E38,-16CA6
BC7,C85,C43
-16D12,-16E32,-17008
CD0,C68,9EF
-16D6D,-16D72,-16F76
9BF,BFF,B30
-16CA3,-16D76,-16CDA
E88,E35,D03
-16E13,-16F0E,-16D15
C77,CB0,C60
-16FF2,-16B56,-16CCE
DA4,CA8,D71
-16DE6,-16E77,-16CC7
D30,DC2,D30
-16BCF,-16DD9,-16CCE
CA6,F9D,F5F
-16B54,-16CDB,-16CC1
B9D,B66,CCF
-16DEF,-16D17,-16F09
D65,D2F,CBD
-16BF4,-16B50,-16C3D
CBD,DBA,CE6
-16C27,-16C9D,-16D03
F57,CC5,EA7
-16EEB,-16E20,-16CF4
E78,D7B,E9D
-16C1E,-16CA3,-16DA2
DFD,C80,CD5
-16CAA,-16D97,-16B69
CE3,D59,B31
-16C75,-16C49,-16D51
A1D,ED9,C7E
-16EDC,-16E12,-16EAE
BC2,AA7,C64
-16ED1,-16F29,-16E61
A19,C1E,A94
-16E8F,-16FA9,-16DE2
B07,B28,C65
-16F20,-16DE9,-16EE3
ABE,B21,A94
-17002,-16F0B,-16D48
A62,AD4,B85
-16EC3,-16DDB,-16E92
CE5,BE0,C55
-16D3D,-16E88,-16E7D
AE9,9F9,BB5
-16F6B,-1702F,-16FA9
C25,EDE,BF5
-16F6E,-16EF1,-16E25
B31,BD8,C4B
-16E09,-16D44,-16E93
D03,BFB,E04
-16CD5,-16D2F,-16D3C
D0A,C66,E3E
-16DEA,-16ECD,-16DB0
BE8,C77,CD9
-16E2C,-16F03,-16E0B
D66,BF5,D00
-16D76,-16DFE,-16DBA
D8A,DD4,AE6
-16D90,-16D2F,-16EBE
CE6,CA4,BCD
-16E30,-16C0B,-16D7F
10AB,128F,1158
-16A82,-16C52,-168C6
E32,1148,100B
-1699D,-16AF2,-16CE0
1188,10F5,FF3
-16BA1,-168A8,-16BE1
10B9,EAB,104F
-16AC0,-16D05,-16C25
FF5,E8B,FCA
-169D8,-16A9A,-169D4
DA0,EF0,1091
-168AA,-16969,-16C53
FC6,EB2,104B
-168CE,-16927,-16A62
10B9,100A,1011
-1699E,-169B3,-16B88
10DF,1047,10A4
-169DE,-169BD,-16BD8
DA3,E05,F78
-169D5,-16ACC,-16934
1032,1068,1193
-16B93,-16B8F,-16C3E
F6F,F8B,EC2
-16B1D,-16B18,-16A99
10AA,ED6,E40
-16890,-16AEF,-16A9D
1114,F5B,EC4
-16AFE,-16AE6,-16BAF
FEE,FC8,E78
-1690B,-169CF,-16B79
1076,E41,ECE
-16C07,-16B80,-16BC7
DA0,EE4,C79
-16D18,-16AAE,-16B31
D87,D74,F5C
-16B5C,-16BEA,-16B0E
101D,E08,1058
-16D3F,-16D8A,-16D10
DC3,DA8,E29
-16DD6,-16BFB,-16CE2
DAE,C25,D53
-16CC0,-16C23,-16C54
EE8,F66,DF1
-16BB7,-16BA6,-16B32
FAD,E6F,FD2
-16B60,-16C5A,-16C0E
E74,10D3,100E
-16B5C,-16B5A,-16C12
DAB,DAB,E7A
-16E56,-16BBC,-16ACD
EA5,F8F,EBC
-16C23,-16BD9,-1698F
FB7,F27,EF9
-16B27,-16AE9,-16B7F
E03,D08,E37
-16B00,-16ADB,-16B23
E9B,E30,ECA
-16B02,-16BE2,-16D1F
E0F,E6C,E58
-16AD8,-16CB3,-16A6C
F7C,F61,EE8
-16ABF,-16A7B,-16B82
ECD,1041,105E
-16BE5,-16A15,-16B58
7B8,734,858
-167A4,-165A0,-16636
11A4,1469,1508
-165FC,-16622,-167DB
1238,139F,146D
-1662C,-1669A,-16758
101D,14AA,12DC
-16574,-165F7,-1666D
14FC,1434,14A1
-166B8,-16797,-1665D
142E,15FA,147A
-166F1,-16796,-166FB
14AE,1628,14E9
-166A6,-16644,-165E8
1244,1502,13F4
-16632,-1653A,-16658
1544,14FF,14DB
-167BA,-166AC,-166A3
13FD,1399,1266
-16753,-16683,-1653D
1467,14C6,1532
-1674A,-1669C,-1665D
1331,1278,1513
-16338,-164BA,-165E2
15AF,15BB,15DF
-164C6,-167E7,-164E5
14DB,1402,1408
-1648A,-16616,-166A5
13EB,1469,168B
-1662F,-165A9,-165E2
152C,1572,15D5
-164C5,-16452,-1649E
143F,1489,1512
-166B0,-167BC,-16777
1463,1426,1215
-16540,-16536,-16615
130A,14DF,1478
-1655D,-16663,-164FD
1429,12F8,13AA
-16542,-1660B,-16673
1587,1325,1421
-166A2,-1647D,-16541
1569,1377,1381
-163D0,-1654A,-164D1
136F,14AC,1446
-1656F,-1656D,-1640F
14C9,147A,1488
-16681,-163AE,-164E0
161D,155C,153C
-1642B,-16460,-1659D
149D,1588,151E
-167F8,-164C3,-164F0
1428,1466,14F4
-165F7,-1665F,-165AC
15C6,14A6,14C7
-16499,-1665A,-165D7
14D1,149E,1608
-1652B,-1653F,-16665
164D,16A3,15ED
-163E1,-164F1,-16363
1538,1565,1683
-166B4,-165D7,-164A4
15A7,1712,15EE
-16652,-164A6,-1668A
1736,184B,1815
-16238,-16356,-1606D
1685,1836,1768
-1626D,-1630C,-162B7
1870,1880,16DE
-16232,-16356,-16217
18ED,168E,176E
-16263,-162F7,-16464
173C,171E,19BC
-16209,-16341,-16234
1835,170F,1833
-16145,-163F2,-161CD
1714,18A6,1A0A
-161C1,-160BF,-16241
18B0,1859,17D5
-16105,-16287,-16256
175C,187A,18B0
-1634A,-16330,-16229
1711,191B,18AE
-16170,-16173,-16254
19A2,1ACF,185E
-1609E,-160EA,-16027
1736,1629,16EF
-162EE,-16363,-1642B
189B,16E2,193B
-16178,-1639F,-16338
15C2,1845,19E8
-15FCF,-161AB,-161BC
17C8,17A0,1988
-16121,-16022,-16157
17D0,181F,1A30
-160E5,-16160,-15FCD
1855,1751,179D
-162D2,-162E6,-163B5
16BA,1747,18A0
-162B5,-16294,-1634A
1736,1875,1599
-1639D,-1645E,-16469
180F,1668,169F
-16444,-164F5,-16314
15C0,179E,16AE
-162B7,-16395,-16115
1947,1782,15B7
-16151,-1625F,-16281
166D,17F0,181F
-16368,-16331,-16422
185D,1802,16DF
-161DD,-165B0,-162D0
17E7,1858,18A6
-1624C,-16158,-16517
174C,1879,1696
-1631B,-165FD,-163D9
15F9,1758,17A0
-161AB,-1637C,-164A7
164E,16F8,1757
-16343,-161D9,-161B0
179A,1699,190F
-16345,-160E2,-1624F
17F9,15DF,1770
-1641E,-16570,-163A7
18F5,1873,1899
-160AB,-1620E,-16190
174C,16A9,182B
-160C5,-1624F,-161C5
538,552,6AF
-16497,-16378,-1630E
15C9,14E8,15E3
-16518,-162DE,-1629F
151C,167C,16C8
-162B7,-16382,-163CA
1596,176E,166A
-1641F,-16484,-162B2
1607,1809,1869
-16185,-1638F,-1662C
16E3,1644,16B0
-1624E,-16243,-1622A
1700,1605,184C
-162A8,-16169,-16090
1807,1855,1969
-162C0,-16368,-16279
18FA,1AF5,18FB
-163F6,-163EF,-16357
1833,16CF,173B
-1620D,-161D6,-1610C
1658,16A6,171F
-162DE,-16283,-16438
17AB,1788,186D
-1621B,-162F4,-16197
1966,1724,1888
-16415,-16288,-1626E
15E2,18FD,1924
-162CF,-162EB,-16150
1859,1A5C,1888
-1612D,-161DE,-16263
18A6,16C0,16C3
-16188,-1649C,-1648A
1607,17D7,1818
-164D6,-16409,-16586
1718,16D1,171C
-162B4,-16110,-16259
16AC,147C,1825
-1631A,-16516,-16499
1408,175A,165A
-16408,-1643D,-16385
179E,17C6,1801
-160E5,-16476,-1640B
1730,19D3,182F
-163D6,-16492,-1653B
178C,15EF,176B
-16302,-16409,-161EE
1509,15A5,1669
-161F4,-163C7,-16325
1747,15AF,178F
-1656F,-16417,-16508
1628,1498,177B
-1644D,-164D4,-1645E
1731,17EC,179F
-1652E,-16317,-16280
1816,164B,17AC
-1617E,-16351,-16408
17C1,1736,1846
-1614C,-16242,-161D0
17DC,18A1,175A
-16278,-16302,-162B3
17D0,18D5,1A49
-16287,-16161,-160E4
19A2,18F1,18A0
-1612B,-1606E,-161BD
1C15,1B6C,1A8A
-15FE7,-15F41,-16111
1AF4,1A01,19F8
-15F43,-15ED0,-16027
1A1D,1B62,1A41
-15F60,-15FF2,-15F74
1948,1944,1AC6
-16033,-1624C,-160ED
1950,1AFF,1BB5
-15EF9,-16079,-160E6
194D,19F3,19A8
-15F2C,-15F98,-16085
19B0,1984,18B0
-16174,-16010,-160BE
197C,1A33,18C1
-16113,-160A7,-16061
19F9,1B52,1B13
-15F57,-16207,-15F32
1A9F,1976,1A75
-15EEE,-16009,-15F99
199A,182C,1A6B
-15F37,-1615D,-16045
19C2,1A54,1BC8
-16052,-160C7,-15FA0
19FD,1875,1B5E
-15FCB,-16068,-16236
186E,1913,1824
-1623E,-161AA,-161E7
18A6,19E8,19D9
-160B6,-15F63,-16251
19DD,1A6D,1CC1
-15FEB,-15FF5,-15FBC
17E6,19E7,1A9C
-1620B,-16284,-16365
16A6,167E,1782
-16190,-16211,-161D4
190B,1736,162B
-16359,-1627A,-1632C
1765,1859,184E
-160A6,-160A2,-16021
1839,1B84,19D0
-16232,-16107,-16189
18BD,1A31,1B94
-1627D,-1620D,-16046
19FD,1952,18B2
-15FA4,-16079,-16023
192D,17FF,197A
-161C0,-160A3,-161C9
192B,178E,18B0
-16180,-16175,-16110
1B03,175C,1B2A
-15E62,-16224,-15F82
191D,1BD0,1946
-15EA6,-15F2E,-16021
1874,18A9,1BB3
-15EC5,-15FE8,-16082
1A39,19F1,1B41
-15FAE,-15E38,-15E96
1A20,19BA,1A90
-1609C,-15E49,-16007
18F7,1993,1B49
-15E2C,-15ECC,-1607C
192A,19CA,1AED
-15EF5,-15E8A,-16008
100B,101F,F00
-15CDF,-15BD0,-15AFC
1DC5,1EA2,1F5B
-15C37,-15B9C,-15B97
1E4D,1EB1,1DFD
-15B6C,-15B6A,-15BF7
1E09,1EFA,1FE7
-15C40,-15C04,-15ADA
2007,1F68,1E28
-158B8,-15B32,-15AA8
1F22,2053,1E84
-15BC0,-15B26,-15B1F
1DCA,1EEE,1FB0
-15AD2,-15AAD,-1597A
1DB2,1FA7,202D
-15B0F,-15B0E,-159E8
211C,1FA6,1F20
-15D41,-15B63,-15B42
1C8D,1ECA,1E6E
-15B61,-15C93,-15AAF
1DF1,1F60,1F56
-15AF4,-15988,-15C43
1DD6,1D19,1F1D
-15C47,-15AEE,-15A4A
1EF9,20BE,1D83
-15C9E,-15B2F,-15C5B
1ED4,20CD,1EB5
-15A81,-15AA2,-159B4
1ECE,1FBB,1FB6
-15C61,-15A82,-15B33
1F83,1E35,1FF7
-15B6C,-15B66,-15A81
1DBA,1BE6,1DAF
-15C60,-15C05,-15B6F
1DA0,1F57,1F2B
-15AD4,-15A76,-15CAE
1C47,1F18,1F33
-15BFF,-15B03,-15BAC
200F,1DC2,1CCD
-15BC7,-15BBE,-15BA8
1E80,1F53,2183
-159DE,-15B19,-15B63
1D0E,1DF2,1EF7
-15A39,-15907,-159D5
1EA7,1F4C,1FCF
-15AA3,-15984,-15A6A
1F08,2176,1FAE
-15AE5,-1595B,-15932
2047,1FC4,2080
-1594D,-15B89,-15A90
1F07,1F9C,207D
-15B20,-15C0F,-15B6F
210F,1F9C,1FB4
-15C3F,-15D53,-15A66
1C89,1E4D,202E
-15BFE,-15A10,-15AFB
1EC5,1E49,207B
-15A90,-15D68,-15C6E
1EB0,1E34,1DBE
-15C10,-15B9A,-15B2D
1EEA,20EF,21BB
-15C10,-15CF2,-15AAE
20B6,2090,209E
-159AA,-15A89,-15B51
1FE6,1EEE,23C6
-158F6,-15795,-15917
1FE8,2205,1FD8
-15B6D,-15AF8,-15B48
2201,1F91,1FBA
-159D4,-15968,-157CC
20C7,20BA,1F2D
-159EE,-15936,-15901
20B2,2024,22C7
-15932,-15959,-159D3
1F13,20B9,1EE0
-15A57,-159DE,-15C27
20EB,2160,207B
-158E9,-15A41,-158E2
2286,204E,21A8
-157C9,-157B8,-15998
1F58,220D,22E7
-15734,-158B8,-15A2C
2068,2194,22B8
-157D3,-156A4,-1586A
20C6,2081,2175
-157C3,-157E6,-1570F
207F,221E,2245
-158C2,-15848,-158F0
1FBE,22F0,2157
-1588A,-15740,-158C2
20C5,224D,1F98
-15AD6,-15A23,-159E7
2125,2111,20B5
-15950,-159DC,-157DD
2225,220A,2340
-15983,-15825,-15A17
2204,223F,222F
-15B96,-1592F,-15B80
1F0E,1FF9,1D94
-15D3F,-15BCA,-15A0B
1DE7,1DB3,1EE2
-159A0,-15B58,-159FA
1E55,1E55,1F28
-159AD,-159AC,-15A79
2151,2193,2165
-1579C,-15983,-15922
20F6,216B,203F
-15A45,-15AB5,-15C1E
215B,208D,2170
-15A04,-159EC,-158D2
1FA3,1CDC,1F2D
-15880,-15AB6,-15724
2165,2086,21C2
-159EB,-157D7,-158C0
1FBC,1E4A,1D4A
-15A87,-1590C,-15C03
222E,20A0,2114
-157EF,-15814,-15824
2029,1F98,1F57
-157BF,-15858,-157F9
1F3C,211D,2063
-1595A,-159BB,-1590C
2235,2183,21BE
-159B4,-15933,-158BB
2248,2202,2293
-15751,-15814,-159E9
21D8,223F,2167
-1562C,-157DD,-157A8
46AD,4460,4629
-182B4,-18318,-18292
-8CC,-827,-90E
-181B9,-182E5,-1846B
-944,-895,-8EE
-183D8,-18187,-1823D
-974,-7BA,-7C7
-1806D,-1819C,-17F92
-802,-5A0,-703
-182B6,-18335,-1815F
-85E,-835,-66F
-18172,-18285,-1849B
-791,-76F,-6EE
-1821B,-181AC,-18312
-850,-531,-819
-1803C,-180F8,-18074
-68F,-534,-818
-182E5,-182E9,-1820D
-728,-6EA,-893
-18369,-181B7,-182B3
-763,-8A3,-78F
-180B4,-1824F,-18099
-78A,-6BE,-753
-182E0,-1820D,-181C9
-624,-607,-738
-1803E,-181B3,-1827C
-7BB,-87B,-6A5
-17E6E,-18029,-1800B
-8F1,-6CC,-886
-181F6,-18175,-1819D
-82B,-7B8,-66C
-18183,-18146,-1802F
-6EE,-86F,-83A
-180EA,-183F6,-18256
-9E3,-85D,-91C
-1831B,-18350,-183E0
-9DC,-846,-ABD
-182FE,-18265,-1821C
-7C5,-8D4,-8CB
-182E5,-182B1,-1842E
-723,-7FC,-7F3
-181DD,-181C0,-1839B
-719,-6F0,-B1C
-182A8,-18377,-18208
-6B4,-80F,-818
-1806F,-18021,-18083
-5E0,-791,-4CC
-18174,-180A4,-181E9
-4CA,-5FA,-791
-184C9,-18171,-180BB
-677,-5EF,-734
-18094,-18229,-181E3
-6E9,-6C5,-7DB
-18136,-18153,-18086
-711,-7E5,-686
-18185,-180AF,-1822F
-794,-783,-661
-182B9,-1813D,-18184
-6E6,-826,-842
-180A1,-182AB,-18245
-7E1,-61A,-64C
-18183,-17FB8,-180C5
-704,-6E8,-531
-17EA0,-18095,-1813E
-5D6,-5F6,-429
-17E11,-180EF,-17ECB
-5F9,-581,-37F
-17D6B,-17EB4,-18099
-359,-4F7,-4C8
-18058,-17E2D,-17F06
-480,-146,-572
-1803A,-17F5F,-17E4C
-3F9,-442,-58B
-17F95,-17F8F,-180EB
-481,-4FF,-582
-17FC9,-17F4C,-17EC0
-53A,-545,-39D
-17FAE,-17F56,-17ECA
-483,-42E,-302
-17EAC,-17F18,-17FDB
-39F,-41E,-1F6
-17F8B,-17FEB,-17F1D
-568,-428,-410
-17D30,-17E9F,-17F38
-5A0,-42D,-369
-17D6E,-17D7D,-17CF0
-36A,-470,-4B2
-17F20,-17EC9,-18059
-21B,-3D4,-42A
-1803C,-18052,-17E1B
-390,-4C0,-33E
-17E5C,-17F2C,-17DAD
-46C,-37D,-3D3
-17C81,-17E50,-17E6A
-2CD,-438,-47B
-17FED,-17F6E,-17CC8
-3A6,-451,-53A
-18131,-17FE7,-1803E
-528,-6F1,-6B0
-17FFB,-17FCC,-17FF9
-60D,-5B0,-771
-18083,-180C3,-17F28
-5B4,-601,-5EF
-17F02,-17FEC,-17DE9
-5B8,-277,-1D3
-17DFA,-17E1D,-17DB0
-545,-61C,-446
-17CFE,-17EED,-18164
-2D1,-6AF,-53E
-17F24,-17FE6,-1800D
-549,-4A5,-373
-17DAD,-17D8E,-17D29
-308,-25C,-29B
-17EC4,-17E7A,-17EE4
-468,-1EC,-57A
-17E77,-17F43,-18040
-3E7,-35B,-4C4
-17EBA,-17D48,-17C5B
-4F9,-4C5,-317
-17D3E,-17F03,-17F90
-572,-3E3,-4B0
-17F74,-17DEB,-17F33
-580,-3EA,-40A
-17EB3,-17D73,-17E0D
-395,-41E,-3CD
-17DAC,-17F46,-17CE3
-39B,-47A,-4E8
-17CE6,-17E28,-17EA8
-E78,-E40,-B8B
-17A3B,-1795F,-17BB0
-18C,-BE,-106
-17964,-17AF2,-17B8F
-163,-1A2,-1AD
-17A5A,-1794E,-179DF
-12A,-9E,-211
-1797D,-17B7A,-17C5D
1,-FB,-78
-17B32,-17AD4,-17AA5
-9D,19,-17C
-17ACB,-17C86,-17A24
-9A,1C7,133
-17A7A,-17970,-17914
1BB,9D,5E
-178E4,-17A00,-17A5E
37,-49,229
-1774D,-179E9,-17BF5
100,E3,-1B7
-17ACC,-1799B,-179CD
120,42,F2
-17AB6,-17987,-17959
-E,146,11C
-17A9E,-178D8,-1784E
17C,294,169
-1784E,-17AC1,-1787C
178,4C,FA
-1798B,-178AB,-179F6
-B1,-54,DC
-1759F,-17920,-17A90
244,1AF,15A
-1795B,-1781D,-1793C
3C,15D,-28
-17920,-179FB,-17A23
-7F,-70,-42
-17AC6,-17AF8,-17ABE
143,-15,-1BA
-17B9F,-17C11,-17D05
-174,-1E4,-15F
-17BB4,-179F7,-17BB9
-1AE,-7F,-8E
-17BED,-17B8C,-17D2E
-185,-130,6C
-17A06,-17A9A,-17CF7
-1AA,B8,2C
-1796B,-17A8C,-17BCF
56,-140,-4A
-179BB,-17A78,-176F0
147,13D,140
-17953,-17AD3,-17A22
42,-DE,-11A
-1792A,-17A68,-17B8F
-128,7,E5
-17996,-17921,-17B46
D4,C6,9C
-17A93,-1795C,-178A8
149,23D,4
-17998,-177EC,-17B5C
184,363,326
-179CB,-1778F,-17978
1DE,20A,2E5
-17884,-179CB,-17910
1F3,15C,-93
-178C3,-178B4,-1798C
196,298,49D
-175CC,-17948,-174FF
41E,1BA,1E5
-175FB,-176A4,-1755B
31A,40D,378
-175AF,-1751A,-176AD
2D0,2D1,490
-17540,-17801,-175F4
421,5F4,689
-1766A,-1759A,-176E3
53F,511,4BF
-17639,-1774E,-175A0
2B8,482,3BF
-17749,-17662,-17657
50C,4E9,5AB
-1760D,-177BB,-17497
4D7,323,380
-1763F,-17762,-176DF
193,18B,466
-17913,-17755,-1766A
2CE,4C5,2CC
-1760C,-17672,-17762
46E,3E1,3A3
-1784C,-1775A,-1763C
391,36B,2EC
-176AE,-17737,-17753
E6,4C5,3CE
-1755A,-175F7,-17589
434,3AF,5AA
-1760B,-17471,-175D9
5DD,42C,389
-1768A,-1752C,-1743A
30B,245,361
-176AD,-1769E,-178A1
296,3EA,30C
-17753,-1780D,-177C4
38D,36C,41A
-1747D,-1765E,-17670
1B6,386,3FE
-17650,-1784A,-1767B
340,4E9,494
-175EF,-17777,-175D7
322,251,2B4
-175B1,-176A1,-176DC
3DE,45E,23D
-1774E,-17749,-1780B
2C9,2E7,1B3
-177FF,-17799,-17665
2EC,394,50F
-17921,-17758,-1782B
40A,28D,393
-176B8,-175C9,-176AD
301,1D5,2DF
-17755,-1794C,-179D8
11,1E8,D3
-177A5,-1779A,-176B6
2DB,305,191
-17854,-17699,-17758
30B,2C1,2F7
-176EE,-17796,-177E2
206,476,414
-17713,-175A3,-17857
F8,226,31F
-178DB,-17773,-1764F
-10E6,-1060,-125D
-17A25,-17922,-17B1A
BC,-29,41
-17B58,-17BEC,-17AD1
-128,CD,2B
-1778E,-178E4,-17A89
76,75,2
-17967,-17927,-1784F
254,-D,6
-179C1,-17840,-1793F
251,27F,A8
-1786A,-1789D,-17A9B
86,14,299
-17829,-17A71,-179DD
302,72,139
-177C5,-17837,-17710
32E,43D,3EB
-17847,-17703,-178BE
9E,16A,32
-179BA,-17931,-17975
23E,2FB,1A4
-17A7E,-179F4,-17A2E
42,13C,1E9
-17883,-1783C,-176EE
1F1,243,400
-17590,-177F1,-1775E
19,2D6,3E6
-1775D,-178E0,-17823
313,29B,1FE
-17583,-177AD,-1779A
311,138,377
-17765,-177E4,-17655
330,EC,103
-177FD,-178B4,-1794A
26E,8F,6B
-1790F,-17B1B,-17AAF
-B1,8B,234
-17840,-17A5B,-1798E
179,1E7,DD
-1789C,-17925,-178E3
295,3C9,-2
-179B7,-17995,-17AA5
17,2D7,99
-17A29,-17752,-1790C
187,225,144
-17938,-17765,-178C0
1A3,1BE,8B
-17595,-1766E,-176F0
321,2D1,30F
-178F4,-17875,-17800
27B,2A3,2BE
-1787F,-17761,-17729
3E0,508,51B
-17688,-17723,-17744
1C0,1CD,2B3
-175DB,-17892,-1776B
2FA,4EC,460
-17658,-17578,-17618
2E3,39D,347
-17693,-17687,-1769E
445,498,4F4
-17690,-176E1,-17685
4D3,4EA,4C7
-1756E,-1750E,-176F7
660,6E6,5FF
-1744D,-1745A,-17340
4EA,380,3CD
-17524,-17762,-175E2
3BE,584,3C9
-17618,-176B8,-17753
534,3C3,468
-175EC,-174AA,-176D2
4DC,513,4AF
-17381,-1754D,-17697
538,316,630
-17658,-1754A,-175B9
674,675,5C7
-17632,-173ED,-173F5
6E3,6A0,53E
-173ED,-17395,-17532
56A,626,590
-17511,-173BB,-173D4
69C,647,7C7
-17486,-17537,-17296
67B,661,5DD
-17373,-17516,-1769E
5B5,605,5C7
-172EB,-17322,-173D7
4DD,75A,61C
-17381,-1745E,-173DE
5DE,39B,69B
-173A9,-173FD,-17468
4EE,586,627
-17402,-173C9,-174F2
678,6AA,5E2
-17505,-17358,-17429
6E7,4F2,5D1
-17691,-175C6,-175AA
397,58C,53B
-173F7,-17665,-17753
44B,45F,3A9
-17580,-17641,-17614
5BF,679,4D8
-17747,-17600,-17617
641,441,5FB
-173C4,-175F2,-17504
7A7,575,515
-17584,-173CC,-176ED
53A,4C7,46B
-17314,-174E4,-17467
3BE,48E,4D5
-174AC,-17332,-1737A
535,6A9,616
-17358,-172D0,-17395
5DF,6DA,620
-17465,-1753E,-17529
5D8,7B7,5C4
-17596,-174A0,-17611
5DF,67F,6B3
-173B8,-174B1,-173F1
51B,764,665
-1731E,-172B5,-1726A
588,651,602
-172E5,-172C3,-1741C
667,67A,691
-1731B,-172D7,-171CD
879,5D1,683
-1736D,-17569,-1746C
-4CD,-23C,-3C0
-1729C,-1724D,-1726C
568,9E3,9F1
-170BB,-170D9,-16FD3
C1C,AA4,86D
-17065,-1707F,-17012
8E5,911,725
-16F88,-1727A,-17006
A07,BFA,A61
-16FFF,-17097,-17053
9A0,A2A,A51
-17060,-1712E,-17065
A27,AB7,B29
-16E61,-170C6,-17026
AEA,A3F,9C9
-16F51,-17046,-16F5D
B6B,A22,B2F
-1718E,-17079,-16FAC
91B,9F4,A0E
-16DF3,-16FA2,-16FD9
AA2,955,A32
-170A2,-17111,-1708D
BF7,A9C,C24
-17059,-16FAB,-16FDA
9D1,9B2,B2A
-17004,-16E70,-16F23
A53,C34,C7B
-16F21,-16F9C,-16F70
A12,AB9,B2E
-16FFC,-16F52,-16F83
9E5,A5F,C13
-16DD6,-16DD4,-16E76
9EA,9AD,87C
-1711D,-17146,-1728E
909,88F,91C
-17054,-17153,-17389
795,831,8D5
-170C9,-1717E,-1716B
932,868,8DC
-170F4,-17030,-17115
918,A3A,798
-17054,-1710A,-16F63
965,8F4,94C
-170BF,-16FC3,-17025
BAD,967,9FB
-16E59,-17051,-16EED
A0D,7D7,88B
-1700A,-16FBF,-16E29
B9F,C11,C80
-17107,-16FA3,-170A2
A10,AFF,96F
-17187,-1705F,-17151
AD0,863,9C4
-17099,-17143,-170FA
AE7,C26,820
-171B8,-16F50,-16F92
92C,9D8,B86
-170FA,-16EAD,-16EA0
9DD,B8F,993
-16D69,-16F34,-16FB6
B9A,A55,A68
-16F47,-16DC7,-16FD4
B42,AF4,B7A
-16FE2,-1705E,-16E73
C53,C6A,E1E
-16CD5,-16D34,-16DA3
CC9,B5B,BFC
-16DDD,-16D42,-16C8A
DCB,D71,C80
-16B1E,-16CE6,-16DEF
C42,B92,E4A
-16C1D,-16B73,-16D8D
EB5,C87,CA3
-16BAB,-16C07,-16B5C
C9C,DB6,E4D
-16DDB,-16CAE,-16D93
BAA,D0F,D6D
-16D3C,-16E30,-16CD4
F1E,CAC,E3C
-16E01,-16B62,-16DAC
E17,E7F,C45
-16D41,-16E7A,-16D41
D01,D5F,CDB
-16E1C,-16FB1,-16E27
BF3,BD3,E04
-16B49,-16E73,-16F11
D4A,C69,D9B
-16E21,-16E63,-16D45
E20,D0A,CF4
-16D35,-16C77,-16C82
F28,D42,DFE
-16ACF,-16AD4,-16C3D
CFE,C8F,B9C
-16A8E,-16B69,-16E11
