{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-10383,-100B8,-102BC
7704,772F,77DE
-1024F,-10307,-10364
7822,78B4,78EE
-10258,-101D1,-103AF
7778,76B8,7761
-101E8,-100B5,-101B6
78DD,78D6,7999
-101FD,-100CD,-FF17
7956,789A,7927
-100A5,-10151,-102D0
79E6,796F,7A86
-10350,-1025A,-10289
7A01,7974,781D
-100ED,-101A7,-10215
7A0E,791B,7823
-FF24,-FF14,-101CA
7636,7854,78FB
-FFEA,-10151,-10115
799E,78BA,791A
-101B1,-10044,-1020A
7853,790F,7973
-10299,-1026A,-100FE
79E9,7852,7992
-FF3D,-10027,-10076
790B,798F,7802
-100F3,-100AD,-10327
630E,6485,63C8
-102CE,-1044B,-103AD
756A,76EE,7856
-10245,-103DF,-10466
77E9,7772,7663
-10389,-101D8,-10338
7646,7701,773D
-1027F,-1029D,-1056E
775D,77AE,7745
-1035F,-10439,-1045F
77DE,76A2,7799
-10366,-102C2,-101BB
7685,7770,7730
-FF9D,-101CB,-1011A
7994,77CF,7892
-102E5,-102E4,-103BA
77B7,7840,7995
-10171,-100C7,-10032
77D9,7714,7824
-1030B,-1020E,-10183
7721,7A4E,781E
-101F6,-10350,-102E1
75C2,7962,77B6
-102F8,-1034E,-101FA
783B,786A,7883
-10120,-1011F,-102C0
783D,771C,7732
-10075,-10120,-102FB
7883,78E9,7438
-101BE,-1022B,-10184
77F3,7857,76CB
-FFD5,-10222,-10249
76C5,78C3,7611
-1021E,-10516,-10147
77CE,77BC,7763
-10291,-1030E,-103B2
7879,77BF,7587
-104B7,-103ED,-103F3
7813,7801,7710
-10180,-1017D,-10211
7784,7850,7757
-104A9,-103C7,-101FC
758B,76C0,765F
-10229,-1032C,-101FD
7788,77F1,776A
-10317,-1023B,-104C8
7773,771B,76CE
-10478,-103C6,-1042D
7830,7843,7719
-10335,-1038B,-102A3
76E7,77ED,771C
-102C6,-102D7,-10337
7633,7665,756E
-10526,-105B6,-105C7
7637,783C,78C3
-102C4,-10391,-102F5
7782,76D0,790C
-1028A,-102D6,-101FB
78DA,7800,774B
-10084,-1009F,-103AB
76F8,76E5,7810
-1010B,-10268,-101E9
788A,7A2C,78A2
-1018B,-FE2A,-1013C
7BE9,7BEF,7E36
-FFB5,-10068,-FFB0
79B1,7AC1,79A7
-10128,-101DC,-100A2
79C4,7A51,7B11
-1000F,-1004C,-FF6B
7913,78ED,7BDC
-FF0F,-FE7A,-FEAF
7A85,7B10,7BA0
-FE85,-FE5C,-FF9D
7A42,7B3D,7C53
-FD9F,-FE7D,-FE48
7B98,7B74,7C87
-FEB1,-FF37,-FE3B
7B1F,7B6E,7A3F
-FF0A,-FEF4,-1005E
7BDF,7C30,7C67
-FCE6,-FE95,-FEC2
789C,7A70,790E
-FF28,-10126,-100C8
79C2,79F4,7AAD
-1009E,-FEE8,-10052
7A86,7B31,7A60
-FEC9,-FF1F,-FE3F
7C35,7B24,7CCA
-FE6C,-FFC2,-FEBA
792D,7AD4,7BA1
-FE78,-10074,-FE7F
7B6D,7B16,7B01
-FDA9,-FD5C,-FFE8
7A7E,7C1C,7CAE
-FF42,-FDAE,-FF91
7917,7BD3,7969
-10077,-FF4D,-FF96
7B1D,7A2A,77ED
-1014D,-1013C,-10052
78AE,7983,7A2A
-FF00,-FFD0,-FF0A
7A52,79D5,7A0F
-FFEE,-FFEE,-FF7C
79C7,79BF,7BB3
-FEED,-FDEA,-10088
79F7,7A7D,794C
-10044,-1004C,-FFAA
7B4C,7BD2,7B26
-100C5,-1001C,-FF86
79F9,7B71,7AE3
-10075,-10055,-FE9B
7A16,7B63,7AE8
-10033,-10197,-1013A
79D4,7B0B,7998
-100D1,-FF20,-FF2D
79F9,7976,7A59
-FE68,-101A2,-FF44
7808,7B3E,7B02
-FF8A,-FF98,-100A5
7A0E,7BA5,7B95
-100B9,-FFDA,-FFDC
7B6E,7B37,7B9A
-FEC2,-FF47,-FEF7
7AE7,78E8,7BF0
-FC6A,-FF5C,-FDF3
7CD3,7CB9,7DA2
-FD2E,-FBDF,-FD10
7521,71E2,7353
-F99A,-F9D3,-FBD4
7F55,7F37,7FA9
-FC6E,-FD3B,-FC7A
7D61,7D72,7C5B
-FCB0,-FDDD,-FE7D
7DA0,7FCD,7DC3
-F968,-FB32,-FD9C
7D93,7D76,7E89
-FBC9,-FC38,-FDE3
7D5B,7E74,7D64
-FC2D,-FCAF,-FD3C
7DE7,807F,7EFF
-FB01,-FB83,-FBE1
7DF1,7EEE,7ED2
-FC0C,-FC17,-FA68
7ED7,8139,7EE1
-FC46,-FE1D,-FBE6
7DBA,7FDD,7E65
-FC2C,-FC0E,-FBF1
7F54,7D9B,7ED9
-FB46,-FB7F,-FADD
7DF7,7DA5,7E7A
-FBE5,-F8A6,-F9F2
7E79,7EFA,7FE4
-FB7B,-FB9E,-FB79
7E60,7FB0,7F37
-FA54,-FC89,-FB83
7F81,7F16,7F38
-FB48,-FA0C,-F9B4
7FC7,7FDE,7FF5
-F94F,-FA10,-FB7C
7DFC,7D87,7D86
-FAFE,-FAC6,-FD34
7E6C,7EF2,7D98
-FBB2,-FB96,-FABD
7F19,7E69,7F51
-FA57,-FC56,-F9F4
7FA0,7FDB,7F91
-FA95,-F984,-FA01
7FA1,7F2E,80E7
-F9D2,-FAAB,-F984
7E00,7FB0,7EF4
-FA9C,-FA20,-F8FB
814B,8042,7EBC
-FA38,-FAC9,-FB63
8085,7F56,823E
-F94F,-FA26,-F9DE
80A6,7FD5,7FA8
-FB83,-F9D7,-FE02
7FF1,7FA8,7DF9
-F9ED,-FBE0,-FBBC
7EEE,801C,7EE9
-F95E,-FAF7,-FA0A
7FA6,7F3A,7F3F
-F9F5,-FA40,-F8BD
805C,8021,7FDA
-FB7E,-FB3D,-FA89
7FA3,80E6,801E
-FA55,-F8D4,-F7DC
824F,8124,8169
-F87E,-FAA4,-F97C
8125,818A,8033
-F640,-F7E9,-F892
847A,8377,83A0
-F941,-F943,-F77B
801E,8101,813A
-F80C,-F8FA,-F8DF
8308,82C1,8276
-F96F,-FB1A,-F786
83F4,8167,8172
-F76C,-F772,-F71B
8132,8197,8157
-F8E8,-F73F,-F6D9
8091,8279,8289
-F6C2,-F754,-F811
80BC,821F,8148
-F82A,-F79F,-F978
8139,8295,845F
-F85E,-F73A,-F768
82EB,8336,818B
-F70C,-F8E1,-F661
83A4,82D1,8213
-F780,-F673,-F8E8
82EF,826A,83B6
-F8B2,-F660,-F75C
8344,8266,83E0
-FAA6,-F873,-F8CE
836B,8499,80D9
-F7E5,-F6BD,-F792
8178,846B,81E1
-F7A4,-F5E1,-F7EA
8290,827C,837C
-F8E3,-F6B2,-F78D
8470,8523,83D0
-F827,-F79B,-F745
8033,8150,8107
-F9B3,-FA65,-FA22
80C6,7FEE,80C9
-F831,-F85E,-FB9A
81AB,82B6,812E
-F8C2,-F888,-FA9D
7FAB,8175,8158
-FC08,-F970,-F900
832F,8244,8265
-F7ED,-F8DC,-F9D4
8081,80A5,8077
-F939,-FA25,-F8EC
82B3,7F08,8130
-F885,-F84B,-F7D7
81F3,8220,806A
-F7F0,-F98C,-F965
80AA,82BA,81C8
-FB1A,-F973,-F846
817A,8093,80FA
-FA68,-F8F4,-F8D8
810A,81CA,81A5
-FAD9,-F9B8,-F85C
81A3,809B,83DF
-F6C9,-F742,-F880
8117,81B8,8471
-F7AF,-F738,-F7B2
835B,83F9,83A6
-F6EF,-F6EC,-F68D
838F,839C,82FD
-F788,-F771,-F7A8
8360,8263,81FB
-F7EF,-F761,-F6E3
80D4,8144,80CC
-F4D1,-F502,-F348
880F,85F2,8637
-F26E,-F239,-F45B
87C7,87E3,8646
-F2A7,-F06B,-F48B
8741,8974,877E
-F125,-F38F,-F167
87E9,8AEB,88F3
-F123,-F141,-F227
8861,86F4,86CF
-F2A9,-F310,-F409
895B,8765,89B9
-F11C,-F197,-F23B
876F,8755,88F7
-F0CD,-F285,-F199
899F,89AE,8957
-F00F,-F052,-F203
898B,8973,8A7B
-F0FB,-F255,-F146
8811,88F6,886E
-F176,-F16A,-F122
873C,898B,8958
-F14C,-F221,-F357
88F0,8912,8889
