{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
11BE88,11BFB7,11BFB1
104473,10431C,104334
11C0D6,11BDB8,11BEA2
1045DE,104663,104496
11BF20,11BFF4,11BE43
1044C5,1045C0,1043D2
11BCC6,11BB44,11BE14
104566,104347,1044E6
11C021,11C090,11BF67
10490F,10461F,104551
11BF9A,11C05B,11C004
104525,1045AD,104711
11BFC6,11C1FA,11C11D
104604,1045E5,1044CA
11BF65,11C106,11C119
10458B,104713,104684
11BF3A,11C28B,11C247
10481A,10472C,1045A7
11C00B,11C125,11C0C7
10452C,10474A,10481A
11C1A2,11C185,11C2FE
104922,104789,104764
11C199,11C1F7,11C3D1
1048DE,1047E4,104861
11C585,11C47C,11C1DC
104855,104863,104677
11C130,11C260,11C2A8
104857,104888,1048C8
11C167,11C2D5,11C2F1
104826,104866,104884
11C344,11C17A,11C456
104891,104AA0,10491B
11C3AE,11C297,11C2B5
1047FA,10490C,104828
11C2B5,11C256,11C301
1046F5,104865,1047A6
11C379,11C2B3,11C2B6
104802,104615,1047AA
11C2A4,11C37C,11C245
1049F2,10489B,10478E
11A3CC,11A3D7,11A328
1049CD,1048A4,104831
11C42D,11C383,11C251
1049AA,1048E8,1048DA
11C35D,11C38D,11C2D4
10491E,1048CE,104841
11C3AF,11C49C,11C2F4
104995,104B02,104845
11C27B,11C394,11C4CA
10490B,10486C,104770
11C20B,11C2B8,11C39B
1046DA,104BC9,104A8D
11C268,11C52C,11C542
104971,104A98,104A72
11C514,11C5C2,11C39C
104A26,104A74,104ABF
11C5CC,11C53F,11C78A
104A26,10498F,1049A8
11C372,11C339,11C497
10491F,104904,104A04
11C59B,11C4D3,11C37C
10495E,104AB9,104B44
11C43A,11C4B8,11C456
104BA1,104B5B,104C97
11C660,11C439,11C58A
104BD5,104ABD,104B5E
11C452,11C4E1,11C44E
1049D1,104AC8,104C35
11C4D1,11C488,11C55D
104BCD,104BE9,104AFF
11C6A2,11C4E5,11C3D4
104A57,104A13,104C4B
11C505,11C515,11C5B1
104D9E,104AE3,104D03
11C7B9,11C6C2,11C700
104C40,104CB5,104D6B
11C6C7,11C7CF,11C59D
104E59,104E53,104C59
11C818,11C7CC,11C6F4
104BBD,104B8B,104C14
11C6B7,11C877,11C7BB
104C28,104E7F,104C53
11C7C8,11C68E,11C74F
104DB5,104DF0,104C57
11C7D3,11C64D,11C707
104C8A,104E64,104F67
11C895,11C757,11C7B4
104C4D,104E11,104D77
11C91F,11C83B,11C839
104EF9,104C84,104BE6
11C7EE,11C6CC,11C868
104DB1,104D48,104D16
11C813,11C883,11C937
104E28,104EA9,104E43
11C7F2,11C7F7,11C7F4
104DB1,104C51,104DF2
11C749,11C7F2,11C800
104FA0,104DE7,104EAB
11C7A4,11C6EC,11C787
1050DF,104D0D,104D2C
11C845,11C861,11CA01
104E62,104FAD,104DF9
11C76C,11C8D6,11C8C0
104CA3,104DD2,104EEB
11C808,11C749,11C7EE
104BB0,104A95,1049F5
11C4F2,11C567,11C638
104973,1049E5,104B00
11C75A,11C512,11C566
1049BF,104A74,104AAD
11C5AC,11C4DA,11C38C
104A58,104B16,104B24
11C4EC,11C4DB,11C7BB
104C0D,104C46,104BC7
11C5AA,11C466,11C583
104B6A,104C6B,104A13
11C71E,11C7F1,11C76C
104BF7,104CFE,104BD7
11C52E,11C5C6,11C7CC
104C06,104C7E,104B27
11C7A9,11C910,11C6FE
104DBE,104C4B,104BB7
11C5D8,11C623,11C633
104BDC,104D9B,104CCE
11C6D6,11C63B,11C6FE
104D7C,104CA8,104A99
11C4A4,11C65D,11C75C
104CA1,104A4C,104BD6
11C609,11C68C,11C50B
104CA5,104BE8,104BE1
11C6B1,11C64B,11C563
104BA7,104B76,104D73
11C629,11C85E,11C77F
104BDE,104C19,104C0B
11C4D4,11C5F6,11C58C
104C1D,104A9B,104BF3
11C79F,11C70F,11C96C
104F72,104CBC,104D7D
11C7E4,11C7AE,11C865
104F39,104CA0,104DB1
11C9F3,11C8C6,11C743
104E72,104E26,105137
11CA56,11C99B,11C86B
104E88,104E35,104DA2
11C88F,11CB3F,11C951
104DE2,104FBE,105026
11C9B9,11CB6D,11CAC4
105085,104FFD,104EB9
11CA8D,11C91D,11CB09
105009,104EFE,104F31
11CB19,11CA4F,11CB55
104F77,105045,104DEC
11C9C8,11C8FC,11CA74
10501F,104E90,10503C
11CC54,11CACD,11CC02
10500C,105244,1050DB
11CA56,11CB37,11C8C7
104FEB,104E7E,104F7A
11CB58,11CBC3,11CB46
104EF2,104F6C,10502B
11CC3A,11CAB1,11CA98
1052B5,10512A,105186
11CC6E,11C9E5,11CBE2
1052FB,105115,1051C8
11CAC7,11CB5F,11CCA0
1050D4,105092,104F55
11CA0B,11CB00,11CAE3
105112,104FDC,105144
11BC12,11BC91,11BBFF
1052F8,104FBC,10506B
11CAA3,11CA28,11CAF2
1051B3,104F96,104F89
11C9AD,11CC6B,11CC31
10517A,104FC8,105044
11CBB3,11CC18,11CE94
10521D,105113,10526D
11CC76,11CC2B,11CC48
105101,105274,1050D4
11CCDE,11CCB5,11CBC0
1050CF,105266,10544F
11CBF6,11CB1B,11CBEF
105175,1053FF,10524F
11CD66,11CD55,11CCAA
105231,10536F,1053EB
11CD89,11CCED,11CD21
10524E,105379,105465
11CE59,11CE08,11CA86
1051F8,105272,10517F
11CD66,11CC9C,11CE41
1054C6,1051A5,10536B
11CB14,11CCD7,11CC82
1051EE,1051FC,1052B2
11CECD,11CCF1,11CC88
105476,1052EB,10536B
11CE3C,11CEB0,11CDCF
105264,105212,10521C
11CD31,11CDAB,11CEF1
1053D3,1054D3,1050E3
11CE8B,11CE40,11CEB1
1053AC,10522C,10528C
11CD3D,11CE57,11CF63
105513,10523D,10544F
11CE95,11CEB1,11CF2B
105487,10536B,105368
11CDD3,11CF8A,11CF4E
10557E,105340,1051F9
11CF25,11CE4D,11CEEB
105641,1055A9,105591
11CDFD,11CEF7,11CF06
105444,1053A0,105429
11CDB9,11CF9F,11CFCB
105498,105506,1055F9
11CF29,11CE77,11D05E
105416,105493,105442
11CF98,11CEE0,11D03C
105544,105631,10540E
11D0D5,11D1EB,11D063
1055BA,10564B,1053E8
11CEE3,11CDBF,11CEFD
1055B8,105526,105476
11D11C,11D18F,11D04F
1053FC,10567E,1055AE
11CF9C,11D116,11D0DA
105524,105510,105559
11D102,11D1C1,11CF54
105746,105650,1054E4
11CFB0,11D194,11D19D
105525,10559F,1056DD
11D0D5,11D182,11D18D
105593,10551E,10561A
11D009,11D088,11CEFA
105698,105594,1055C8
11D18C,11CFB4,11D0E2
