{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
81EB0,81F2C,81EAD
6A3F8,6A578,6A4E7
81D67,81FAD,81F1D
6A382,6A28B,6A314
82008,81E43,81D75
6A31B,6A374,6A3E1
81FA1,81F71,82154
6A2B5,6A268,6A495
81DDB,81EE4,81E88
6A54C,6A289,6A4FD
82012,81F69,820F4
6A493,6A3CF,6A6BB
81F8E,81E18,81F1E
6A285,6A432,6A45A
80733,8074F,808EA
6A15E,6A3A4,6A26A
81A9E,81A7E,81B98
6A273,6A0C7,6A382
81A6F,81CA3,81C86
6A0A3,6A357,6A1A9
81C6D,81BD2,81BE3
6A37A,6A2D8,6A126
81ADB,81B97,81C2F
6A1B7,6A121,6A042
81B83,81ADE,81C2B
6A1F6,6A06F,6A22D
81C8F,81D71,81BB9
6A29A,6A2FA,6A324
81C07,81C87,81B91
6A2C1,6A0C5,6A190
81C58,81D8F,8207D
6A2E4,6A337,6A2E8
81D8B,81E2F,81EA7
6A258,6A457,6A1F6
81D42,81E00,81F62
6A373,6A345,6A21D
81F0C,81D9B,81F52
6A48F,6A43E,6A3F3
81CE1,81C5A,81FBA
6A195,6A4C6,6A28F
81DEE,81D42,81DB2
6A45C,6A3E0,6A422
81EB1,81E4F,81DD5
6A449,6A405,6A3AC
81FD2,81C7D,81E8F
6A47B,6A35A,6A342
81E47,81FD8,82010
6A3E3,6A1F8,6A292
81D39,81E77,81DA0
6A68C,6A44E,6A44C
82001,81F52,81E3D
6A5A0,6A4DE,6A1DE
81F1F,81CE6,81D38
6A5B9,6A2C3,6A3C3
81D3C,81F77,81E83
6A48D,6A5B2,6A341
81E76,81E05,81ED6
6A507,6A4A2,6A36E
81E95,81E0C,820A1
6A6B1,6A502,6A524
81E0D,82071,81ECE
6A581,6A5FD,6A632
82172,821C6,820BE
6A5D1,6A677,6A6F5
821D0,820FA,8202E
6A5C9,6A58E,6A562
81FE5,81E16,81FA8
6A4D5,6A469,6A867
81F13,8206C,81F73
6A668,6A706,6A650
8215B,821BF,82049
6A610,6A432,6A346
81E5D,81D8A,81ED9
6A48D,6A450,6A473
81E4A,81F9D,81ED8
6A540,6A467,6A5A7
81D24,81ECC,81E52
6A274,6A4E6,6A3E4
81F9D,81F4D,82018
6A5EF,6A4BE,6A415
8209D,81F40,81FD1
6A345,6A4B2,6A634
81E2F,81FF3,81F18
6A5D1,6A5C1,6A65B
81DE3,820F4,82032
6A4DA,6A67F,6A4A9
81EE0,8221E,8204C
6A6F6,6A694,6A3EF
81FF2,82197,820E2
6A48E,6A4ED,6A2C4
82006,81EDA,8201E
6A7B5,6A6CC,6A6F1
8211C,82195,8210E
6A646,6A5B0,6A5F8
8212B,8229A,82140
6A654,6A5FA,6A6C4
81EB7,8210E,81E1D
6A699,6A7D4,6A314
821BC,82033,81EE9
6A58D,6A533,6A557
81F76,8205C,81F0A
6A4DE,6A57C,6A44D
81F12,81F8E,81E00
6A663,6A50A,6A56E
81EC9,81FA0,81EC0
6A50C,6A649,6A714
81F69,820C1,81FA6
6A749,6A5CD,6A668
820B0,82076,81FF7
6A453,6A4B9,6A487
81EFE,81F59,81F7C
6A791,6A494,6A733
81F95,81F3D,81EDC
6A581,6A69E,6A661
8200D,81FB3,8201B
6A544,6A60D,6A54A
82150,82079,81FF2
6A6FF,6A536,6A5B4
821D9,820DA,820CC
6A86B,6A5CE,6A72D
821D5,82336,82265
6A8C3,6A722,6A809
821E5,8235F,820D6
6A869,6A48B,6A84C
8218E,82088,82165
6A5FC,6A599,6A7F7
821F8,820C8,8220F
6A690,6A705,6A5EC
820F8,82168,8207B
6A6ED,6A6A1,6A6C7
82252,8206E,82101
6A46E,6A648,6A90B
8203B,820E8,820A7
6A753,6A6FB,6A4D4
82010,81FC7,8203B
6A666,6A6D6,6A63D
820CC,8209B,81E7C
6A553,6A6E4,6A53E
81F5D,82278,82122
6A661,6A6F6,6A759
81F93,820DD,821CC
6A75F,6A74E,6A6B7
814AF,81640,81463
6AE00,6AE19,6AB21
8260F,82674,82591
6ABF9,6AD65,6ACE5
827BE,82826,828C6
6AED3,6AD8A,6ACE2
827EF,82736,82642
6ACD6,6AD24,6ABBB
826B8,828B0,8265A
6AF1B,6AD35,6ADE5
8265A,8274D,8261E
6AE92,6AD91,6AF7D
828A3,82B13,82844
6AD3F,6AD1B,6AD9D
82A24,82ABE,828CC
6AC43,6AC4C,6AD8E
82C07,82A07,829BF
6AF8E,6AE44,6AFA3
828A2,828D7,82757
6AF5F,6AD7E,6AD73
8282B,829B9,82857
6AC92,6ADC2,6AD4B
826FB,827B6,82664
6ADFD,6AC13,6AC4B
82840,82952,8290A
6ACB5,6ACD4,6AE1F
8286F,82800,82840
6AE67,6AD43,6AF0F
8285C,8285B,828CB
6AEFD,6AF0E,6AE7B
829B2,8297F,828BA
6AC9B,6B077,6AE74
8294D,82BA5,828FC
6AEFD,6AEF5,6AE85
827CE,828EF,829DA
6ADAF,6B0D5,6AD5D
82956,828FC,828EA
6AF37,6AF11,6B05A
82A0D,82B02,829DE
6AE08,6B0B0,6AE59
825F5,82BFA,82993
6AFA1,6AE5D,6AF5C
82884,82874,82A34
6AF79,6AEB5,6B0FC
82A8F,82BC3,82ADD
6AFD9,6B13A,6AEE0
82C06,829CD,82AE0
6B00F,6B01B,6B0F1
82C55,82CFB,82A74
6AFE4,6AFFA,6B084
82A34,82988,82A9B
6B294,6B1D9,6B127
82CC1,829CF,82AD9
6AFB3,6B046,6AFD6
829FE,8296C,82AED
6AE19,6AD5F,6AE05
82B33,829B3,829CC
6B1BF,6AE80,6B147
82A31,82BEE,82A90
6B0E2,6B080,6AFDB
82B06,82B59,82B9D
6B0D5,6B0E4,6B115
82C87,82BFA,82B14
6AFF1,6B0B3,6AFDC
82AD3,82B64,82C44
6B216,6B114,6B1D6
82C6D,829F5,82C0C
6B054,6B20E,6B0D6
82AAC,82BF0,82C72
6B2D5,6B187,6B178
82B67,82A87,82B02
6B044,6AF06,6B058
82A9F,82CDA,82B9A
6B0F8,6AFCA,6B0E3
82B21,82D58,82B24
6B2CF,6B1C6,6B222
82C83,82CA9,82BE8
6B0A2,6B2F1,6B19D
82BC2,82B70,82AF3
6B177,6B126,6B1B4
82C67,82EB1,82DAC
6B134,6B084,6B121
82BAA,829B2,82C37
6AF6D,6B0F0,6AF74
82BB1,82BCE,82C1E
6B267,6B1E0,6B1D8
82BD3,82C88,82C22
6B143,6B1CD,6B14A
82E79,82C72,82C9F
6B355,6B278,6B2FC
82B71,82D78,82B38
6B19D,6B01C,6B307
82D39,82BEF,82B58
