{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
18A7DF,18A7BF,18A7B9
172DB4,172FD1,172E1C
18A8A6,18A9F3,18A94B
172CF8,172E5B,172E6E
18A805,18A8BA,18A85E
172FB0,172E1F,172D20
18A88C,18A79A,18A9E8
172C9B,172E8F,172CF9
18A6C8,18A8AB,18A815
172F8F,172F8E,172EA0
18A747,18A7E5,18A882
172D58,172D79,172D4F
18A5DB,18A8D7,18A74E
172EFF,172CF6,172CDD
18A770,18A808,18A74E
172BAA,172C03,172DAA
18AA0A,18A705,18A6D6
172BAA,172BFE,172BAA
18A6B1,18A722,18A80D
172DF1,172E8D,172C89
18A68E,18A7F8,18A91A
172C22,172DA3,172E3F
18A783,18A7F9,18A8A0
172B21,172D20,172C97
18A48E,18A9E9,18A693
172D48,172C58,172E1F
18A8ED,18A750,18A999
172BC2,172E35,172C05
18A755,18A78B,18A83F
172D0A,172E0C,172BB2
18A763,18A793,18A624
172DB3,172D6D,172C6F
18A760,18A8FD,18A88A
172ADB,172AE2,172B75
18A7B4,18A6B3,18A6CD
172E97,172E0A,172CAC
18A7DE,18A600,18A806
172CE7,172B35,172AA6
18A7DD,18A7D5,18A89A
172D39,172E52,172D27
18A9A4,18AA79,18A769
172C5E,172CC9,172E81
18957C,189675,189761
173576,1734CF,173530
18B049,18AF01,18AF83
1735BF,173458,17346F
18AFB6,18AFD3,18B079
1735D6,173458,1735FF
18AF93,18AF81,18AFFF
173499,17353C,1734BD
18AD1C,18B060,18AF9C
17360B,17354B,1735AA
18B0D6,18AFD5,18AFE2
1736EE,173711,173620
18AFDB,18AF68,18B0D8
17358A,173808,173875
18B09B,18B1B5,18B1D7
173651,173517,173808
18B34B,18B261,18B084
17367C,173561,1734C3
18B0A5,18AE27,18AEFD
173706,1734C6,173522
18AEA9,18B01C,18B10E
1737F7,1735F6,1735EA
18B033,18B21A,18AEC2
1735D4,173509,173448
18B19D,18B15F,18B2BF
17366D,1736A4,1737E7
18AFBC,18B109,18B1F3
17352F,17355A,173505
18AF23,18B169,18AF96
1736A6,17351D,1734E6
18AFE6,18AEB3,18AE77
1736C3,173730,17349C
18B1CC,18B0D2,18B191
173703,173739,173750
18B135,18B03E,18B133
17373F,1736DB,17360A
18B04D,18B102,18B13F
173667,173674,173678
18AF2A,18B17B,18B020
1737A4,173848,1734AD
18AF5D,18B100,18B11B
173604,1736A8,173585
18B15C,18B1B8,18B364
1736C8,173663,1735FA
18B124,18B0F1,18B22A
173672,173651,1735A9
18AEDD,18B10A,18AF88
17358C,173419,173604
18B12C,18B032,18B077
173455,173520,17359A
18B04A,18AF40,18AEA2
1734E0,173675,173477
18AEAE,18AF3E,18AEE4
173401,173407,17352E
18AED3,18B133,18AF71
173544,1734D5,173388
18B09C,18AF6B,18AF5F
173635,173436,173522
18AC63,18AFB1,18B1A9
1735A4,17367E,17350C
18B08F,18B061,18B113
173538,1735D0,1736F6
18B015,18AED3,18AF04
1734C0,17357C,1735ED
18AFE2,18B12C,18B1DF
17343D,1734A6,1734F5
18AEE2,18ADFE,18AF7F
17353B,173408,17342E
18AFCA,18AE4C,18ADEC
17356D,173376,17349A
18AF72,18AEBF,18AF23
1733B5,1733B9,173325
18AEEA,18AE6C,18AEB7
173491,1733D2,173304
18AEE7,18ADE9,18AF04
1733E0,173424,17328C
18AEB5,18ADCF,18AD34
1735B0,173467,173363
18ADDF,18AE35,18AF55
173201,1735AD,173349
18AE5E,18B076,18B0C9
173594,173492,17359F
18AEA5,18AF3F,18AD35
173333,173426,17337F
18AD33,18AE0E,18AFA4
1733F7,173343,1732DC
18AE98,18AEA0,18AF90
173443,17357C,173405
18AE50,18AE35,18AEF4
173323,17335C,17335D
18AEFA,18ACBB,18ADD2
173426,1733FE,1732C1
18AF9D,18AFC6,18AE59
1732CE,1733A9,1732A0
18AD3A,18AE4C,18AFBA
1733A6,173548,17362B
18AC62,18AECC,18ACEB
1733A3,1733F7,1732E0
18ADC5,18ACC7,18AD52
1732F1,173561,173298
18AE67,18ACDF,18AD8A
173253,1731AD,1731EF
18AD62,18AD9C,18ADBE
173269,17343C,1732F8
18AD9B,18AD2B,18AECB
17327F,17332D,1732AE
18ADD3,18ADDC,18ADAF
1732A2,173405,1733CF
18ACB4,18AE8F,18AE57
17327E,17341B,17329C
18ACCB,18AD6B,18AD1F
17335F,1733BF,173521
18AF7C,18ADA6,18AE5A
17338F,173270,1733AF
18ABE9,18ACA9,18ACC4
173405,17341F,1731DB
18AC25,18ABCE,18AC46
173419,173258,1730B6
18AC9A,18AD96,18A9E1
17325B,173172,1731D7
18AB9C,18ACF9,18A9D4
173293,1731CA,17318D
18ABF1,18AAC5,18AD4C
173220,1731EA,173370
18AB8E,18AE38,18ACB9
173168,173355,1732B4
18ABEE,18ACF9,18AC01
173337,1732B1,17324B
18A320,18A334,18A424
173833,173835,173746
18B045,18B092,18B20A
17382F,173791,1736BC
18B1B5,18B1A6,18B0D3
173614,173482,173676
18B274,18AFCF,18B00D
173658,17374D,17362D
18B099,18B11C,18B021
1737F7,17363B,17374A
18AF71,18B135,18B22B
173710,17367E,1736D0
18AF7B,18B0BC,18B31D
17373F,173691,173785
18B340,18B2E9,18B1AD
17361B,173657,1736F9
18B079,18B207,18B111
1737E1,173607,173703
18AEF4,18B014,18AFF8
173720,173546,1735D7
18AF77,18B1A7,18B1C3
173555,1735DF,173520
18AFD2,18AE10,18B000
173788,1735FF,173565
18B14F,18B030,18B018
1737EE,1733C8,17358B
18B103,18B03E,18B026
1734CF,17356F,173379
18B02F,18AFBD,18B22F
173446,173741,1736F3
18AFBA,18B01A,18B167
173598,173591,173601
18B014,18B13A,18AFF2
173570,17374F,1735E7
18AD8A,18AF6E,18B0B1
173675,1734AA,1734FD
18B11D,18B02E,18B1AC
17345C,1734CF,17331B
18B038,18AF01,18B037
1736F4,1735D8,173727
18AFC8,18B00D,18AEBD
17349E,17357B,1734C2
18B06B,18AE86,18B072
17349A,173501,173397
18AE26,18AF29,18AF93
173686,1735E5,1735EF
18AFF2,18B067,18AFC2
173738,17355A,173550
18B04A,18B06E,18B2B5
173670,1733E3,1735AC
18B029,18AED3,18B07B
1734BE,173557,173469
18AFF0,18AE9A,18AFD8
17355C,173425,173722
18AFBC,18AEA5,18AEFE
1733B5,173566,173697
18AEE3,18AFE3,18B082
173560,17354C,17355E
18B00B,18AF6A,18AE78
1734C6,1735FC,17348C
18B00E,18AD7B,18AEE6
17364D,1735C7,173495
18AF5D,18B064,18ACC8
173314,1733E4,173743
18B1A2,18AFB1,18B06F
173568,17348C,173311
18AE97,18AF84,18AE7B
1732FF,1735BD,1733C6
18AF39,18AEE6,18AF19
173286,173443,1734E2
18AED0,18AD28,18AEA0
17334E,17332D,173321
18AE71,18AFBD,18AD63
173421,17327D,173391
18ACEF,18AD6C,18AEA0
1733EE,1733E2,173471
18AF84,18AEEE,18AF05
173335,1733CC,17339A
18AE42,18AEF5,18AEF0
1733DD,173523,1734F5
18AE53,18B07D,18B04B
17333C,1733B8,173270
18AE47,18AF00,18AE47
173535,173329,17340D
18AD2C,18AB5C,18AED3
173296,1733D0,17343C
18AE74,18ADCB,18AF02
173352,1732A3,1731F6
18AC25,18AD49,18ADC6
173448,173209,1733D0
18ACF5,18ADD2,18AC86
1733CD,173396,1734E1
18AF40,18AF5E,18AF8B
1732A1,1731E6,1734B3
18AE67,18ABC1,18ACE5
1732FF,17345D,17341E
18AC53,18AEE6,18AD41
17343A,1732DB,173363
18AC41,18ADAC,18ADB2
173423,1733B2,173329
18AC30,18AD17,18AD31
173457,1732AA,17336A
18ABF7,18AB80,18AE6C
173499,173407,173347
18ADBC,18ADDE,18AEE5
17341C,1732DF,17341A
18AF2E,18AEE0,18B07A
1733AA,173419,1730A3
18ABF2,18ADD8,18AE06
173344,1732A0,173347
18AE54,18AFA9,18AD4C
173420,173274,173233
18AEDF,18AE43,18ADBB
173336,173378,17334E
18AF32,18AEF1,18AF46
173611,173548,1733EC
18AE98,18ACF0,18AC36
173334,173239,1732F1
18AD24,18ADE5,18AD63
1732BF,1730D9,1730AC
18AE1E,18AEA5,18AF70
173483,173397,17328A
18AD5F,18AD0C,18ADA9
173434,173429,173295
18AE60,18AF71,18AD47
173397,173306,1733B1
18AC0E,18ABED,18ADD6
173301,17345A,17329B
18ABAF,18AA0B,18A80E
172F1E,172D9F,172EC1
18A8D2,18AA2B,18A7DE
172D61,172E62,172FDE
18AA7E,18A96A,18A70E
172C93,172E82,172CB5
18A4CD,18A961,18A856
172E4B,172D83,172D93
18AA86,18A79F,18A74F
172D2D,172DA6,172E6A
18A6B7,18A843,18A70E
172ED3,172E0E,172DAD
18A686,18A8A4,18A813
172EA2,172D42,172CE6
18A97D,18ABD5,18A882
172ECB,172F07,172F28
18A7B2,18AA3B,18A8FD
172BE4,172E58,172CBF
18A748,18A79F,18A747
172D9A,172DA4,172EA5
18A8E0,18A7A6,18A7F9
172D54,172E54,172C1F
18A854,18A81A,18A77E
172DAB,172D01,172C21
18A6AA,18A861,18A962
172EFB,172E4D,172BD8
18A5CA,18A7AB,18A8EE
172CA5,172D48,172D4B
18A8D4,18A9A7,18A922
172D2A,172E3A,172E8F
18A882,18A882,18A815
172DCD,172F89,172D57
18A820,18A66E,18A78D
172AF8,172E59,172C95
18A7AA,18A682,18A6D1
172CEB,172B69,172AFE
18A5C7,18A4A1,18A5D0
172BC4,172B54,17299A
18A579,18A6F2,18A6F0
172A33,172AFA,172ACD
18A4BB,18A7C1,18A6B3
172D0A,172CED,172C76
18A6A6,18A7B8,18A71C
172DB6,172C6B,172CA4
18A845,18A879,18A6E2
172E6E,172C89,172C0D
18A626,18A6F0,18A6B6
172CF8,172CF0,172E36
18A81E,18A7D0,18A786
172B26,172C2C,172BCD
18A6B9,18A518,18A5DD
172C0B,172AA9,172BF7
18A566,18A693,18A720
172DDE,172C72,172DE8
18A705,18A693,18A5B5
172CF7,172D34,172C24
18A731,18A65B,18A5B7
172BA1,172D74,172BAE
18A6A5,18A95B,18A65B
172CB7,172C79,172BCC
18A699,18A671,18A77A
172AE6,172CA8,172C12
18A6BB,18A628,18A729
172A90,172BB7,172BCA
18A5AD,18A643,18A4F4
172C29,172B09,172958
18A604,18A602,18A4EB
172BA9,172B31,172C0A
18A4CF,18A476,18A582
172B17,172B1A,172997
18A587,18A618,18A514
172BCC,172BEE,172AA9
18A5ED,18A6EF,18A451
172BCA,172AE9,172A0D
18A42E,18A530,18A524
172A64,172C2D,172AD6
18A6F7,18A628,18A660
172BCA,172B35,1729E3
18A4B6,18A614,18A4AC
1729E8,172ACF,172B24
18A6D8,18A5FD,18A628
172AA7,1729FD,1728C6
18A4BE,18A4F9,18A4BE
1728F4,1729DB,172ADC
18A4D8,18A75B,18A496
172B64,172AD0,172C49
18A47E,18A3F9,18A580
1729D0,1728D4,172A20
18A465,18A603,18A6C1
1728E8,17288D,1728BE
18A415,18A51A,18A521
172945,172A00,172AE1
18A56D,18A471,18A405
172A3C,17297A,1729F3
18A6C5,18A504,18A570
1729CD,172AA7,172B3F
18A51C,18A473,18A448
172B77,17293A,17297F
18A443,18A638,18A3B6
1729F3,172BAB,17290B
18A417,18A515,18A439
172AFF,172A38,172B5E
18A43C,18A54E,18A3A7
172A7A,172BF6,172AD4
18A594,18A4AA,18A4A2
1729E5,1728F2,1729CF
18A5C1,18A438,18A406
172BC3,172999,172A42
18A504,18A505,18A41A
172B05,172AB6,172AE2
18A542,18A654,18A5DF
172936,172911,172AC0
18A6BC,18A66C,18A33A
1729A1,1728F5,172A8A
18A2F6,18A3DA,18A2D4
1729D6,172AA5,1729C1
18A39E,18A2DC,18A482
172789,172926,172B60
18A4EA,18A3EB,18A35D
172931,1728CC,1727A6
18A2EC,18A492,18A2BB
17299C,172A2B,172A2A
18A3A0,18A474,18A510
172941,17296E,172ABC
18A613,18A404,18A568
172A96,17290A,1726F0
18A2FD,18A34B,18A3DF
172AA8,172A68,172C43
189922,1899CE,1898FA
172DA6,172D81,172E3A
18A74D,18A782,18A7B4
172CE3,172CAD,172B28
18A9E3,18A8A0,18A913
172E94,172B90,172B0D
18A63D,18A6FA,18A6DF
172CA0,172C6E,172C99
18A6C1,18A95C,18A84B
172F1B,172DEB,172DE6
18A77F,18A790,18A7E1
172EB1,172DC6,172E57
18A79A,18A8C1,18A70B
172E9B,172E95,172E0E
18A9ED,18A7D3,18A80E
172EA0,172D54,172C4E
18A8C5,18A893,18A8F4
172BF9,172CDE,172F06
18A79F,18A982,18A896
172BA2,172CF8,172AFE
18A718,18A622,18A682
172CD2,172D1D,172B00
18A75E,18A76E,18A6AC
172DE6,172D02,172B85
18A822,18A662,18A66B
172DE0,172D2E,172D15
18A887,18A7A5,18A72D
172F76,172E64,172BB6
18A823,18A811,18A658
172E14,172CCE,172CA0
18A6A4,18A648,18A631
172B79,172C2C,172B76
18A54E,18A52D,18A6A5
172ADF,172B73,172D93
18A595,18A69E,18A782
172AC4,172AE1,172AFF
18A650,18A551,18A4C2
172B7A,172C3A,172D59
18A5AE,18A60A,18A5C2
172DB5,172BB0,172C1F
18A7AE,18A5EF,18A6F2
172B7D,172C2C,172BCD
18A542,18A790,18A487
172C2A,172C20,172AAB
18A699,18A59A,18A6DB
172A18,172BDA,172A4B
18A68A,18A6A8,18A4BF
1729C6,172BBE,172AFD
18A744,18A721,18A787
172DB5,172BF9,172E15
18A7E4,18A688,18A621
172B53,172BD7,172AC4
18A7E7,18A59B,18A4FC
172C8D,172A59,172A1D
18A492,18A56B,18A536
172B4A,172C66,172CE8
18A587,18A6DA,18A385
172A6E,1729D0,172C54
18A7B1,18A775,18A6EC
172C0E,172D40,172B8A
18A72D,18A4BE,18A761
172D0A,172B4F,172D2F
18A519,18A57F,18A810
172D15,172CF3,172BEB
18A6FE,18A620,18A643
172A7F,172B1F,17298E
18A484,18A4C4,18A594
172BC9,172A48,172BCC
18A684,18A671,18A3F4
172B8F,172A13,172908
18A6D4,18A66D,18A55F
172C8F,172A91,172B8E
18A35E,18A384,18A64F
172AC9,172A64,172BD6
18A537,18A521,18A6A4
172C8D,172B84,1728A1
18A705,18A574,18A57E
1729B2,172AFD,172A9D
18A51A,18A698,18A5EF
