{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-11A2A4,-11A2DE,-11A38D
-131CEA,-131DA1,-131F10
-11A233,-11A267,-11A285
-131DC7,-131D07,-131D12
-11A2C9,-11A2F3,-11A49E
-131B54,-131B19,-131E00
-11A449,-11A3BE,-11A18A
-131BBC,-131BC3,-131E05
-11A48A,-11A3A9,-11A2D1
-131DF2,-131DE1,-131EF3
-11A3A5,-11A1A4,-11A2A7
-131E8A,-131FC0,-1320AC
-11A562,-11A689,-11A5A6
-131F92,-131E9B,-1320F1
-11A3D1,-11A582,-11A3A3
-131F49,-131F89,-131F78
-11A644,-11A48D,-11A444
-131FCD,-13200E,-1320C7
-11A6E0,-11A648,-11A57C
-132003,-131EDE,-132152
-11A6E4,-11A5F9,-11A6EF
-131F0A,-131F64,-131EAC
-11A63A,-11A511,-11A56F
-131D6C,-132193,-132064
-11A54A,-11A5D1,-11A610
-131FD5,-132039,-1321B1
-11A4DC,-11A41A,-11A4B5
-131EFF,-131F95,-131EBE
-11A337,-11A537,-11A575
-131F6B,-1320C5,-132037
-11A4D6,-11A7CE,-11A5F5
-132017,-131FCD,-1320E6
-11A736,-11A69D,-11A8BE
-13218A,-13212B,-132253
-11A7CA,-11A586,-11A5EE
-132108,-131FF4,-132047
-11A71C,-11A750,-11A660
-132200,-132117,-132205
-11A674,-11A75C,-11A681
-13222E,-131F7B,-1320BF
-11A67F,-11A72E,-11A72B
-132170,-1321D0,-1320E4
-11A5B7,-11A672,-11A7CD
-131F88,-131F82,-131E6E
-11A4CB,-11A327,-11A3F0
-1320DC,-132159,-131F18
-11A51D,-11A524,-11A6FD
-131F94,-1320B8,-13217F
-11A5E8,-11A63B,-11A7C7
-13221B,-132210,-131D83
-11A537,-11A672,-11A6F3
-131E70,-13204C,-131F4B
-11A5CC,-11A57E,-11A588
-131EB4,-132195,-132145
-11A584,-11A4F8,-11A6B4
-1320F8,-132044,-13207F
-11A74E,-11A5BC,-11A640
-132063,-13220B,-132070
-11A6F4,-11A7C7,-11A5DE
-131FAE,-131FD7,-131D8E
-11A657,-11A6F2,-11A687
-1320D3,-1321D1,-132121
-11A651,-11A59E,-11A5BE
-1320D9,-131F63,-132270
-11A83B,-11A80C,-11A840
-1321C5,-13226C,-1322A8
-11A7A3,-11A69B,-11A748
-132369,-132235,-132326
-11A761,-11A7CB,-11A79E
-1320F8,-132200,-132409
-11A694,-11A663,-11A7F7
-132077,-13218F,-13227C
-11A76C,-11A777,-11A7F0
-1321BA,-1322F9,-1320CA
-11B322,-11B46B,-11B3EC
-131BD1,-131C83,-131D34
-11A50B,-11A438,-11A311
-131CF6,-131D1F,-131C80
-11A18B,-11A3C1,-11A37B
-131C87,-131E3A,-131E49
-11A447,-11A419,-11A370
-131D32,-131DEE,-131ED8
-11A3E1,-11A159,-11A32A
-131D75,-131E01,-131DD9
-11A426,-11A2FE,-11A4DC
-131E25,-131D3F,-131D66
-11A47C,-11A5E1,-11A4AA
-131F6C,-132021,-131FD6
-11A6B8,-11A4DA,-11A53C
-131F32,-131F48,-131D72
-11A5ED,-11A3A7,-11A31E
-131EDA,-131E1F,-131E52
-11A5A8,-11A69A,-11A50F
-131E60,-13216F,-131EAA
-11A4E0,-11A524,-11A56E
-131FDE,-13201A,-131FA7
-11A6FC,-11A68D,-11A5D4
-1320EC,-132009,-132009
-11A5D2,-11A426,-11A5A3
-13210B,-131F14,-132054
-11A690,-11A78C,-11A6EA
-1320E1,-131FE1,-132077
-11A589,-11A61E,-11A7C1
-132145,-132185,-1320E1
-11A74D,-11A690,-11A755
-131F38,-1320CA,-132188
-11A493,-11A686,-11A68E
-131EE1,-131F2C,-131EAF
-11A4EC,-11A304,-11A5DA
-131CEB,-131DA5,-131FFC
-11A47B,-11A5B6,-11A4B4
-131DB4,-131F39,-131EDC
-11A79D,-11A619,-11A54F
-131DEE,-13204C,-131DCA
-11A4AB,-11A315,-11A698
-131F6D,-131D99,-131E37
-11A5C1,-11A543,-11A441
-131E2E,-131F44,-131FCF
-11A5B0,-11A696,-11A435
-131EEF,-132120,-131EA4
-11A421,-11A4FB,-11A41F
-13207F,-131FE9,-131EB4
-11A4DD,-11A2DD,-11A51D
-131E56,-131EEC,-131F78
-11A4C3,-11A533,-11A6B8
-131E91,-131DEA,-131EB7
-11A581,-11A3C3,-11A439
-131F4B,-131BEE,-131F09
-11A5BC,-11A51A,-11A450
-131F68,-132092,-132036
-11A4D5,-11A375,-11A610
-131F73,-131F07,-132016
-11A5E7,-11A64B,-11A567
-132125,-131E7A,-131F70
-11A4C6,-11A4B8,-11A4DE
-131E66,-13214F,-1320E0
-11A5FB,-11A61B,-11A5D8
-132039,-131F3E,-13202B
-11A5F0,-11A5B8,-11A60A
-132166,-13209F,-132196
-11A65A,-11A8E2,-11A860
-132174,-1320EF,-1322B2
-11A72F,-11A8BA,-11A702
-132216,-132364,-13225F
-11A97F,-11A8DE,-11A9ED
-1322E7,-132477,-13227E
-11A98A,-11A9D3,-11A951
-132487,-1322E5,-13222A
-11AB5C,-11A9E4,-11A7B9
-1323FD,-132477,-132298
-11A9AE,-11A7C0,-11A890
-1324C0,-132556,-1323D0
-11A9FD,-11ABFA,-11A8FB
-132492,-13259B,-13238E
-11AABB,-11A9F8,-11AB99
-132423,-13242B,-1323BA
-11A97C,-11A998,-11A97A
-1323F1,-13230E,-132560
-11AB4F,-11A9CB,-11A95D
-132451,-132544,-1322FB
-11A848,-11A7C1,-11A8F6
-13231B,-1323DB,-132411
-11AAC0,-11AAB4,-11AA63
-1323D0,-1323ED,-1324B9
-11AB50,-11ACFA,-11ABCE
-132731,-132512,-1324FC
-11AA47,-11AB8A,-11AB64
-132584,-1325E7,-132523
-11ABDE,-11AC0A,-11AA4F
-1326ED,-1326FD,-132758
-11AA35,-11AAE3,-11A95F
-132397,-1323C1,-132348
-11AB49,-11AB4B,-11ABCD
-132548,-1323D2,-1322B6
-11A928,-11AAC0,-11AABF
-132431,-13237E,-132466
-11AB33,-11AA08,-11A9CA
-1325CE,-13248F,-1321A6
-11A9C4,-11A914,-11A7BC
-1322F9,-13236B,-132398
-11AB50,-11A905,-11A932
-13224E,-132534,-132467
-11AAA8,-11A8DD,-11AB61
-1322D0,-13260C,-1325FD
-11AB4D,-11A971,-11A9B9
-13260F,-132482,-1324ED
-11AA25,-11A8A1,-11A9DD
-132280,-13241B,-13249F
-11A985,-11AA05,-11A7F7
-132356,-1324E2,-132311
-11A8A4,-11A81F,-11AAF2
-132500,-13278F,-1327D1
-11A9B8,-11AB8A,-11A8C3
-132461,-132643,-13229D
-11A998,-11A870,-11AB16
-13240D,-13249E,-1325EE
-11AB49,-11AA30,-11A993
-13242E,-1325C2,-1324DD
-11AB5F,-11AACC,-11AB6F
-1324E0,-13253F,-1324CF
-11AB3C,-11ABD4,-11AA5A
-132841,-1325EA,-132536
-11B02D,-11B03E,-11B1A5
-1320F6,-1321A3,-1321AE
-11A899,-11A44F,-11A4FD
-131EEC,-131F76,-132095
-11A4ED,-11A5E9,-11A5C4
-1320D0,-131F0D,-131F14
-11A664,-11A69C,-11A536
-1321C0,-132124,-132028
-11A5E1,-11A796,-11A552
-1320D0,-132193,-132101
-11A854,-11A90F,-11A7BE
-1321EB,-132309,-132210
-11A7F6,-11A78E,-11A737
-13216A,-132293,-1323FC
-11A761,-11A7A1,-11A847
-132286,-1322DF,-13239E
-11AA1C,-11A887,-11A86A
-13228A,-1322ED,-132311
-11AA28,-11A9A0,-11A716
-132331,-132357,-132277
-11A87E,-11A7BA,-11A906
-132290,-132301,-132400
-11A764,-11A843,-11A8BA
-13227E,-1324F0,-1324EA
-11A8C2,-11A914,-11A91F
-132381,-1323A0,-132512
-11A906,-11A9EA,-11AA3F
-132477,-132551,-1322D0
-11AA4D,-11A965,-11A8F6
-1323EB,-1323D6,-13231C
-11A8C2,-11A9A5,-11A90C
-1323A1,-132501,-132466
-11ABC5,-11A98D,-11A88C
-13210D,-1321F7,-13225D
-11A785,-11A705,-11A876
-132208,-132180,-132057
-11A706,-11A8B9,-11A7A3
-1321B1,-132410,-131F28
-11A785,-11A5CE,-11A680
-13203E,-1320DC,-1322D5
-11A6E1,-11A683,-11A5B1
-131F98,-131FA6,-132026
-11A5CD,-11A71D,-11A62E
-1320B7,-1321A3,-132007
-11A6E2,-11A93C,-11A65B
-1320E5,-131FE7,-13222F
-11A547,-11A898,-11A709
-132119,-132350,-13238A
-11A820,-11A7B6,-11A729
-13208E,-132203,-13217C
-11A640,-11A82F,-11A83B
-1320E5,-13214F,-132173
-11A605,-11A658,-11A702
-13209C,-1320C9,-1321A3
-11A63E,-11A5FC,-11A83D
-132222,-132205,-132082
-11A85B,-11A80F,-11A6FF
-1321E1,-13226F,-13225C
-11A9D5,-11A8F7,-11A9EE
-132065,-1322D3,-1322F1
-11A748,-11A753,-11A770
-1321B6,-132282,-1323E4
-11A9B8,-11A897,-11A90C
-1323A2,-13241C,-132493
-11A93C,-11AA71,-11A86A
-13255A,-132664,-132723
-11AC2C,-11AB94,-11AC6F
-1324F5,-132537,-1325C7
-11AB50,-11AA8B,-11ABAF
-132549,-1325C3,-13252B
-11ACF4,-11ACAA,-11ACDE
-132716,-13269F,-132629
-11AB4A,-11A9F9,-11AB82
-1325A5,-1325B9,-13263F
-11ADB6,-11ACD8,-11ACD9
-1324E5,-1325D0,-132461
-11ABDC,-11ABB5,-11ABA8
-1325D4,-1326A7,-13276C
-11ACD7,-11ABD1,-11AD73
-132813,-13280F,-13274C
-11ACFC,-11ABB0,-11ABBD
-1327AD,-132713,-132731
-11ADE4,-11AE4A,-11ABD8
-1328C2,-1327E6,-132843
-11AD9B,-11AD04,-11AE2C
-1325E9,-132596,-132687
-11ACE7,-11ADB1,-11ACAA
-132612,-132620,-132871
-11AD53,-11ADA2,-11ACE8
-1329AF,-1327AD,-1327A5
-11AE15,-11ABFF,-11ADAE
-13270E,-1327A2,-13282F
-11AD88,-11ABE5,-11AD24
-1326C7,-1327F6,-1327F3
-11AFBA,-11ADEC,-11AC6B
-13283F,-1329A7,-13281F
-11AF60,-11AF01,-11AB8B
-1327D5,-1325B1,-13281C
-11ABA8,-11ACB4,-11ACC0
-1327DE,-1327F1,-1327FF
-11ACC9,-11AC12,-11AC88
-132753,-132791,-1326DC
-11AC8C,-11A9D7,-11AC60
-13258A,-1328BF,-13271E
-11AC0D,-11AB09,-11ACDB
-132972,-1326DE,-13286A
-11AD7C,-11AD26,-11ADC4
-13286D,-1326C8,-132922
-11AFD7,-11ACED,-11AD0B
-132682,-13293E,-132A78
-11ADF9,-11AE25,-11AED3
-1329E3,-1327DC,-132858
-11AE83,-11AC5B,-11ABEB
-132973,-132892,-1326EF
-11AE3C,-11ACB0,-11AE2C
-1327A8,-13287C,-1328DA
-11AE9E,-11AE06,-11ACE5
-132907,-132795,-1328E2
-11AE5C,-11AE65,-11AFCA
-13274C,-13293B,-1327BC
-11ACC0,-11ADCF,-11ADE0
-132901,-132866,-1329ED
-11AEEA,-11AEF5,-11B00F
-1327E2,-1328DC,-132908
-11AED7,-11AC8E,-11B042
-1329B0,-13290C,-1327CC
-11AECA,-11AEC2,-11ADE6
-1326E8,-13293F,-13294D
-11A180,-11A1F1,-11A05E
-1316A5,-13177E,-131551
-119CDC,-119E2C,-119F3B
-131716,-13188A,-1316C8
-119C61,-119B88,-119CDE
-13177B,-131827,-1315C4
-119E26,-119C91,-119E7A
-1317A7,-131895,-1319AA
-119D1C,-119E2F,-119DD1
-131746,-13172A,-1319A8
-119F38,-119EEB,-119FB7
-13179B,-1319EE,-131815
-119D58,-119E9A,-119F2A
-131809,-13187F,-1319BE
-119DC6,-119E2B,-119DDB
-131956,-1318F4,-1319B0
-119FD3,-119E75,-119D08
-131606,-1318FD,-1319CC
-119FA9,-119E9A,-119D82
-13182A,-13184D,-131937
-119CB0,-119E67,-119F32
-13199E,-1318E7,-13171C
-11A0DE,-119FCA,-119E7A
-1319CA,-1318DC,-131A64
-119DEF,-119E89,-119D83
-13199E,-131948,-131A5E
-119D34,-119D94,-119EC0
-1319C0,-13191D,-1318A5
-119DFF,-119DD8,-119E64
-1317B7,-1318A7,-1319E4
-119FBB,-119F98,-119EF1
-131A0F,-1318EE,-131AFB
-119F4A,-119FD1,-119EAE
-13165C,-13180C,-131617
-119DE5,-119BE6,-119BE5
-13172A,-13175A,-13191D
-119D47,-119AE0,-119D47
-1319DC,-13193B,-131875
-119EE8,-119E8F,-119FFF
-131426,-1317D4,-131ABD
-119CA3,-119C1C,-119C6F
-1317AF,-1319B8,-131748
-119E5D,-119C53,-119CEF
-131777,-1317F4,-1318D2
-119EB9,-119DF9,-119CAF
-13170F,-131A3E,-13196C
-119F58,-119ECA,-119E64
-1317D8,-1319FA,-131761
-119C14,-119C91,-119D19
-131742,-131929,-1318A1
-119E69,-119DC1,-119FA0
-1317D3,-1318AE,-13182B
-119F29,-119F15,-119D3F
-1319B5,-1317FA,-1319D2
-119F40,-119DCA,-119FB0
-131760,-1319EC,-13182D
-119F5A,-119F4B,-119C2B
-131A85,-1316DB,-13199F
-11A093,-119EC5,-11A111
-131984,-1318A5,-131B6B
-119DE0,-11A083,-119F9C
-131A30,-131A1B,-131A51
-11A05A,-11A10C,-11A083
-131B55,-131A08,-131AD6
-11A2C7,-11A0DE,-11A12E
-131D9C,-131C5F,-131DA2
-11A2EB,-11A252,-11A2E7
-131B1A,-131AED,-131DA1
-11A297,-11A245,-11A2EE
-131D80,-131C4C,-131AB2
-11A384,-11A269,-11A3A1
-131CAB,-131DFC,-131B5B
-11A23E,-11A312,-11A2E3
-131D67,-131A7A,-131C71
-11A39E,-11A1E4,-11A290
-131E56,-131DC6,-131EC7
-11A392,-11A2C1,-11A3CC
-131CD8,-131D99,-131E72
-11A242,-11A402,-11A320
-131D50,-131DE5,-131DA4
-11A2F7,-11A3BB,-11A2ED
-131C5E,-131DB5,-131CFF
-11A1D0,-11A22D,-11A278
-131C56,-131CB0,-131F53
-11A357,-11A477,-11A30A
-131CE9,-131D9D,-131FBB
-11A3E8,-11A2EF,-11A3A3
-131FD8,-1320C9,-13202E
-11A491,-11A5BB,-11A54F
-131F3E,-131F6D,-131FFA
-11A395,-11A2CE,-11A3C9
-131CCC,-132001,-131D01
-11A3C9,-11A26E,-11A29C
-131E55,-131F32,-131F0E
-11A5A3,-11A39A,-11A39A
-131F66,-131E82,-131FA1
-11A38E,-11A3B0,-11A2F9
-131C23,-131CF3,-131D32
-11A2F6,-11A306,-11A25A
-131EA7,-131DD6,-131CBE
-11A248,-11A42D,-11A332
-131D35,-131F40,-131F6A
-11A568,-11A694,-11A1EB
-131E32,-131D81,-131E2A
-11A609,-11A560,-11A3F8
-131DA7,-131F97,-131D7F
-11A322,-11A46E,-11A241
-131F11,-131E2E,-131D90
-11A2AF,-11A1E6,-11A296
-131E77,-131CAF,-131DF4
-11A4C3,-11A38E,-11A395
-131CA7,-131E26,-131E1C
-11A295,-11A38D,-11A1AE
-131CC2,-131C18,-131D66
-11A3B2,-11A3F4,-11A427
-131D12,-131E6B,-131E55
-11A413,-11A477,-11A3F9
-13219F,-131FCD,-131E88
-11A57A,-11A4C2,-11A64C
-131ECB,-131DB0,-131D1E
-11A3BC,-11A4CE,-11A383
-131F05,-131C7D,-131E4F
-11A342,-11A48D,-11A4AB
-131E37,-131D96,-131EA8
-11A316,-11A333,-11A265
-131F72,-131D66,-131EF8
-11A4BD,-11A3C9,-11A466
-131E56,-131E5B,-131EBA
-11AA1B,-11A903,-11A7C4
-13192F,-131897,-1318D1
-119F18,-119E3C,-119E1E
-131877,-1319DA,-131908
-119F57,-119E33,-119D00
-13189C,-131911,-1318CF
-11A02A,-119E8A,-11A1A5
-131930,-131988,-13184F
-119EE6,-119E30,-119FB5
-1319D2,-131818,-131A6F
-11A011,-11A07B,-119F9F
-131AD0,-131ACC,-131960
-119F18,-119F6B,-11A06E
-131AD1,-1319CB,-131A11
-11A146,-11A109,-11A083
-131932,-131C7D,-1319AA
-119E6D,-11A014,-119FC9
-131B43,-1319F7,-131993
-11A000,-119F76,-11A1B6
-13195D,-1319F7,-1319B6
-11A0BF,-11A0DE,-11A0D3
-131A79,-131B05,-131A63
-11A2CC,-11A173,-11A056
-131BBA,-13190C,-131BE4
-11A1DA,-11A195,-11A2C9
-131B55,-131D4E,-131D0E
-11A186,-11A09B,-11A08D
-131A5B,-131A3B,-131ACD
-11A039,-11A211,-11A471
-131DAB,-131D32,-131D74
-11A27E,-119FC1,-11A2D1
-131C2E,-131D99,-131CEC
-11A468,-11A214,-11A1E3
-1318CE,-1318DD,-131AA6
-119F67,-119EAA,-11A05C
-131AD0,-131A07,-131A78
-11A113,-11A13F,-119FAC
-131A89,-1318A3,-131AD1
-11A1EC,-11A08F,-11A179
-131A91,-1319A5,-131BFB
-119F19,-119FCA,-11A15F
-13198C,-131A20,-131A0C
-11A1D8,-11A260,-11A060
-1319A3,-131A25,-1319F3
-11A0E1,-119F88,-11A14C
-131AEA,-131B72,-131BC8
-11A069,-11A1F4,-11A1B9
-13199E,-131BD0,-131B9C
-11A0CB,-119F82,-11A120
-1319A6,-131B06,-131AF9
-11A199,-11A36F,-11A15F
-131A99,-131AAF,-1319FE
-11A1AA,-11A1E0,-119D9F
-131B41,-131C56,-131C04
-11A190,-11A33E,-11A1E9
-131E1D,-131BBA,-131A89
-119F8F,-11A246,-11A30A
-131C85,-131C19,-131C90
-11A170,-11A23E,-11A2A9
-131B57,-131C7C,-131D94
-11A47A,-11A085,-11A230
-131C59,-131DFD,-131C64
-11A27D,-11A0F2,-11A361
-131BF0,-131BEC,-131C83
-11A0E9,-11A277,-11A0CD
-131E06,-131E06,-131F06
-11A4AF,-11A4BD,-11A4D8
-131F0D,-132165,-131F6E
-11A5A0,-11A44A,-11A438
-131DB6,-132028,-131FBD
-11A455,-11A462,-11A37B
-131F18,-131FB2,-131FC3
-11A480,-11A392,-11A5E6
-131F12,-131FE0,-131ED9
-11A68A,-11A64C,-11A5F5
-131E77,-132212,-1321DE
-11A626,-11A59D,-11A56B
-131F3F,-132178,-13202D
-11A696,-11A635,-11A532
-1320A9,-131FF0,-131F7F
-11A49E,-11A553,-11A57E
-1320C9,-1320C6,-132022
-11A789,-11A618,-11A623
-1321C6,-131ED7,-131F1D
-11A4CC,-11A525,-11A5AD
-132122,-132086,-132082
-11A61D,-11A4CE,-11A4ED
-131F3C,-131F8C,-132149
-11A48B,-11A4F0,-11A5A8
-131EC8,-1320E9,-1321C2
-11A480,-11A601,-11A767
-131FCB,-1320A0,-131FDD
-11A70C,-11A7AB,-11A709
-132072,-132001,-131F10
-11A596,-11A4DE,-11A4B9
-13208E,-13205B,-132068
-11A4A6,-11A3B8,-11A6D9
-131F8E,-131E50,-131F0C
-11A318,-11A370,-11A4C0
-131EE6,-132096,-131F7B
-11A563,-11A3C9,-11A3E1
-131EAE,-131E3E,-131FA4
-11A444,-11A575,-11A4F1
-131F38,-131F65,-13202E
-11A3DE,-11A2C6,-11A37A
-131DA5,-131F48,-131EBF
-11A5B3,-11A3FF,-11A608
-132040,-1320AC,-132162
-11A562,-11A492,-11A5AF
-131E90,-13205E,-132063
-11A5DB,-11A5AD,-11A655
-1321CD,-131F8D,-131FD5
-11A464,-11A5FF,-11A5B7
-132132,-131FF0,-131FDC
-11A862,-11A7C4,-11A61E
-1321D2,-1321D7,-1321F9
-11A69D,-11A5AD,-11A4EA
-132002,-1320E3,-1321FA
-11A6D8,-11A712,-11A758
-13221A,-13229D,-132274
-11A68E,-11A6E6,-11A75C
-132187,-132001,-13221D
-11A698,-11A60F,-11A8DD
-132247,-1322C5,-1320D6
-11A8E7,-11A6FB,-11A51F
-1321B0,-1321D2,-132285
-11A7AA,-11A814,-11A742
-1320AE,-132203,-1321DC
-11B350,-11B289,-11B388
-131EB8,-131BE9,-131DF7
-11A38C,-11A298,-11A2B3
-131BF7,-131BC1,-131DE5
-11A34F,-11A440,-11A353
-131D63,-131E47,-131D73
-11A330,-11A441,-11A541
-132008,-131D72,-131B7D
-11A2F5,-11A367,-11A2EF
-131CD9,-131C4F,-131F23
-11A5B9,-11A592,-11A42C
-131D75,-131EF5,-131D89
-11A5CB,-11A4A8,-11A25E
-132095,-13205A,-132034
-11A4F7,-11A581,-11A469
-131E45,-131F90,-131ECD
-11A355,-11A28F,-11A482
-131F0D,-132053,-131D09
-11A512,-11A3B8,-11A51F
-131F3C,-131FCE,-131EEC
-11A324,-11A498,-11A405
-131EE7,-1320C8,-1320D0
-11A437,-11A757,-11A4E3
-131FDA,-1320C8,-131ECB
-11A767,-11A887,-11A592
-131FB4,-131FD7,-1320B4
-11A613,-11A69D,-11A49B
-1321E7,-132172,-131F57
-11A433,-11A73D,-11A40B
-131E20,-13203B,-132046
-11A497,-11A6DC,-11A552
-132172,-132049,-131F88
-11A4DC,-11A5EF,-11A317
-131B83,-131B8D,-131DD0
-11A3A9,-11A56A,-11A2E9
-131D8B,-131DE5,-131C4F
-11A403,-11A288,-11A0D1
-131C15,-131E81,-131BE9
-11A366,-11A4EB,-11A4B0
-131D9D,-132007,-131EAB
