{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-109E04,-109F76,-109E15
-F239C,-F2317,-F225D
-109D90,-109B1D,-109E8D
-F2431,-F2238,-F2241
-109DD4,-109CEA,-109ECF
-F24F9,-F2288,-F21F0
-109FBC,-109D16,-109D86
-F2546,-F2341,-F2508
-10A00D,-10A1F1,-109E3C
-F24A3,-F2301,-F26C9
-109EBF,-109F6A,-109FDB
-F24D7,-F2254,-F2647
-10A042,-10A032,-109E0E
-F244F,-F248D,-F2520
-109F63,-109FD3,-109E36
-F2411,-F23E9,-F2627
-109F15,-109E65,-109CF3
-F245B,-F23F9,-F2377
-109C51,-109D41,-109BC6
-F229D,-F221E,-F252E
-109DAC,-109FF0,-109E4E
-F2376,-F2269,-F234D
-109F92,-10A1B8,-10A010
-F2891,-F2553,-F2619
-109F22,-10A020,-109FF2
-F2417,-F26AD,-F262F
-109E9B,-109E85,-10A0C4
-F258A,-F248B,-F268B
-109F2A,-109FDA,-10A030
-F26B0,-F23AA,-F2491
-109DF2,-109E4A,-109D1B
-F2415,-F2339,-F237A
-109E76,-109F7D,-109FB0
-F2406,-F2455,-F2330
-109F41,-109F94,-109EC1
-F24DD,-F2573,-F23E8
-109E70,-109E04,-109DA1
-F2534,-F255C,-F2597
-109EFB,-109EFF,-109E3B
-F25A3,-F274E,-F2698
-109F69,-109EF2,-109FAB
-F261E,-F24B9,-F262C
-10A14B,-10A1C8,-109E54
-F2694,-F26A5,-F2348
-109F16,-10A13B,-109F5E
-F24C8,-F2546,-F242A
-109C4F,-109E98,-109D78
-F23BF,-F23A6,-F24E7
-109F05,-109F19,-109E88
-F2598,-F2666,-F251C
-109EBF,-109EAF,-109D96
-F2533,-F25E5,-F23F4
-109FAF,-109E1E,-109EC9
-F24F4,-F241D,-F24B1
-10A07D,-10A096,-10A125
-F25E7,-F25ED,-F247B
-10A205,-10A079,-10A03D
-F257F,-F25A5,-F24E7
-10A20C,-10A068,-10A0B0
-F276F,-F24B3,-F25C2
-10A184,-109F7E,-10A20A
-F27A1,-F2618,-F269D
-10A059,-10A1A8,-10A080
-F26D0,-F2634,-F25F5
-10A13C,-10A261,-10A118
-F24F5,-F24BA,-F2631
-10A118,-10A0DA,-10A12E
-F267B,-F25CD,-F266D
-10A18E,-10A0F2,-10A1F7
-F36F1,-F3602,-F37BD
-109820,-109705,-109623
-F1BB4,-F1D59,-F1D78
-10964B,-10961B,-109529
-F1CCE,-F1C23,-F1DAF
-1097B4,-10963C,-10969C
-F1C5A,-F1CA7,-F1D1B
-109638,-109803,-10967C
-F1D09,-F1D41,-F1E5D
-1095AD,-1095E7,-1095FB
-F1D91,-F1CF2,-F1D2E
-1096CB,-1097DF,-109625
-F1A5F,-F1C33,-F1BA5
-1096F6,-109788,-10975E
-F1D60,-F1DB7,-F1C62
-10966B,-109726,-10982D
-F1D50,-F1AB6,-F19F6
-109713,-10980D,-109809
-F1CEC,-F1B8C,-F1E13
-10972A,-10979B,-1097D9
-F1C84,-F1C89,-F1C33
-109802,-109782,-109779
-F1D0E,-F1D6B,-F1C26
-109856,-109801,-1098B0
-F1C92,-F1C83,-F1C6D
-109820,-1097BE,-1096D9
-F1C94,-F1C0E,-F1C67
-109793,-109740,-1097F1
-F1BFE,-F1F3A,-F1D7A
-109695,-109712,-1097A7
-F1DE9,-F1CF8,-F1D7B
-10981F,-1097BC,-109763
-F1E61,-F1CE0,-F1E5C
-1097C2,-1097C3,-1099D4
-F1DFC,-F1F45,-F1D1F
-10969B,-10991D,-109962
-F1CEE,-F1F5E,-F1EA3
-109770,-10982E,-109853
-F1ED8,-F1C48,-F1F20
-1099C9,-1097E6,-109865
-F1E98,-F1DEA,-F1FA4
-10999B,-109799,-1099FA
-F1E29,-F1EC2,-F1EBF
-1098BB,-109920,-10993D
-F1D10,-F1E6B,-F1D18
-109848,-109880,-109758
-F1EB1,-F1DC7,-F1E2B
-109927,-1098A3,-10966A
-F1A89,-F1C21,-F1C76
-1098A6,-109917,-109829
-F1F6D,-F1CC1,-F1C85
-10993B,-109830,-1098EE
-F1E14,-F1D9E,-F1DAF
-10988E,-109955,-109881
-F1F31,-F1C7A,-F1E57
-10989A,-109998,-109A2F
-F1E51,-F1DCB,-F1CA2
-10985D,-109809,-109695
-F1CBE,-F1E08,-F1DEA
-109814,-10975E,-10976D
-F1DBE,-F1E57,-F1DE6
-109835,-109721,-109740
-F1CC1,-F1C0A,-F1D52
-109912,-1095B8,-109847
-F1DB9,-F1CA8,-F1C3B
-109754,-1098D5,-1098C4
-F1F88,-F1DAA,-F1EE1
-109915,-1098D7,-109B43
-F1D14,-F1E1C,-F1E42
-109A4A,-109894,-1097A9
-F1E79,-F1CB8,-F1EF1
-109944,-1099B5,-10997B
-F1EFA,-F1CC5,-F1E64
-109855,-109804,-10985D
-F1BAA,-F1EA3,-F1E99
-10988F,-109765,-109948
-F1EC4,-F20BC,-F1F2D
-1097CE,-109992,-109627
-F1D2C,-F1DD1,-F1DE7
-109885,-109726,-109814
-F1E49,-F1E79,-F1EAC
-109905,-109A0D,-1099DC
-F1E6E,-F1E92,-F2011
-109977,-109839,-1098AD
-F1DAD,-F1DB6,-F1E30
-109A0B,-109A3F,-10999F
-F1EA2,-F1F52,-F1DD2
-109884,-109948,-1099C3
-F1D94,-F1C05,-F1E40
-1099CD,-109867,-109911
-F1E5E,-F1F55,-F1E26
-1098F4,-10994C,-109936
-F2073,-F1E80,-F1DB8
-10985A,-109AC6,-1098A2
-F1F1A,-F1EB6,-F1F1D
-1096E3,-109924,-109656
-F1D7B,-F1E9D,-F2090
-1098DA,-109954,-109A3A
-F1DDC,-F1FFF,-F202C
-109A86,-109B7F,-109ACF
-F1F42,-F1F0B,-F1EC0
-109987,-109BA1,-10989F
-F1FAF,-F1F16,-F1FBC
-1099EE,-109A16,-1098FB
-F2026,-F1DD7,-F1E2C
-109B11,-109776,-10990A
-F1F1C,-F1E80,-F1EB1
-109744,-109743,-1099E7
-F1E5D,-F1CCA,-F1DDE
-1097AB,-10997E,-1097DB
-F1EEC,-F1D2E,-F1E16
-109952,-10993A,-10992F
-F1DCE,-F20B7,-F1D28
-109800,-109950,-109A66
-F1F68,-F1F2D,-F1FC5
-109924,-109B6C,-109876
-F1F3E,-F1F11,-F1D57
-10994B,-1098FA,-109A3E
-F1F9D,-F1CBF,-F20E0
-1098E8,-109A3E,-1099E3
-F1E16,-F1EA5,-F1F61
-1098EC,-10994B,-10981D
-F1DF7,-F1FB0,-F1D5E
-1098E9,-109942,-1099A2
-F1E46,-F1EB4,-F1EAC
-1098BF,-10989A,-109B40
-F1E71,-F1D7A,-F1E37
-1098F5,-109782,-10986C
-F28D6,-F2A9B,-F2880
-10967C,-1095EF,-1095E2
-F1C6B,-F1C5B,-F1C43
-10958C,-109705,-10942D
-F1BB8,-F1DD0,-F1B5A
-109762,-109694,-10965F
-F1C32,-F1BA7,-F1B78
-109670,-10955C,-1093DA
-F1A82,-F1BB2,-F18FB
-1094FC,-10969B,-109585
-F1AEF,-F19C7,-F1838
-1094BB,-10954C,-109672
-F1AB4,-F1B71,-F1A57
-1095F6,-109527,-10958C
-F1B66,-F1ADB,-F1B6B
-109607,-109783,-1095A0
-F1CE8,-F1AB0,-F1CF8
-109796,-10971F,-1095F5
-F1D45,-F1D06,-F1D19
-10977F,-109548,-1096A5
-F1D8C,-F1A1E,-F1CF9
-109687,-109742,-1094C6
-F1CBB,-F1BDC,-F1BDC
-109712,-10978B,-109715
-F1D4F,-F1CD1,-F1B6C
-109654,-1097FB,-109629
-F1C0C,-F19E0,-F1C84
-1097F5,-1095FF,-109629
-F1BE3,-F1B99,-F1BEC
-10966B,-1096E9,-1096DB
-F1CBD,-F1AF6,-F1BAE
-1096B1,-10976F,-10977F
-F1E8F,-F1DF1,-F1D88
-1096EA,-1095A1,-10954F
-F1AD7,-F1D1A,-F1D76
-10956C,-109523,-109535
-F1C4E,-F1AFB,-F1D67
-1097B3,-10968D,-1098B2
-F1D67,-F1D94,-F1B0C
-1096BB,-10970B,-1098DC
-F1C37,-F1CB5,-F1AF2
-1096A8,-1097A3,-109830
-F1E29,-F1D11,-F1E1E
-1096DE,-1097E6,-109798
-F1C96,-F1BC5,-F1E61
-1096CB,-109726,-109921
-F1C3B,-F1C80,-F1D04
-109749,-1098DB,-109756
-F1B9D,-F19DE,-F1D23
-109796,-109895,-109767
-F1CF3,-F1F4E,-F1CBB
-10976E,-1096D3,-109788
-F1CAA,-F1DC7,-F1BF3
-109881,-109808,-10975B
-F1BDF,-F1D6C,-F1E34
-10983D,-1096EF,-109783
-F1DB8,-F1C19,-F1E4D
-109869,-1097D9,-109778
-F1E35,-F1D2E,-F1B9E
-109A03,-1097AA,-109A1E
-F1F0C,-F1D84,-F1CBC
-10980F,-109769,-1097A4
-F1D2C,-F1BCD,-F1CB9
-1097F6,-10962C,-10970D
-F1C71,-F1CD6,-F1BAA
-109851,-109A49,-10989E
-F210B,-F1D3C,-F1F52
-109AE8,-1098CA,-109978
-F1EAD,-F1EB7,-F1D2F
-1097BA,-109936,-1099AA
-F1DBC,-F1CA4,-F1C8C
-1098C7,-10977F,-1097F3
-F1E27,-F1F0D,-F1F1C
-10977C,-10984C,-109849
-F1C69,-F1D7D,-F1E3E
-1099F6,-10965E,-1098A1
-F1E8A,-F1E02,-F1F08
-109896,-1099E8,-1098CD
-F1E33,-F1DFF,-F1F43
-109845,-1095AA,-1097A9
-F1D00,-F1C6E,-F1CEE
-1097BD,-1097B3,-1098CD
-F1DB3,-F1D85,-F1CCE
-109857,-10993E,-109945
-F1EC4,-F1EE1,-F1DAF
-1098F7,-109788,-109A32
-F1F3D,-F1EB3,-F1E20
-109859,-1099D7,-1098B3
-F1E9A,-F1D8E,-F1F9C
-1096F7,-109851,-109AAF
-F1F57,-F1FD6,-F1E5C
-10982C,-1097E5,-1098C9
-F1D0C,-F1FFA,-F1E83
-109724,-109879,-10984D
-F1CAD,-F1CD2,-F1DF4
-1096FC,-10994D,-10991F
-F1F23,-F1F11,-F1F14
-1098E1,-10989C,-109948
-F1FF5,-F206D,-F1F84
-1099F1,-1098E6,-10997A
-F1FA4,-F1F48,-F1ED1
-109AF1,-109865,-109959
-F1FA6,-F1F67,-F1F7E
-109B1D,-109ACF,-10999C
-F1E9C,-F1F19,-F1FA9
-109906,-1099B2,-109A2A
-F1EB5,-F1EBE,-F1FB0
-1099AD,-109875,-109B95
-F20BA,-F1EF5,-F1F8E
-109A6B,-109932,-109919
-F1FBA,-F1CE1,-F1E42
-1099B4,-109943,-1099D9
-F2091,-F1F52,-F1E56
-1099D8,-109937,-109B28
-F1F13,-F1FAD,-F1DF7
-10986B,-109949,-1099C4
