{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-10D868,-10D819,-10D6D1
-F5D39,-F5DD0,-F5ED1
-10D8BF,-10D95D,-10D92A
-F5DA7,-F5FFC,-F5BF4
-10D6C2,-10D849,-10D7D4
-F5A59,-F5D31,-F5D2C
-10D796,-10D6CA,-10D5D1
-F5BC8,-F5CD1,-F5E02
-10D628,-10D863,-10D7D9
-F5D65,-F5BFB,-F5AF0
-10D6A4,-10D7E8,-10D487
-F5BFD,-F5A5F,-F5AE9
-10D4F1,-10D638,-10D67E
-F5C32,-F5A93,-F5C1C
-10D665,-10D510,-10D659
-F5BC3,-F5AF1,-F5C3F
-10D78E,-10D517,-10D4DC
-F5CF9,-F5B78,-F5BC9
-10D753,-10D56B,-10D5DB
-F5BAE,-F5B41,-F5B58
-10DAAC,-10DA6C,-10D99C
-F602F,-F6067,-F5EFC
-10D91E,-10DA58,-10D9CA
-F5D4F,-F5F80,-F60D8
-10D990,-10D8C7,-10D818
-F5FBE,-F5FEC,-F5E39
-10D831,-10D937,-10D7FA
-F5EE6,-F5EDB,-F5FF6
-10D8D3,-10D7F3,-10D964
-F5E38,-F5DB8,-F5C6C
-10D940,-10D929,-10DA42
-F60A0,-F5CD8,-F5C8F
-10D9A3,-10D8F4,-10D898
-F5E9F,-F5DF9,-F5C44
-10D7B3,-10D863,-10D978
-F5E67,-F5BE7,-F5E55
-10D811,-10D9C5,-10D7F3
-F5DF9,-F5D27,-F5E72
-10D8E0,-10D77B,-10D8D3
-F5DA9,-F5DAD,-F5CBE
-10D649,-10D988,-10D767
-F5FBA,-F5D21,-F5E4E
-10D662,-10D606,-10D6C3
-F5ED5,-F5DF8,-F5BA9
-10D670,-10D655,-10D86C
-F5DA6,-F5CF5,-F5E40
-10D5EE,-10D519,-10D81C
-F5DE0,-F5C32,-F5C6B
-10D5F0,-10D90D,-10D71D
-F5F7F,-F5D5E,-F5DE9
-10DA5B,-10D782,-10D7EB
-F601D,-F5E9E,-F5CA8
-10D68E,-10D7D9,-10D627
-F5C4B,-F5C7A,-F5C98
-10D667,-10D55B,-10D561
-F5BC7,-F5B39,-F5DE7
-10D795,-10D872,-10D7DB
-F5DE5,-F5BC1,-F5B98
-10D5FF,-10D711,-10D528
-F5A3D,-F59CE,-F5C6F
-10D511,-10D723,-10D6E3
-F5CBD,-F5BBC,-F5B6A
-10D519,-10D4EF,-10D525
-F5ADD,-F5B22,-F5967
-10D417,-10D68C,-10D425
-F5AC5,-F5C7D,-F5BC3
-10D6F1,-10D613,-10D51C
-F5BD0,-F5A95,-F5BAA
-10D606,-10D5B3,-10D447
-F5D4A,-F592E,-F5A9C
-10D48C,-10D3C1,-10D57E
-F5B27,-F5BAC,-F5AD2
-10D6BC,-10D567,-10D5B7
-F5A98,-F5AE1,-F5941
-10D452,-10D359,-10D39F
-F571A,-F59CE,-F598B
-10D357,-10D336,-10D4BD
-F59D9,-F5902,-F5A11
-10D462,-10D46D,-10D4BB
-F59D4,-F5A04,-F594D
-10D486,-10D3F8,-10D4C3
-F5C05,-F5B2A,-F5B98
-10D493,-10D552,-10D6BD
-F78E8,-F7A53,-F7910
-10D4E0,-10D2EA,-10D541
-F5AF0,-F5A15,-F5932
-10D47D,-10D3FB,-10D5C0
-F5ABC,-F598A,-F5ADB
-10D3AF,-10D60B,-10D4C0
-F59D4,-F5AC4,-F5A03
-10D33D,-10D473,-10D2F6
-F598E,-F59A5,-F5A22
-10D3C9,-10D3AB,-10D35D
-F59F1,-F5BA0,-F5A68
-10D3FA,-10D4EE,-10D3A2
-F5892,-F5913,-F57F5
-10D286,-10D2A5,-10D428
-F5895,-F593C,-F5944
-10D35F,-10D2BA,-10D4C7
-F59BF,-F5831,-F5959
-10D22D,-10D3FF,-10D346
-F5709,-F58F0,-F56FD
-10D399,-10D181,-10D1E9
-F5967,-F5711,-F58B0
-10D1A7,-10D1E7,-10D2D1
-F5755,-F59DB,-F5801
-10D1E8,-10D364,-10D275
-F598A,-F56E3,-F56C0
-10D214,-10D506,-10D259
-F5A05,-F5764,-F577A
-10D2B1,-10D35B,-10D484
-F58D8,-F582B,-F57D9
-10D2F8,-10D26E,-10D144
-F5760,-F5869,-F570B
-10D1DC,-10D3CF,-10D2A5
-F5912,-F5A24,-F588F
-10D213,-10D2F5,-10D1A6
-F581B,-F56B1,-F5741
-10D1D3,-10D192,-10D17E
-F57F3,-F5590,-F575B
-10D131,-10D351,-10D088
-F5652,-F57BD,-F5734
-10D14F,-10D1D1,-10D16B
-F572F,-F57BD,-F57A1
-10CFA7,-10D1DF,-10D088
-F5804,-F55FD,-F56CE
-10CFE1,-10D092,-10D018
-F5564,-F5552,-F56DA
-10D20B,-10D0B1,-10D149
-F54C8,-F546F,-F568A
-10D0C9,-10CFBE,-10D214
-F5491,-F54FE,-F5716
-10D06D,-10D0AB,-10D0AD
-F55D1,-F5624,-F5907
-10CF47,-10CF9F,-10D094
-F57F4,-F56B6,-F532E
-10CF42,-10CF84,-10D1E8
-F5592,-F5518,-F5698
-10CFE7,-10D024,-10CDF7
-F5559,-F53EE,-F54FE
-10CE97,-10CF90,-10D07E
-F57A2,-F54DF,-F54F6
-10CED2,-10CF95,-10CE74
-F5477,-F5583,-F5494
-10D0C0,-10D02A,-10D1F5
-F5559,-F571C,-F5539
-10D0CF,-10D1F9,-10CEAB
-F56B3,-F56AC,-F5591
-10D243,-10D2FF,-10D2A5
-F5779,-F58C6,-F5840
-10D396,-10D3E4,-10D162
-F5975,-F58D7,-F572F
-10D1A5,-10D16A,-10D1B2
-F56D4,-F55D6,-F57DF
-10D076,-10D170,-10D2AA
-F55F7,-F5803,-F58A4
-10D25C,-10D1DD,-10D0A2
-F57F9,-F5616,-F576A
-10D1D0,-10D316,-10CFE6
-F56BE,-F565E,-F5565
-10D0D0,-10D250,-10D367
-F57A2,-F57EB,-F57C3
-10D1A5,-10D2DE,-10D0BF
-F5876,-F5775,-F5735
-10D192,-10D1CA,-10D210
-F5614,-F58D5,-F576A
-10D09E,-10CFCA,-10D102
-F5891,-F5767,-F58C7
-10D2A1,-10D27F,-10D1EC
