{'CALIB_RAW_DAC_START_I': 458752, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2DF69,-2DFC5,-2DDE9
-16794,-1642D,-16545
-2DF1D,-2DD12,-2E04F
-16433,-16381,-163A9
-2DFB1,-2DD14,-2DF12
-16651,-167DA,-1654A
-2DE6D,-2E077,-2E03F
-1640B,-164AB,-165FA
-2E09A,-2E07C,-2E234
-1688A,-1691A,-1687E
-2E2CC,-2E187,-2E4C7
-166AE,-169A8,-16731
-2E306,-2E29E,-2E30B
-1677D,-1678C,-168C3
-2E262,-2E192,-2E151
-16789,-16855,-16868
-2E4D0,-2E3BC,-2E119
-16828,-16904,-16829
-2E485,-2E2AA,-2E424
-168AE,-167A7,-16862
-2E22C,-2E3C1,-2E353
-169C7,-168A5,-16939
-2E39B,-2E162,-2E527
-1673B,-1693D,-16974
-2E114,-2E34C,-2E3B8
-16817,-168D2,-168B3
-2E3BF,-2E547,-2E439
-16AF2,-1692D,-16AA2
-2E51E,-2E604,-2E49F
-16A14,-16A18,-168BE
-2E5F4,-2E46C,-2E5E8
-16BA1,-16868,-16B99
-2E61B,-2E2EA,-2E4DE
-16ACA,-169B7,-16A67
-2E3CB,-2E4A6,-2E403
-169CA,-1681D,-16A0F
-2E302,-2E422,-2E42C
-16865,-16AD0,-16B0C
-2E574,-2E4BD,-2E4C1
-16914,-16B92,-169F4
-2E222,-2E23C,-2E46B
-16965,-16985,-1687E
-2E2AE,-2E2A9,-2E323
-16845,-16817,-1689E
-2E25E,-2E128,-2E25D
-168F1,-16A25,-1692D
-2E393,-2E04A,-2E27B
-168C8,-16A79,-168AA
-2E37E,-2E472,-2E451
-16B48,-16B92,-16976
-2E46E,-2E49B,-2E4EE
-16A48,-16AA8,-169DF
-2E401,-2E53B,-2E534
-16935,-16BBF,-169E6
-2E3AC,-2E362,-2E3CC
-1696D,-16848,-16921
-2E401,-2E252,-2E496
-16AEB,-16972,-16871
-2E4E7,-2E5AA,-2E514
-16B3E,-16B1A,-16CBC
-2E594,-2E61B,-2E4F1
-16B24,-169D6,-16B36
-2E58A,-2E6FD,-2E443
-16B03,-16B15,-169DF
-2E591,-2E384,-2E42D
-16AFA,-169B7,-16A89
-2E532,-2E49B,-2E3EB
-169AC,-16A9B,-16A43
-2E551,-2E568,-2E5C8
-16A7A,-16C47,-16A1E
-2E56B,-2E5A9,-2E1FC
-177CA,-1760C,-177CB
-2E03F,-2E0F3,-2E0EF
-166DD,-164C9,-16594
-2DEC8,-2DF8E,-2DFC2
-166BF,-1666E,-16545
-2E1C1,-2E1BC,-2E130
