{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-6FA71,-6F9C0,-6F96D
-57E3E,-57F09,-5807F
-6FA56,-6FB4A,-6FA4F
-57FB5,-57EAD,-57EF6
-6F8BC,-6F898,-6FAAC
-57FB9,-57E9C,-57F46
-6F7F8,-6FAD5,-6F960
-57E43,-57DFB,-57DD4
-6F8D7,-6FAA8,-6FAB2
-57EAE,-57F9C,-58110
-6F92F,-6F9C6,-6FAC9
-57D9E,-57F05,-57F55
-6F992,-6F985,-6F8EE
-57FDA,-58049,-57F94
-6FAFA,-6FCB8,-6F820
-57EE0,-57DE6,-57D59
-6F84E,-6F86F,-6F84F
-57F33,-57EFF,-57E91
-6F838,-6FA66,-6F91C
-57FAE,-57EAF,-57DCD
-6FA93,-6FB1A,-6F8C6
-57F72,-57E3A,-57EF9
-6F871,-6F8DC,-6FB3C
-582F4,-5820F,-58243
-6FD3D,-6FB26,-6FAE7
-5821D,-58174,-580AC
-6FB36,-6FE3E,-6FB7E
-58065,-580A9,-58154
-6FB8D,-6FC22,-6FC15
-5824C,-58127,-57FB6
-6FA73,-6FA36,-6FACE
-57E66,-5800F,-57C96
-6FB0A,-6FC50,-6FAEE
-58180,-582BB,-58091
-6F7CC,-6FA7E,-6FB33
-57FA6,-57EF8,-57FA6
-6F87B,-6F9EF,-6FA4D
-57F61,-57F59,-58097
-6FBCF,-6FB47,-6FB17
-57FC1,-58072,-57FF5
-6FC7B,-6FBF4,-6FA5B
-582EE,-580B4,-57FFC
-6FAF2,-6FA13,-6FBFA
-58033,-57F93,-57EA6
-6F911,-6FB22,-6F98B
-57FCF,-58112,-57F47
-6FABE,-6FAA3,-6FA5D
-580D1,-57EF0,-5808E
-6F948,-6FA5C,-6FACC
-57FA4,-57F73,-58083
-6FAC6,-6FBA2,-6FAF7
-57F50,-57D8D,-57EBC
-6FB4C,-6F8C2,-6F927
-57F79,-57E50,-57E31
-6F93E,-6FA86,-6F94B
-59465,-5940F,-594B9
-6FB2B,-6FD55,-6FC7B
-58211,-58235,-583D0
-6FDEC,-6FEF6,-6FD97
-580E8,-58127,-581C4
-6FCE1,-6FE3D,-6FDDB
-58243,-581D0,-58199
-6FD4E,-6FD39,-6FBF0
-58184,-58374,-5837D
-6FC57,-6FD37,-6FC21
-58333,-5805E,-58196
-6FBCC,-6FA69,-6FC62
-580F7,-58159,-580FC
-6FAF4,-6FC73,-6FB73
-58359,-58232,-58282
-6FB03,-6FC7E,-6FBE3
-5827B,-5810E,-58176
-6FBE2,-6FC72,-6FDB1
-583A1,-58252,-58168
-6FCFF,-6FBA3,-6FBE9
-5825B,-583DC,-58169
-6FB84,-6FCC0,-6FC71
-582CF,-581E8,-5807E
-6FC09,-6FC82,-6FC47
-5808B,-580BD,-57EFB
-6FACA,-6FD1D,-6FD35
-58357,-57F8D,-58238
-6FC00,-6FC03,-6FBCE
-580EE,-5812E,-580F1
-6FB38,-6FAB6,-6FB42
-582A5,-583B3,-58163
-6FC50,-6FB49,-6FB16
-583A4,-582BC,-581F5
-6FDF6,-6FFD3,-6FBC7
-5823E,-580A1,-582F9
-6FE41,-6FCF0,-6FCFA
-58303,-583E0,-5836E
-6FD91,-6FC27,-6FC4B
-582A1,-58294,-58125
-6FB1E,-6FB9E,-6FEA3
-58308,-5824D,-581C9
-6FD28,-6FD05,-6FBC9
-581C6,-581FC,-582F5
-6FC86,-6FC2D,-6FCE0
-58100,-58040,-5826C
-6FBE3,-6FCA0,-6FB37
-580A7,-58177,-58270
-6FB65,-6FB9F,-6F90F
-58042,-5814A,-581E0
-6FA99,-6FBFA,-6FDAE
-58307,-580D1,-581CB
-6FA8E,-6FBE4,-6FB7B
-580CC,-5812E,-57E90
-6FA46,-6FA6C,-6F7E3
-580B3,-57FCD,-57E7E
