{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-613BC,-61208,-61367
-78C67,-78E2C,-78DB7
-615EC,-61170,-6135A
-78E3B,-78E21,-78BA7
-613D9,-612D5,-61347
-78C71,-78F12,-78D3C
-6103F,-61305,-61185
-78EC7,-78CF1,-78E29
-61279,-614A3,-613B2
-78DBE,-78E3C,-78FA4
-6110E,-612E4,-6112D
-78D76,-78E4F,-78C5F
-612C5,-6146C,-61300
-78CD4,-78BBB,-78C0A
-612FA,-6124E,-612A5
-78D47,-78E0D,-78C80
-6117F,-61334,-6125C
-78BA7,-78DE4,-78EA5
-614BB,-611C0,-6137B
-78D18,-78D9B,-78E65
-61671,-6141C,-6156D
-78CE6,-78EEF,-78D40
-61471,-6138F,-614BA
-78BA6,-78CBD,-78A34
-6126C,-61107,-61137
-78AED,-78B05,-78C33
-613B4,-6113F,-61219
-78DA0,-78A8A,-78CE2
-614DD,-61342,-61247
-78D5B,-78DDE,-78D8A
-61195,-61095,-60FC8
-78BA3,-78C90,-78D37
-61205,-613DC,-611DE
-78C86,-78CB0,-78D83
-611C3,-61360,-611E0
-79004,-78DE6,-78E0C
-613FC,-6128B,-61257
-78D3F,-78DC8,-78D27
-61594,-6133A,-611A7
-78E6D,-78CC9,-78DB2
-612DF,-612CE,-61159
-78D30,-78D14,-78DE9
-61270,-61389,-6119E
-78D4B,-78E2B,-78DD5
-61418,-6116D,-6144D
-78EAA,-78DB1,-78E7D
-613F0,-6113F,-61331
-78BE9,-78DE2,-78D39
-6145D,-61629,-6141A
-78E83,-78D05,-78D1C
-6138A,-61379,-611A1
-78CEF,-78D40,-78E42
-611DA,-6135D,-615B0
-78CFF,-78ED5,-78DCA
-61F10,-6203D,-62194
-789C5,-78C38,-78B42
-61180,-610F1,-60F2E
-78B34,-78B82,-78BBC
-60E7E,-60FC2,-60F4E
-78A8B,-78B83,-789C3
-6103C,-60E18,-61040
-78A40,-78BC4,-78A5A
-61240,-61076,-60F27
-78A76,-78E03,-78B32
-60FF9,-60F6C,-610C7
-789CF,-78AB5,-78C0A
-6107E,-6133B,-6115A
-789A1,-78AAF,-78AC2
-61090,-61317,-610E9
-78B64,-789D9,-78A9D
-61098,-60E3C,-60F08
-7888E,-789AF,-78A73
-6127E,-61158,-6107C
-78A31,-78A9C,-78A0D
-610CD,-610C9,-61082
-78B0A,-78BE9,-78ACE
-611CC,-61241,-611D0
-78C38,-78AF7,-78B80
-612D6,-6118B,-6113F
-78AE7,-78CEF,-78C83
-61156,-612E6,-611B7
-78C6E,-78BED,-78B30
-6112C,-61027,-60F75
-78CA1,-78B84,-78B2C
-612B8,-610B2,-61115
-78D3F,-78C3D,-78D31
-611D8,-611FB,-6116A
-7891D,-78B37,-78B34
-6105E,-6114B,-61093
-78BFF,-78AAE,-78B7F
-61109,-61248,-610FD
-78AE7,-78D4B,-78C5C
-6137C,-612B2,-6111F
-78BB7,-78C54,-78B5A
-610EE,-61044,-6102C
-78BE4,-78CA5,-78B4F
-610D8,-6115F,-60EAA
-78CC3,-78C47,-78A2A
-612B6,-610FD,-6131E
-78C71,-78BE5,-78BE2
-6112E,-61159,-612E2
-78BAC,-78CAF,-78B07
-611A6,-6102F,-61005
-78D9A,-78CD3,-78C30
-612F6,-61221,-610E0
-78CC8,-78B1D,-78CF9
-610FF,-60EE4,-6103A
-78C22,-78B38,-78B98
-61198,-61398,-61107
-78BC4,-78D41,-78E8C
-612A0,-61040,-6103F
-78C3C,-78C22,-78BA2
-6119C,-6117E,-61253
-78B7F,-78C8E,-78C3E
-611B4,-6107B,-61185
-78C3C,-78C26,-78C52
-61250,-61104,-61333
-78B89,-78C23,-78C4F
-61317,-610F7,-61202
-78EAF,-78EAB,-78E79
-6156A,-6171E,-6157B
-79174,-7929E,-790AE
-61721,-614FC,-61623
-7904D,-78F83,-79063
-614A3,-615FB,-61725
-790B4,-7900A,-79028
-613D6,-61527,-614AC
-7919F,-78EE8,-7901F
-6157E,-61664,-61669
-7910A,-791F1,-7903B
-614AF,-61694,-6158B
-79133,-79041,-79092
-617AB,-61842,-616EF
-78F33,-78F51,-790CE
-61615,-61553,-61594
-7921B,-79065,-79152
-614A4,-616A3,-61774
-78F30,-7922D,-79074
-616C8,-61722,-615A9
-78F84,-78FDB,-78EF9
-6149D,-615C8,-6164D
-7913E,-79105,-79203
-616E7,-61630,-6156E
-79170,-790C2,-78F60
-61579,-6161D,-61872
-790EA,-79159,-78F71
-61784,-61579,-61559
-79079,-7914C,-79099
-617C0,-61621,-617E6
-790A3,-79107,-791EA
-616FC,-61860,-616D7
-7901C,-78EFA,-78E10
-61713,-61397,-61529
-78F54,-790CA,-78F44
-61666,-616D4,-61729
-78F7E,-791C0,-790C5
-6169B,-614E4,-6160E
-79255,-79136,-7900E
-615C5,-6139C,-614C0
-79116,-790DC,-78F1A
-61525,-61540,-614C1
-78E8C,-78F6D,-79056
-615B6,-61584,-61501
-791CE,-7907E,-79130
-6164A,-6182C,-61755
-78E83,-7903E,-791C1
-61461,-6146B,-61545
-7910E,-7903E,-79003
-615AD,-616C8,-61769
-79233,-790E3,-79062
-617A9,-6158B,-615E9
-791B9,-791FC,-791A6
-617D8,-61811,-61749
-7932D,-79201,-79172
-61763,-617CE,-619B9
-79104,-79310,-79294
-6171D,-61864,-61629
-7924C,-791EF,-79125
-61604,-616F4,-61834
-79200,-79196,-7930D
-616C6,-6175F,-61708
-79153,-7910A,-7918F
-61BAA,-61AA7,-61C21
-78D18,-78B32,-78C84
-6115A,-612B5,-61413
-78D7F,-78CA1,-78CFD
-61101,-6115C,-61229
-78D02,-78BCA,-78B7D
-6111A,-6142C,-612C3
-78E02,-78C86,-78BC2
