{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-6C0A5,-6C0D7,-6C0D1
-83C5A,-83ACB,-83A94
-6C0EE,-6C18A,-6BF23
-839D6,-83C0C,-83BD7
-6C093,-6BFA8,-6C057
-83A6E,-83981,-83AE4
-6C00E,-6BECB,-6BF31
-83A74,-839E2,-839F5
-6C04F,-6BE79,-6BECD
-83D2D,-83D16,-83D72
-6C1F3,-6C58C,-6C3D9
-83D78,-83D63,-83D28
-6C303,-6C261,-6C3C4
-83C1F,-83E80,-83D96
-6C33B,-6C3C7,-6C244
-83DA8,-83D1E,-83D1A
-6C422,-6C1DE,-6C31D
-83D0D,-83DEC,-83B60
-6C376,-6C256,-6C271
-83D3E,-83DF8,-83B84
-6C281,-6C23A,-6C3D9
-83C20,-83CCE,-83CBA
-6C31E,-6C211,-6C2C1
-83B28,-83A38,-83C23
-6C205,-6C120,-6C1A9
-83C1E,-83CD4,-83B11
-6C0FA,-6C083,-6C151
-83C09,-83C30,-83BC4
-6C180,-6C0FE,-6C202
-83C45,-83AEC,-83B1C
-6C254,-6C2C3,-6C1C9
-83C99,-83CCA,-83D46
-6C2F0,-6BFC5,-6C12E
-83E4A,-83AAE,-83B5A
-6C39E,-6C223,-6C0E4
-83B32,-83BDD,-83B3F
-6C0DE,-6C112,-6BFCB
-83BB0,-83ACC,-83C50
-6BFD2,-6C0DE,-6C259
-83BB7,-83C4A,-83D4E
-6C193,-6C24F,-6C2C7
-83B79,-83B7D,-83B29
-6C0CD,-6C00C,-6C014
-83ADB,-83A78,-83CFD
-6C144,-6C03D,-6C07A
-83DB0,-83C58,-83A53
-6C067,-6BFC8,-6C086
-83A88,-83A7C,-83D4A
-6C08F,-6C089,-6C1CE
-83B15,-83C37,-83BA6
-6C0F2,-6C096,-6C08E
-83A83,-83AD9,-83D12
-6C129,-6BFE6,-6BF1B
-83B88,-83BFC,-83B36
-6BFD9,-6C046,-6BF50
-83C6F,-83B3E,-839F8
-6BF71,-6BE8B,-6BF04
-83B39,-83AB8,-8387C
-6C0BF,-6BECB,-6BF12
-839A1,-838A6,-839ED
-6BD7A,-6BE6A,-6BE2F
-8388C,-839DE,-83864
-6C01E,-6BF4D,-6BFF5
-83785,-83915,-839A3
-6BEB0,-6BE42,-6BED9
-839D1,-83924,-83A0F
-6BE23,-6BFD7,-6BFB7
-838DF,-8382F,-83772
-6BDFB,-6BE82,-6BFBA
-83973,-83A68,-83B69
-6BF45,-6BE83,-6BD53
-838E1,-839BE,-83943
-6DDAD,-6DD3F,-6DD27
-83966,-8375C,-83959
-6BD84,-6BF67,-6BDBC
-83752,-8384E,-8371F
-6BCD0,-6BBEF,-6BD8A
-838D6,-83807,-83841
-6BCCC,-6BE76,-6BE3B
-83930,-837A6,-83741
-6BCD7,-6BC1A,-6BC9C
-836CB,-83779,-835F2
-6BD3E,-6BABF,-6BE7B
-8387A,-839B1,-83971
-6BD2A,-6BB77,-6BBE1
-8381B,-835EB,-8383D
-6BC2A,-6BB82,-6BB7B
-8366A,-83743,-836C3
-6BAF8,-6BAB1,-6BAE8
-835CE,-83692,-837C5
-6BAD6,-6BD4E,-6BC32
-8363C,-8357A,-8351E
-6BBDB,-6BB97,-6BADC
-834C5,-83660,-835A7
-6BBAB,-6BD28,-6BC1D
-836C7,-836E8,-836E0
-6BACC,-6BBD6,-6BA82
-8376E,-836A7,-837A7
-6BE5A,-6BD9C,-6BD10
-83611,-83787,-8372E
-6BBFB,-6BA84,-6BB7F
-836B1,-836D7,-8375C
-6BAD3,-6BE01,-6BC70
-83513,-835FB,-836BD
-6BC58,-6B9B2,-6BB36
-832D9,-83488,-834EB
-6BA6B,-6B9CF,-6BAA6
-833AE,-834B7,-8339C
-6B834,-6B900,-6B99E
-833C6,-834F5,-835B8
-6BAE8,-6B937,-6BC6D
-834DD,-833FE,-832F3
-6B90E,-6B8BB,-6B930
-833BA,-8345A,-83586
-6B97D,-6B86C,-6BAB7
-83243,-832CC,-83467
-6B7CE,-6B845,-6B905
-832EC,-8342A,-83656
-6BAF0,-6B9C2,-6B94F
-831E1,-832EA,-83540
-6B846,-6B745,-6B8DF
-83178,-834FA,-835CD
-6BB9C,-6B902,-6BA02
-83488,-8337E,-83497
-6B9E0,-6B95F,-6BB20
-834D9,-8367A,-834EA
-6BA13,-6B850,-6BA56
-8337D,-83428,-8345D
-6B97E,-6B8B6,-6B8A4
-833A1,-8335E,-8354D
-6B7AE,-6BA25,-6B7AF
-833B6,-8322D,-8332C
-6BA09,-6B7C5,-6B846
-836FC,-833B1,-833E6
-6B988,-6B89D,-6B8E7
-833BF,-832F1,-83357
-6B972,-6B99C,-6BA00
-836AD,-836B9,-83631
-6BC49,-6B94E,-6BB70
-835C6,-8360E,-834C2
-6BA5C,-6BB2F,-6BD90
-83656,-836CD,-836BF
-6BB3E,-6BC44,-6BC83
-834C2,-8367F,-834EC
-6BC42,-6BA6B,-6BAFA
-836A6,-8372E,-8360B
-6BAF5,-6BC38,-6BBC4
-8353E,-8361E,-83693
-6BB8E,-6BCB7,-6B9F1
-83533,-835AC,-8364C
-6BB6B,-6BB5C,-6BA72
-832A3,-83623,-835B0
-6B99E,-6B87A,-6B981
-83411,-8337C,-83271
-6BA88,-6BAF4,-6BB6F
-83638,-833F1,-834AA
-6B760,-6BAAC,-6BBA6
-83568,-835A6,-83639
-6BA81,-6BB56,-6BA65
-83577,-834DC,-83592
-6B9BA,-6BB54,-6BAB2
-8331D,-833EC,-83774
-6BA36,-6BA08,-6BA1C
-835C4,-834D2,-834E8
-6B8B9,-6B87B,-6BB49
-831F5,-83572,-83543
-6BAC1,-6BBA4,-6BA05
-8352A,-8360F,-833DC
-6BA29,-6B806,-6B8F5
-8327E,-83472,-83247
-6BB0B,-6B81E,-6B948
-833D8,-832AD,-834EA
-6B859,-6BAB6,-6B94E
-833BD,-83331,-8343D
-6B931,-6B7FC,-6B845
-8335D,-83297,-832E3
-6B811,-6B94F,-6B8B8
-83173,-83200,-83147
-6B641,-6B627,-6B849
-82F29,-8319F,-831F1
-6B7A5,-6B708,-6B6A7
-83187,-83062,-83107
-6B756,-6B5DF,-6B61F
-832B8,-8320C,-832C3
-6B79E,-6B66A,-6B717
-8329B,-83141,-8325F
-6B6D7,-6B702,-6B6DA
-8305B,-8321C,-831F5
-6B5A5,-6B608,-6B53F
-83152,-83055,-83221
-6B8AA,-6B6C3,-6B56F
-830B0,-832ED,-8328C
-6B673,-6B6BC,-6B526
-831B7,-82F5D,-831E8
-6B81E,-6B829,-6B5F0
-8326A,-831F8,-831F4
-6B567,-6B734,-6B61D
-830AA,-83272,-83205
-6B6B8,-6B605,-6B4CF
-830F2,-82EEF,-83084
-6C49C,-6C35D,-6C50B
