{'CALIB_RAW_DAC_START_I': 458752, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
5930D,5927E,591DE
70D04,70C97,70CD5
5927D,59247,59136
70EC2,70EDB,70C14
593C1,59454,59460
70D76,70E3D,70F46
59383,59578,59426
70E0F,71109,70D88
5947D,594F2,592AF
70E5B,70E12,710D5
594F7,59330,59477
70D3E,70DD6,70F11
5923F,5943B,59406
70DE9,70C69,70CC2
595EA,59310,59477
70CEC,70E16,70DD8
59476,59616,594C5
71013,70F53,70EB5
59466,5941B,59362
70D41,70F5C,70E74
59440,59469,5957D
70EA8,7103A,70DFB
59253,594FF,5958D
70DD7,70F40,70D6D
594A0,59460,59393
71001,70F66,710B0
595BD,59301,59458
71071,71060,70ECB
593E9,59252,593BF
70D30,70DD0,70E50
59341,5952D,59429
70F5C,70F77,70FBA
593AC,593A6,59451
70E7E,70CF4,7101D
59537,593EE,59195
70ED5,70F69,70E95
59681,59500,59460
70E88,70E7B,71047
59588,5950D,59802
7107C,7104E,71118
596AA,59560,5968B
71168,70D4C,70F28
59649,59621,59403
7125F,71250,71110
5967A,59530,596C4
70F2F,70FBD,70DB1
5959A,595A0,597B2
70F9C,71136,710A6
5954A,5958E,596A9
710C2,71046,711D3
5975D,596D6,59651
70FD9,7119B,71173
596E7,5978B,597E3
711C5,70FBF,711DF
596DF,596A4,59577
710F5,71223,71179
596E1,59674,597E8
71085,7111B,71188
595F4,5956C,59698
7105D,7113E,71151
594D4,59552,59533
71101,7118C,71001
5965E,5945F,594BD
70D5D,71003,7103E
597D5,595A5,59460
70F82,71047,71086
5975B,59771,59788
70F8B,7114E,7110B
59542,59784,59643
70F7D,70FC4,710B6
596B7,59449,59591
71192,70FD1,71273
59618,59761,59706
70FB9,7105C,71060
5958D,59615,5947C
70F8B,710EF,70FA1
59787,59461,596FE
70F5B,710FB,70FED
594EA,596C8,59714
7106A,7104C,70EAE
594D7,59740,5975D
70F1E,711BD,71068
596E5,59768,597D1
7108A,71172,712AA
59795,59587,596D3
710F0,71110,7101D
597F7,5965B,59771
71110,70F6E,70FE5
5960E,59762,59423
70FA1,710F3,710FB
59613,5960C,5991D
710F0,710A9,710C1
59778,59678,5971E
71187,70F93,710CF
5978A,596C2,59607
71142,710D0,70FD7
59628,59768,5959F
7113C,7102A,70F9D
59639,59522,596A9
7121B,7114B,71081
59751,597A7,59766
71045,711C0,710F3
59775,59565,597BE
71288,7127E,7102E
597BF,5963D,59690
71314,7127D,710C7
5972F,59692,595E4
713AB,711A8,71257
59701,597CD,596EF
711D8,711BA,71261
598EE,59724,59629
710DF,7127B,710BA
596FD,5960B,595B3
7113D,71073,710E8
59489,59790,59729
7122C,7118E,711AF
59755,59736,59732
71051,71002,711C0
596B1,59467,5953D
70F00,71084,712E8
596D8,597F4,5973C
70F8F,71257,70FF2
596F4,59618,5968B
705B0,706A8,70550
5A033,59E5D,59F7F
718BB,71981,718CE
5A070,59E4F,59EAB
71857,71804,718F4
59DFD,5A0E1,59ECA
719CC,719FC,7185A
59E51,59DBC,59F5B
717DF,719A9,7159F
59F9F,59F1A,59E17
71A5B,71878,71916
59DE0,59DA1,59C1F
7186D,71947,7184E
59EB1,59D38,59D42
71830,7163C,7191C
59EEC,59E97,59CFA
71960,718A6,718BE
59D29,59D13,59E66
71904,71895,716D5
59F01,59DCC,59BC6
716AF,717CF,7184E
59DEF,59C30,59E1F
7183B,71949,717F8
59DC3,59DEB,59DFD
71968,7190C,7188A
59D4A,59FE3,59EE7
716BC,719AB,71AF1
59DF2,59F5C,59E83
7189D,7181D,71A30
59DC1,59B0F,59F7D
718A9,719F5,71B40
59E41,59ECF,59E53
71929,7195F,71885
59E5C,59EBD,59FAC
7191A,71725,7186F
59E4D,5A012,59F71
71A88,719A7,71911
59F67,59F15,5A0B6
7189E,71A18,719CB
59EEA,59E20,59E68
7194E,71898,71B03
59EC3,5A149,5A10B
719CB,71A78,719D6
59E7C,59E34,59DC6
718CB,71ADB,718B4
59E10,59E09,5A03D
71A55,7189E,7191E
59FED,5A004,5A006
71B5B,71B48,7182D
59DBA,59D87,59D87
71A3E,71A2B,71A93
59DD0,59EC2,59D29
719E2,7183F,7185B
59EFB,59F6A,59E87
71824,71B15,718B3
59EC7,5A03B,5A05C
718F3,718E4,71AA5
5A042,5A03E,5A059
718A8,7197D,71B1C
59FBE,59EFC,59DCB
71985,71A77,71887
59FAE,5A06B,59F91
71A1C,719CB,718C2
59F5F,59EBD,59EAF
71B69,71AD5,71B8A
5A087,59F06,59FD8
7192B,71833,718FF
59C64,59D07,59F0D
71931,717C1,71A10
5A02A,59F69,59ED4
71A74,71B31,71C2C
59FEC,59F98,59F61
71972,71BA1,71B0A
59FFD,5A048,59F32
71AF3,71A11,71A3A
59FFF,59FD6,59F1E
71A3D,71834,719F4
59FB6,59F0F,5A017
71A47,71AE1,71993
5A08C,5A000,5A050
71A00,71C14,71CC4
59EA4,5A015,5A208
71A7E,71BBA,71C15
5A0F2,5A074,5A08D
71A84,71A38,71C2E
59FA1,5A0E4,5A016
719AF,71A5E,71A30
5A1FD,5A12A,59F77
71BB0,71BA6,71C2C
5A15C,5A11C,59F43
71B59,71B64,71A2C
59FB2,59EB3,5A050
71A91,71B12,71A47
5A17E,59F7D,5A1A5
71B57,71CCD,71C91
5A009,59F10,59FF4
71BF8,71D29,71C60
59F52,5A13D,59FA4
71985,71A76,71A44
5A12C,5A121,5A10D
71A7D,71B33,71AC5
5A0DF,59DE0,5A0CB
71952,71B99,71AAB
5A01A,59FF1,59EFD
71942,71ABA,71AF6
5A047,5A0FC,59F52
71B7F,71AF3,71977
5A04D,5A11E,5A0B0
71CA5,71A86,71CA4
5A202,5A365,5A204
71D35,71BEF,71E0D
5A23F,5A235,5A10E
71EB9,71DB2,71CF4
5A1C7,5A058,5A26F
71C39,71ACD,71B0F
5A063,5A185,5A28F
71BB7,71DB1,71B87
5A343,5A372,5A2A0
71C3E,71BB5,71BEB
5A1C8,5A0C5,5A09E
71D3A,71B48,71CD8
5A3B1,5A1FB,5A2E2
71DC5,71CCE,71BE5
5A17A,5A2F7,5A091
71CB3,71C6A,71BAF
5A165,5A1FC,5A00C
71B33,71C01,71B8A
5A175,5A271,5A3D0
71C98,71B3E,71BB1
59D21,59AF6,59C45
717BD,715F5,7158F
59CD9,59C72,59BA5
7181D,71616,71601
59CDE,59E9B,59DBD
71885,71924,7173B
59D38,59DFD,59F0F
71710,71726,71823
59CA0,59FFA,59DC0
718B9,71664,71620
59CB7,59BD3,59C4C
71721,7193C,71693
59CDE,59E02,59D1F
71811,7195D,71741
59C17,59C2E,59B9E
71803,71798,71805
59D63,59D82,59D50
716FF,71622,716BC
59EB7,59C72,59AA2
718B2,7164C,715CE
59B3B,59B58,59CFF
71885,716D0,71889
59D21,59DC3,59E31
7176A,71805,71726
59E75,59C82,59CCC
71692,717E2,71626
59E02,59D3E,59DAF
71874,7176E,71746
59DE2,59CDD,59D1D
715F6,716E6,7180C
59B80,59E0E,59D41
717FC,718AF,71650
59E3A,59C88,59B8F
717A1,71699,7193C
