{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1894F8,189416,189498
1A0DED,1A0D9C,1A0CF1
1892E7,1892D3,189361
1A0C4E,1A0D59,1A0D8F
189466,1892D6,1893C0
1A0EE8,1A0E71,1A101E
189645,1894ED,1894F3
1A0D7F,1A0E2E,1A0E49
189418,189443,1892D4
1A0CDE,1A0C8F,1A0CDD
1892A7,18935E,189205
1A0D29,1A0DBC,1A0CBC
1893B6,189259,189160
1A0CC9,1A0D15,1A0DE2
189561,18968F,1895B9
1A0EFA,1A0F14,1A0F4C
189597,18932A,189503
1A11C3,1A0EE8,1A0FE9
1895FC,1895AB,18974D
1A0EDA,1A0E4B,1A10D8
1895F8,1896FF,18945E
1A0FFE,1A0EE5,1A0FAA
189556,1894C1,18947B
1A0F29,1A0EEF,1A0EB9
1893F1,18936D,18951E
1A0E17,1A10D2,1A122E
189487,18934A,189424
1A0E4D,1A0F4C,1A0E08
18939B,1893FA,189476
1A0F74,1A0F40,1A0FEE
1894FB,1894BE,1893F5
1A10B7,1A0D65,1A0F01
1896C8,1893C5,1893E2
1A0E16,1A0F13,1A0FC3
18939F,189476,1893E6
1A0CC2,1A0F13,1A0E30
1896BA,189629,1894A8
1A0D39,1A0E5C,1A0F55
189511,18954B,1895B1
1A0EF8,1A0EBD,1A0F1E
1891B8,189239,18948D
1A0D70,1A0DB7,1A0CED
18940F,1894D5,189521
1A0E81,1A0E20,1A0CD0
189540,18924C,189215
1A01BC,1A0135,1A00D7
1896B8,189773,18977B
1A1129,1A109D,1A1109
189796,18976B,1895A8
1A10CB,1A10BF,1A0F62
18961A,1896B9,189551
1A11D0,1A1216,1A12CA
1894D1,18954C,1894B1
1A0F62,1A0FD1,1A10A3
1896DE,1894F1,1895D0
1A1054,1A0FB9,1A0F8F
189524,1895FE,189607
1A106A,1A102C,1A10C8
189868,18954F,1895C3
1A0FF0,1A1264,1A10FB
189493,1894D5,189636
1A0F00,1A1214,1A112D
18964C,189417,1896B4
1A0EC5,1A0FC7,1A0E66
189543,18961F,1893EF
1A0F9E,1A0FEA,1A1058
1896AE,189579,189643
1A113B,1A1014,1A0E68
189512,189660,189680
1A101E,1A1019,1A0F27
189442,189408,189332
1A0E70,1A0E91,1A0E60
1893DF,189324,189187
1A0E77,1A0DF8,1A0FF1
189344,18941D,189446
1A0E35,1A0EEE,1A0D9C
1893D8,1893F0,189430
1A1036,1A10F7,1A0DBE
189858,189789,18981C
1A1188,1A1382,1A125F
189731,1896D1,18986A
1A115F,1A12DA,1A11A0
189640,1897B9,1895D6
