{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
809A5,809B5,80996
985C6,9863B,98641
809AF,8092B,808EC
983E4,982A1,9836A
80904,80A77,808F4
9727E,97452,9745E
812DD,81521,814B8
98EBF,98EFE,98DBF
81514,812CB,81394
98F24,98FE2,990E6
81357,81313,81373
98D6E,98E09,98D69
81386,8114B,8131E
98E05,98E41,98EF1
81379,81559,814A1
98F3F,98D54,98E71
813D4,813CA,81513
98E5A,98BE8,98C54
8139D,81381,81278
98DFA,98C6A,98C6E
81248,81301,812B1
98D46,98ED9,98EAE
811DC,81086,81201
98BC1,98CF7,98C21
8101B,8122B,812E2
98D4F,98ACE,98C04
8144B,8124D,812B5
98E9A,98C4B,98E5C
81231,812AD,8133C
98D2C,98C27,98F0A
813FD,81413,812EA
98BD2,98B0F,98BF4
812A7,81351,81339
98D4D,98D7E,98C8C
8127C,8112C,811DD
98CA3,98D25,98DD5
813EC,812D3,8119B
98894,98E15,98B63
81263,81177,8132B
98A2D,98CC5,98C5E
812BD,8137E,80FEC
98B56,98CE4,98C31
810D4,811CD,8128F
98B13,98B42,98D18
8110F,812D1,81239
98B95,98AFB,98B6F
812FE,8121D,80F70
98C8F,98BE5,98B60
81337,81499,81138
98CB8,98CB8,98B10
8112C,81193,8127A
98C89,98C3C,98C13
8120F,810EE,81376
98C6E,98B7C,98BFA
810E1,81267,811C3
98CC9,98D52,98D45
8118B,8113E,811C4
98C70,98CB2,98C32
81266,8136A,80EE1
98B0C,98C20,98DCB
81194,8118D,80FA1
98BAE,98C63,98D19
81237,8121D,8132B
98AA2,98B55,98B04
811AD,80FBD,811D8
989FB,9885C,98C49
81189,81225,81232
98CF8,98BAF,98CC5
810EC,81086,811CB
98DD7,98CB8,98A8E
81090,80E78,8127F
989AB,98A44,98BE0
81182,81081,812BF
989D8,98A43,98D9C
80F90,8111E,80F96
98A2D,98C30,98AA8
81251,81055,80F98
98C94,98C62,98BD4
8121C,810E1,810CA
98D0D,98BBD,98D0A
813AD,811FB,80F8F
98BC0,989F8,98C32
81285,81035,81044
98A8A,98B55,98ABF
811DE,81136,810B5
98C9B,98C77,98B4A
811B1,80FAF,80F09
98AF4,9892A,98881
81026,80E62,80F47
98A6F,98A9A,98B22
80E54,81022,81040
98B44,98A5E,98A0A
80EB9,81068,80F4D
98AFE,98BAA,98B4E
80FE1,81210,810A8
98ADA,98A76,98AE3
80F9A,80E7B,810BF
98A68,98BC7,98B93
81006,8105B,80F6E
98C25,98BAD,98C0F
81014,810FC,811E8
98A97,98B95,988C3
80FEA,80F07,810FC
98AE2,98951,98BED
80FF1,81075,80EF3
98B13,988AE,9891D
80EF3,80E79,80F56
9894F,989C7,989F5
81062,80FF1,80DF2
98ADC,98A1E,98A4F
80FD0,80F89,80FD5
9897B,98AC0,98B03
8115A,80E80,810DC
98BAC,989CB,98BE0
80FC3,80EF5,81137
9898B,98A80,98B2F
80F36,80F2E,80E97
98910,98A69,98B87
80DD7,80F0C,80ED5
986ED,98927,988F6
80CE2,81045,80E91
98A4D,98A4D,98953
81003,80CEC,80E45
987C9,98948,9887C
80ED5,80E55,80E73
98A13,987F1,989AF
80EDB,80EA6,80F0E
98A7F,989F3,98AA1
80D84,80EC0,80DE2
98AAA,98A02,98A59
80FDE,80F42,80F2D
987CD,98976,988A1
80E1D,80C44,80C04
97D6A,97E3A,97F05
81261,813B2,81336
98BFA,98A31,98BC4
81340,810CD,81125
98BDC,98CCD,98BD7
81186,81203,812A4
98CDB,98E06,98A0E
812A8,812BA,811A1
98C3C,98D12,98C45
8120F,812AF,81257
98C00,98D2D,98D0F
811D4,81092,810A5
98B5B,98D04,98D92
81243,81234,81335
98C1F,98CE2,98CBF
812AC,81391,81291
98D01,98D8C,98E4B
8137E,81394,812FC
98CD3,98CDF,98A85
812A4,81251,812DA
98C92,98E07,98DBC
812E2,812C2,8119D
98DDC,98E31,98D88
81050,8104C,81015
98C6E,98BF1,98B71
81073,8119F,812E3
98D2D,98CB9,98D39
8116B,81386,8142A
98B48,98D32,98CD0
8149D,81151,8113E
98EA8,98C2D,98A8D
