{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1721F,-173B3,-17345
67E,70C,8E0
-172A3,-17379,-172E1
7EB,7EB,8A0
-1746C,-172D4,-174A6
9A6,8D4,87B
-17207,-1723C,-17286
7EC,927,8F7
-17104,-173BF,-17156
973,721,784
-173BC,-17268,-173B0
76F,830,9B3
-171D1,-170A8,-170BF
-873,-8E5,-7CB
-169C7,-1676D,-168A3
1179,FF7,F92
-16784,-167D4,-169D0
1041,10C3,F95
-1671E,-16A1C,-169E0
FDC,1152,11F3
-1679F,-1697D,-16ADC
1161,11A4,112D
-16826,-167B7,-167F1
108E,11D9,10F2
-16749,-16843,-1698C
111B,1231,1165
-16931,-16972,-16998
11DB,1149,1201
-169E9,-16754,-1675C
1117,12D3,124E
-168E6,-16902,-16A22
1136,E08,1033
-16984,-16A5A,-169F4
1054,12CF,116B
-168B9,-168A1,-1688F
1016,10C3,1281
-169B0,-16905,-16954
10D4,10AB,1481
-16735,-1683D,-1674B
1261,1222,127B
-16A1F,-16990,-1684E
11A7,1090,1184
-1690B,-1685F,-169A3
11CE,FE2,E4D
-16986,-16B1E,-169A6
EA9,1050,10B8
-16B4A,-169F0,-16A76
EDF,F7C,EF6
-169F2,-16BF6,-16AD6
107B,1013,FFB
-16A3F,-1694E,-16C8A
E54,EB9,FB3
-16A9F,-16BF5,-16A26
1050,F17,EA4
-16A85,-16BDC,-16B5F
1064,1002,CF0
-16BE5,-16B31,-16ACF
EBE,EA5,1178
-16A13,-16AD4,-16B82
10BC,1004,F88
-16B3B,-16C3B,-168CE
F7D,1180,10E5
-1697D,-16B75,-16892
E8A,FCA,FBE
-16968,-16874,-16A7F
FBC,1006,1004
-16A3F,-16B2A,-16A95
E71,F2E,FD9
-16C0A,-16B01,-16C26
E50,1079,12BD
-16A4E,-169A7,-16B10
E57,F24,DAD
-16A02,-16BE2,-16BA2
EF1,EFA,F85
-16BC8,-16D71,-16E22
CB6,EAB,102F
-16C54,-16D56,-16C56
EBA,F95,E61
-16CA2,-16D11,-16BAC
E1B,C1E,E00
-16B51,-16CCF,-16E63
DA3,DDD,EF6
-16B63,-16B64,-16CA2
EE3,ED3,1033
-16C72,-16CEA,-16D60
D5C,DDC,DBF
-16C69,-16CBB,-16C07
E20,D59,E37
-16BA5,-16C34,-16CD6
CBB,EAE,D33
-16C51,-16C5B,-16C6C
E91,D65,E87
-16A63,-16E08,-16ED5
D04,D7F,DB1
-16EF1,-16FC0,-16CD5
D74,B9D,C4F
-16F08,-16D62,-16E86
D26,DD8,E76
-16CCB,-16C61,-16D0F
C91,BDA,DE9
-16D0C,-16D81,-16DF6
E22,CD4,D04
-16AAC,-16A86,-16EA1
D40,D5F,C84
-16DE7,-16C2A,-16BC1
D39,DFD,E20
-16BC1,-16CAD,-16E34
DE1,C69,DE2
-16BA8,-16CCF,-16D66
C2D,C50,C3E
-16D4E,-16CCA,-16DF7
B0A,BD8,C32
-16B8C,-16CE0,-16DE6
C53,D78,DE2
-16DB6,-16CC0,-16DE6
C40,AE1,A58
-16F84,-16F8B,-16D84
C41,DC8,F2E
-16D66,-16DB4,-16D6F
DCE,CD6,A69
-16DD1,-16ECA,-16ED2
B7F,C6D,A85
-16DF2,-16CFB,-16DCD
CB7,D48,C77
-16DD8,-16E21,-16CFD
CFB,C1C,D45
-16E1E,-16F46,-16F44
B5F,B38,C29
-16F51,-16D73,-16E82
A02,CA9,C3F
-16E32,-16E78,-16E2A
D95,D75,D7D
-16E04,-16D6E,-16DD7
EC2,C40,CC4
-16E4D,-170F1,-16EF6
C15,C8F,C97
-16EEF,-16E83,-16FDD
CB9,D13,D68
-16D2E,-16E1D,-16E75
E25,B3B,D90
-16CC2,-16D40,-16DC7
205,2F9,335
-16AA1,-16989,-16845
E9E,FB1,10E3
-16BCA,-168C4,-16A6F
1089,10A0,1073
-169CF,-169D9,-16A52
1196,FDA,EE8
-167E0,-16B2E,-16928
FD1,FC8,10DB
-16936,-16A57,-16909
EC8,FAF,E98
-16B41,-169FA,-16A65
1026,E69,10BD
-16875,-169FB,-169C8
FF1,114F,FC8
-16ABD,-16ACA,-16AEB
111F,1138,112E
-16AB6,-16A8D,-168AD
FEC,10EE,E7E
-16900,-16B68,-16BC4
E66,E17,F41
-16C4B,-16BDE,-16ABB
F9C,F7A,F3F
-16C31,-16E4F,-169EA
E44,EE9,FD1
-16B82,-16ADD,-169EF
1089,FA8,F13
-16B1C,-16A8D,-16DCF
F80,FC1,FC6
-1691E,-1693A,-16839
1109,11DA,FC4
-16888,-16952,-16909
FF5,1019,F76
-1696C,-16A8B,-16933
E46,1052,D79
-16AC2,-16AB3,-16B2C
107B,110A,EC0
-16A0C,-169EB,-16A70
102F,D91,FCF
-16CA8,-16BF3,-16CC5
EBE,1044,10E3
-169AD,-16A1F,-16A6A
1039,F70,F6B
-16945,-1693E,-16898
12B1,1022,100E
-16A79,-16A62,-16A93
1018,1074,133F
-16948,-16A13,-16A3E
10EB,FDA,1130
-16905,-16C8D,-1699D
E43,1039,EC3
-16A8E,-1690A,-16BF6
FE7,FDC,10E0
-16B89,-1693F,-16989
F6A,FDD,FE2
-16A60,-16AAA,-16AAC
F32,11A2,E99
-16B71,-16CF1,-16BF6
D56,CAC,E95
-16D0B,-16BF3,-16B43
E13,ED7,EA7
-16BA8,-16C21,-16DAB
EC9,E0C,DFB
-16C86,-16D32,-16BBD
103B,FA2,F3A
-16C17,-16C50,-16CED
E3A,D20,C4C
-16E97,-16E23,-16FE9
D28,C60,CC8
-16CE6,-16EAF,-16D63
B97,E07,CB7
-16DFD,-16D07,-16E3D
D0D,E92,FD3
-16BAF,-16B73,-16BAF
D26,1023,D09
-16CBC,-16D9A,-16C11
ECA,E4A,F44
-16A40,-16BC2,-16D69
EA2,E2E,101E
-16990,-16C91,-16BF2
D50,DF3,DDA
-16DEC,-16CA2,-16DCB
D06,F23,EE0
-16C7A,-16BD7,-16CD0
DED,D40,EA9
-16B4D,-16BB8,-16BB8
EBC,F4C,E36
-16B45,-16B0F,-16D81
D1D,D4E,C9A
-16CE0,-16D05,-16CF0
E50,CCD,C23
-16C69,-16E09,-16C40
D15,ED1,DD3
-16D03,-16C08,-16CD1
C42,CFD,CF7
-16C64,-16D22,-16C50
D74,D5A,DC1
-16B0A,-16D65,-16D91
E7F,E95,D9C
-16F47,-16D35,-16E2D
B92,E53,B90
