{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-97FFC,-97F8A,-97EBD
-AFA1F,-AF865,-AF88E
-97EA5,-97DBC,-97D2D
-AF8B5,-AF8A5,-AF7BB
-97EFD,-97D3E,-97D8F
-AF873,-AF934,-AF730
-97CCC,-97D15,-97EEC
-AF874,-AF9EC,-AF80F
-97E58,-97D21,-97E39
-AF874,-AF961,-AF841
-97E6D,-97B0E,-97CE3
-AF6F9,-AF74E,-AF658
-97CB3,-97C14,-97C6B
-AF779,-AF63B,-AF709
-97C78,-97D22,-97E22
-AF863,-AF769,-AF89C
-97F0A,-97D5B,-97CEB
-AF75E,-AFA30,-AF958
-97EDB,-97F06,-97DDE
-AFA19,-AF6E2,-AF8F1
-97C9F,-97E16,-97E79
-AF8C1,-AF8D1,-AF944
-97D83,-97E3B,-97D67
-AF8CE,-AF9E6,-AF8C6
-97F61,-97E71,-97E19
-AF99A,-AF8B8,-AF842
-97E2F,-97EF6,-97F78
-AF8EC,-AFAB4,-AFB0A
-97E38,-97EA7,-97E0A
-AF93A,-AF924,-AFA07
-97D64,-97E87,-97C74
-AFA6D,-AFB7D,-AFA31
-97ECF,-97EC6,-97F7A
-AF9FA,-AF901,-AFB08
-97F0A,-97E29,-97EB7
-AF847,-AF944,-AFA78
-97E50,-97E90,-97F84
-AFA1D,-AF90E,-AF76F
-97DD8,-97EC4,-97E5B
-AFA03,-AF933,-AFB3D
-97F47,-97D9F,-98000
-AF9A9,-AF6EF,-AF892
-97C7E,-97D2F,-97D21
-AF82C,-AF94E,-AF864
-97E4B,-97D35,-97EC4
-AF8C2,-AF7D0,-AF971
-97F48,-97F30,-9800A
-AF96B,-AFB4D,-AFA21
-98088,-97E63,-97E79
-AF91B,-AF8A3,-AFB45
-97E93,-97F04,-97EC5
-AFBC1,-AF885,-AFBA5
-97F3D,-97E80,-97F72
-AFAFD,-AFA27,-AFA80
-97E13,-97F3A,-97E81
-AFA88,-AFACC,-AF94D
-97FFA,-97F2A,-97F65
-AFA72,-AF9BF,-AF926
-98196,-97E9E,-97F53
-AFA9C,-AFA1D,-AFC25
-98008,-98029,-97E66
-AF98B,-AFC32,-AF9D5
-980BB,-97FC5,-97F4F
-AFB25,-AFBE8,-AFAEA
-97F28,-980C6,-97F20
-AFB89,-AFBB5,-AFAC6
-980E8,-980AF,-98120
-AFA1B,-AFC48,-AFC8C
-981B4,-9813D,-981E0
-AF9A7,-AFC5B,-AFDC3
-9816E,-97FE0,-98065
-AFD2B,-AFB5A,-AFCC1
-9831C,-98262,-98116
-AFCC6,-AFB7B,-AFC42
-98303,-97FE2,-980B9
-AFDD5,-AFCB0,-AFBB7
-981B8,-98265,-9827B
-AFBFF,-AFC94,-AFC6B
-9923F,-993A6,-99522
-AF16B,-AF0C0,-AF21F
-9786B,-978C4,-97A13
-AF3F2,-AF376,-AF34D
-97969,-978F9,-97774
-AF1BE,-AF2B7,-AEFB1
-9780F,-977CD,-9779E
-AF229,-AF2F2,-AF1F2
-977A2,-977BC,-97764
-AF294,-AF206,-AF187
-979E3,-978FA,-97664
-AF250,-AF38B,-AF33E
-9792D,-9769A,-977CA
-AF28C,-AF26D,-AF16C
-979ED,-978C7,-977BD
-AF405,-AF43F,-AF4CA
-9779D,-9780B,-975D7
-AF342,-AF3A9,-AF33F
-9789B,-97841,-979CF
-AF24F,-AF15D,-AF1A4
-97891,-978F1,-977BA
-AF217,-AF3D1,-AF184
-97940,-977FA,-97917
-AF43C,-AF4A7,-AF39D
-978C1,-978E7,-977ED
-AF290,-AF352,-AF4BF
-9780F,-9780B,-979DC
-AF5A1,-AF2F8,-AF4BE
-97891,-97879,-979D8
-AF3E3,-AF573,-AF4B7
-978B4,-978AA,-97704
-AF351,-AF47A,-AF325
-97AB5,-9796D,-978D7
-AF388,-AF2BC,-AF01E
-979D7,-97815,-97892
-AF57D,-AF259,-AF2C4
-97956,-978F5,-9799A
-AF2CC,-AF1BC,-AF282
-977F8,-9789F,-9778B
-AF303,-AF3E2,-AF3E3
-97888,-97947,-977F5
-AF26A,-AF38F,-AF2CD
-97933,-9775A,-979C0
-AF32E,-AF365,-AF2A5
-978AC,-9783D,-976D1
-AF28E,-AF420,-AF42D
-97ADE,-97A14,-979FC
-AF31F,-AF575,-AF495
-97955,-979C4,-9795C
-AF420,-AF534,-AF357
-97985,-97A04,-97836
-AF41D,-AF494,-AF305
-97965,-978EF,-9798D
-AF5CB,-AF409,-AF55C
-9796C,-97B1B,-97909
-AF64E,-AF59A,-AF507
-97B5F,-97984,-979D5
-AF445,-AF49D,-AF46C
-979B3,-97990,-976F6
-AF425,-AF4E7,-AF56C
-97A55,-97960,-979FC
-AF3E2,-AF509,-AF4B7
-979FB,-97927,-97B44
-AF4A4,-AF489,-AF58A
-979C9,-978A3,-9789D
-AF4EA,-AF52F,-AF611
-97C4E,-97963,-97A62
-AF692,-AF5E4,-AF505
-97B21,-97BA2,-97A7F
-AF62E,-AF681,-AF82A
-97C63,-97D5A,-97BF3
-AF410,-AF468,-AF514
-97A6F,-97C30,-97AD9
-AF574,-AF51A,-AF3F0
-979C6,-97ADF,-9798E
-AF55A,-AF583,-AF6B6
-97C2F,-97B26,-97A40
-AF58D,-AF47E,-AF2E2
-97AFE,-97A0A,-979BA
-AF445,-AF4EB,-AF512
-9792C,-97978,-9791C
-AF42A,-AF6E1,-AF899
-97B8C,-97B66,-97BAA
-AF695,-AF6DE,-AF457
-97B84,-97B18,-97C0D
-AF432,-AF6FD,-AF543
-97A04,-97B69,-97C04
-AF5D8,-AF5F2,-AF655
-97AC1,-97A61,-97B88
-AF69F,-AF527,-AF458
-97B85,-97A9F,-97B9F
-AF47A,-AF3D1,-AF5CA
-97A12,-97A2D,-97A79
-AF550,-AF4A7,-AF439
-97A5B,-97A14,-97A94
-AF441,-AF4FD,-AF54D
-97BA1,-97C21,-97B21
-AF60F,-AF67A,-AF67A
-97E5E,-97B95,-97AEA
-AF722,-AF573,-AF663
-97CE0,-97B24,-97AEF
-AF515,-AF499,-AF5CB
-97B9E,-97A2B,-97D27
-AF678,-AF556,-AF494
-979DE,-97BF5,-9796F
-AF443,-AF51F,-AF4A1
-97A90,-97B22,-97C17
-AF584,-AF3C6,-AF5CD
-97B6E,-97B62,-97B37
-AF5CF,-AF6CD,-AF73E
-97ACE,-97979,-97BF9
-AF517,-AF4B3,-AF6A7
-97C52,-97B63,-97DA0
-AF5F8,-AF78A,-AF754
-97AE9,-97B3F,-97BEB
-AF634,-AF9D6,-AF79C
-97B87,-97D44,-97BCC
-AF5C8,-AF64C,-AF734
-979F1,-97E27,-97C05
-AF6C1,-AF703,-AF7B0
-97CA4,-97A3C,-97B77
-AF737,-AF50E,-AF5DB
-97B13,-97B70,-97CD8
-AF824,-AF626,-AF6F1
-97C8A,-97AC3,-97CA1
-AF707,-AF4E8,-AF70E
-97C0F,-97B4C,-97C18
-AF4EE,-AF685,-AF627
-986E5,-986A5,-985F4
-AF2B3,-AF254,-AF2B2
-978D4,-977B9,-97858
-AF2A3,-AF4F9,-AF36B
-977EA,-977BA,-97647
-AF23A,-AF37C,-AF405
-97B13,-97824,-9782B
-AF0E5,-AF339,-AF1C0
-97833,-978F7,-97704
-AF2F2,-AF2E0,-AF33B
-978B6,-977BA,-97940
-AF181,-AF1D1,-AF071
-97980,-97669,-975CF
-AF238,-AF263,-AF399
-97951,-9794B,-976CA
-AF19E,-AF45D,-AF369
-9770E,-97722,-9791F
-AF291,-AF382,-AF2AE
-97920,-979E0,-977D9
-AF27C,-AF434,-AF066
-979BF,-97902,-97939
-AF31D,-AF39F,-AF30B
-9781E,-978A7,-9776C
-AF216,-AF257,-AF25D
-97851,-977F1,-97848
-AF103,-AF10B,-AF4E8
-976BE,-97893,-97765
-AF0E8,-AF29B,-AF2EB
-976EC,-97975,-978D7
-AF2A5,-AF423,-AF249
-977FD,-9779A,-97A77
-AF552,-AF38A,-AF3EE
-97983,-97AB6,-97B9C
-AF5F5,-AF512,-AF53B
-97A64,-978E0,-97A47
-AF4F8,-AF558,-AF5A6
-97958,-979B5,-97A62
-AF5BF,-AF3B6,-AF5AD
-97A35,-97A57,-978B5
-AF5C4,-AF457,-AF4B2
-97903,-97925,-9796C
-AF4B2,-AF27F,-AF505
-9789F,-97A64,-978D5
-AF475,-AF2F2,-AF5D4
-97A79,-97760,-97898
-AF3C4,-AF405,-AF4E2
-978AE,-97863,-9768F
-AF344,-AF420,-AF2DE
-97A07,-979B2,-97978
-AF3CC,-AF4D6,-AF54E
-97AAE,-979BF,-97BA4
-AF7C7,-AF591,-AF576
-97B59,-97B49,-97AFC
-AF53F,-AF52C,-AF602
-97B7B,-97AFF,-979E9
-AF4E2,-AF3A9,-AF4C3
-97A74,-97B51,-97A3B
-AF41E,-AF3C2,-AF3C1
-97A00,-97AA9,-97947
-AF60C,-AF5FB,-AF536
-97A54,-97AFA,-97B3B
-AF41E,-AF43E,-AF4FC
-97A90,-97AFD,-97B6E
-AF4E7,-AF518,-AF3CA
-979ED,-97A64,-97994
-AF66C,-AF6A9,-AF6EA
-97ABC,-97C5A,-97AFA
-AF5BA,-AF4A0,-AF447
-97A9B,-97BC3,-97B13
-AF3E3,-AF66C,-AF548
-97C5D,-978C0,-97B59
-AF367,-AF5ED,-AF622
-97BEB,-97B76,-97C7F
-AF6CF,-AF4DD,-AF6AF
-97BAD,-97E8E,-97A67
-AF539,-AF4E8,-AF353
-97BDB,-97C61,-97974
-AF436,-AF31F,-AF488
-97A53,-97998,-97BB0
-AF51F,-AF6B5,-AF5D4
-97A79,-9796B,-978CE
-AF688,-AF697,-AF37F
-97A9A,-97BB3,-97B7C
-AF4F2,-AF79E,-AF515
-97C09,-97B96,-97A0B
-AF52D,-AF639,-AF7E3
-97B1E,-97BCF,-97B69
-AF62A,-AF4CB,-AF529
-979D1,-979AF,-97902
-AF447,-AF417,-AF552
-979B6,-97C46,-97C4E
-AF5AC,-AF574,-AF54D
-979FD,-979E2,-97C6F
-AF48F,-AF4FD,-AF654
-9796A,-978EC,-97A11
-AF70F,-AF66E,-AF452
-97A80,-979E7,-97AF8
-AF4E5,-AF33E,-AF39E
-97A96,-97968,-97AB0
-AF599,-AF441,-AF535
-97B05,-97AED,-979D3
-AF487,-AF4BD,-AF509
-97A96,-97B60,-97B7F
-AF6CB,-AF43C,-AF57D
-97BD6,-97B9D,-97B76
-AF640,-AF6EC,-AF5FE
-97AF4,-97A5C,-97BC2
-AF4FD,-AF524,-AF54B
-97B6F,-97B17,-97B4F
-AF3A6,-AF322,-AF569
-97B53,-97B15,-97C58
-AF539,-AF3CF,-AF3EA
-97C6E,-97B79,-97BC5
-AF751,-AF717,-AF6B4
-97D3A,-97C8D,-97DF3
-AF7A7,-AF830,-AF8B4
-97C00,-97ABC,-97C56
-AF62E,-AF56B,-AF67C
-97C98,-97BCC,-97BCF
-AF71B,-AF718,-AF7CB
-97A7E,-97A91,-97B3B
-AF6C3,-AF710,-AF5EB
-97B22,-97B5B,-97CC4
-AF683,-AF76D,-AF5E7
-97AFF,-97B5A,-97BE6
-AF5F6,-AF69F,-AF3C0
-97C02,-97CE3,-97BB5
-AF5E1,-AF542,-AF686
-98216,-97FFA,-97E8F
-AFA79,-AFC4D,-AFC24
-981BA,-982CD,-9828C
-AFAFC,-AFC67,-AFB51
-98177,-98269,-9824B
-AFCD1,-AFD81,-AFDF8
-97FC9,-981FE,-98439
-AFB36,-AFD52,-AFD08
-98104,-98087,-9819C
-AFA30,-AFAD1,-AFA04
-9839D,-98007,-981AA
-AFB18,-AFD91,-AFB63
-98189,-98194,-98276
-AFB4F,-AFD6D,-AFCD7
-98370,-98217,-98296
-AFDBD,-AFC4D,-AFE32
-9822F,-9803B,-97FBE
-AFBEE,-AFDF7,-AFE71
-981F6,-98267,-98360
-AFE85,-AFD79,-AFD48
-981D8,-9810E,-982E8
-AFD7F,-AFD12,-AFEC7
-983FB,-981EE,-98460
-AFC9B,-AFD8A,-AFCEA
-98298,-980AE,-97FE7
-AFCE8,-AFBA7,-AFD6F
-98166,-9839D,-9810F
-AFD7A,-AFC26,-AF981
-980E4,-981F1,-98099
-AFD8B,-AFD0A,-AFCE6
-981C2,-981AB,-980DE
-AFBEA,-AFD51,-AFC7B
-983EF,-983DC,-98275
-AFFBB,-AFE4A,-AFD44
-9840B,-98504,-9823C
-AFEB8,-AFDD2,-AFDF4
-982C2,-982BF,-98483
-AFDAD,-AFDE4,-AFDB3
-982F0,-983A4,-983E5
-AFFD3,-AFCC5,-AFE13
-98223,-98364,-9833C
-AFD1A,-AFD2A,-AFBDC
-983D6,-9812B,-98139
