{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1AAC0F,-1AABB6,-1AACB1
-1C2418,-1C2780,-1C27AB
-1AAAE6,-1AAB64,-1AACE7
-1C2444,-1C257A,-1C24F0
-1AAD9D,-1AAB73,-1AACBC
-1C277E,-1C24E0,-1C2592
-1AABB6,-1AAB16,-1AA9D6
-1C2596,-1C2538,-1C26F2
-1AA94C,-1AABBE,-1AAAB8
-1C2608,-1C2430,-1C255E
-1AAB61,-1AAB63,-1AAABD
-1C27D4,-1C25BE,-1C2750
-1AAD43,-1AABA1,-1AAAF7
-1C26B7,-1C2600,-1C250A
-1AAC84,-1AAB3E,-1AAB4D
-1C256F,-1C2645,-1C2688
-1AACF6,-1AAC26,-1AAC75
-1C2584,-1C27AC,-1C2739
-1AAC5E,-1AAA34,-1AAAFB
-1C262C,-1C2475,-1C252B
-1AABBF,-1AAABD,-1AAA8B
-1C2525,-1C25D3,-1C2736
-1AAB5D,-1AADCA,-1AAA0C
-1C24A6,-1C2537,-1C2668
-1AAD30,-1AABDD,-1AAC2E
-1C274B,-1C27C3,-1C272B
-1AAB52,-1AA892,-1AAA8D
-1C27AB,-1C25FD,-1C2517
-1AACD2,-1AABCD,-1AAB92
-1C25B6,-1C2665,-1C2631
-1AACB5,-1AABA2,-1AAC14
-1C263F,-1C2570,-1C26DF
-1AAC02,-1AABFB,-1AAC42
-1C2799,-1C2540,-1C28CD
-1AAE99,-1AAD15,-1AAC86
-1C273B,-1C2743,-1C27DA
-1AAE79,-1AABF8,-1AAC41
-1C270E,-1C2670,-1C26EF
-1AAD57,-1AAC14,-1AAD4B
-1C2740,-1C27EB,-1C27D7
-1AAB37,-1AABE4,-1AACCD
-1C2780,-1C2723,-1C26D3
-1AAA55,-1AABC9,-1AAC75
-1C277F,-1C26C0,-1C26EF
-1AAE3E,-1AAE17,-1AAD7A
-1C2937,-1C28CF,-1C284B
-1AAF2C,-1AAFE2,-1AAE52
-1C26E8,-1C2895,-1C27A6
-1AAE9A,-1AAF9B,-1AACBA
-1C288F,-1C28A1,-1C26FD
-1AAC6A,-1AAC14,-1AAE52
-1C2995,-1C26ED,-1C2852
-1AAD7D,-1AADBA,-1AAA30
-1C26F3,-1C2948,-1C29DF
-1AAE30,-1AACA8,-1AAE8A
-1C27F3,-1C2709,-1C276A
-1AAE70,-1AAD8A,-1AAFDF
-1C26D2,-1C27E0,-1C289C
-1AAD09,-1AAC37,-1AAB91
-1C2849,-1C2931,-1C29B9
-1AAEC9,-1AAEFF,-1AAF56
-1C285F,-1C2913,-1C2892
-1AAE3F,-1AAE99,-1AADAC
-1C2812,-1C2944,-1C28CD
-1AACFD,-1AAE9A,-1AAD1E
-1C293B,-1C28C9,-1C2829
-1AAE53,-1AACDD,-1AAE91
-1C29E5,-1C29AC,-1C292F
-1AAF39,-1AAEC9,-1AAD81
-1C2875,-1C28BD,-1C2736
-1AAEB0,-1AADF4,-1AAE90
-1C286B,-1C2885,-1C286D
-1AAE9E,-1AAE11,-1AAE8D
-1C26FF,-1C291D,-1C2971
-1AAEE3,-1AB0C4,-1AB04E
-1C2A66,-1C2AA6,-1C2931
-1AAE20,-1AAFD0,-1AAEE2
-1C2AC3,-1C2980,-1C2AAA
-1AAECD,-1AAE03,-1AAFBA
-1C28D3,-1C28F0,-1C28CC
-1AADC3,-1AAEAE,-1AAEDD
-1C2914,-1C2A34,-1C2A45
-1AAE1A,-1AAF77,-1AAEED
-1C28A6,-1C28DA,-1C286D
-1AADA6,-1AAEF1,-1AADB3
-1C2A0F,-1C2911,-1C281C
-1AAE63,-1AAD9A,-1AADEC
-1C2910,-1C2755,-1C291C
-1AADF4,-1AAF5A,-1AAF68
-1C2872,-1C2735,-1C2916
-1AAFF4,-1AAE8E,-1AAD46
-1C29AB,-1C2873,-1C2975
-1AAEB8,-1AAFA8,-1AAF74
-1C2898,-1C28BB,-1C27C8
-1AAF44,-1AAF42,-1AAE15
-1C2774,-1C27F3,-1C2993
-1AB095,-1AAFE7,-1AAFB1
-1C2A46,-1C2A36,-1C29AE
-1AAF6C,-1AAF6F,-1AB068
-1C28C2,-1C2A45,-1C2883
-1AADD8,-1AAF06,-1AAF25
-1C27B6,-1C282F,-1C2A6E
-1AAFEF,-1AAEA4,-1AAF4D
-1C295B,-1C274B,-1C2963
-1AADFC,-1AADE8,-1AAE84
-1C2909,-1C293C,-1C284E
-1AC046,-1AC128,-1AC03F
-1C2074,-1C2112,-1C20B6
-1AA696,-1AA656,-1AA5E6
-1C2067,-1C2207,-1C205E
-1AA546,-1AA91D,-1AA6F7
-1C1E95,-1C2055,-1C2017
-1AA6E2,-1AA5E1,-1AA5CA
-1C20A4,-1C2289,-1C2075
