{'CALIB_RAW_DAC_START_I': 589824, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-35226,-35179,-3503B
-4CB3B,-4C9F2,-4CAAD
-34FC4,-35152,-3510D
-4CB38,-4CC9E,-4CB6F
-35112,-351C0,-35180
-4CBB0,-4CC31,-4CD3E
-35084,-34EBF,-3510B
-4CA4A,-4C9F7,-4C930
-34F9D,-34EF6,-34FC5
-4C971,-4CA34,-4C9F0
-350BB,-34F2E,-34EE8
-4C87C,-4C79D,-4C79F
-34DB5,-34D02,-34E85
-4C75C,-4C84E,-4CA2D
-34D67,-34E8E,-34F01
-4CBEB,-4C9EC,-4C757
-34EC7,-34D29,-34C8B
-4C824,-4C6D2,-4C550
-34D2C,-34CFA,-34D1F
-4C88F,-4C6B3,-4CA97
-34EA9,-34BD1,-34D98
-4C88B,-4C8E5,-4C99C
-34C8E,-34BFA,-34AAF
-4C6C4,-4C6B6,-4C8C5
-34DD3,-34E08,-34D75
-4CA9A,-4C708,-4C92D
-34F62,-34D83,-34D51
-4CA07,-4C7DA,-4C850
-34E9E,-34C57,-34EA3
-4C6DA,-4C7B3,-4C997
-34D54,-34BEC,-34D8F
-4C640,-4C71F,-4C770
-34C66,-34DDE,-34C8F
-4C907,-4C893,-4C8B9
-34C3E,-34E0A,-34C3F
-4C6FD,-4C7B7,-4C744
-34DCD,-34C55,-34CBE
-4C68C,-4C656,-4C7C5
-350C3,-34DA3,-34C18
-4C7BA,-4C89B,-4C8E0
-34EB2,-34D9D,-34CF8
-4C790,-4C72E,-4C86A
-34E55,-34D55,-34E33
-4C830,-4C844,-4C964
-34F13,-34EDC,-34F57
-4C761,-4C911,-4C7D7
-34D5C,-34DB5,-34C0F
-4CA02,-4C805,-4C6F7
-34E22,-34DCE,-34CC6
-4C7AC,-4C83F,-4C7CC
-34DDC,-34CC8,-34D95
-4C66E,-4C702,-4C7FD
-34E05,-34CDA,-34D97
-4C70C,-4C881,-4CA03
-34CBA,-34E87,-34E41
-4C800,-4C8C7,-4C8A9
-34EAF,-34F2F,-34E99
-4C7D5,-4C7F3,-4C856
-34E0D,-34D7D,-34DFE
-4C836,-4CB1F,-4C720
-34CC9,-34C6F,-34C3F
-4C814,-4C654,-4C6C4
-34CD3,-34D6E,-34D66
-4C563,-4C758,-4C8AF
-34D01,-34E18,-34CAC
-4C914,-4C690,-4C7F4
-34EA1,-34C4C,-34C87
-4C7C0,-4C56E,-4C7B9
-34D69,-34CBA,-34C64
-4C755,-4C749,-4C7D2
-36169,-3618E,-362D7
-4CB26,-4C9A7,-4C9A6
-35012,-34F04,-3509C
-4C8B9,-4C7F4,-4C90A
-34EF6,-34EB9,-34F49
-4CA3B,-4C999,-4CA85
-34FAB,-34ED6,-34EAD
-4C895,-4C90A,-4CA14
-34F4D,-34FA6,-34EC3
-4C911,-4C996,-4C9F5
-34FA0,-34E8F,-34F4A
-4C790,-4C642,-4CA88
-34E9C,-34F7A,-34E3B
-4C7BB,-4C8E6,-4C9D7
-34E64,-34DA6,-34CAC
-4C737,-4CA1E,-4CADE
-34E25,-34EED,-34E38
-4C8F8,-4CAA7,-4CACE
-34E5D,-34E9C,-34D74
-4C9FF,-4C81C,-4CB06
-34DCF,-34F2D,-34E8F
-4CA12,-4CA5B,-4C905
-35051,-35055,-34E51
-4C880,-4C8F1,-4C8BE
-34E16,-34DCF,-35056
-4C87B,-4C8FC,-4CA19
-34C31,-34D48,-34F56
-4C7D5,-4C87D,-4C6E6
-34E4B,-34CAD,-34B6E
-4C817,-4C80E,-4CB5D
-34EB5,-34EDC,-34D8A
-4C8D9,-4C864,-4C904
-34E27,-34DB0,-350A2
-4C8F4,-4C8AE,-4CAD2
-34FDF,-34DC7,-34EBD
-4C866,-4C942,-4CC28
-34E8E,-34E3F,-34E99
-4C9AA,-4CA04,-4C9FD
-34E9C,-35045,-34F16
-4CA74,-4C9F8,-4CB0C
-3515E,-34F4C,-34E9E
-4C8FC,-4C9F6,-4C954
-350D9,-34E8A,-35181
-4C89D,-4C742,-4C7EE
-34DC9,-34E0F,-35022
-4C801,-4C77C,-4C84C
-34D11,-34E60,-34EDC
-4CABE,-4C8D9,-4CB5B
-34DA2,-34D4A,-34E5D
-4C8DC,-4C850,-4C92B
-34F79,-34D18,-34E7A
-4C561,-4C905,-4C8D1
-34EF7,-34E7E,-34DE2
-4C883,-4C7CA,-4C870
-34E5F,-34F16,-34CA7
-4C7D9,-4C8E6,-4CADD
-34EC4,-3510E,-34E05
-4C942,-4C818,-4CA58
-34E7B,-34D3D,-34D80
-4C97C,-4C801,-4C900
-34DA8,-34EE4,-3500A
-4C87A,-4C8BA,-4C7BC
-34D4D,-34F67,-34C98
-4C987,-4C8B1,-4C6FE
-34CE8,-34B53,-349F6
-4C5C4,-4C623,-4C47F
-34C7B,-34B2D,-34C30
-4C601,-4C588,-4C547
-34B26,-34BD0,-34B89
-4C586,-4C6C1,-4C684
-34991,-34970,-34BC3
-4C3A0,-4C3FA,-4C64A
-34B71,-34BD1,-34C34
-4C558,-4C62B,-4C75B
-34CF5,-34BD9,-349BB
